"","filter","Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML","Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML","NEG_TJGIp4_1_Run59.mzML","NEG_TJGIp4_2_Run88.mzML","NEG_TJGIp4_3_Run183.mzML"
"312/167.035mz/2.93min",131403.44,111170.18,51169.57,104944.2,151636.7,153731.28,175646.7
"313/317.1352mz/2.94min",392498.205,560385.1,338924.8,410191.97,179564.12,374804.44,473814.47
"314/273.1456mz/2.94min",286737.05,445769.12,270704.25,283284.5,170413.31,290189.6,351548.2
"315/224.0927mz/2.94min",436157.125,451546.28,356370.4,420767.97,514325.6,398683.12,457411.3
"316/202.1086mz/2.95min",234722.82,250384.5,202386.33,208566.38,258222.05,234870.95,234574.69
"317/230.1033mz/2.95min",318600.06,306783,211518.81,257048.77,341812,330417.12,338913.8
"318/171.1027mz/2.95min",1814363.55,2545849,1939913.2,1185213,1261563.5,1859525.1,1769202
"319/231.1349mz/2.95min",629352.02,861525.9,652832.3,415493.56,425836.97,648109.94,610594.1
"320/186.1135mz/2.95min",896669.875,1463137.9,929137.5,864202.25,526982.56,1102663.1,787522.56
"322/236.0927mz/2.97min",430900.11,420392.6,347860.5,329455.66,539268.3,441407.62,447801.94
"323/426.1897mz/2.97min",808386.475,960306.9,904498.7,516713.6,710097.25,896363.25,720409.7
"324/192.0666mz/2.97min",2798284,3597811,3683569.2,1980855.2,2471320.8,2686214.8,2910353.2
"325/130.0873mz/2.98min",1683932.6,1686441.1,1438083.1,1397472.9,1844855.5,1693262.1,1681424.1
"329/341.1004mz/2.98min",436253.39,535352.56,436911,357194.9,435595.78,581231.6,402158.56
"330/257.1506mz/2.99min",289694.91,308501.44,198640.16,176727.12,321479.44,282135.2,297254.62
"332/275.1037mz/2.99min",2204020.75,2230337,1806815.2,1816401.9,2575775.5,2177704.5,2317874.8
"333/456.2002mz/3.0min",238068.07,260081.7,276441.44,157817.78,222828.08,253308.06,205417.34
"334/221.0931mz/3.02min",11321729,10599535,9855014,9658485,12423120,13628482,12043923
"335/255.135mz/3.02min",181236.495,214713.61,204101.84,133167.28,185536.1,176936.89,174088.66
"336/165.0556mz/3.02min",699701.37,707749.1,654854.56,458807,804786.8,703530.94,695871.8
