"","filter","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp7_1_Run16.mzML","POS_TJGIp7_2_Run140.mzML","POS_TJGIp7_3_Run155.mzML"
"4224/428.3241mz/7.49min",1476213.25,1902304.5,1028065.5,980547.5,1560522,2017074.6,1391904.5
"4225/394.3374mz/7.5min",2036128.7,405513,2694537.8,2044692.4,405513,2937106,2027565
"4226/756.5533mz/7.49min",421171.33,636.45146,209806.72,2255899,3182.2573,1362462,632535.94
"4228/706.4637mz/7.5min",2838233.35,13623.24,3044094.5,2632372.2,763687.5,5780241,3694174.2
"4235/392.3308mz/7.5min",51094432,110170.64,60710976,55384664,235412.48,66423910,46804200
"4239/397.3097mz/7.51min",431823.87,529583.6,410604.9,146080.88,723932.7,425611.62,438036.12
"4242/411.3254mz/7.51min",4080864,11587647,2412755.8,4204897,3956831,6961274,2608676
"4244/459.3463mz/7.51min",593144.25,803485.06,341685.8,222067.27,793261.9,657941.75,528346.75
"4253/383.3306mz/7.51min",485022.91,983393.44,425061.4,307732.5,877270.4,533001.7,437044.12
"4254/446.3621mz/7.52min",210833.135,920854.06,178045.83,48794.805,806974.06,243620.44,152029.92
"4255/429.3363mz/7.53min",1320101.35,2557882.5,1433753.5,636540.4,2305912,1206449.2,1014631.8
"4257/499.3391mz/7.52min",665142.97,3042864,552167,211057.84,1027999.1,778118.94,440117.28
"4260/446.3351mz/7.46min",266085.05,425619.75,255228.7,143568.64,556631.5,276941.4,131969.75
"4267/143.0702mz/7.52min",83316.185,453921.16,73820.54,34007.285,138637.16,92811.83,55612.45
"4270/430.3395mz/7.54min",435897.92,802756.9,315073.66,346897.75,729224.94,373097.28,498698.56
"4272/814.5583mz/7.46min",283323.625,593222.1,107085.78,89548.9,372748.84,369430.44,197216.81
"4273/726.3673mz/7.53min",123484.11,519252.9,87222.02,44804.12,285252.28,109230.25,137737.97
"4274/443.3153mz/7.53min",7189629.5,11405956,6160554.5,4334930,11524790,7760237.5,6619021.5
"4275/394.3471mz/7.59min",33085.9805,209455.22,10126.379,26948.977,401800.4,39222.984,2025.2758
"4279/407.2941mz/7.54min",1193993.2,1223678.9,1164307.5,447244.97,2095846.2,1261750.2,906413.3
"4280/424.3203mz/7.54min",685971.925,995995.7,511877.97,492405.75,649950.6,927969.5,721993.25
"4285/465.2972mz/7.54min",1761779.2,5338592.5,1363392.1,606606,4767760.5,2108998.5,1414559.9
"4286/680.4485mz/7.53min",113389.4425,750112.5,57671.69,52777.04,277856.25,143982.33,82796.555
"4288/732.4806mz/7.56min",946604.65,6749.4688,941352.4,951856.9,33747.344,2571520.2,1681511.8
"4291/626.5978mz/7.54min",17757.282,88786.41,17757.282,17757.282,1090840.2,17757.282,17757.282
"4293/420.3318mz/7.55min",187112.085,559377.7,186498.11,96977.8,540947.44,187726.06,141842.58
"4295/425.2873mz/7.55min",222718.3,191208.81,300832.9,206763.66,212428.12,254554.44,233008.48
"4296/399.3254mz/7.56min",590214.545,873563,486104.84,281668.12,934071.9,694324.25,399229.7
"4298/267.1741mz/7.56min",633454.17,725925.5,256219.19,385717.5,749853.56,681748.44,585159.9
"4300/676.4543mz/7.57min",3039599.4,328277.84,3111345,2967853.8,1641389.2,5899623,3859284
"4309/251.1792mz/7.56min",466063.38,683037.3,439889.34,301324,519286.88,469029.1,463097.66
"4310/375.3043mz/7.56min",9697688.5,10226686,9324250,6846354.5,11620607,7533484.5,10071127
"4312/269.1897mz/7.56min",574994.345,824008.5,487893.6,299040.03,695948.8,620213.75,529774.94
"4313/393.3151mz/7.56min",3810418,6380076,3335825.8,2482561.5,6112086.5,4202716,3418120
"4314/455.3323mz/7.56min",1350779.25,2255368.8,1418015.5,1003645.94,1438550.2,1100126,1283543
"4322/406.3465mz/7.62min",383578.02,1854077.2,39029.468,39029.468,3671384.5,572008.7,195147.34
"4325/437.322mz/7.56min",225871.44,396212.5,209680.8,157820.6,242062.08,180790.5,247881.62
"4332/451.318mz/7.51min",1051972.7,1907142,882029.8,240939.3,2533632.8,1187315,916630.4
"4339/650.4387mz/7.53min",7450015.75,7947409.5,4627035.5,6952622,14621403,12903409,6364110.5
"4340/441.2994mz/7.57min",307100.125,1944704,272694.4,235214.89,1771125,280016.47,334183.78
"4342/672.5252mz/7.58min",200523.855,532724.75,180570.14,212599.66,367392.12,183775.28,188448.05
"4344/429.3362mz/7.58min",2306928.9,3502247.8,2764147.2,1166330.5,3558887.2,1849710.6,1641954.6
"4348/628.4989mz/7.59min",280486.49,781585.25,142115.27,296878.28,526592.4,264094.7,236181.4
"4351/428.4094mz/7.53min",788175.142,25707.0968,128535.484,1798463,25707.0968,1447814.8,13911644
"4352/429.4128mz/7.52min",235701.605,18790.542,93952.71,377450.5,18790.542,424878.1,3943764.2
"4354/440.3154mz/7.6min",737630.95,891733.44,552570,528934.8,738628.9,919542,736633
"4355/584.4727mz/7.6min",373855.675,1017639.06,348341.94,383376.38,753399.06,352475.4,364334.97
"4358/328.3206mz/7.6min",247761.9,268578.47,226945.33,212112.23,181681.84,463242.72,289178.1
"4364/545.402mz/7.6min",283791.13,263859.44,285441.7,325329.94,147925.08,282140.56,357627
"4366/540.4467mz/7.6min",457485.83,1242818.4,437291.72,445663,981239.7,448328.66,466643
"4367/547.3602mz/7.61min",1349498,4068343.5,857763.6,360001.38,3122483,1789011.4,909984.6
"4368/542.4046mz/7.61min",442210.825,1364210.5,278521.7,131677.12,1228688.5,591957.4,292464.25
"4371/507.3676mz/7.61min",524742.915,734704.4,399709.75,295172.34,717771.7,615606.3,433879.53
"4372/501.3756mz/7.61min",471249.095,425074.9,486143.72,501408.44,382923.9,456354.47,523876.44
"4373/496.4203mz/7.61min",476600.97,1378481.1,477595.22,435488.38,1212563.1,475606.72,471505.34
"4376/364.3418mz/7.62min",269908.07,778623.4,259891.34,151336.03,835542.3,279924.8,228528.4
"4377/452.394mz/7.62min",486270.22,1367035.9,456175.38,393807.38,1303808.4,516365.06,437186.28
"4378/408.368mz/7.62min",414828.415,1152313.6,393834.3,284714.28,1160993.6,435822.53,354741.78
"4380/457.3497mz/7.62min",801669.5,819144.8,805470,797869,870304.25,541110.5,527267.94
"4381/369.2974mz/7.62min",650755.775,665089.75,636421.8,401930.03,712791.06,682999.2,534945.06
"4382/347.3153mz/7.62min",416390.37,847616.2,376251.4,271927.03,957637.25,456529.34,337752.72
"4383/391.3414mz/7.62min",405170.76,661701.7,399421.8,321752.8,778704.9,410919.72,342573.88
