"","filter","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_PF_MC_RCG_1_pos_20210511_Run78.mzML","GF_PF_MC_RCG_2_pos_20210511_Run96.mzML","GF_PF_MC_RCG_3_pos_20210511_Run197.mzML"
"7142/501.2707mz/4.08min",780449.55,290619,192500.39,289063.62,1582741.5,1270280.1,1737300.8
"7143/398.2284mz/4.08min",1513286.15,1958503.2,1336319.5,2157784.2,1487590.1,1538982.2,960468
"7148/550.3599mz/4.08min",424204.595,795786.06,537333.75,880746.44,311075.44,300585.78,134093.53
"7149/510.2925mz/4.09min",259672.71,356024.06,246045.89,373065.16,273299.53,238905.5,172295.56
"7150/207.138mz/4.09min",298946.345,319680.12,306379.16,156907.97,291513.53,189221.61,521373.8
"7151/216.1595mz/4.09min",367235.07,389349.84,236694.62,481984.2,526951.9,345120.3,222880.36
"7158/177.0547mz/4.1min",429933.25,435520.75,256904,514979.3,361534.22,424345.75,441819.4
"7159/526.295mz/4.1min",155882.856,362383.34,304778.78,461254.2,3115.0654,6986.932,623.01308
"7163/352.1693mz/4.11min",177435.797,459876.78,300001.25,399544.2,54870.344,47787.805,6757.5493
"7164/458.2521mz/4.1min",220873.272,473779.66,368122.12,494869,73624.424,73624.424,73624.424
"7166/120.0444mz/4.11min",301727.03,357692.56,269951.03,418970.12,226009.19,333503.03,242692.73
"7167/410.2283mz/4.11min",490109.41,381868.6,267376.6,429115.62,647148.2,553534.06,551103.2
"7168/966.5294mz/4.11min",274567.895,117505.52,75385.27,117834.07,445790.12,431301.72,602188.06
"7169/360.1915mz/4.11min",1798624.25,1206261,747232.94,1050884.1,2390987.5,2494260.5,3009022.8
"7171/428.2542mz/4.11min",290289.8,270584.38,231584.33,219296.58,1088776,792120.5,309995.22
"7173/510.3279mz/4.11min",242486.96,365970.12,288624.97,345342.56,196348.95,138529.55,41114.855
"7177/481.3021mz/4.11min",158605.838,92602.64,49282.99,113938.516,346331.44,411450.1,203273.16
"7178/453.7576mz/4.12min",1110594.1,1375800.4,1174786,1046402.2,1439939.6,938463.9,386724.75
"7180/157.0761mz/4.12min",337125.15,283564.3,179003.5,322176.6,362243.2,352073.7,381519.22
"7181/315.2065mz/4.13min",232287.975,202968.62,114932.53,261607.33,559688.1,411432.16,22986.506
"7190/230.1135mz/4.14min",670858.52,1089507.4,780521.94,1196683.6,561195.1,487507.6,431167.3
"7194/683.3607mz/4.15min",754775.92,1059081.1,713157.9,1445147,584220.8,796393.94,473046.22
"7195/234.0219mz/4.15min",3333728.5,3478278.5,3039854.5,4904287,3189178.5,3583428,1980952.2
"7196/204.102mz/4.15min",352048.39,168879.39,128951.234,189029.98,704220.06,610963.1,515066.8
"7197/364.2031mz/4.11min",500509.43,1116649.4,917673.7,1177533.6,76130.516,83345.16,31224.45
"7198/727.4022mz/4.16min",184116.882,417222.62,306861.47,468046.22,61372.294,61372.294,61372.294
"7199/271.0712mz/4.16min",1125452.16,236439.78,169994.77,396226.72,1854677.6,2114555.8,5076059
"7203/515.2868mz/4.17min",378029.19,383322.16,234650.89,365378.9,583519.44,613849.75,372736.22
"7204/349.1906mz/4.17min",478620.74,504346,324733.47,552386.1,500108.38,457133.1,70302.72
"7208/239.1025mz/4.18min",609163.7,244152.55,101479.266,471079.7,747247.7,1294309.2,785900.6
"7213/377.2262mz/4.19min",286299.09,401081.94,297279.4,363584.22,236539.28,275318.78,195880.38
"7214/376.2228mz/4.19min",1470587.85,1949052.5,1513861.9,2007758.4,1177021.4,1427313.8,1031840.6
"7217/237.1596mz/4.19min",299852.64,250527.34,192637.48,232779.16,349177.94,356997.3,432415.72
"7220/245.1132mz/4.2min",1205611.9,905216.25,1309852.6,1724356.9,1133414.9,1277808.9,724538.3
"7221/250.1437mz/4.28min",2274292.9,3189698.5,2516204.8,3900152.2,1472771.1,2032381,269958.12
"7222/987.0622mz/4.2min",602120.32,609580.94,457479.78,594659.7,935593.1,987488.7,521776.34
"7223/658.3771mz/4.2min",852398.87,843873.94,681256.5,860923.8,1265054.5,1391663.1,754963
"7225/353.7283mz/4.2min",796305.01,1231227.2,1107905.9,1118882,484704.12,469681.3,274717.75
"7226/717.3869mz/4.21min",547311.465,485755.53,436355.75,477986.03,698767.8,762962.25,608867.4
"7228/658.0428mz/4.21min",773611.375,756865.5,580624.1,790357.25,1079650.2,1199862.9,647218.7
"7230/706.4492mz/4.2min",180871.093,322296.62,247993.1,288987.6,113749.086,94893.64,41234.227
"7231/335.1388mz/4.21min",569941.6,816261.6,604538.5,1011359,383688.84,535344.7,111210.734
"7232/915.4969mz/4.21min",62392.332,307537.9,103987.22,155518.95,20797.444,20797.444,20797.444
"7237/458.2519mz/4.21min",249404.418,560697.3,415674.03,628134.06,83134.806,83134.806,83134.806
"7241/342.2385mz/4.22min",601358.035,426133.97,365352.28,424520.12,776582.1,839285.44,1237921.2
"7242/402.2233mz/4.22min",210872.955,61109.14,39529.918,80247.11,341498.8,475134.16,627163.4
"7243/139.1117mz/4.23min",232775.03,209550.61,219643.67,237911.16,227638.9,264196.2,486919.5
"7245/273.0326mz/4.23min",260322.135,213696.31,159852.94,340962.75,281247.3,372351.6,239396.97
"7248/331.081mz/4.23min",138442.812,46147.604,46147.604,46147.604,230738.02,261866.95,1246767.1
"7253/454.3103mz/4.24min",735877.34,1405263.8,1217316.2,1260936.6,187151.4,254438.48,19907.36
"7255/356.2541mz/4.23min",12197217.5,11995174,9871211,12399261,15351443,15191743,11266139
"7256/479.3225mz/4.23min",315139.82,374403.8,270529.06,299783.7,549705.94,330495.94,135160.08
"7258/395.1752mz/4.24min",137478.715,311477.6,304597.1,238719.97,36237.46,15870.369,14457.139
"7259/453.3069mz/4.24min",3238424.5,5836330,5082613,5249282.5,1394236,1315745.5,592167.4
"7261/511.2549mz/4.24min",690342.825,567311.75,537985.25,373428.72,1433844.9,813373.9,1797536.6
"7262/384.2126mz/4.21min",159938.46,333357.34,221381.89,332356.1,98495.03,15724.754,26512.186
"7263/192.1383mz/4.24min",717366.28,679005.8,442118.06,696027.5,794455.8,738705.06,808808.1
"7264/301.1544mz/4.25min",732178.08,658078.1,410349.53,922730.06,806278.06,886340.9,130720.625
"7273/450.2592mz/4.24min",57412.8505,1708.8442,1708.8442,8544.221,708446.5,756753.6,106281.48
"7282/270.1123mz/4.27min",312251.25,424791.7,388766.28,521742.6,235736.22,234359.05,194653.52
"7283/379.2519mz/4.28min",206827.867,614881.4,299064,316556.28,103248.27,114591.734,20649.654
"7287/614.3293mz/4.27min",1026594.6,942563.44,865402.9,1307624.6,1035824.8,1017364.4,1605491.6
"7288/376.2228mz/4.27min",985301.55,1321022,1075958.9,1358847.1,759275.06,894644.2,605562.6
"7290/323.1387mz/4.28min",271038.165,389764.25,311525.75,514994.06,230550.58,104216.94,68085.83
"7291/473.2755mz/4.28min",910982.625,1795983.1,1485609.5,1642265.8,336355.75,267595.9,201088.83
"7296/584.3442mz/4.35min",489627.57,617333.3,361921.84,190844,1161854.5,1183938.4,344165.56
"7297/1051.5822mz/4.29min",159631.631,426556.56,294963.75,497879.28,7072.553,24299.512,1414.5106
"7298/526.2945mz/4.29min",927841.835,2083325.9,1772865,2400079.5,75628.93,82818.67,4141.252
"7299/575.8286mz/4.29min",208101.036,419531.1,346835.06,482759.94,69367.012,69367.012,69367.012
"7301/332.1642mz/4.29min",389180.71,576087.4,484283.38,374306.22,263334.44,189598.84,404055.2
"7307/1036.597mz/4.32min",328807.45,341871.78,315743.12,297139.88,585058.44,564825,245465.89
"7308/382.2698mz/4.3min",182722.325,380325.28,306738.34,343536.03,58706.31,33588.008,6717.6016
"7313/293.2109mz/4.31min",1356750.6,1069367.9,879919.9,1073412.6,1640088.6,1694188.4,2149498.2
"7314/195.138mz/4.31min",481943.3,398596.5,331338.8,386512.22,565290.1,597703.8,720863.6
"7317/275.2004mz/4.31min",1352518.9,1086616.2,854541.7,1010206.25,1618421.6,1823187.6,2073775.1
"7318/291.1952mz/4.31min",658494.345,512706.94,217832.56,266998.6,804281.75,841803.25,1012104.4
"7319/559.3123mz/4.31min",486579.225,419105.2,227418.67,382823.5,1422630,1148214.4,554053.25
"7320/351.2142mz/4.31min",553078.17,382254.1,490242.84,471466.44,615913.5,928511.06,1071765.5
"7321/691.4mz/4.32min",588797.53,570325.56,282479.47,607269.5,685006.94,726095.94,185176.4
"7322/406.731mz/4.31min",295676.55,559200.8,492794.25,607704.44,98558.85,98558.85,98558.85
"7323/149.1325mz/4.32min",307661.085,182785.64,155336.8,201110.77,414211.4,441489.12,520866.25
"7326/484.2436mz/4.32min",137978.436,4312.7704,4312.7704,21563.852,373161.2,518696,254393.02
"7330/167.1431mz/4.32min",184053.005,69485.91,50181.035,67675.8,298620.1,313625,437345.78
"7331/185.1536mz/4.33min",79327.731,19813.152,12993.008,7904.115,138842.31,165592.88,215692.08
"7334/370.2697mz/4.34min",841051.74,1613467.5,1308322.6,1685481.8,373780.88,239539.69,182032.06
"7337/390.2384mz/4.35min",326500.64,362824.97,291185.47,410639.88,302121.12,263368.3,350880.16
"7340/370.7204mz/4.35min",380270.615,732031.94,626619.2,656353.8,133922.03,109935.39,47219.17
"7342/244.1906mz/4.36min",399199.375,403763.97,362573.44,423236.97,363313.12,394634.78,482547.94
"7343/226.1801mz/4.36min",974463.73,981817.56,859205.75,1002446.4,894440.8,967109.9,1114887.8
"7345/766.9211mz/4.36min",636634.25,632936.3,537531.9,640332.2,676463.9,739482.2,524291.6
"7351/235.1691mz/4.36min",619180.33,353031.5,358741.5,434997.72,803454.3,803362.94,953959.6
"7352/285.2172mz/4.37min",123264.495,41352.47,37025.99,52192.69,491350.25,352802.1,194336.3
"7356/284.1279mz/4.37min",3890150.5,6478798.5,5006002,6905049,2491964.2,2774299,861652.4
"7357/727.4021mz/4.37min",193481.172,442418.03,322468.62,470333.03,64493.724,64493.724,64493.724
"7358/364.2043mz/4.37min",310908.96,615173.4,518181.6,680366.94,103636.32,103636.32,103636.32
"7363/210.1025mz/4.39min",1035227.35,582825.5,217375.94,392501.62,1487629.2,1625570.1,2031909.8
"7364/651.3708mz/4.39min",1004702.155,1565220,1041064.06,1790724.6,913311.25,968340.25,585637.94
"7366/244.129mz/4.39min",813115.575,1267868.2,865013.25,1340243.6,761217.9,531453.75,637492.6
"7367/673.3527mz/4.39min",457557.12,614937.94,560434.94,691507.4,301025.03,354679.3,241358.62
"7371/479.3224mz/4.41min",1969910.5,2086550.5,1574352.2,1853270.5,3388473,2289876.8,865536.4
"7372/720.4648mz/4.41min",1648171.15,2248055.5,1737076.4,2060414.5,1559265.9,1192707.5,199446.77
"7373/360.736mz/4.41min",5452412.25,7414227,6189541.5,7030115.5,4715283,3663270,1085230.9
"7378/509.1439mz/4.42min",381730.87,96404.84,106363.34,247960.77,515500.97,558707.44,692080.9
"7379/584.3441mz/4.42min",2371928.5,1812229.8,945965.94,2095876.8,4384727.5,4478236.5,2647980.2
"7382/215.1178mz/4.43min",637530.82,785800.2,530009.25,645118.94,663351.3,629942.7,368424.9
"7386/137.0597mz/4.44min",230471.96,225205.95,162109.94,274499.9,235737.97,324873.22,188901.31
"7387/412.2439mz/4.44min",256122.665,483850.56,275163.16,518280.1,213842.45,237082.17,187711.22
"7397/757.3757mz/4.46min",161788.3475,389597.84,279225.84,517301.78,22975.176,44350.855,44028.664
"7400/327.1911mz/4.47min",646702.31,1293216.1,931227.4,1476467,354634.47,362177.22,229541.44
"7401/275.1388mz/4.47min",507944.22,200331.25,150374.77,430813.84,906760.7,825257.44,585074.6
"7402/271.1648mz/4.47min",452834.83,192862.05,145537.53,267609.72,638059.94,738381.2,663002.56
"7407/473.2754mz/4.44min",176260.0175,75385.375,74581.29,44123.613,583768.7,524914.6,277134.66
"7408/695.4121mz/4.47min",989819.47,1201303,994915.44,984723.5,1296052,788081.5,292427.44
"7410/348.2096mz/4.47min",310508.235,484513.4,446579.3,365829.3,255187.17,210356.8,56125.465
"7412/344.1812mz/4.43min",637277.63,1318374,1041799.7,1363753,197697.8,232755.56,107871.62
"7416/186.1488mz/4.48min",299548.225,140062.5,104563.34,245491.67,564549.06,645406.3,353604.78
"7417/379.1859mz/4.49min",554746.785,73340.95,36088.617,115587.51,993906.06,1112383.6,1092715.1
"7418/230.1386mz/4.48min",332811.935,231561.08,129438.32,347989.75,317634.12,587368.3,734405.44
"7419/299.2325mz/4.48min",392374.905,283709.06,220311.1,322446.28,1048739.2,844653.2,462303.53
"7421/413.7386mz/4.48min",1386750.167,3074519.5,2763030.2,3385890.5,10470.134,6378.2495,1275.6499
"7424/826.4702mz/4.49min",453536.94,896758.5,755894.9,997135.9,151178.98,151178.98,151178.98
"7425/575.8288mz/4.48min",960654.5565,2194655.2,1914011.6,2678600.8,2874.4731,7297.513,574.89462
"7426/230.2113mz/4.47min",362948.965,20237.033,78034.914,108021.37,653998.4,627889.4,617876.56
"7430/531.2796mz/4.49min",343033.28,130791.14,199584.66,375301.94,310764.62,620647.2,577613.3
"7434/171.0916mz/4.49min",1265718,586931.7,375236.34,785861.5,1745574.5,1886513.4,2286502.8
"7435/295.2265mz/4.5min",2326793,1787031.2,1476531.5,1899888,2753698,3036579,3416648.8
"7437/509.2966mz/4.5min",884236.32,582453,385451.12,750961.44,1017511.2,1091683.9,1056872.4
"7438/277.2159mz/4.5min",865537.8,675683.1,560951.94,720808.6,1010267,1183941.4,1317091.9
"7439/309.2056mz/4.5min",1320926.1,1089418,758573.44,1020685.8,1552434.2,1644906.5,2118150.5
"7441/291.1951mz/4.5min",1928649.75,1386383.9,1421178.4,1732151.5,2135791,2125148,2657220.8
"7442/1150.65mz/4.49min",92295.768,340092.44,153826.28,505006.22,30765.256,30765.256,30765.256
"7444/353.2295mz/4.5min",1212966.25,952999.1,1147318.4,1125669,1278614.1,1491001,1995524.4
"7445/390.2383mz/4.5min",1973261.5,2856222.2,2430536.8,2846086.8,1349736.4,1327587.4,1515986.2
"7446/195.1379mz/4.5min",1949353.05,1562304.5,1270914.5,1622732.6,2275973.5,2508263.5,2860602
"7447/584.8231mz/4.51min",691966.8,1313757.1,1153278,1398084.9,230655.6,230655.6,230655.6
"7450/396.2853mz/4.52min",516352.14,1006517.5,810437.5,948079.5,222266.78,139866.95,17420.633
"7452/177.1273mz/4.51min",415998.09,316817.4,252758.14,343293.34,488702.84,569614.1,675667.5
"7453/149.1324mz/4.51min",1064130.55,746451.25,604399.94,867358,1260903.1,1457317.9,1677593.4
"7460/527.3226mz/4.51min",337472.27,300192.7,240763.94,272824.38,511143.94,394650.75,374751.84
"7461/167.143mz/4.51min",539858.13,293435.28,203474.06,421178.2,658538.06,824563.06,987945.94
"7462/231.1591mz/4.52min",356738.36,186911.58,126371.32,257846.19,455630.53,602569.25,776283.3
"7463/213.1485mz/4.52min",793652.58,454385.97,305971.16,631359.1,955946.06,1227022.8,1499399.6
"7466/419.175mz/4.53min",192101.675,331966.2,273326.38,199928.19,146456.03,90288.12,184275.16
"7469/346.1798mz/4.54min",247311.205,309060.6,277149.22,217473.19,161325.83,315369.2,156708.11
"7474/109.1012mz/4.53min",559747.57,480456.6,425305.78,533888.2,629054.2,585606.94,798637.1
"7476/293.2108mz/4.54min",1539108.65,1857451.2,946473.9,1167070,1485988.5,1592228.8,2176224
"7477/614.3544mz/4.54min",283915.34,383041.16,237518.12,348638.94,330312.56,171768.06,67898.3
"7479/636.3362mz/4.54min",163312.345,200011.9,185078.88,195017.25,141545.81,83128.66,41652.75
"7480/423.7229mz/4.55min",192755.982,350716.88,321259.97,394966.5,64251.994,64251.994,64251.994
"7481/456.3066mz/4.54min",219581.405,413625.1,488626.25,342969.47,76665.234,96193.34,34786.918
"7483/720.4649mz/4.55min",1949531.55,2567343,1905726,2582542.2,1993337.1,1385445.4,134887.39
"7485/360.736mz/4.55min",4954396.75,6702088,5502668.5,6649871,4406125,3239599.8,828889.56
"7488/218.1175mz/4.56min",393335.09,219366.72,201289.62,290514.12,993901.5,749586.25,496156.06
"7490/499.2548mz/4.56min",370534.075,315716.4,188892.72,418194.03,462164.4,487733.78,322874.12
"7491/580.3704mz/4.56min",107262.912,21447.455,9946.387,24393.744,312675.56,278002.1,190132.08
"7494/230.175mz/4.56min",524396.85,398927.72,325349.84,496578.1,589009.7,569522.9,552215.6
"7495/370.2696mz/4.56min",333837.9,730872.4,554776.44,755444.25,112899.36,96958.984,38086.797
"7504/298.1071mz/4.58min",318147.91,353500.34,340778.7,338875.88,297419.94,264150.6,192636.9
"7506/565.2977mz/4.58min",134991.937,218259.66,168406.64,428997.97,101577.234,86174.125,96456.8
"7507/311.2213mz/4.59min",1291603.85,1292440.5,950532.6,1290767.2,1873980.1,1874395.5,649524.5
"7508/356.254mz/4.59min",1065016.6,686772.5,557487.75,782537.4,1483599.2,1347495.8,1417494.4
"7513/181.1222mz/4.59min",2234058.8,2252296.8,505318.47,3487315.2,2215820.8,1025112.94,4659396.5
"7516/584.8233mz/4.6min",520739.736,1092600.9,867899.56,1053358.8,173579.912,173579.912,173579.912
"7518/346.1798mz/4.6min",643911.87,861381.8,745595.44,579749.8,708073.94,402161.56,497512.88
"7520/351.214mz/4.62min",782015.55,740968.7,760044.4,803986.7,535783,1596131.5,2342523.8
"7521/305.1491mz/4.61min",153121.888,35493.656,10854.225,49411.496,264673.97,256832.28,382815.22
"7522/302.1899mz/4.61min",314749.32,508351.94,431836.94,293846.34,335652.3,148032.55,184956.56
"7523/438.2594mz/4.61min",256893.595,171831.23,79906.53,178509.66,482873.25,462836.34,335277.53
"7524/213.9684mz/4.61min",990315.6,1119211,1357035,1095322.1,869440.2,827201.56,885309.1
"7526/229.981mz/4.61min",2159905.55,2353479,2890853.8,2405818.5,1834356.9,1735274.5,1966332.1
"7527/231.9789mz/4.61min",2114291.7,2322731.8,2849465.2,2388371.2,1808542,1710767.1,1905851.6
"7528/211.9705mz/4.61min",1053991.4,1179296.2,1430331.1,1165820.6,921599.56,855510.94,942162.2
"7530/171.0916mz/4.62min",595595.025,546338.8,434997.88,490218.66,675077.6,691886.3,644851.25
"7531/201.1386mz/4.62min",289114.805,115118.12,22168.979,346969.84,1138090.4,942846.9,231259.77
"7534/200.1644mz/4.63min",196842.642,80750.586,51984.227,87140.984,661944.1,468426.3,306544.3
"7535/299.2325mz/4.63min",582162.985,262898.34,191554.25,320953.72,1822225.4,1369550.6,843372.25
"7537/541.3382mz/4.63min",178942.6,199263.97,146940.92,147672.61,552299.44,336382.88,158621.23
"7538/264.1592mz/4.63min",1216627.95,1049210.5,813659.6,1145696.4,1383347.4,1377858.1,1287559.5
"7539/396.2854mz/4.63min",3421764.1,6073375.5,4507068,5616621,2336460.2,869460,195260.8
"7542/706.4493mz/4.64min",366315.5,606767.8,418050.34,580582,307630.25,314580.66,162861.7
"7545/353.7282mz/4.64min",970971.52,1492703.2,1256273.6,1526571.9,676729.06,685669.44,419328.28
"7547/559.3489mz/4.64min",441443.325,884450.1,632130.25,880722.75,135800.25,250756.4,10448.873
"7555/382.2697mz/4.65min",249575.7025,555882,434726.8,540486.25,64424.605,44644.34,8928.868
"7556/648.3387mz/4.66min",376418.97,538790.75,307785.6,376584.78,521987.28,376253.16,170004.33
"7559/380.1641mz/4.66min",1374737.1,3246234.8,2588602.5,1639418.6,1007326.9,694838.3,1110055.6
"7562/229.1334mz/4.66min",870333.4,1754451.2,1211941,1366480.6,528725.8,513505.1,159421.53
"7563/336.1743mz/4.66min",1156182.87,3099663.5,2522301.5,1495814.8,790344.5,501118.47,816550.94
"7566/253.1181mz/4.67min",1523786.7,732501.8,475227.03,1434044,1613529.4,2794769,1718709.1
"7567/192.1382mz/4.67min",209905.69,249615.6,51697.664,211176.61,260484.61,150208,208634.77
"7573/413.7386mz/4.65min",722034.816,1760828.1,1426297.4,1854234.4,17772.232,6616.335,1323.267
"7574/826.4705mz/4.68min",359122.86,868770.3,598538.1,862041.1,119707.62,119707.62,119707.62
"7576/364.2102mz/4.68min",267608.775,211478.48,209390.08,277375.66,285487.8,257841.89,391552.56
"7578/406.7308mz/4.68min",145962.996,283508.84,243271.66,297115.78,48654.332,48654.332,48654.332
"7580/507.3538mz/4.69min",256893.905,163010.97,120636.38,130304.695,1153524.4,622866.7,350776.84
"7587/181.1223mz/4.7min",1470707,1386210.8,836219.44,1474720.1,1996202.2,1466693.9,1952813.4
"7588/199.1329mz/4.7min",337337.815,337850.66,216801.83,333019.84,336824.97,378484.88,359707.47
"7590/302.1496mz/4.7min",328274.64,253612.34,150822.75,386404.28,527176.56,804829.06,270145
"7591/272.1392mz/4.7min",366714.765,253229.08,147664.39,422813.5,663333.5,971030.2,310616.03
"7597/313.2481mz/4.72min",231147.52,220575.34,142584.78,241719.7,719890.2,523356.4,216123.16
"7603/333.2039mz/4.72min",528161.66,391692.3,392661.22,361090.38,663662.1,694268.5,915569.5
"7605/384.2854mz/4.72min",255624.4,401498.47,565770.8,394251.44,116997.36,110158.65,89175.61
"7609/275.2003mz/4.73min",3263651.6,2410410,1819845.4,2271401.2,4262637.5,4116893.2,4281875
"7610/541.3382mz/4.73min",2578926.85,2762835.2,2165576,2395018.5,5549525,3530821.5,1751764
"7611/542.3415mz/4.73min",804297.85,895728.9,704272.7,712866.8,1774040.8,1121872.4,485895.22
"7612/211.0866mz/4.73min",650589.525,532397.44,344005.97,591185.75,731278.6,709993.3,795824.44
"7613/309.2057mz/4.73min",722269.67,619958.94,392708.72,333022.2,856709.8,824580.4,1257723.4
"7614/331.188mz/4.73min",117378.625,54625.133,71230.02,74963.86,159793.39,185738.2,424440.1
"7616/291.1952mz/4.7min",360518.76,312767.9,161868.78,204759.34,408390.78,408269.62,981424.2
"7619/293.2108mz/4.74min",1090033.5,857095,557694.75,810541.8,3186275,3335367.2,1322972
"7625/149.1325mz/4.75min",304065.96,222647.44,161291.36,225036.62,383095.3,383459.4,384370.66
"7628/195.138mz/4.75min",685389.53,529922.1,390855.97,545820.56,824958.5,847954.7,825815.6
"7634/232.0823mz/4.75min",228416.465,179009.22,84391.23,231061.12,446806.22,360863.97,225771.81
"7636/370.7203mz/4.76min",299294.695,566698.5,459427.56,567434.56,126727.41,139161.83,44584.684
"7640/552.3752mz/4.77min",857148.45,892405.8,678632.3,821891.1,2293549,1529995.4,710183.94
"7642/186.1488mz/4.77min",1188676.2,713365.75,510275.72,808394.5,3705505.8,2861884,1568957.9
"7643/299.2326mz/4.77min",2319191.55,1328774.5,977037.25,1573511.6,7340491.5,5609047,3064871.5
"7644/200.1644mz/4.76min",132925.115,71794.34,39672.984,78662.98,556289.56,789182.7,187187.25
"7645/241.1255mz/4.78min",1196598.75,1057827.5,555146.25,629137.25,1640986.9,1335370,2405581.2
"7646/263.1075mz/4.78min",249911.8,219120,218001.28,197845.48,342488.78,280703.6,869267.9
"7651/229.1334mz/4.79min",716827.25,1197498,883142.44,1064689.2,550512.06,531596.8,170970.73
"7652/540.31mz/4.79min",118260.9825,231834.36,216298.17,288438.5,10981.334,20223.795,2196.2668
"7658/345.209mz/4.81min",390179.54,403587.7,201616.97,376771.38,608355.4,555493.25,294700.88
"7662/158.1539mz/4.81min",329031.265,321356.47,289756.62,343252.4,336706.06,297535.94,387770.75
"7664/313.2481mz/4.8min",212230.93,177311.11,118700.016,204015.52,427935.56,772252.1,220446.34
"7665/381.1553mz/4.82min",646469.32,483135.62,288343.75,520832.34,772106.3,963283.25,831294.5
"7666/280.2632mz/4.85min",300330.015,215297.73,31027.268,20012.865,456173.84,412475.47,385362.3
"7667/426.2594mz/4.83min",135132.535,313076.62,192879.52,358277.97,48331.34,77385.55,37846.68
"7671/479.2754mz/4.83min",758507.52,1672811.5,1264179.2,1724677,252835.84,252835.84,252835.84
"7673/195.1379mz/4.83min",365888.06,301647.28,220248.48,298025,430128.84,491747.84,450921.78
"7677/612.375mz/4.83min",244683.21,183200.67,136457.42,116807.195,473868.97,414899.75,306165.75
"7682/523.3122mz/4.84min",408236.09,530838.5,290225.8,594729,434658.4,381813.78,231208.92
"7683/353.2295mz/4.84min",2259436.35,2114497.5,1377184.9,2550500,2211766.2,2307106.5,2778887.5
"7684/545.2941mz/4.84min",239844.17,278709.56,219419.22,365946.8,231085.03,248603.31,200013.47
"7691/360.7358mz/4.85min",913044.18,1239400,989793.06,1336452.8,836295.3,694337.44,288221.62
"7693/720.4647mz/4.85min",313755.315,432278.94,295271.88,463268.78,332238.75,247640.94,101803.3
"7694/109.1011mz/4.85min",598422.64,408156.72,363140.2,422754.22,774091.06,789952.44,808919.9
"7696/347.2328mz/4.82min",290720.445,215617.72,162120.27,216882.05,561304.75,410669.5,364558.84
