"","FC","log2(FC)","raw.pval","-log10(p)"
"7718/200.1644mz/4.88min",5.0064,2.3238,0.0076568,2.116
"7439/309.2056mz/4.5min",2.4979,1.3207,0.0077426,2.1111
"8534/429.3182mz/6.73min",2.1489,1.1036,0.0077483,2.1108
"7961/279.2314mz/5.3min",3.3539,1.7458,0.0078107,2.1073
"8500/297.242mz/6.6min",2.4219,1.2761,0.0078802,2.1035
"7628/195.138mz/4.75min",2.3131,1.2098,0.0081149,2.0907
"7138/331.1862mz/4.07min",3.3796,1.7568,0.0082186,2.0852
"7643/299.2326mz/4.77min",5.6486,2.4979,0.0082669,2.0827
"8116/342.2998mz/5.65min",0.099771,-3.3252,0.0083637,2.0776
"7642/186.1488mz/4.77min",5.4769,2.4534,0.00852,2.0696
"7099/623.3399mz/4.02min",3.284,1.7154,0.0089456,2.0484
"7461/167.143mz/4.51min",3.6112,1.8525,0.0093393,2.0297
"7799/293.2107mz/5.03min",2.6145,1.3866,0.0093849,2.0276
"7673/195.1379mz/4.83min",2.2764,1.1867,0.0095345,2.0207
"7340/370.7204mz/4.35min",0.20031,-2.3197,0.0095451,2.0202
"7613/309.2057mz/4.73min",2.9419,1.5568,0.0096462,2.0156
"7495/370.2696mz/4.56min",0.16754,-2.5774,0.0096742,2.0144
"8459/349.2345mz/6.49min",0.39175,-1.352,0.0098045,2.0086
"8772/395.3667mz/7.52min",0.17286,-2.5323,0.0099699,2.0013
"7460/527.3226mz/4.51min",2.1486,1.1034,0.010217,1.9907
"7463/213.1485mz/4.52min",3.5465,1.8264,0.010534,1.9774
"8044/320.1909mz/5.49min",2.0701,1.0497,0.010685,1.9712
"7803/313.2481mz/5.0min",5.4307,2.4411,0.010737,1.9691
"8425/91.0542mz/6.47min",2.1264,1.0884,0.011012,1.9581
"9178/429.2395mz/8.3min",2.3591,1.2382,0.011404,1.9429
"9034/413.3772mz/8.12min",2.7422,1.4553,0.011842,1.9266
"8241/255.2316mz/5.96min",2.4311,1.2816,0.011954,1.9225
"8248/237.2211mz/5.97min",2.3973,1.2614,0.012028,1.9198
"7318/291.1952mz/4.31min",3.5585,1.8313,0.012135,1.916
"9092/786.598mz/8.14min",4.6605,2.2205,0.012559,1.901
"9832/197.1284mz/11.0min",5.2435,2.3905,0.012824,1.892
"7645/241.1255mz/4.78min",3.1976,1.677,0.013111,1.8823
"8107/291.1951mz/5.61min",3.725,1.8973,0.013226,1.8786
"7103/473.2758mz/4.03min",0.40016,-1.3214,0.013995,1.854
"8231/232.133mz/5.91min",6.0238,2.5907,0.014495,1.8388
"7259/453.3069mz/4.24min",0.28341,-1.8191,0.01464,1.8345
"7419/299.2325mz/4.48min",3.9106,1.9674,0.014951,1.8253
"7416/186.1488mz/4.48min",4.3471,2.1201,0.015,1.8239
"8303/557.4558mz/6.17min",2.1136,1.0797,0.015154,1.8195
"8104/287.2366mz/5.6min",2.9898,1.58,0.015274,1.816
"8216/339.2502mz/5.88min",2.1015,1.0715,0.015524,1.809
"9205/415.3564mz/8.34min",3.2064,1.6809,0.015548,1.8083
"9032/395.3667mz/8.12min",2.7428,1.4556,0.015559,1.808
"7800/275.2002mz/5.01min",2.5765,1.3654,0.016219,1.79
"7801/295.2264mz/4.99min",2.336,1.224,0.016676,1.7779
"8069/367.2451mz/5.59min",0.17749,-2.4942,0.016851,1.7734
"8845/370.3308mz/7.66min",4.2823,2.0984,0.016904,1.772
"7619/293.2108mz/4.74min",4.8455,2.2766,0.017613,1.7542
"7665/381.1553mz/4.82min",2.6822,1.4234,0.017732,1.7512
"7400/327.1911mz/4.47min",0.34927,-1.5176,0.017898,1.7472
"8222/277.2159mz/5.9min",2.0309,1.0221,0.018636,1.7297
"7808/277.2159mz/5.0min",2.5211,1.334,0.018665,1.729
"7298/526.2945mz/4.29min",0.036482,-4.7767,0.018731,1.7274
"7167/410.2283mz/4.11min",2.1982,1.1363,0.018856,1.7245
"8469/414.1694mz/6.5min",2.8474,1.5097,0.019035,1.7205
"7401/275.1388mz/4.47min",4.0082,2.003,0.019366,1.713
"8509/380.1852mz/6.63min",4.8133,2.267,0.019579,1.7082
