row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_PF_MC_RCG_2_neg_20210511_Run97.mzML Peak area,GF_PF_MC_RCG_1_neg_20210511_Run79.mzML Peak area,GF_PF_MC_RCG_3_neg_20210511_Run198.mzML Peak area,
139,118.04105951003292,0.43463013,,,,198,,,,,,,451505.4,1107128.6,1346475.8,1917968.9,1762312.5,2396979.2,
858,118.0411338856535,1.7963264,,,,,,,,,,,0,0,3426.4502,10225.615,26724.006,103260.69,
584,118.04114003159312,1.0124336,,,,,,,,,,,17823.629,5197.9307,144391.06,85640.38,20747.3,35511.258,
833,118.04114663366343,1.5626478,,,,,,,,,,,0,0,14171.738,16982.61,16289.992,98797.0,
704,118.04116062956611,1.2053286,,,,,,,,,,,8500.696,3669.8384,106985.12,40506.51,22845.959,21505.629,
252,118.05095734356581,0.575151,,,,,,,,,,,3531818.0,4352522.0,6893271.5,9410290.0,1174059.6,1.0523964E7,
440,118.05098035662274,0.7455891,,,,,,,,,,,432046.5,418436.12,5816661.0,553970.94,7842893.5,2796388.5,
3407,118.92677158525657,8.14042,,,,11,,,,,,,1569713.8,295908.5,1469705.2,1106964.1,1747179.4,1387004.0,
3239,118.92677774869408,7.6890216,,,,2,,,,,,,1458561.2,1216487.1,1695729.1,1279279.1,1709378.4,1565579.8,
44,119.03492489391392,0.38497314,,,,111,,,,,,,913050.4,1204223.2,1356301.5,1027540.06,1024920.1,853011.8,
230,119.03493725745659,0.54374635,,,,109,,,,,,,2369582.2,1438970.6,1656950.2,1307687.1,1453303.2,2636573.5,
1571,119.05019169858197,2.7908726,,,,,,,,,,,280458.75,607600.94,404052.12,6422117.0,1739212.6,2031234.2,
1712,119.05020740467148,2.8938284,,,,70,,,,,,,1335263.1,1500121.5,1292500.0,3382633.5,7595616.0,1.392742E7,
1401,119.05023676402243,2.5560064,,,,83,,,,,,,0,0,1355383.2,5910024.5,4660592.0,6873516.0,
127,121.02948212488762,0.46905208,,,,,,,,,,,65523.918,167790.67,56471.766,471223.8,265382.6,1106735.4,
2018,121.02951654328575,3.2719152,,,,,,,,,,,942032.3,1699013.9,1155969.2,1311103.5,1988929.5,1423332.0,
1419,121.02951239448369,2.580736,,,,7,,,,,,,8916514.0,1.1143872E7,1.2290588E7,9645611.0,9976623.0,9778511.0,
137,124.04037426800356,0.44414255,,,,111,,,,,,,903589.25,1729479.5,1584695.9,3013471.0,2454534.8,3996541.5,
