Filename,Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML,Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML,Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML,POS_D5-227-C3-a_Run274.mzML,POS_D5-227-C3-b_Run277.mzML,POS_D5-227-C3-c_Run280.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
622/716.522mz/10.27min,2931099.2,2491337.8,1060819.6,2697240.2,1987818.2,2392484.8
624/328.9149mz/10.32min,455889.94,474251.53,533717.8,930778.75,909280.4,870347.75
625/385.724mz/10.31min,1612527.0,1423636.9,1569184.5,2162553.5,1755606.2,2009110.4
626/223.9883mz/10.31min,4378309.0,4126823.8,4118898.0,4725995.0,4605431.0,4693165.0
627/213.9828mz/10.32min,2954334.5,3004029.2,2121385.2,1317029.6,1267159.1,1190997.6
628/205.0172mz/10.32min,6009908.0,6269994.5,6322871.5,7740656.5,7530854.0,7330563.0
631/174.9534mz/10.32min,1219012.0,1189366.0,1864198.0,623752.9,706260.3,568042.1
632/141.9586mz/10.32min,1692146.6,1927378.2,1755625.9,2362461.5,2186954.0,1950959.4
633/182.9852mz/10.32min,18995584.0,19318986.0,19853678.0,26823254.0,23707546.0,26023570.0
634/169.9773mz/10.32min,2090951.4,2523196.0,2717459.5,3042200.8,3094677.0,3257112.8
635/163.9905mz/10.32min,3112184.2,3114640.2,2318191.0,3922760.5,3875387.5,3695564.5
637/172.9564mz/10.32min,7769538.0,7586959.5,7882801.0,3162479.5,3051563.2,3003839.5
638/138.9954mz/10.32min,4209994.0,4422416.5,4454389.5,5495477.0,5271533.5,5039794.0
639/89.5067mz/10.32min,11433834.0,11440640.0,12806039.0,17409558.0,13937761.0,7513609.5
640/98.5121mz/10.32min,22551964.0,23580524.0,22928398.0,24420870.0,25709406.0,13175156.0
641/110.5218mz/10.32min,6615303.0,6168187.0,7821718.5,7563099.0,7956809.5,4263045.5
642/110.0201mz/10.33min,89302420.0,90465080.0,91335480.0,127935384.0,103989256.0,103931420.0
643/97.5144mz/10.33min,1388868.0,1307722.9,1278102.9,1506767.8,1337348.8,819461.56
644/109.0225mz/10.33min,5669208.0,7381046.5,5644671.0,8003523.0,6589877.5,6530434.0
645/113.9636mz/10.33min,8225338.5,7057517.0,7176085.0,9388330.0,8700950.0,7986517.5
646/154.9902mz/10.33min,27373912.0,30634700.0,29119792.0,42373770.0,30310428.0,28200082.0
647/196.0168mz/10.33min,1588109.5,1538541.5,1608647.9,1794750.8,1760451.1,1721610.5
649/152.995mz/10.34min,1670331.0,1759399.0,1536843.1,1948031.1,1823217.4,1734858.5
652/184.9855mz/10.36min,8216978.5,8208764.0,8527034.0,9326820.0,9321038.0,9403316.0
655/207.0175mz/10.36min,5736909.5,5852630.0,5721414.5,5981586.5,5933399.5,5849444.5
656/209.0129mz/10.36min,2168588.8,2227056.2,2182367.2,2258391.5,2249989.2,2227259.2
658/186.981mz/10.36min,3141608.2,3197577.0,3281207.2,3621473.0,3611561.0,3650632.2
659/139.9879mz/10.36min,26880322.0,27495566.0,27274766.0,28079198.0,27945794.0,28081468.0
660/141.9834mz/10.36min,10362380.0,10441034.0,10472705.0,10732390.0,10696326.0,10776149.0
661/183.0099mz/10.36min,1869142.9,1992402.0,1988661.4,2073699.1,2053054.2,2111433.2
662/114.0165mz/10.36min,1043150.6,1105818.0,1113333.8,1103203.2,1078039.9,1087426.1
663/181.0144mz/10.36min,4991951.5,5250397.0,5315389.0,5482526.5,5436511.0,5561825.0
664/90.5067mz/10.36min,4638022.0,4709399.5,4725757.5,4710613.5,4686433.5,4653700.5
666/143.9809mz/10.37min,1370528.0,1370583.1,1361345.8,1375686.1,1334982.4,1308968.9
667/112.5196mz/10.37min,2166385.2,2206800.8,2212751.0,2225654.8,2234281.8,2224283.2
669/131.5335mz/10.37min,6743107.5,6902001.0,7144073.5,7119390.5,7047955.5,7023678.5
671/111.0202mz/10.37min,79155110.0,79394250.0,80734264.0,79066776.0,78707800.0,78366856.0
672/113.0166mz/10.37min,4360230.5,4348225.0,4455318.5,4359603.0,4284491.5,4326127.0
673/91.5044mz/10.37min,1763337.5,1792999.4,1804893.0,1790390.9,1805199.0,1780187.0
674/112.0179mz/10.37min,30950596.0,31093494.0,31442178.0,31092552.0,30735896.0,30602450.0
675/111.519mz/10.37min,1924844.1,2008572.1,2014142.6,1921995.0,1931870.0,1909142.4
676/111.5218mz/10.37min,6691522.5,6787262.5,6880642.5,6755973.5,6823003.5,6699939.0
679/156.9907mz/10.37min,7797681.0,7892164.0,7868386.5,7512712.5,7293972.0,7575711.5
680/215.9838mz/10.37min,1490980.4,1538013.6,1537714.2,916615.94,689692.56,954676.2
