"","filter","2024_POS_Y-EV_1_CTRL_Run88.mzML","2024_POS_Y-EV_2_CTRL_Run117.mzML","2024_POS_Y-EV_3_CTRL_Run138.mzML","2024_POS_Y-6MSAS_1_Run91.mzML","2024_POS_Y-6MSAS_2_Run108.mzML","2024_POS_Y-6MSAS_3_Run135.mzML"
"456/409.1352mz/2.6min",1339059.85,1464817.5,1627320.6,1796296,1211084.5,1213302.2,1123975.5
"457/231.1127mz/2.63min",634347.37,622686.8,660240.06,1479742.8,579018.25,646007.94,562830.6
"458/213.1597mz/2.67min",36670.685,40149.082,41514.22,38544.53,21988.457,34796.84,22793.605
"459/259.2202mz/2.67min",512194.27,474022.53,512803.66,515959.78,512697.44,511691.1,480673.2
"460/245.1859mz/2.67min",60985.4065,48247.883,63738.02,136495.12,58232.793,79488.08,41036.066
"461/243.1338mz/2.7min",15861.142,16864.453,11180.057,60531.594,14857.831,19137.992,11891.662
"462/407.2386mz/2.7min",178916.445,165442.34,194947.48,438883.28,159553.66,192390.55,160553.94
"463/130.159mz/2.71min",589328.98,663148.06,553576.4,803681.94,625081.56,511306.3,528259.5
"465/190.0895mz/2.75min",73903.5135,116929.53,102603.164,400870,40512.19,33808.45,45203.863
"466/138.0549mz/2.72min",318363.92,330858.22,305869.62,448197.47,361945.03,254422.56,281544.62
"467/300.1077mz/2.72min",4972749.75,5295564,5358598.5,5115319,4830180.5,3508123.2,3064660.5
"468/301.1111mz/2.72min",703042.88,757457.8,755686.3,733219.7,672866.06,491021.47,429280.25
"469/229.1546mz/2.73min",29066.9435,34142.855,29006.225,92024.66,10295.592,29127.662,6916.1025
"470/217.1546mz/2.74min",395537.66,398831.94,408066.62,1036852.75,357589.22,392243.38,374594.16
"471/202.1801mz/2.74min",336648.97,326429.44,346868.5,462028.6,375715.56,256201.17,263955.2
"472/316.2117mz/2.75min",958789.905,811538.75,943442.75,1022684.4,817887.4,1104557.2,974137.06
"473/259.1189mz/2.77min",1027723.35,1019742.2,1049702.5,1124099.6,1035704.5,667503.94,750705.2
"474/272.1128mz/2.77min",194349.305,188821.77,215710.1,320579.97,178047.36,199876.84,159016
"475/306.1182mz/2.77min",3636062.85,3497970.2,3774155.5,8868566,2984985,4040977.8,3471614
"476/231.1127mz/2.77min",299482.95,302784.8,296181.1,814743.6,275728.3,315008.97,249821.84
"477/260.1129mz/2.77min",256553.21,244305.44,258623.98,708528.4,198607.6,299691.62,254482.44
"478/288.1077mz/2.77min",196459.005,176658.17,204061.61,576398.56,151723.1,204658.14,188856.4
"479/188.0705mz/2.79min",123745.467,118014.445,162002.66,229332.73,127795.984,119694.95,83372.85
"482/259.2202mz/2.8min",248423.49,251980.88,255471.78,216753.3,252003.34,244866.1,229199.5
"483/169.076mz/2.81min",6574815.25,6773040,6563274,10466924,6586356.5,6411155,6282243.5
"485/170.0793mz/2.81min",737426.68,739799.56,748247.44,1114778.1,735053.8,727661.94,716779.94
"486/153.1021mz/2.81min",117012.415,63737.65,144110.36,537177,96237.67,93234.8,137787.16
"488/245.1859mz/2.81min",12666.741,9948.447,8419.043,84294.234,7919.9224,17690.105,15385.035
"492/201.0702mz/2.82min",186040.07,194773.3,211800.02,245143.42,177306.84,158338.22,145343.61
"495/139.0583mz/2.82min",8225316,8287646,8772204,11028493,8162986,7681023.5,7723344.5
"497/328.1001mz/2.79min",320131.74,420599.16,312519.7,1212994.4,224448.86,327743.78,236995.75
"498/121.0477mz/2.82min",7925399,8066635,8297497.5,10920018,7784163,7466982.5,7676658.5
"499/138.055mz/2.82min",109918037,110393250,112155530,141496660,109442824,100001980,102772530
"500/92.0494mz/2.82min",945811.22,983452.44,1039924.25,1323065.5,904998.94,887633,908170
"502/120.0444mz/2.83min",105916622,106981460,109321090,144984910,104851784,100724080,102383150
"504/271.0713mz/2.83min",1228459.7,1407126.4,1142773.2,1352678.2,1296715,1160204.4,934663.5
"507/272.0794mz/2.83min",1467497.05,1753540,1466462.6,1423427.9,1681804.6,1468531.5,1290685.8
"508/272.1855mz/2.83min",1439155.2,1369607,1608813.8,1651850.5,1304397.1,1508703.4,1361442.4
"509/261.1444mz/2.83min",375237.6,396323.4,432136.62,284405.56,401162.8,354151.8,319136.5
"510/243.1338mz/2.85min",155524.53,153721.25,157327.81,298563.12,121366.18,175774.05,127252.12
"512/300.1077mz/2.87min",478311.685,466088.62,513968.16,591127.2,490534.75,358273.53,392760.9
"513/306.128mz/2.87min",852959.775,855283.25,930733.06,1364842.6,753071,795405,850636.3
"515/391.171mz/2.95min",497484.64,385924.56,518623,1347749.6,334968.44,576636.5,476346.28
"516/321.1478mz/2.93min",286008.11,252992.6,296373.94,581484.4,275642.28,334407.12,249260.42
"517/338.1445mz/2.94min",228415.25,331701.88,221756.05,288754.94,235074.45,214029.88,153168.31
"518/243.1338mz/2.93min",48650.711,35250.145,41450.652,81911.53,64760.13,55850.77,32116.664
"521/195.1128mz/2.95min",178462.045,172300.67,184623.42,680474.5,200474.05,146386.56,171521.5
"522/183.0916mz/2.97min",708475.35,712750,704200.7,1220870,717038.8,701227.8,667904
"523/340.1025mz/2.98min",1276978.05,1210571.6,1343384.5,3182155.8,1028261.1,1409446.8,1166342.9
"525/294.0607mz/3.0min",239085.9,220183.47,257988.33,599380,194410.11,261706.83,219000.31
"526/312.0713mz/3.0min",1701958.45,1594726,1809190.9,4077007.8,1403715.8,1860368.9,1556636.1
"527/334.0532mz/3.0min",259567.405,230010.66,273580.53,551105.56,207531.94,285484.97,245554.28
"528/153.1022mz/3.06min",31076.6715,24741.316,36283.87,267425.75,11315.031,36834.645,25869.473
"530/231.1703mz/3.07min",1746409.25,1685726.4,1807092.1,4376882.5,1490296.2,1900224.4,1638609.4
"531/232.1736mz/3.07min",191667.63,191033.78,192301.48,495349.72,165340.17,207638.69,178290.4
"532/213.0733mz/3.13min",287731.49,259743.42,279857.2,451699.3,295605.78,380159.1,162931.69
"533/267.1126mz/3.15min",34848.4935,32303.2,35546.62,94252.2,33493.96,42185.1,34150.367
"535/208.0968mz/3.23min",87235.18,90045.88,83254.234,178678.9,84424.48,100853.11,77161.18
"536/260.1127mz/3.25min",3562.24602,5937.0767,1187.41534,45518.42,1187.41534,11415.326,1187.41534
"537/288.1075mz/3.25min",36252.779,33458.15,37812.816,184018.23,23982.988,48357.06,34692.742
"538/427.1685mz/3.27min",224103.665,215081.16,233126.17,627178.1,182429.19,257924.62,210442.66
"539/405.1865mz/3.28min",2375999.7,2314971.2,2437028.2,5116544.5,2053401,2585623.5,2173339
"540/320.1703mz/3.29min",48631.8075,40994.156,53611.17,55482.746,54401.777,43652.445,37994.445
"541/240.0866mz/3.34min",595075.65,616992.4,673278.6,1410242,539079.9,573158.9,534778.3
"542/245.1859mz/3.35min",399166.5,402274.28,443927.38,1059616.8,359751.97,396058.72,357432.78
"543/182.1903mz/3.37min",476651.825,469717.53,419933.2,636096.75,521163.28,483586.12,464757.75
"544/195.1128mz/3.37min",104790.93,94200.91,128430.42,568688.1,71716.75,109685.9,99895.96
"545/217.107mz/3.43min",359853.27,377281.94,414014.1,378309.78,321751.3,342424.6,297919.44
"546/196.0968mz/3.47min",827202.7,918565.94,903271,1321664,751134.4,465903.5,530745.3
"547/228.2321mz/3.48min",501061.78,524046.22,508544.84,668825.25,493578.72,467025.75,493233.1
"548/246.1699mz/3.48min",251417.88,261324.25,260021.06,238432.08,234253.78,261070.12,242814.7
"549/208.0968mz/3.52min",66236.4435,69050.11,80631.77,120335.8,63422.777,52550.594,44332.914
