row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_Y-p10_3_Run144.mzML Peak area,2024_POS_Y-EV_1_CTRL_Run88.mzML Peak area,2024_POS_Y-EV_2_CTRL_Run117.mzML Peak area,2024_POS_Y-p10_1_Run103.mzML Peak area,2024_POS_Y-EV_3_CTRL_Run138.mzML Peak area,2024_POS_Y-p10_2_Run129.mzML Peak area,Unnamed: 19
27,123.01380468636631,0.30977696,,,,12.0,,,,,,,424547.75,479867.3,516081.0,402954.25,330723.8,333341.94,
186,124.10001867198449,0.42843115,,,,5.0,,,,,,,2107296.0,577050.3,1899566.0,253602.53,212392.97,118168.98,
221,124.10002266306624,0.49171826,,,,26.0,,,,,,,1020885.4,1389871.5,1001421.3,1876815.4,1330321.0,1407874.2,
81,126.05250723319405,0.36225852,,,,55.0,,,,,,,642585.8,832221.25,776241.25,1177332.2,610392.0,1186203.8,
352,127.03892824252024,0.7948739,,,,,,,,,,,415822.0,1676050.9,1436435.9,211373.81,1906413.1,202735.3,
24,128.0192405164481,0.30896345,,,,12.0,,,,,,,2323864.0,2667887.2,2437472.0,2378238.8,2193273.0,2094572.6,
177,128.07054194521876,0.38829258,,,,,,,,,,,32611.8,11586.306999999999,10225.082,226513.9,7978.8633,2908960.5,
256,129.01819574401887,0.540053,,,,26.0,,,,,,,6493011.5,5982573.5,5686520.5,7431872.5,7138178.5,6481095.5,
391,129.05459444462903,0.98978066,,,,,,,,,,,486860.7,615921.06,678306.0,689451.2,2079300.0,1881348.0,
180,130.0498447328699,0.3972416,,,,,,,,,,,3803153.5,2287480.5,2444604.8,1986379.8,2876227.8,4165508.0,
290,130.04985509299658,0.60561115,,,,,,,,,,,11763069.0,8046560.0,8367043.0,10923195.0,11896864.0,20792694.0,
144,130.086233655852,0.38666573,,,,5.0,,,,,,,958846.2,3055945.0,3116207.2,4007353.2,2801525.0,8626928.0,
35,130.0862353555452,0.35146716,,,,22.0,1.0,[M+H]+,,1.0,97,129.07897,257986.38,283522.06,1128135.6,636768.0,243579.89,1003719.6,
512,130.1590012144379,2.7047646,,,,76.0,,,,,,,462290.72,663148.06,553576.4,534717.0,803681.94,438659.06,
1077,131.5334592265643,8.084468,,,,,,,,,,,16338.07,156622.83,57802.555,41150.062000000005,65491.215,19836.805,
1090,131.53346449915222,8.138028,,,,,,,,,,,16338.07,47073.65,49186.17,88591.375,37909.027,143911.02,
1200,131.5334786000455,8.650652000000001,,,,,,,,,,,16950.27,405537.44,14508.487,5732.7783,0.0,10206.976999999999,
1490,131.53348000659506,10.435661999999999,,,,9.0,,,,,,,1095040.8,979353.8,834569.1,950023.4,1008744.6,1279893.5,
340,132.1018965820447,0.75319463,,,,8.0,22.0,[M+Na]+,,2.0,343;340,109.11307,135826540.0,119556216.0,128471530.0,130253256.0,150929250.0,165928160.0,
19,132.99817272031424,0.30814996,,,,12.0,,,,,,,1176293.1,1235512.4,1206333.5,1077992.4,941922.75,1009673.75,
37,133.09713837668184,0.34106043,,,,22.0,,,,,,,230194.89,400826.47,468440.8,702023.44,132524.06,378732.94,
338,133.10522998179263,0.7513128000000001,,,,8.0,,,,,,,8277913.0,7534994.0,8171764.5,8287411.5,9457292.0,10804626.0,
66,134.0188050891737,0.35086954,,,,,,,,,,,208810.7,98341.62,99149.445,170285.66,147156.55,335551.9,
228,134.04475341453343,0.53182083,,,,,,,,,,,301211.8,2406632.0,426053.38,4329745.0,3084767.0,234993.39,
190,134.04475711559962,0.40956220000000004,,,,5.0,,,,,,,3997014.0,5838095.5,6570833.5,1240357.0,688998.6,121375.76,
361,134.06099875755112,0.8225891,,,,,,,,,,,2914417.5,2788516.0,3017735.8,2551104.0,2090633.1,2214845.0,
15,136.95316298109222,0.30814996,,,,,,,,,,,144659.73,213907.6,120667.45,185586.55,92147.836,159015.62,
7,136.95318380679268,0.035331827,,,,0.0,,,,,,,1197931.5,1148977.6,1040261.6,1162438.9,1047353.2,1021069.1,
266,137.04577400084014,0.561551,,,,,,,,,,,162345.3,0.0,0.0,242877.92,0.0,1063970.6,
90,138.05251341271307,0.36958018,,,,5.0,,,,,,,2120685.0,1670317.4,1975618.9,2648461.2,3638009.0,3564915.8,
517,138.0549399635493,2.7246902000000004,,,,,,,,,,,279240.12,330858.22,305869.62,243927.61,448197.47,4337.916,
552,138.05497864085208,2.825776,,,,15.0,,,,,,,75873580.0,110393250.0,112155530.0,87660490.0,141496660.0,23041928.0,
383,139.0025630586281,0.9233163000000001,,,,,,,,,,,74130.88,505651.22,31356.202999999998,675211.0,183895.72,65946.89,
251,139.00256525299605,0.5376184,,,,26.0,,,,,,,1562511.1,1185512.4,1190062.2,950726.1,1050572.2,1223832.9,
394,139.0025691115852,1.0138866,,,,,,,,,,,104128.62,114851.414,108895.11,89397.445,119090.42,605673.9,
548,139.05827618404072,2.8249543,,,,15.0,,,,,,,5900893.0,8287646.0,8772204.0,6727359.5,11028493.0,1723542.9,
346,139.1190539219736,0.76250577,,,,8.0,,,,,,,16058836.0,15964569.0,16352605.0,16154386.0,14125780.0,14563980.0,
1213,139.98787559328778,8.695745,,,,,,,,,,,273378.8,1084345.1,246696.34,170122.28,16030.936000000002,192456.67,
1494,139.9878927216716,10.432633000000001,,,,,,,,,,,671672.56,796935.8,646118.75,370894.8,684689.5,713633.8,
1093,139.98790724535917,8.185888,,,,,,,,,,,25853.308999999997,158370.67,93052.234,5143.1113,6405.865,44472.918,
203,140.06818697504264,0.41468272,,,,5.0,,,,,,,1193151.9,1085478.1,1175870.1,1256805.5,1793605.0,1499466.9,
473,140.14336067485598,2.385082,,,,74.0,,,,,,,436371.66,566729.56,537074.44,416693.66,619012.6,428791.9,
373,141.03391316964678,0.8809236999999999,,,,19.0,,,,,,,3896490.0,3291563.0,3235098.8,3304645.2,2657339.2,2747880.8,
199,141.03391466542215,0.40946642,,,,92.0,,,,,,,574393.25,379388.66,145289.2,398320.7,252839.28,480402.94,
264,141.0339156521846,0.5555975000000001,,,,26.0,,,,,,,1338870.8,1474355.9,1782978.9,1672891.6,1073929.1,1335534.4,
200,141.046926649693,0.40873775,,,,5.0,,,,,,,6434475.5,1941864.9,5081589.5,5535787.5,4984005.5,5585063.0,
1495,141.95857757227498,10.436247999999999,,,,,,,,,,,657276.94,360254.2,184082.25,156184.1,644538.75,545548.56,
11,141.95858881653524,0.30488350000000003,,,,,,,,,,,535773.2,597979.8,504540.72,539767.06,567035.2,316951.53,
4,141.9586151697265,0.03363745,,,,0.0,,,,,,,3945349.0,3871553.0,3752142.0,3820827.5,3709670.5,3490505.5,
39,142.94805746304658,0.33458462,,,,67.0,3.0,[M+H]+,,1.0,42,141.94077,445261.78,404180.75,404963.47,528556.75,449482.75,548338.8,
1195,144.9821745801543,8.642608000000001,,,,80.0,,,,,,,33126052.0,38669720.0,34776324.0,33707304.0,28158360.0,34999536.0,
1400,144.98218152247387,10.172871,,,,,,,,,,,7845535.0,7772805.5,6014458.5,6879412.5,4794500.5,7501835.5,
25,146.0298427884656,0.30977696,,,,12.0,,,,,,,228927.34,299095.38,256810.48,247770.0,222331.88,202478.44,
36,146.1651828983353,0.32289687,,,,22.0,,,,,,,853096.5,2831082.2,2202606.8,1719995.6,1067373.0,788201.56,
1194,146.98033272408148,8.637784,,,,80.0,,,,,,,14894881.0,17441036.0,15399770.0,15200816.0,14637198.0,15520761.0,
250,147.02878859939537,0.53752613,,,,26.0,,,,,,,3580171.5,2924934.2,3090816.5,4034615.8,3965123.2,3475222.5,
112,147.07641740841828,0.37690273,,,,5.0,15.0,[M-H2O+NH4]+,,2.0,112;145,147.05316000000002,3965100.0,1590962.4,2273554.5,1574838.4,1064690.2,11385706.0,
97,147.1128034555037,0.31882203,,,,22.0,1.0,[M+NH4]+,,2.0,97;35,129.07897,4815403.5,2340001.2,9028826.0,14224148.0,1479158.5,23326848.0,
145,148.06043173982138,0.3866658,,,,5.0,15.0,[M+H]+,,2.0,112;145,147.05316000000002,24643556.0,27045768.0,9542445.0,8508078.0,31115682.0,9080870.0,
28,151.008751504301,0.30977696,,,,12.0,,,,,,,697426.5,806391.5,803922.0,702549.4,559991.44,606048.3,
13,151.03523800189532,0.30896342,,,,,,,,,,,190677.27,239938.7,222330.95,245520.39,235378.0,214968.11,
294,152.03180016014548,0.59984404,,,,,,,,,,,186733.33,101818.01,103769.695,84553.125,187391.33,745589.75,
205,152.03180925915032,0.41386023,,,,,,,,,,,333906.9,88030.63,160658.83,156317.52,147964.94,838722.7,
537,153.10210832064766,2.8120644,,,,,,,,,,,143129.27,63737.65,144110.36,41579.742,537177.0,0.0,
577,153.1022085887816,3.0589633,,,,,,,,,,,30668.77,24741.316000000003,36283.87,24458.533,267425.75,0.0,
500,153.10222401815676,2.57273,,,,,,,,,,,52662.22,28158.625,30918.777000000002,19509.098,184029.16,0.0,
1472,154.99023005678208,10.409934,,,,9.0,,,,,,,2035150.9,717479.6,316575.38,241960.62,1984547.8,1951410.4,
87,156.07672638360418,0.36713973,,,,5.0,,,,,,,7967797.0,5040643.0,7047777.0,6268817.0,4132882.0,9454264.0,
259,157.01321271914043,0.54432184,,,,26.0,20.0,[M-2H2O+H]+,,3.0,254;259;239,192.02698,1898890.1,1631203.9,1704543.1,1924314.1,2010050.9,1619958.8,
115,157.06072719953326,0.38259795,,,,5.0,,,,,,,491205.12,1198995.5,1405813.8,660541.75,928990.9,86806.87,
131,158.08112935285052,0.38341174,,,,5.0,14.0,[M+H]+,,2.0,114;131,157.07392,1049643.5,4441735.5,4055785.8,2423613.5,2553105.5,661644.8,
419,158.08116674131358,2.0893620999999998,,,,,,,,,,,3911581.5,10162038.0,11787009.0,6214408.5,12334134.0,3712640.0,
664,158.15393082881272,4.947332,,,,,,,,,,,751947.8,790881.56,815626.3,746955.7,748379.0,716368.1,
50,158.96406534909306,0.34598628,,,,67.0,,,,,,,264602.3,264622.06,250642.14,261405.03,337941.56,213373.55,
1429,158.96407363578496,10.274467,,,,23.0,,,,,,,106494.56,405251.16,147486.4,58386.38,12748.368999999999,100078.66,
8,159.9691617008788,0.036208216,,,,0.0,,,,,,,1476324.5,1475161.2,1443357.1,1503975.6,1377572.1,1424044.0,
410,160.0756873376069,1.6098752,,,,,,,,,,,755471.25,778145.7,871872.0,924058.25,3516521.2,922798.4,
42,164.92997752490032,0.33947015,,,,67.0,3.0,[M+Na]+,,2.0,39;42,141.94077,873467.1,804120.94,830144.3,1008706.0,975039.75,1013955.56,
2,164.94809089175448,0.035310395,,,,,,,,,,,287824.22,293150.22,324606.06,317422.88,250897.6,366662.53,
623,166.08622556942933,4.079106299999999,,,,,,,,,,,42375.4,115847.35,112845.75,63593.835999999996,128414.375,99348.664,
400,166.08626878789406,1.4609398,,,,65.0,,,,,,,64307170.0,57767212.0,62786160.0,66662844.0,77123980.0,100608104.0,
74,169.058329718269,0.36144507,,,,,,,,,,,590806.25,172806.69,182200.64,183821.16,112365.086,993977.7,
533,169.07600322214844,2.8091729,,,,15.0,,,,,,,5043892.0,6773040.0,6563274.0,5970037.5,10466924.0,6104882.0,
41,169.09472927354963,0.33784056,,,,67.0,4.0,[M+H]+,,2.0,41;43,168.08744,691102.2,564686.7,678372.4,1325635.0,671525.9,2390258.8,
207,170.0423136957225,0.39982486,,,,,,,,,,,720719.4,729748.6,528962.0,465482.94,632070.56,609532.7,
76,170.0423341725526,0.36063156,,,,55.0,,,,,,,1053759.4,708548.56,637371.7,590771.4,689884.5,709174.5,
978,173.13245640563068,7.756753999999999,,,,,,,,,,,168607.92,222425.56,204591.88,330937.5,179508.17,265646.72,
252,175.02367111143474,0.53841084,,,,26.0,20.0,[M-H2O+H]+,,5.0,233;252;254;239;235,192.02698,3749000.2,3257834.0,2992677.0,3887814.8,4380599.0,3986024.8,
151,175.02367814195222,0.40172470000000005,,,,5.0,18.0,[M-H2O+H]+,,4.0,161;155;157;163,192.02698,345614.9,206838.19,278337.12,368240.12,455172.88,235507.98,
114,175.1078143801883,0.37934342,,,,5.0,13.0,[M-H2O+NH4]+,,2.0,114;132,175.08448,2013167.8,6120078.5,5053367.0,4041649.5,4840772.0,2327327.5,
82,175.11889933069102,0.36225852,,,,55.0,,,,,,,24617608.0,27306210.0,30972008.0,17515378.0,28588114.0,18925818.0,
132,176.091688444214,0.38341149999999996,,,,5.0,13.0,[M+H]+,,2.0,114;132,175.08448,29859372.0,127980520.0,139773070.0,64163330.0,110157464.0,20921144.0,
123,176.1021689084555,0.38341149999999996,,,,5.0,,,,,,,1364621.8,2116648.2,2256807.8,2626779.5,1316133.8,106317.83,
402,176.11342147172854,1.4646811000000002,,,,65.0,,,,,,,8488975.0,8250837.5,8373626.5,8414946.0,8048117.5,8096614.5,
77,176.12217030254692,0.36225852,,,,,,,,,,,601399.75,770854.06,1557923.2,1273738.2,647931.44,504062.56,
159,177.09501371924648,0.38829282,,,,5.0,,,,,,,2304406.2,9828455.0,10788691.0,2943956.0,8418385.0,1325410.2,
57,178.00858609807804,0.34923473,,,,67.0,,,,,,,199123.1,291350.97,322271.5,218987.7,249694.17,90221.9,
49,178.05864668804904,0.34516692,,,,67.0,6.0,[M+H]+,,2.0,49;45,177.05142,722776.0,654353.3,674904.25,629912.1,579345.94,814790.0,
509,181.1334713376783,2.6630805,,,,,,,,,,,52518.36,24579.096,29612.242000000002,68759.42,30419.147999999997,358945.72,
489,181.13347374653515,2.4968092,,,,,,,,,,,117631.42,59222.3,76942.71,152724.47,136377.83,486459.62,
302,182.08110350639117,0.6518261,,,,13.0,,,,,,,3435645.8,2251528.2,2323124.8,2530575.8,2531895.5,4667978.0,
194,182.08110454600552,0.3996823,,,,,,,,,,,538873.0,308084.97,341513.25,313801.6,57857.332,633963.8,
611,182.19025952291403,3.6823008,,,,,,,,,,,29424.371,50017.29,44128.832,37904.88,62018.53,33687.293,
592,182.19027147592968,3.3666002999999995,,,,,,,,,,,393052.94,469717.53,419933.2,371562.56,636096.75,373535.2,
1485,182.98509390136812,10.417225,,,,9.0,,,,,,,2452670.8,1948124.1,1880538.0,2021970.5,2415182.8,2270148.2,
5,182.98511063460938,0.03363745,,,,0.0,,,,,,,439196.6,408617.2,421098.22,465304.16,473493.1,470270.0,
571,183.09164961526366,2.9682217,,,,,,,,,,,564225.9,712750.0,704200.7,721228.56,1220870.0,764989.2,
102,184.0732169974657,0.3720208,,,,5.0,,,,,,,2352064.8,1277260.1,1625388.9,1313155.5,1510051.4,1794706.5,
498,184.16952512518554,2.5362994999999997,,,,90.0,,,,,,,282672.3,357550.3,338632.4,320850.16,548757.06,295674.5,
435,184.16954049171954,2.2188947,,,,69.0,,,,,,,2288069.0,3007995.8,2634294.8,2563999.8,4312386.0,2387652.5,
12,184.98542659626614,0.30566654,,,,,,,,,,,47098.965,134237.98,111722.81,68977.34,113967.94,107395.016,
1097,184.985463688061,8.210541000000001,,,,,,,,,,,403641.66,283927.1,227992.2,181141.44,37097.684,321656.4,
1211,184.9854853910236,8.714749000000001,,,,,,,,,,,1805004.2,4276074.5,2081776.4,1287412.5,996373.1,1527144.1,
1488,184.98548736781999,10.43299,,,,9.0,,,,,,,1000722.1,1076476.8,984332.1,1005196.1,1051776.9,1082850.4,
6,184.9854935640881,0.03363745,,,,0.0,,,,,,,219010.5,207788.53,209641.31,213257.75,226291.25,213688.28,
349,185.04197036781397,0.787389,,,,8.0,,,,,,,798117.06,2572233.5,2727530.8,1000549.44,1962348.0,593314.06,
295,185.04197827176048,0.6339758000000001,,,,,,,,,,,594142.06,1129521.2,1015246.94,636178.44,1260481.6,212953.56,
529,188.0704612910575,2.7846215,,,,,,,,,,,33986.49,118014.445,162002.66,92403.34,229332.73,4119.9023,
444,188.07055137259636,2.2548435000000002,,,,6.0,24.0,[M+H]+,,2.0,441;444,187.06327,5325884.0,4925287.5,5213825.5,8958228.0,6598833.5,14073424.0,
137,189.1233135623149,0.3850384,,,,5.0,,,,,,,1477704.4,1955873.6,2216774.2,1888479.4,1544557.1,1828339.1,
225,189.12331463898064,0.5009191,,,,26.0,,,,,,,2576458.2,3898384.2,3739956.5,3178289.8,3383851.8,3004014.2,
458,190.04973986003674,2.3284272999999995,,,,,,,,,,,37127.332,31263.107000000004,32114.701,52936.02,76573.625,45743.543,
484,190.049800149646,2.4550742999999997,,,,,,,,,,,396028.44,273063.94,299982.72,317437.3,626873.6,545402.06,
305,190.07087619041909,0.6492656,,,,,,,,,,,250225.92,526555.4,452034.88,497585.88,491181.12,1717191.1,
