row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp4_2_Run109.mzML Peak area,NEG_TJGIp4_3_Run189.mzML Peak area,NEG_TJGIp4_1_Run44.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
158,213.11319232538833,3.448721,,,,,,,,,,,30877.402,36434.07,14241.125,147835.2,142121.6,170086.55,
235,213.11326669447695,4.1379423,,,,,,,,,,,287276.72,291703.78,274016.34,277356.2,323274.84,381872.06,
246,215.12888179516892,4.181503,,,,,,,,,,,1163382.8,1180349.1,1042024.06,1447529.8,1685367.9,1571599.0,
139,216.12407291891637,3.2797005,,,,,,,,,,,230027.47,232553.02,189345.11,285810.97,346175.56,365490.12,
42,216.91889427200522,0.37084234,,,,,,,,,,,74413.54,123184.59,307275.6,643609.44,146369.02,710685.6,
33,216.9282269302871,0.39459738,,,,,,,,,,,329355.62,233929.66,654220.0,859654.6,353546.28,706099.75,
43,216.9810741543338,0.4271815,,,,,,,,,,,803748.0,1087005.9,685908.8,1334167.0,964828.3,1241235.1,
76,216.981150174436,1.2577333,,,,,,,,,,,1817802.6,1492216.9,1478793.1,1310150.2,2001783.2,1275318.2,
13,217.0482502188406,0.36686873,,,,64,,,,,,,2112871.2,2759155.0,1461882.2,2703078.2,3639508.8,3063387.0,
26,217.99164974485112,0.3803284,,,,,,,,,,,476758.06,138891.8,428641.6,480957.62,644078.9,475811.06,
81,218.1033078390342,2.1090953,,,,,,,,,,,2606630.5,2683187.8,1934724.6,2228749.8,2710956.0,1986247.5,
84,218.10443827441236,2.306465,,,,,,,,,,,38733.746,50024.19,11606.51,31551.707,37827.65,12008.028,
14,219.0453313463103,0.36763015,,,,64,,,,,,,657903.94,854034.6,468303.75,878556.4,1145111.2,1000883.25,
1849,219.06954559807227,8.605847,,,,,,,,,,,432572.38,142338.3,269576.2,414314.62,196105.17,824891.25,
1878,219.0695679709448,8.83342,,,,,,,,,,,35694.93,0,11673.052,49572.793,34385.844,71243.984,
177,221.0794945546825,3.694658,,,,92,,,,,,,852439.06,944681.75,664570.3,974040.3,1090322.9,829408.2,
118,221.0931470264543,3.0153067,,,,105,,,,,,,429324.8,430285.0,355835.34,284848.9,331253.44,503060.47,
415,221.09718027273686,5.0616627,,,,147,,,,,,,1008018.56,1002210.9,980815.25,853539.3,928110.6,1040869.1,
164,222.07725445888786,3.5678139,,,,128,,,,,,,322900.7,300640.53,290237.28,372393.34,429230.84,376353.28,
387,225.11324125001758,4.950217,,,,,,,,,,,318381.8,336237.72,147271.27,318656.56,512780.4,434904.94,
229,225.11333343629747,4.0758777,,,,,,,,,,,232493.03,211806.12,186506.86,185055.5,203617.12,244703.75,
211,225.11341295359568,4.0079064,,,,,,,,,,,220697.94,503956.2,265755.7,382943.6,517241.3,532665.6,
47,227.07714420352534,0.42570063,,,,,,,,,,,48578.484,2383689.8,231018.33,559492.0,2556693.5,590524.3,
430,227.12890630219155,5.1165657,,,,,,,,,,,794305.0,853798.1,375483.8,942563.9,1543425.8,1103539.8,
198,227.12899663470535,3.8398228,,,,,,,,,,,30771.656,37522.082,34093.15,71861.54,97553.11,102636.914,
256,227.12899766829196,4.3368773,,,,27,,,,,,,4709618.5,4842934.5,4487360.0,8679697.0,9936785.0,1.1585338E7,
294,227.96663136950028,4.618064,,,,73,,,,,,,2014292.2,2036169.5,1911703.2,1892019.5,1788537.5,1739281.9,
179,228.06663592524453,3.711633,,,,,,,,,,,466325.94,452478.47,527082.7,645275.2,671936.56,613693.8,
181,228.08774377251194,3.7426531,,,,,,,,,,,0,8058.254,0,47076.465,63414.37,80654.64,
94,228.08780294618285,2.5682912,,,,,,,,,,,233886.53,336378.34,200235.2,417336.62,498275.94,753315.44,
160,228.10300630144232,3.468228,,,,85,,,,,,,2808403.5,2819461.8,3197733.5,2752322.8,2778229.8,2976978.5,
132,228.10304867872014,3.2389383,,,,,,,,,,,28916.12,26960.984,32014.748,32261.426,37590.504,39002.047,
223,229.05399586680463,4.098861,,,,,,,,,,,221851.55,219892.28,338790.78,224666.16,258846.3,243864.83,
642,229.18080148189924,5.8212886,,,,,,,,,,,279232.38,262718.12,291588.78,243911.11,280160.12,352108.28,
295,229.96443979720712,4.618064,,,,73,,,,,,,1974198.0,1970072.0,1878575.5,1841330.0,1746434.4,1694490.5,
193,236.09624930639606,3.814378,,,,,,,,,,,856500.6,826457.06,909771.94,831779.3,988463.0,2338922.5,
277,237.0921347401987,4.5243125,,,,,,,,,,,611984.94,620425.44,603468.94,406936.38,460386.12,646440.3,
260,242.1762434708236,4.3569074,,,,126,,,,,,,530593.5,501331.25,274765.44,336911.6,416621.78,444113.44,
