Filename,2024_NEG_Y-EV_1_CTRL_Run89.mzML,2024_NEG_Y-EV_2_CTRL_Run118.mzML,2024_NEG_Y-EV_3_CTRL_Run139.mzML,2024_NEG_Y-p10_1_Run104.mzML,2024_NEG_Y-p10_2_Run130.mzML,2024_NEG_Y-p10_3_Run145.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
204/249.0227mz/3.48min,6407318.5,6707730.0,6543680.0,6275355.5,6511112.5,5746292.0
205/279.9958mz/3.52min,19185850.0,18329880.0,18195384.0,20258908.0,18590196.0,19953754.0
207/582.981mz/3.52min,692068.7,695000.56,639792.8,674470.44,681436.56,698389.8
208/560.9991mz/3.52min,3583817.2,3651039.8,3427484.0,3885702.0,3786017.0,3498216.2
209/403.172mz/3.54min,6695.3677,23232.672,137740.3,33174.445,72577.1,23352.049
210/417.1877mz/3.55min,649944.56,610076.2,1654156.2,809776.94,1068771.6,679395.0
211/405.0107mz/3.6min,18992736.0,19084708.0,16496108.0,18421976.0,18342016.0,18559228.0
212/407.0044mz/3.6min,1281045.5,1295570.2,1165651.9,1197433.1,1252177.4,1208046.9
213/811.0292mz/3.6min,319416.56,336302.72,282409.06,337374.6,318953.3,313141.38
214/406.0138mz/3.6min,3849010.0,3454241.5,3167832.8,3355958.8,3364453.0,3408981.8
216/421.0056mz/3.84min,470162.9,432973.6,526468.06,428232.12,498636.7,604044.4
217/309.1014mz/3.99min,401630.47,425955.4,425567.22,417834.7,412855.88,405122.53
218/271.9983mz/4.12min,165465.16,147111.36,158568.39,150819.84,159204.98,147193.95
219/419.0263mz/4.15min,300497.2,280903.5,293252.8,305788.34,300908.47,288185.47
220/603.01mz/4.15min,318339.25,303079.34,306254.62,324902.88,325206.34,329804.2
222/497.0371mz/4.41min,886725.5,852719.5,830051.6,855342.3,852333.1,843603.06
223/242.1762mz/4.42min,483586.22,444830.47,497085.88,491241.16,458520.2,470149.38
226/793.0186mz/4.43min,865492.7,947821.25,1099741.0,965423.25,937432.7,1021827.25
228/422.9768mz/4.52min,769498.75,752181.2,732330.94,760640.25,709861.8,729775.44
230/653.0255mz/4.54min,738599.8,787854.06,881052.6,785425.06,772209.44,804840.2
