"","Filename","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-Nam_1_Run32.mzML","2024_POS_CC-Nam_2_Run44.mzML","2024_POS_CC-Nam_3_Run67.mzML"
"26","137/214.1801mz/2.75min","77211.89","85959.45","88138.39","98091.67","78926.4","99785.18"
"27","138/185.1284mz/2.81min","77001.2","61179.35","73187.625","63352.484","64931.633","233723.53"
"28","139/259.2202mz/2.79min","201252.77","200408.77","200241.4","193990.34","196248.34","203757.44"
"29","140/272.1856mz/2.82min","1246104.6","1329863.4","1344371.1","1177272.9","837435.7","1051208.9"
"30","141/120.0443mz/2.83min","583206.75","258310.25","378867.56","158973.33","125550.7","217677.16"
"31","142/138.0549mz/2.83min","601815.75","265142.75","393499.62","158154.5","133851.9","227033.53"
"32","143/181.0971mz/2.84min","85198.02","95668.05","72708.77","21625.293","58953.348","63374.703"
"33","144/185.1284mz/2.87min","55443.945","68127.84","79606.73","76001.055","64579.473","175825.48"
"34","145/183.0917mz/2.96min","757174.4","518081.8","571238.75","434578.88","411007.72","1008559.8"
"35","146/244.2012mz/3.06min","39026.684","44383.53","44044.227","38827.258","36501.22","41442.37"
"36","147/212.1473mz/3.14min","295193.03","283857.72","295125.88","292702.2","272693.28","704541.4"
"37","148/211.1441mz/3.14min","2833066.5","2714042.2","2883836.8","2788241.5","2648786.5","5919189.0"
"38","149/249.1332mz/3.2min","258104.81","266819.78","269063.03","241464.83","322111.4","283813.5"
"39","150/211.144mz/3.24min","3156233.5","2982399.8","3417069.0","3313118.2","3125716.8","7236289.5"
"40","151/212.1473mz/3.24min","310267.44","302113.53","349035.4","317125.22","312586.66","706356.56"
"41","152/245.1284mz/3.26min","1398522.4","1330699.2","1425901.0","1352181.9","1365632.1","3005617.8"
"42","153/320.1703mz/3.29min","44587.94","36998.15","42043.977","36976.086","46039.016","46960.54"
"43","154/214.0498mz/3.34min","4383463.0","4074212.0","6925016.5","2818639.0","1627645.5","9495395.0"
"44","155/182.1903mz/3.35min","366698.97","362229.62","320492.4","331473.78","312877.8","404063.7"
"45","156/245.1284mz/3.39min","3259170.0","2998391.5","3290411.8","3063539.8","2903270.2","6859827.0"
"46","157/228.2321mz/3.46min","374266.97","387021.8","435638.53","398342.0","318164.53","404995.97"
"47","158/264.1335mz/3.47min","1062805.0","737559.6","876122.44","289480.88","260234.36","533434.44"
"48","161/214.0499mz/3.54min","27752528.0","21875316.0","26346566.0","18410652.0","17262834.0","22818906.0"
"49","162/274.1648mz/3.54min","835814.9","809188.4","832806.6","807907.9","855120.8","842822.75"
"50","163/228.2321mz/3.54min","147417.58","139505.05","161905.42","161155.31","131663.42","171643.73"
"51","164/215.053mz/3.54min","2483226.5","1904962.6","3271536.0","2237215.8","1702744.6","2404334.8"
"52","165/228.2321mz/3.65min","1943579.0","1970114.9","2159286.5","2031637.8","1536826.9","1963504.5"
"53","166/246.1335mz/3.67min","215748.77","202918.1","201266.3","213573.45","218022.69","225093.56"
"54","167/586.2703mz/3.73min","1014120.25","897805.44","367355.75","653040.9","136040.25","797142.6"
"55","168/320.1703mz/3.75min","70265.625","54729.83","52197.117","50747.28","52316.04","58640.0"
"56","169/195.1379mz/3.84min","77177.36","83246.664","99103.6","73411.05","103241.98","144600.31"
"57","170/514.2855mz/3.97min","951709.75","1089534.6","1340759.6","934704.75","1622697.6","1037492.0"
"58","171/394.2222mz/4.15min","340853.97","262886.66","301948.3","290391.62","278050.6","485014.16"
"59","173/321.1738mz/4.32min","944117.44","756909.06","690009.6","748799.7","814499.25","926150.6"
"60","174/320.1703mz/4.32min","6276044.5","4979478.0","4532468.0","5014969.5","5412648.0","6035613.5"
"61","175/325.1256mz/4.32min","694140.5","478547.88","467068.2","577646.5","573068.56","739699.94"
"62","176/195.1379mz/4.34min","826656.94","741257.94","812256.3","772291.7","828648.4","891319.9"
"63","177/364.1965mz/4.4min","492407.03","402542.47","407481.97","449291.16","434424.4","522621.3"
"64","178/226.1801mz/4.42min","1213328.6","1208796.8","1239245.2","1160069.5","1202251.1","1361342.9"
"65","179/244.1907mz/4.42min","836944.6","809258.7","819670.94","798180.2","815024.1","905450.8"
"66","181/408.2226mz/4.47min","523569.12","495124.94","503237.3","503173.28","482436.62","598264.0"
"67","182/214.1801mz/4.5min","566948.5","409036.22","281583.0","213310.69","160661.22","342262.25"
"68","183/392.1914mz/4.56min","2679363.2","2131720.2","2003049.5","2160878.5","2192688.2","2749008.5"
"69","184/583.2912mz/4.61min","144715.45","39467.914","25571.318","38340.57","0.0","74704.32"
"70","186/246.2427mz/4.69min","421906.94","241016.22","361673.1","251776.69","150243.66","288459.88"
"71","187/583.2911mz/4.72min","80093.15","28315.516","5795.407","26730.451","0.0","91059.23"
"72","189/230.9844mz/4.74min","586435.44","618256.9","628901.94","626877.6","626519.94","633134.94"
"73","190/211.9705mz/4.74min","3010576.2","3086185.2","3181167.0","3115946.8","3175565.8","3214090.2"
"74","191/213.9685mz/4.75min","2951436.0","2976733.5","3062890.5","3029769.2","3082314.5","3139956.0"
"75","192/229.9811mz/4.75min","7010560.0","7350487.0","7657618.0","7559650.5","7512066.5","7532152.0"
"76","193/231.979mz/4.75min","6890246.0","7271303.5","7597168.0","7515841.0","7429775.5","7512849.5"
"77","194/232.9823mz/4.75min","559345.1","622539.4","637876.25","623413.56","598751.0","625369.56"
"78","196/270.2063mz/4.78min","372678.72","331885.22","357785.06","358527.4","358409.62","687105.4"
"79","197/656.071mz/4.78min","1124599.2","1268443.9","1618905.1","1185909.5","1399615.8","1591826.5"
"80","200/570.3016mz/4.81min","881437.44","845784.0","890951.25","864441.0","807035.56","1014897.8"
"81","202/551.2695mz/4.8min","427248.25","440641.84","459741.7","438089.3","417575.62","490651.6"
"82","203/568.2961mz/4.8min","14026671.0","13417324.0","14107290.0","13807341.0","12857939.0","16383568.0"
"83","204/573.2513mz/4.8min","1187876.4","1231127.5","1249859.4","1212715.1","1150784.8","1392568.4"
"84","206/274.274mz/4.85min","286962.53","183454.72","226529.44","229579.0","194015.17","389470.62"
"85","207/230.2477mz/4.87min","430348.7","260901.88","379399.28","329174.47","239874.81","483555.6"
"86","208/250.1777mz/4.88min","782530.8","806940.25","665428.2","522096.6","531696.5","702503.4"
"87","209/229.1991mz/4.88min","664404.25","658708.5","552259.4","443288.66","430830.34","619310.75"
"88","210/228.1958mz/4.88min","5062860.0","4957938.5","4184122.5","3335299.0","3304204.8","4581267.5"
"89","211/158.1539mz/4.95min","798888.1","761025.3","778231.94","736117.4","776630.1","807229.4"
"90","212/640.3173mz/4.96min","683654.5","641711.44","712445.0","682459.2","597445.75","740923.5"
"91","213/398.23mz/4.99min","986272.94","584495.2","932737.4","450734.97","382721.7","650456.1"
"92","214/371.2741mz/5.0min","56089.42","30918.408","60613.79","12383.886","0.0","32558.053"
"93","215/440.277mz/5.03min","2661892.5","1602689.8","2627320.8","1884548.6","1624633.8","3035329.2"
"94","216/412.2458mz/5.06min","122609.53","80857.24","115685.586","63787.066","46411.65","99366.84"
"95","217/230.2478mz/5.09min","75506.43","44479.016","0.0","12676.817","0.0","20708.367"
"96","218/398.23mz/5.1min","3267316.8","2135922.0","3356334.2","1425309.0","1392891.2","2193860.2"
"97","219/426.2614mz/5.11min","185890.55","87180.02","172563.95","85532.89","54255.36","133187.56"
"98","220/440.277mz/5.14min","8193631.5","6154331.5","9456741.0","6388441.0","6663199.5","10556321.0"
"99","221/412.2457mz/5.17min","484739.34","358331.8","528420.25","258426.27","227131.48","364758.0"
"100","222/274.274mz/5.2min","416781.6","240222.11","325205.22","299105.88","190946.81","333857.94"
