row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p12_1_Run95.mzML Peak area,2024_NEG_Y-p12_3_Run133.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p12_2_Run112.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,Unnamed: 19
29,619.0378275544241,0.40476933,,,,,,,,,,,362274.2,957831.9,313529.7,125057.445,352712.34,1431189.2,
73,619.037859473602,0.5259864000000001,,,,5.0,,,,,,,6237168.0,4905476.5,4095811.8,4923166.5,4421830.0,8666956.0,
228,637.030543140216,4.7380457,,,,40.0,,,,,,,5873119.5,6462936.0,5148720.0,5618512.0,5728408.5,6099299.0,
354,637.141905296995,7.0230445999999995,,,,8.0,,,,,,,711735.75,584745.94,220112.39,655597.44,418421.94,837551.7,
311,637.1419271684972,6.6195045,,,,13.0,,,,,,,633601.8,540269.6,373913.62,595280.56,515442.1,932459.44,
334,637.1419396335881,6.830848,,,,60.0,,,,,,,1915033.8,1698362.2,816552.75,1835192.9,1275770.4,2528052.0,
242,653.0254431284379,4.9848266,,,,,,,,,,,81225.37,95296.06,71990.29,78176.6,73287.63,87954.414,
222,653.025497111047,4.5341372,,,,28.0,,,,,,,809149.8,916052.9,738599.8,803274.25,787854.06,881052.6,
55,653.0948336659873,0.398519,,,,11.0,,,,,,,928426.4,817403.44,1304832.6,329383.06,1107030.8,242727.25,
312,654.1321025604623,6.6195045,,,,13.0,,,,,,,425851.7,533148.9,803863.5,542533.7,856471.9,694922.5,
352,654.1321123281068,7.015564,,,,8.0,,,,,,,241297.94,332746.03,590259.25,380311.34,587802.8,395267.7,
330,654.132138007296,6.8018556,,,,60.0,,,,,,,1004745.2,1406903.9,2279394.8,1399268.0,2184351.2,1648955.5,
274,656.1113736098948,6.1431154999999995,,,,,,,,,,,435813.2,460917.94,537645.1,296291.4,337164.56,606303.2,
454,660.4612566015095,8.143802,,,,,,,,,,,30999.98,237510.39,945541.7,294988.28,540546.9,435347.0,
458,686.476841726354,8.272815,,,,,,,,,,,2906900.8,3528655.0,6603793.0,4587047.5,6302232.0,5540009.0,
531,686.4768677380825,10.275404,,,,,,,,,,,318911.53,1456524.6,6916424.0,613141.56,1770916.9,1378323.1,
496,686.4769024615683,9.031264,,,,,,,,,,,11149.04,5704.6836,203047.94,26463.664,139345.5,58732.035,
294,696.1425397612655,6.3902583,,,,,,,,,,,63804.797,131077.33,262528.25,144757.88,177264.5,193064.08,
307,696.1425751990142,6.525616,,,,,,,,,,,344445.75,403716.28,747734.6,390988.8,818027.2,746774.9,
388,701.1543462786448,7.3213363,,,,,,,,,,,166485.61,153388.97,48831.75,176076.95,118897.45,239925.19,
322,701.154396947945,6.7154107000000005,,,,37.0,,,,,,,509310.0,404121.34,220384.11,449532.0,345496.44,730440.6,
361,701.1544106660664,7.083154700000001,,,,9.0,,,,,,,1433052.1,1276405.9,443865.78,1376312.8,830867.44,1826127.5,
340,701.1544260790569,6.919538,,,,12.0,,,,,,,2024302.9,1827673.1,736709.6,2022699.9,1380501.6,2782409.2,
364,716.5238781749388,7.095127000000001,,,,,,,,,,,1323669.5,903637.44,0.0,17253490.0,0.0,15762962.0,
398,716.523881332186,7.337026,,,,,,,,,,,849551.25,7343752.5,0.0,2746449.0,0.0,677414.3,
358,717.5272223039708,7.04593,,,,,,,,,,,616061.4,565430.56,0.0,7815123.0,0.0,6914794.0,
324,718.144500297865,6.7199917000000005,,,,37.0,,,,,,,286499.3,370462.16,680527.8,371153.56,643900.6,452922.44,
362,718.1445387496357,7.083154700000001,,,,9.0,,,,,,,485840.72,702448.8,1314355.8,735344.75,1300669.9,837015.4,
341,718.1445445917857,6.9197083,,,,12.0,,,,,,,1026322.2,1305719.0,2563472.8,1443506.9,2403511.5,1640605.9,
300,720.1238076565534,6.4574647,,,,,,,,,,,203781.81,230733.8,324234.38,188738.84,324907.66,291711.28,
270,720.1238317871498,6.084072,,,,,,,,,,,109934.35,116623.516,127696.22,114081.6,159711.03,166335.4,
282,720.1238321061638,6.2849927,,,,,,,,,,,394642.5,420151.06,572064.0,460467.62,574251.0,566434.44,
351,732.4824892731978,7.0100408,,,,,,,,,,,5687865.0,6275239.0,0.0,1370439.2,0.0,78647.67,
385,732.4825136440493,7.262264999999999,,,,,,,,,,,590874.06,918903.56,0.0,6454215.0,0.0,193405.4,
68,747.1449570642386,0.52117366,,,,,,,,,,,523771.62,546842.6,408964.88,1033174.94,666939.1,993883.8,
35,747.145023765487,0.38824916,,,,11.0,,,,,,,510425.12,439121.84,387885.06,453588.56,436855.6,531861.56,
467,749.4724597580804,8.355271,,,,,,,,,,,161963.17,441549.0,2876658.5,339751.84,1986049.9,496903.16,
