"MetaboAnalyst_ID","Yeast_HE_D5.Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5.Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5.Ctrl_c_pos_20190515_Run43.mzML","POS_D5.211.C4.a_Run181.mzML","POS_D5.211.C4.b_Run184.mzML","POS_D5.211.C4.c_Run187.mzML","shared_name"
"146/887.3879mz/5.68min",2.13769686443977,2.05329898660019,2.1928229168063,2.14196097353293,2.06197525999867,2.07573724132585,"146"
"147/377.1662mz/5.72min",2.19871731604272,2.10452294699763,2.1669360142755,2.1397553099061,2.0514554343974,2.12578356358935,"147"
"148/399.1482mz/5.72min",2.57278676224823,2.50328153014421,2.55245764492897,2.54938970169709,2.47756496831554,2.54027951652932,"148"
"149/284.2947mz/5.75min",1.82150620700025,1.87315020359302,1.78696866740715,1.80114842538753,1.84716842576859,1.80557769055506,"149"
"150/344.3157mz/5.77min",1.88976129514179,1.92312869200709,1.89618831501545,1.61713646954895,1.75567530430687,1.75005001864349,"150"
"153/517.2518mz/5.81min",1.79108668995591,1.90554674891797,1.79980896185219,1.70151531975494,1.82391391386844,1.63898879171691,"153"
"154/339.1119mz/5.83min",1.79849856855609,1.89659571648099,1.83216282890996,1.74477884505045,1.85515174451988,1.72495757107678,"154"
"157/631.3268mz/5.88min",2.08123272584657,1.95062140199944,2.05806967620752,2.08301976673604,1.911590776986,2.07556215155869,"157"
"158/330.3365mz/5.89min",2.21093963533462,2.22632300101096,2.07691464270811,1.93132098110584,2.01226103199946,1.9881591808222,"158"
"162/449.1848mz/5.95min",1.77334248555702,1.79324250347518,1.78833382981709,1.7668175064378,1.78441078965878,1.74514940804206,"162"
"165/328.3209mz/5.99min",3.14505175077645,3.1419044629807,3.04714650773828,2.93583992621776,2.9915301878811,2.98456756046199,"165"
"166/337.1713mz/5.99min",2.47874309957889,2.31253874999144,2.45417753373948,2.42883023113071,2.29144120512901,2.43014954250565,"166"
"167/359.1533mz/5.99min",2.26395447913217,2.11465806163716,2.25172717683844,2.24781314007057,2.12596213748946,2.25525985773109,"167"
"169/359.2402mz/6.0min",1.9491433947902,2.01360845754542,2.01441045239973,2.07111562337196,2.00836206686539,1.97550713348311,"169"
"172/372.3471mz/6.04min",2.61082296352709,2.63779781935755,2.49041097846055,2.4368563485184,2.53447983256161,2.48770494402186,"172"
"178/119.0856mz/6.1min",2.18382428192897,2.38504711355701,2.20681797557861,2.02811499521079,2.25853482776923,2.02231760362183,"178"
"179/147.0806mz/6.1min",3.37047982634888,3.56482945767418,3.39322243981161,3.24034268516661,3.45460364119184,3.22808624631145,"179"
"180/165.0911mz/6.1min",2.08446128564754,2.29100569421977,2.10567999226445,1.9697499663366,2.18258077890542,1.94012887129803,"180"
"181/244.0766mz/6.1min",1.7568977292034,1.99666261728927,1.82219978684232,1.75711869185456,1.9846772603313,1.72554575493376,"181"
"182/349.1351mz/6.1min",2.8045630225171,2.99821247436288,2.8220956287761,2.71197382765999,2.91994633573486,2.67985488359988,"182"
"183/697.2629mz/6.1min",2.00573151606339,2.39201488356585,2.08553624464678,1.799461696266,2.18512185026215,1.78794991283049,"183"
"184/255.5845mz/6.1min",1.93180076678617,2.14014921433137,1.98769543654715,1.91888212459466,2.11357511098351,1.90076656178518,"184"
"185/148.0838mz/6.1min",2.3877816337704,2.57809785854902,2.41268618698803,2.25864851444576,2.46739645203796,2.25760626469976,"185"
"186/219.057mz/6.1min",1.87093205634382,2.09277874065382,1.90764014836437,1.82043036581748,2.04397021670082,1.8125986112094,"186"
"187/371.1171mz/6.1min",3.48183067125289,3.62566262689057,3.50656621401401,3.43044612784444,3.58812009956141,3.42227649700693,"187"
"188/372.1203mz/6.1min",2.86049109744552,3.00270781379313,2.88720135411788,2.81022495350501,2.96411117963796,2.80006175399329,"188"
"189/719.245mz/6.1min",2.81309713068376,3.05584076442757,2.86962879276749,2.73896284173491,2.99523319651739,2.72644226771214,"189"
"191/412.1434mz/6.1min",1.90710887128673,2.08877845330814,1.97089449036812,1.79663773634819,1.97219167406362,1.78512154077187,"191"
"193/532.2585mz/6.16min",1.84307375320508,1.64380960391461,1.80670258589124,1.87588820127991,1.67212657150259,1.87445388274826,"193"
"194/313.2348mz/6.19min",2.32444905906796,2.29267312413339,2.38073648798265,2.4565402141065,2.2744305764358,2.37784994224323,"194"
"198/357.2609mz/6.22min",2.2420176778431,2.367523776427,2.44504575995365,2.40882409333934,2.37592210425752,2.36485328800223,"198"
"201/318.2402mz/6.24min",1.65036284992733,1.62407237152756,1.71565855952734,1.94736975468085,1.90496749334387,1.92434069053191,"201"
"202/401.2871mz/6.24min",2.2178283197084,2.21721126567685,2.31400469191549,2.26970784217358,2.23434789213872,2.22814634689884,"202"
"204/445.3132mz/6.25min",1.85117037451854,1.86323224913861,2.08300825134948,2.05401572062756,2.01205223317494,1.85430650023692,"204"
"207/255.2431mz/6.3min",1.97151973746797,2.03633782338498,2.03448255168159,2.0525801644323,1.96735398768021,1.95174520383252,"207"
"208/220.1122mz/6.3min",2.07209906697412,2.23468272717084,2.25032353464671,2.14426882029854,2.13833923648189,2.16209338406315,"208"
"212/433.1901mz/6.37min",2.70564908321908,2.61620920310733,2.68380048135733,2.70511116341194,2.58583432835382,2.67172902451608,"212"
"214/275.0831mz/6.37min",2.24086651891803,2.12724501210705,2.20721291205048,2.2122704366678,2.07235582892332,2.18204644613344,"214"
"217/431.1743mz/6.6min",1.83750875865371,1.80446166458681,1.82701059782732,1.87696688688796,1.80742256144109,1.83202721123375,"217"
"218/409.1924mz/6.6min",2.08609134159797,2.04605996013876,2.06757078451516,2.07237124030513,1.98670160314504,2.01772748991206,"218"
"222/228.2323mz/6.65min",1.61433259023032,1.60901491165613,1.62941386759411,1.98463288706435,1.968052412104,1.94997199218688,"222"
"223/301.1409mz/6.65min",2.31318415684536,2.23999060876465,2.26307781785586,2.20710852023507,2.20969349833111,2.24486931020045,"223"
"228/577.3611mz/6.86min",2.10086391399401,1.93857529363012,2.06308935446211,2.13241275393207,1.95104840656481,2.10127923307632,"228"
"248/478.2926mz/7.17min",2.05904088802489,1.95269610377695,2.05407747819558,2.12877568928197,1.96219065246711,2.07383188951504,"248"
"267/350.1776mz/7.37min",2.25757337569032,2.37175153469468,2.3968957392784,2.24912027758372,2.28220347225768,2.31490156329783,"267"
"269/237.2213mz/7.37min",1.99400270507599,2.06571242464466,2.14409636813085,1.99665603149141,2.01490440216183,2.00039281110951,"269"
"271/323.2192mz/7.37min",1.75767564198072,1.87968895071368,1.99620095419404,1.80492261297575,1.8581191872373,1.84511860300495,"271"
"277/255.2319mz/7.37min",2.14215286595305,2.20561195264271,2.29275106384042,2.16325594838726,2.1804691276898,2.15905341670278,"277"
"292/481.2923mz/7.45min",2.39368888195838,2.4756323667225,2.45894152742561,2.57227789591712,2.60995455601589,2.47308105225795,"292"
"293/395.3306mz/7.47min",1.77114058257195,1.8775350390711,1.85923336081099,2.00183032909675,2.04582108884793,1.93648809648412,"293"
"294/377.3202mz/7.47min",1.89361992907049,1.93931652957772,1.9171995300322,2.07649920939914,2.09398202378177,2.01297492109294,"294"
"296/365.266mz/7.51min",1.92870402026772,2.1057208551364,2.20046343326602,1.83604204918162,1.91189193125909,1.77773680014836,"296"
"299/113.0167mz/7.55min",1.75313264819373,1.74383688479694,1.69969361383167,1.80521628648732,1.78189298281137,2.06204132675301,"299"
"301/579.2634mz/7.54min",2.48864736852355,2.46929687697072,2.58231304944354,2.48789031217448,2.40467737636074,2.46078349176265,"301"
"309/481.2922mz/7.55min",1.86041415821918,1.92584405422471,1.86094462835762,1.93350630387896,2.24076019838685,1.85994336029598,"309"
"310/111.0202mz/7.57min",3.01985190697059,3.00199119418114,3.01539648972861,3.07574262824867,3.04698253336679,3.39962934437684,"310"
"315/131.5336mz/7.63min",1.97652891187989,2.43848416297742,2.36707748749788,2.47329384325943,2.09013826736649,2.44676356323304,"315"
"321/139.988mz/7.66min",2.49225398507202,2.48086354283532,2.47513049817234,3.12120582671714,2.5189325649498,2.52813517997155,"321"
"323/163.9906mz/7.71min",1.86667758355008,1.85508901376784,1.82056152950161,2.09898344574587,1.81216468948213,1.81111380522433,"323"
"332/408.3082mz/7.69min",2.42127688441096,2.16543710212945,2.29043183052062,2.61793140200148,2.08709847874033,2.33648032345155,"332"
"336/226.1802mz/7.69min",2.09133301661355,1.8012065457801,1.96918260501251,2.2825119015215,1.66789199643663,1.96547209662379,"336"
"340/181.0145mz/7.66min",1.83707165607207,1.83020649284165,1.76558300376159,1.88719065850533,1.85853249845486,2.40481969265454,"340"
"343/205.0173mz/7.71min",2.25353878136402,2.24148298412636,2.2201760419097,2.18676025498389,2.50624229166885,2.51962428513302,"343"
"345/740.4047mz/7.74min",1.87682622492983,1.61204131694798,1.90458816713572,1.91860213858941,1.7266497234921,1.86033944387178,"345"
"346/282.2216mz/7.74min",2.14458451048845,2.13791848795892,2.1374254109955,2.13954770995137,2.09011257398316,2.09546545236547,"346"
"347/579.2633mz/7.75min",2.58709259120535,2.54118228201443,2.63106189092889,2.58050647423217,2.51227837201558,2.53007256087516,"347"
"348/557.2813mz/7.75min",1.83887100164553,1.78334799947562,1.87048232908687,1.78832348502919,1.68599360287277,1.71085645251194,"348"
"349/421.156mz/7.75min",1.9079557748019,1.8509214209996,1.95490138372275,1.8427857081805,1.75949349028632,1.773757108295,"349"
"357/449.3022mz/7.77min",1.67293173086837,1.77664590705812,1.74627935748071,1.87857603304955,1.93293916802327,1.77529765946534,"357"
"359/393.2196mz/7.77min",1.84829963382861,1.91188118977716,1.90197672450829,1.89420393788789,1.91642548878268,1.8851578909433,"359"
"366/226.1802mz/7.77min",2.00193343165069,1.71486833453142,1.87104550791212,2.12803561120112,1.55567154918032,1.76490529163913,"366"
"367/408.3082mz/7.77min",2.95104844024646,2.69196310287836,2.85563558866999,3.10403607900218,2.58798378457122,2.76575510253501,"367"
"372/228.1959mz/7.77min",2.10895059574395,1.82698374942673,1.98790991761464,2.23383777666158,1.68214680705617,1.87467521522817,"372"
"373/266.1727mz/7.77min",2.03983935459137,1.7665879358644,1.9357266452077,2.18158883631725,1.64033387338864,1.83390931857353,"373"
"379/250.1778mz/7.77min",2.34806995873758,2.07631526891878,2.24078767070365,2.46801379516379,1.94659715252928,2.13410625834649,"379"
"400/223.9884mz/7.87min",2.07664211635688,2.08816209393329,2.08258614111492,2.76591322345947,2.75483303060244,2.75485432721879,"400"
"401/213.983mz/7.87min",2.34296625344216,2.04795505185607,2.20848667237176,2.01248310325826,2.0133708394087,2.49726954916867,"401"
"402/172.9565mz/7.87min",2.27892838133772,2.31309275095198,2.27877988877343,2.43001230642396,2.0976792110923,2.08915613851233,"402"
"411/283.2631mz/7.87min",2.07603462207519,2.11266666586261,2.13844534830662,2.00173165948558,2.00447589779698,1.96074475655728,"411"
"417/378.2088mz/7.87min",2.26521650537337,2.31556173363365,2.29006160873384,2.28567631918375,2.32321326884892,2.29435972740486,"417"
"418/351.2504mz/7.87min",2.03971656235749,2.1272667362311,2.16478651438294,1.94174780178215,1.9774850585375,1.90044034070308,"418"
"422/352.3392mz/7.87min",2.31706406284338,2.31335196214462,2.36578088651468,2.30490742644965,2.16819472759503,2.20404356815646,"422"
"423/782.5663mz/7.87min",1.8819149030841,1.85028067550687,1.96253281740131,1.84580501657312,1.86911856655083,1.79099378688185,"423"
"431/851.7095mz/7.89min",1.97627608587091,2.13093711444013,2.26508849410344,2.17213302610001,2.41794989416272,2.44638957910458,"431"
"432/752.5198mz/7.89min",2.76272612701331,1.95217314035073,1.90535156011782,2.76039731126154,2.32611917351959,2.38163814092665,"432"
"438/579.2632mz/7.9min",1.9977729202918,1.95906671342631,2.03290003228578,2.04123170365578,1.95760372650147,1.98501665246798,"438"
"443/163.9906mz/7.98min",1.78874548981101,1.80054622641837,1.76032391760272,1.77398270173579,2.24445885905138,2.27851009058694,"443"
"446/730.5378mz/8.01min",2.13741800273676,1.60998922902487,1.78572910236723,1.88130835579558,1.58937248612373,2.3342227989155,"446"
"448/205.0172mz/8.12min",2.2417147122275,2.31859108536128,2.23420391967449,2.21356379797679,2.25428363663789,2.73705914704573,"448"
"451/690.5065mz/8.21min",2.61053138177929,2.18484099874774,2.27480115316169,2.4778981229741,2.28379283363098,2.36696538861896,"451"
"457/752.5197mz/8.22min",1.8826026761982,1.68253283453534,1.8459820164879,1.75307978411234,1.66561244139715,1.77810550111821,"457"
"464/851.7097mz/8.22min",2.1849318722441,2.30487918243162,2.45988878747237,2.42486373895024,2.55342847209583,2.53160685827694,"464"
"475/338.3416mz/8.34min",3.53732406861054,3.68190907817084,3.59898449962579,3.34382380465318,2.96334818899908,3.25398745622466,"475"
"483/391.284mz/8.38min",2.03934574654417,1.9609766946228,1.96765317112511,1.68801239629996,1.68460642529372,1.69420676950397,"483"
"484/413.2658mz/8.38min",2.60822752553627,2.56661419453396,2.53344761294521,2.3958353588393,2.4079401216993,2.38746050206062,"484"
"485/393.2972mz/8.39min",2.17229180359055,2.17965560818322,2.26187606565879,2.04867551214567,2.08303941574,2.06308503865095,"485"
"487/136.0217mz/8.42min",2.75073697248345,2.71285062556625,2.71269440251844,1.97166807342545,1.96106948113376,1.94452892736407,"487"
"488/312.3258mz/8.43min",1.92797765134338,2.054704956712,1.94965402279569,1.79773962842844,1.73765553270885,1.73874673757482,"488"
"489/352.3392mz/8.54min",3.23339460386947,3.18231018605854,3.18779029511734,2.80813710524796,2.8299981278765,2.815525483514,"489"
"490/199.9754mz/8.56min",1.96175485770815,1.97895370267239,1.93769673558959,2.21149671482843,2.28795726888277,2.29678862360341,"490"
