row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C4-c_Run188.mzML Peak area,NEG_D5-211-C4-a_Run182.mzML Peak area,NEG_D5-211-C4-b_Run185.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
151,402.35737829434504,5.8101177,,,,,,,,,,,0.0,0.0,0.0,311782.38,139989.27,359235.12,
343,408.30811568539724,7.696942,,,,35.0,,,,,,,0.0,0.0,0.0,1346816.5,2298667.2,1779712.5,
392,408.3081543281192,7.7733307,,,,44.0,,,,,,,0.0,0.0,0.0,4527249.5,7784803.5,6539636.5,
216,409.1922933159255,6.6014365999999995,,,,21.0,,,,,,,0.0,0.0,0.0,1023131.1,1062406.1,1065341.4,
403,409.27440419177145,7.8197149999999995,,,,,,,,,,,0.0,0.0,0.0,675851.94,474231.78,595268.06,
329,410.3048010085531,7.62207,,,,,,,,,,,0.0,0.0,0.0,440331.66,330351.22,440792.5,
209,411.20795324440803,6.3743042999999995,,,,,,,,,,,0.0,0.0,0.0,372749.9,455104.47,456376.56,
664,411.38418079416505,9.347033999999999,,,,,,,,,,,501513.38,477478.84,461904.2,0.0,0.0,0.0,
188,412.1433048428084,6.106993,,,,8.0,,,,,,,0.0,0.0,0.0,1128885.2,703571.25,852731.9,
525,413.26573875009814,8.377631,,,,20.0,,,,,,,0.0,0.0,0.0,3392231.8,3535303.8,3114337.2,
271,421.1298195059635,7.370303999999999,,,,46.0,,,,,,,572947.7,511613.28,587986.8,0.0,0.0,0.0,
321,421.15582146712336,7.5483365000000004,,,,39.0,,,,,,,0.0,0.0,0.0,274436.03,268314.06,347455.12,
351,421.1558675306452,7.754173,,,,51.0,,,,,,,0.0,0.0,0.0,652818.94,704944.6,821900.8,
503,421.25074960304437,8.219026,,,,,,,,,,,0.0,0.0,0.0,406899.88,254979.75,329974.97,
562,421.2841268729176,8.693045,,,,,,,,,,,0.0,0.0,0.0,0.0,39503.242,544583.6,
375,423.145263043564,7.769653,,,,47.0,,,,,,,331304.03,326879.88,392556.25,0.0,0.0,0.0,
108,426.967740118788,5.0739875,,,,,,,,,,,5739087.5,6722669.5,5595974.0,0.0,0.0,0.0,
510,427.23359189872843,8.221874,,,,,,,,,,,111410.516,135393.12,250545.52,0.0,0.0,0.0,
659,427.23370869038735,9.082313000000001,,,,,,,,,,,653635.75,690846.0,748657.4,0.0,0.0,0.0,
594,427.23371981297277,8.919561999999999,,,,,,,,,,,250166.3,466654.6,1540419.5,0.0,0.0,0.0,
246,429.318232309084,7.1080309999999995,,,,,,,,,,,0.0,0.0,0.0,680825.06,365406.06,580839.56,
194,430.3885954258844,6.204880999999999,,,,,,,,,,,0.0,0.0,0.0,275812.16,127621.22,356671.38,
716,430.91327198582803,10.233948,,,,11.0,,,,,,,0.0,0.0,0.0,446381.62,441608.06,441494.3,
215,431.17411928844695,6.5996265,,,,21.0,,,,,,,0.0,0.0,0.0,586587.75,599387.9,612249.75,
212,431.17423949441564,6.4319153,,,,,,,,,,,0.0,0.0,0.0,393628.0,415688.78,444809.7,
210,433.18998031681434,6.37253,,,,61.0,,,,,,,0.0,0.0,0.0,3802599.0,4424338.0,4402694.0,
64,433.2064847430641,3.8454866,,,,3.0,,,,,,,0.0,0.0,0.0,108370.22,140299.77,256059.61,
81,433.20669779305877,4.542909,,,,50.0,,,,,,,0.0,0.0,0.0,4720300.0,5378270.0,8173895.5,
130,437.19300085214724,5.577152,,,,49.0,,,,,,,0.0,0.0,0.0,2349523.8,2009082.9,2140853.8,
263,438.1198497425489,7.3685455,,,,46.0,,,,,,,850115.5,795113.25,865576.7,0.0,0.0,0.0,
616,439.25183945866877,8.955574,,,,41.0,,,,,,,1399995.4,1506867.8,1642374.2,0.0,0.0,0.0,
365,440.1353691431034,7.767891400000001,,,,47.0,,,,,,,894471.1,880932.75,976358.25,0.0,0.0,0.0,
471,443.20459390134766,7.903997400000001,,,,,,,,,,,0.0,0.0,0.0,784429.4,256284.84,707211.6,
201,445.3131008038552,6.251475,,,,,,,,,,,0.0,0.0,0.0,691050.0,618542.56,1103891.2,
98,447.1269896151046,4.6893725,,,,23.0,,,,,,,0.0,0.0,0.0,396407.16,489896.84,514181.6,
107,448.2032237774849,4.898487,,,,,,,,,,,0.0,0.0,0.0,83090.31,95138.88,121074.984,
121,448.2033353178768,5.430351,,,,27.0,,,,,,,0.0,0.0,0.0,6236443.5,7044495.5,7188043.0,
429,449.16086648497117,7.873792599999999,,,,36.0,,,,,,,940154.6,921773.3,1023989.44,0.0,0.0,0.0,
161,449.18469406022905,5.94953,,,,14.0,,,,,,,0.0,0.0,0.0,571628.44,517060.9,560082.3,
62,449.2029723775258,3.8439629999999996,,,,,,,,,,,668209.8,819419.6,691910.06,0.0,0.0,0.0,
370,449.3020615980994,7.767971000000001,,,,44.0,,,,,,,0.0,0.0,0.0,550195.75,410327.8,508390.44,
82,450.2334587491097,4.542909,,,,50.0,,,,,,,0.0,0.0,0.0,2280884.2,2713164.2,3885283.5,
65,451.2171169250726,3.8454866,,,,3.0,,,,,,,0.0,0.0,0.0,477445.4,556432.06,979511.1,
669,451.2450985562168,9.644703999999999,,,,,,,,,,,0.0,0.0,0.0,399314.78,319912.94,530607.25,
291,452.9226368870338,7.373817999999999,,,,46.0,,,,,,,400239.7,412240.25,420434.84,0.0,0.0,0.0,
711,452.92269559676964,10.2333975,,,,32.0,,,,,,,1348823.2,1280902.2,1329391.1,0.0,0.0,0.0,
83,455.188592764003,4.542909,,,,50.0,,,,,,,0.0,0.0,0.0,33078956.0,36426240.0,46258470.0,
344,457.349400565524,7.7005533999999995,,,,,,,,,,,0.0,0.0,0.0,482692.44,201157.11,401540.97,
662,463.33120125291947,9.191782,,,,,,,,,,,0.0,0.0,0.0,11934.976999999999,69743.04,844327.6,
462,466.15091940693367,7.889526400000001,,,,36.0,,,,,,,1599107.4,1505066.9,1651156.1,0.0,0.0,0.0,
486,468.1678038274948,8.2012005,,,,5.0,,,,,,,1450779.5,1384173.2,1503956.1,0.0,11681.255,7392.7344,
61,468.24378480610335,3.8454866,,,,,,,,,,,0.0,0.0,0.0,266037.78,326846.06,521222.72,
90,469.1089833040419,4.6893725,,,,,,,,,,,0.0,0.0,0.0,341365.66,404024.0,429135.84,
122,470.18532502944686,5.430351,,,,27.0,,,,,,,0.0,0.0,0.0,11808889.0,12976840.0,13135237.0,
217,472.20079167660316,6.6014365999999995,,,,21.0,,,,,,,0.0,0.0,0.0,409901.12,411560.8,430027.25,
66,473.19921182059176,3.8454866,,,,3.0,,,,,,,0.0,0.0,0.0,1775188.2,2087157.5,3451053.8,
247,473.34450386771033,7.1044426,,,,,,,,,,,0.0,0.0,0.0,593680.44,316103.9,494354.88,
250,478.2924105100431,7.170813000000001,,,,,,,,,,,0.0,0.0,0.0,825215.6,998251.8,1032750.7,
252,478.2924205572122,7.309551,,,,,,,,,,,0.0,0.0,0.0,188469.33,234498.33,241368.23,
198,480.30804533664065,6.2210717,,,,,,,,,,,0.0,0.0,0.0,407095.1,322152.88,475879.5,
324,481.29202934588255,7.5733485,,,,,,,,,,,0.0,0.0,0.0,775738.56,631849.1,662007.1,
650,481.29213463581254,8.970444,,,,18.0,,,,,,,0.0,0.0,0.0,3402445.5,3224580.5,3630187.8,
308,481.29218006126894,7.4571185,,,,,,,,,,,0.0,0.0,0.0,2751083.0,2157188.5,2623370.0,
542,488.15027977450416,8.565532000000001,,,,52.0,,,,,,,2861329.0,2538964.0,2428923.8,0.0,0.0,0.0,
539,490.1471594949065,8.546342,,,,52.0,,,,,,,2444741.5,2475415.5,2261243.8,0.0,0.0,0.0,
631,495.25711461095284,8.9642935,,,,41.0,,,,,,,2975192.2,3205758.8,3500989.8,0.0,0.0,0.0,
677,495.31472909608567,10.005104,,,,,,,,,,,688904.75,490076.7,615998.9,0.0,0.0,0.0,
335,501.3756984359947,7.693372999999999,,,,,,,,,,,0.0,0.0,0.0,396286.84,156947.27,331307.38,
152,517.2517518065752,5.8064632000000005,,,,,,,,,,,0.0,0.0,0.0,740317.6,538624.25,575078.3,
244,517.3707715809243,7.100826,,,,,,,,,,,0.0,0.0,0.0,526698.3,284214.75,470688.94,
269,520.9098197769276,7.3702826,,,,46.0,,,,,,,103607.68,74575.79,94258.26,0.0,0.0,0.0,
712,520.9099647486152,10.2333975,,,,32.0,,,,,,,929131.44,900959.7,928074.4,0.0,0.0,0.0,
618,523.3457270997519,8.957329,,,,,,,,,,,208987.98,255973.14,333701.47,0.0,0.0,0.0,
191,532.2584329986673,6.163328599999999,,,,65.0,,,,,,,0.0,0.0,0.0,405210.72,607117.8,584279.44,
172,532.2585436549965,6.0697035999999995,,,,,,,,,,,0.0,0.0,0.0,339406.1,517858.97,506841.6,
142,535.2087518594177,5.675162,,,,53.0,,,,,,,0.0,0.0,0.0,869413.3,541581.44,919714.56,
