"","Filename","2024_NEG_CC-Media_1_Run18.mzML","2024_NEG_CC-Media_1_Run54.mzML","2024_NEG_CC-Media_1_Run74.mzML","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML"
"28","84/438.1768mz/4.15min","737171.94","671623.44","783488.5","114875.92","75901.414","93676.086"
"29","86/421.1867mz/4.15min","7143322.0","6908913.0","7291781.5","1159734.9","804098.2","977752.5"
"30","87/603.01mz/4.17min","354005.72","320513.6","323042.4","387478.75","308302.4","342897.6"
"31","88/419.0263mz/4.18min","321818.72","292426.53","285419.25","327468.75","294482.56","290100.75"
"32","89/447.0213mz/4.21min","346492.72","340966.06","304729.28","339719.78","316512.9","332371.66"
"33","90/263.0383mz/4.27min","370760.47","355409.88","336472.12","347975.78","334334.7","330672.06"
"34","92/282.9837mz/4.4min","372839.25","367039.0","356636.1","397801.0","375756.44","353557.5"
"35","93/242.1762mz/4.42min","454055.2","476184.34","423925.6","504428.47","480038.28","483300.25"
"36","94/497.0371mz/4.44min","920532.6","891098.1","855317.56","1045720.06","917589.7","1010404.8"
"37","95/793.0186mz/4.49min","552297.5","645969.56","824908.94","578193.4","626179.7","961622.25"
"38","96/560.999mz/4.49min","356648.84","52823.047","83135.234","86153.47","100456.695","68704.13"
"39","99/341.0486mz/4.56min","769819.6","731420.9","720233.25","816816.8","701846.44","743425.94"
"40","100/404.0444mz/4.56min","455578.47","430917.06","472300.03","483724.84","442972.72","416306.72"
"41","101/422.9768mz/4.56min","811658.5","781681.25","762188.4","861216.7","751914.5","766555.3"
"42","103/653.0255mz/4.57min","472876.2","648001.25","710117.7","551684.56","624998.6","842026.56"
"43","106/497.0371mz/4.67min","1231582.6","1470514.6","1483060.0","1315325.6","1395156.0","1874843.0"
"44","107/228.9699mz/4.74min","482431.5","452592.47","477695.2","494201.06","455355.97","457055.28"
"45","108/227.9666mz/4.74min","6235810.0","6008578.5","6047580.0","6061078.0","5891523.0","5632661.0"
"46","109/229.9645mz/4.74min","6141723.5","5797708.0","5931467.0","6014812.0","5972596.0","5573851.0"
"47","110/230.9678mz/4.74min","502040.44","481220.8","478405.1","476722.94","474965.25","443309.94"
"48","111/266.9888mz/4.76min","1636597.2","1497906.2","1466277.5","1691425.6","1532154.0","1368003.4"
"49","112/268.9857mz/4.76min","534256.3","494510.3","472073.7","568111.9","515641.25","455835.0"
"50","113/637.0305mz/4.78min","3480199.5","4533580.0","4849526.0","4013649.8","4042159.5","5572367.5"
"51","116/481.0421mz/4.92min","3987048.2","4435128.5","4513336.0","3987698.8","4070791.8","5142831.0"
"52","117/544.0379mz/4.92min","1560393.9","1868738.9","1981453.8","1574437.8","1655809.9","2149699.5"
"53","118/426.9678mz/4.97min","8676965.0","9410482.0","8544583.0","10754062.0","10561936.0","9637257.0"
"54","119/428.9624mz/4.97min","303575.16","378267.6","319286.0","403793.75","396905.7","366830.4"
"55","120/396.2154mz/4.99min","0.0","0.0","0.0","909457.56","536284.44","775604.8"
"56","121/397.219mz/4.99min","0.0","0.0","0.0","152305.28","94906.47","131348.61"
"57","122/484.2681mz/5.03min","0.0","0.0","0.0","1311657.5","797769.3","1249536.9"
"58","123/501.2583mz/5.03min","0.0","0.0","0.0","270422.0","156216.22","254273.72"
"59","124/653.0254mz/5.04min","50463.01","59587.9","76167.6","54784.625","58481.97","78698.12"
"60","125/396.2154mz/5.1min","0.0","0.0","0.0","2768363.8","1713910.9","2769893.5"
"61","126/397.2189mz/5.1min","0.0","0.0","0.0","515677.44","307468.3","516834.34"
"62","127/424.2468mz/5.13min","0.0","0.0","0.0","162407.5","51520.05","152315.69"
"63","128/484.2681mz/5.14min","0.0","0.0","0.0","3616339.8","2537889.0","3780737.5"
"64","129/501.2583mz/5.14min","0.0","0.0","0.0","690669.44","487320.1","743505.94"
"65","130/424.2468mz/5.21min","0.0","0.0","0.0","174595.0","83637.05","161953.9"
"66","131/214.8799mz/5.28min","213178.03","1304446.0","267963.12","180988.45","172823.66","249797.44"
"67","132/241.8989mz/5.28min","130462.44","1610663.0","356379.22","228872.84","285992.38","258810.86"
"68","133/187.8609mz/5.3min","107922.086","563962.7","213625.47","111107.55","47199.15","212259.11"
"69","134/779.365mz/5.29min","70632.34","21298.58","20426.826","772023.94","432716.03","565327.4"
"70","135/424.2468mz/5.55min","0.0","0.0","0.0","804076.6","500993.0","756293.56"
"71","136/214.8799mz/5.61min","134985.78","75661.84","1137599.1","29718.564","124110.51","180272.89"
"72","137/241.8989mz/5.59min","324283.62","97056.08","2262877.0","159073.42","303515.4","351395.53"
"73","138/512.2994mz/5.6min","0.0","0.0","0.0","128773.26","76161.95","122300.74"
"74","139/705.3283mz/5.63min","68009.695","25577.787","22592.043","489167.97","264946.7","327699.4"
"75","140/424.2469mz/5.66min","0.0","0.0","0.0","3059949.2","2058347.2","3118588.8"
"76","141/512.2994mz/5.71min","0.0","0.0","0.0","519598.2","375007.28","535724.9"
"77","143/315.2541mz/5.8min","0.0","0.0","0.0","116824.41","66822.36","104149.8"
"78","144/562.0038mz/5.83min","64103.527","64402.75","56522.895","59231.617","56904.168","71395.22"
"79","145/195.906mz/6.01min","0.0","0.0","0.0","0.0","198852.66","0.0"
"80","146/214.8799mz/6.0min","68773.24","134735.53","72440.48","16127.288","777054.6","216166.8"
"81","147/241.8989mz/5.96min","314531.12","397361.34","318291.72","262851.7","1409367.0","287083.3"
"82","148/187.8609mz/6.02min","0.0","0.0","0.0","0.0","172636.62","0.0"
"83","149/315.2541mz/6.01min","11262.858","15142.001","5673.1357","115011.51","74739.94","107926.07"
"84","150/265.1479mz/6.02min","510514.5","776412.3","432931.3","580032.0","215177.77","434567.06"
"85","151/311.2229mz/6.03min","432052.5","400411.72","416165.12","0.0","0.0","0.0"
"86","152/297.153mz/6.07min","406750.53","703972.5","437968.16","395955.84","110417.33","265969.28"
"87","153/271.2279mz/6.06min","0.0","0.0","0.0","326082.88","179300.84","254945.56"
"88","154/297.153mz/6.14min","337986.5","491787.62","388312.53","331055.12","203168.47","234035.16"
"89","155/452.2782mz/6.13min","0.0","0.0","0.0","930154.94","628842.3","912900.4"
"90","156/315.2541mz/6.14min","0.0","0.0","0.0","427414.44","236347.86","343795.9"
"91","157/540.3308mz/6.19min","0.0","0.0","0.0","141203.97","98026.41","145578.94"
"92","158/452.2782mz/6.24min","0.0","0.0","0.0","5552533.5","3698379.8","5394294.0"
"93","159/478.2939mz/6.3min","0.0","0.0","0.0","3028820.2","1575212.0","2638266.0"
"94","160/540.3309mz/6.3min","0.0","0.0","0.0","962392.06","768470.1","1034304.5"
"95","161/480.2991mz/6.3min","0.0","0.0","0.0","110371.08","53516.062","92865.33"
"96","162/566.3466mz/6.37min","0.0","0.0","0.0","405563.7","244704.3","382524.7"
"97","163/271.2279mz/6.39min","0.0","0.0","0.0","311101.3","202246.3","241514.03"
"98","164/957.5953mz/6.41min","0.0","0.0","0.0","480843.44","162516.58","467697.62"
"99","165/478.2939mz/6.41min","0.0","0.0","0.0","11101540.0","6233555.0","10607851.0"
"100","166/480.2991mz/6.41min","0.0","0.0","0.0","410062.38","241661.5","375621.4"
