"","filter","2024_NEG_CC-Media_1_Run18.mzML","2024_NEG_CC-Media_1_Run54.mzML","2024_NEG_CC-Media_1_Run74.mzML","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML"
"116/481.0421mz/4.92min",4252960.15,3987048.2,4435128.5,4513336,3987698.8,4070791.8,5142831
"117/544.0379mz/4.92min",1762274.4,1560393.9,1868738.9,1981453.8,1574437.8,1655809.9,2149699.5
"118/426.9678mz/4.97min",9523869.5,8676965,9410482,8544583,10754062,10561936,9637257
"119/428.9624mz/4.97min",372549,303575.16,378267.6,319286,403793.75,396905.7,366830.4
"120/396.2154mz/4.99min",321770.664,107256.888,107256.888,107256.888,909457.56,536284.44,775604.8
"121/397.219mz/4.99min",56943.882,18981.294,18981.294,18981.294,152305.28,94906.47,131348.61
"122/484.2681mz/5.03min",478661.58,159553.86,159553.86,159553.86,1311657.5,797769.3,1249536.9
"123/501.2583mz/5.03min",93729.732,31243.244,31243.244,31243.244,270422,156216.22,254273.72
"124/653.0254mz/5.04min",59034.935,50463.01,59587.9,76167.6,54784.625,58481.97,78698.12
"125/396.2154mz/5.1min",1028346.54,342782.18,342782.18,342782.18,2768363.8,1713910.9,2769893.5
"126/397.2189mz/5.1min",184480.98,61493.66,61493.66,61493.66,515677.44,307468.3,516834.34
"127/424.2468mz/5.13min",30912.03,10304.01,10304.01,10304.01,162407.5,51520.05,152315.69
"128/484.2681mz/5.14min",1522733.4,507577.8,507577.8,507577.8,3616339.8,2537889,3780737.5
"129/501.2583mz/5.14min",292392.06,97464.02,97464.02,97464.02,690669.44,487320.1,743505.94
"130/424.2468mz/5.21min",50182.23,16727.41,16727.41,16727.41,174595,83637.05,161953.9
"131/214.8799mz/5.28min",231487.735,213178.03,1304446,267963.12,180988.45,172823.66,249797.44
"132/241.8989mz/5.28min",272401.62,130462.44,1610663,356379.22,228872.84,285992.38,258810.86
"133/187.8609mz/5.3min",161683.33,107922.086,563962.7,213625.47,111107.55,47199.15,212259.11
"134/779.365mz/5.29min",251674.185,70632.34,21298.58,20426.826,772023.94,432716.03,565327.4
"135/424.2468mz/5.55min",300595.8,100198.6,100198.6,100198.6,804076.6,500993,756293.56
"136/214.8799mz/5.61min",129548.145,134985.78,75661.84,1137599.1,29718.564,124110.51,180272.89
"137/241.8989mz/5.59min",313899.51,324283.62,97056.08,2262877,159073.42,303515.4,351395.53
"138/512.2994mz/5.6min",45697.17,15232.39,15232.39,15232.39,128773.26,76161.95,122300.74
"139/705.3283mz/5.63min",166478.1975,68009.695,25577.787,22592.043,489167.97,264946.7,327699.4
"140/424.2469mz/5.66min",1235008.32,411669.44,411669.44,411669.44,3059949.2,2058347.2,3118588.8
"141/512.2994mz/5.71min",225004.368,75001.456,75001.456,75001.456,519598.2,375007.28,535724.9
"143/315.2541mz/5.8min",40093.416,13364.472,13364.472,13364.472,116824.41,66822.36,104149.8
"144/562.0038mz/5.83min",61667.572,64103.527,64402.75,56522.895,59231.617,56904.168,71395.22
"145/195.906mz/6.01min",39770.532,39770.532,39770.532,39770.532,39770.532,198852.66,39770.532
"146/214.8799mz/6.0min",103588.005,68773.24,134735.53,72440.48,16127.288,777054.6,216166.8
"147/241.8989mz/5.96min",316411.42,314531.12,397361.34,318291.72,262851.7,1409367,287083.3
"148/187.8609mz/6.02min",34527.324,34527.324,34527.324,34527.324,34527.324,172636.62,34527.324
"149/315.2541mz/6.01min",44940.9705,11262.858,15142.001,5673.1357,115011.51,74739.94,107926.07
"150/265.1479mz/6.02min",472540.78,510514.5,776412.3,432931.3,580032,215177.77,434567.06
"151/311.2229mz/6.03min",240247.032,432052.5,400411.72,416165.12,80082.344,80082.344,80082.344
"152/297.153mz/6.07min",401353.185,406750.53,703972.5,437968.16,395955.84,110417.33,265969.28
"153/271.2279mz/6.06min",107580.504,35860.168,35860.168,35860.168,326082.88,179300.84,254945.56
"154/297.153mz/6.14min",334520.81,337986.5,491787.62,388312.53,331055.12,203168.47,234035.16
"155/452.2782mz/6.13min",377305.38,125768.46,125768.46,125768.46,930154.94,628842.3,912900.4
"156/315.2541mz/6.14min",141808.716,47269.572,47269.572,47269.572,427414.44,236347.86,343795.9
"157/540.3308mz/6.19min",58815.846,19605.282,19605.282,19605.282,141203.97,98026.41,145578.94
"158/452.2782mz/6.24min",2219027.88,739675.96,739675.96,739675.96,5552533.5,3698379.8,5394294
"159/478.2939mz/6.3min",945127.2,315042.4,315042.4,315042.4,3028820.2,1575212,2638266
"160/540.3309mz/6.3min",461082.06,153694.02,153694.02,153694.02,962392.06,768470.1,1034304.5
"161/480.2991mz/6.3min",32109.6372,10703.2124,10703.2124,10703.2124,110371.08,53516.062,92865.33
"162/566.3466mz/6.37min",146822.58,48940.86,48940.86,48940.86,405563.7,244704.3,382524.7
"163/271.2279mz/6.39min",121347.78,40449.26,40449.26,40449.26,311101.3,202246.3,241514.03
"164/957.5953mz/6.41min",97509.948,32503.316,32503.316,32503.316,480843.44,162516.58,467697.62
"165/478.2939mz/6.41min",3740133,1246711,1246711,1246711,11101540,6233555,10607851
"166/480.2991mz/6.41min",144996.9,48332.3,48332.3,48332.3,410062.38,241661.5,375621.4
"168/566.3466mz/6.47min",781222.86,260407.62,260407.62,260407.62,2011159.4,1302038.1,2015869.9
"169/297.2436mz/6.48min",67584.065,30689.91,26520.266,29769.15,184996.92,104478.22,140608.97
"170/590.1196mz/6.5min",550053.77,524695.2,540174.9,556753.94,698235.94,581986.1,543353.6
"171/573.1293mz/6.5min",278197.715,242176.97,244228.95,265173.4,354637.03,294492.62,291222.03
"173/311.1687mz/6.53min",1533719.75,1421856.9,1981558.8,1645582.6,1737269.8,996377.56,1040250.3
"174/506.3252mz/6.57min",25245.5976,8415.1992,8415.1992,8415.1992,93383.7,42075.996,93380.98
"175/297.2436mz/6.61min",231037.428,77012.476,77012.476,77012.476,705437.75,385062.38,588924.56
"176/654.1321mz/6.62min",620203.38,658553.7,695528.6,719981.6,581853.06,503467.03,456634.3
"177/637.1419mz/6.63min",430961.43,208494.94,249824.58,260762.36,742697.44,601160.5,607186.3
"178/311.1687mz/6.64min",1037902.4,974930.3,1225817.2,1100874.5,1119345.5,769201.5,845185.9
"179/634.4456mz/6.7min",221613.54,73871.18,73871.18,73871.18,369355.9,1579137,522098.38
"180/299.2592mz/6.68min",1256625.06,418875.02,418875.02,418875.02,3388781.8,2094375.1,2726822.8
"181/300.2626mz/6.68min",236553.882,78851.294,78851.294,78851.294,635136.06,394256.47,537180.06
"182/573.1293mz/6.68min",442118.1,142856.73,171168.64,159445.64,941699.8,713468.5,713067.56
"184/520.3046mz/6.68min",69785.325,23261.775,23261.775,23261.775,619270.9,116308.875,434940.44
"185/297.2436mz/6.71min",168066.528,56022.176,56022.176,56022.176,512959.03,280110.88,388409.72
"186/480.3096mz/6.71min",102397.116,34132.372,34132.372,34132.372,286617.2,170661.86,255503.1
"187/701.1544mz/6.71min",278578.775,132437.38,167018.61,177470.55,494174.22,379687,414025.75
"188/635.4489mz/6.74min",133694.904,44564.968,44564.968,44564.968,222824.84,481375.47,798919.9
"189/481.313mz/6.71min",17824.0338,5941.3446,5941.3446,5941.3446,64564.203,29706.723,54680.31
"190/718.1445mz/6.72min",523341.875,535094.25,591679.56,581802.75,480480.12,511589.5,432678.16
"192/590.1195mz/6.74min",390812.065,263325.88,548496.1,304249.6,490574.34,423334.53,358289.6
"193/295.2279mz/6.77min",252194.418,84064.806,84064.806,84064.806,635072.9,420324.03,733403.8
"194/634.4456mz/6.8min",297501.018,99167.006,99167.006,99167.006,1081319,495835.03,2177745.5
"195/782.1569mz/6.8min",432033.36,373075.9,430411.1,433655.62,445723.06,453937.53,381696.1
"196/765.167mz/6.81min",122676.097,71698.13,97253.87,107657.914,172986.48,148000.11,137694.28
"197/654.1321mz/6.82min",1858058.05,1724834.5,1836968.9,1879147.2,2064544.8,1920280.2,1705146.6
"198/481.3129mz/6.82min",163821.54,54607.18,54607.18,54607.18,435096.6,273035.9,376125.8
"199/297.2436mz/6.83min",21848.3838,7282.7946,7282.7946,7282.7946,64958.69,36413.973,48204.07
"200/480.3096mz/6.83min",666693.6,222231.2,222231.2,222231.2,1841383.1,1111156,1604569
"201/565.2874mz/6.83min",24253.122,8084.374,8084.374,8084.374,63614.79,40421.87,62948.715
"202/637.1419mz/6.83min",797209.88,526783.7,447940.84,729633.7,1089877.2,879505.8,864786.06
"203/506.3252mz/6.84min",17574.3984,5858.1328,5858.1328,5858.1328,73450.65,29290.664,67937.4
"204/846.1694mz/6.89min",269062,273153.03,285747.12,279870.06,264970.97,259154.84,210270.86
"206/299.2593mz/6.88min",397661.5418,5963.6836,5290.9995,1058.1999,1381080.1,789359.4,1129585.2
"207/718.1446mz/6.92min",2071412.35,2062879.9,2131508.8,2111458.8,2079944.8,1988720.1,1797253.2
"208/701.1544mz/6.93min",941898.75,518124.9,769562.06,795859.1,1460637.8,1087938.4,1153093.6
"209/634.4456mz/6.89min",220264.596,73421.532,73421.532,73421.532,2215181,367107.66,741169.1
"210/506.3252mz/6.95min",93305.904,31101.968,31101.968,31101.968,350362.84,155509.84,330003.3
"211/893.1922mz/6.97min",65249.949,5582.677,27913.385,42407.164,130107.67,88092.734,101601.46
"212/765.1668mz/6.97min",807736.725,363466.75,636623.25,625515.25,1274761,978850.2,1051485.1
"214/910.182mz/6.99min",166172.9,163221.5,166397.72,180067.72,166454.08,128955.56,165948.08
"215/782.157mz/6.99min",1596963.75,1653984.4,1720511,1748828.4,1539943.1,1502992.6,1321836.4
"216/637.1418mz/7.02min",280512.8,118526.945,254818.08,263331.44,378073.94,303270.38,297694.16
"217/325.1844mz/7.04min",1282241.35,1414982.1,1381738.2,1182744.5,1551514.4,559043.25,249968.67
"219/271.2279mz/7.02min",48739.273,26276.9,32969.836,27994.75,107667.586,64508.71,98072.875
"221/974.1943mz/7.03min",106765.64,118227.52,127319.4,101463.51,107611.22,105920.06,79763.15
"222/297.2435mz/7.05min",19672.17,6557.39,6557.39,6557.39,56548.3,32786.95,42907.766
"223/846.1693mz/7.05min",1192459.1,1129336,1307499.2,1203573.8,1345833.6,1181344.4,1034757.06
"224/829.1793mz/7.05min",513689.93,232793.86,444147.88,510779.16,560772.94,697226.44,516600.7
"226/1131.5713mz/7.07min",136774.164,45591.388,45591.388,45591.388,391379.3,227956.94,306260.06
"227/565.2823mz/7.07min",1842142.08,614047.36,614047.36,614047.36,4275468.5,3070236.8,3672834.5
"228/628.2779mz/7.08min",239820.264,79940.088,79940.088,79940.088,541845.3,399700.44,474629.47
"229/701.1544mz/7.08min",608003.65,281405.16,621188.7,648374.5,633211.5,594818.6,503871.22
"231/718.1446mz/7.1min",994973.075,1046881.56,996291.25,993654.9,1018797.2,944577.1,920326.56
"232/893.1918mz/7.11min",356761.875,147340.64,366801.38,354322.53,406572.78,359201.22,329077
"233/910.1819mz/7.11min",875529,760883.25,829623.06,798930.6,1033536.75,970170.44,921434.94
"234/782.157mz/7.14min",1236648.45,1283077.1,1247259.8,1113899.9,1433329.9,1154045.8,1226037.1
"235/765.1668mz/7.14min",740175.33,318463.8,821451.06,885946.44,842092.8,658899.6,569113.25
"236/974.1943mz/7.15min",575234.6,591279.3,517552.6,571138.5,637664.1,544151.2,579330.7
"237/957.2041mz/7.15min",235465.015,85308.336,259349.1,248557.28,243276.08,227653.95,191187.2
"238/750.5292mz/7.18min",2538011.1135,11135.7454,7339618,5724831,11135.7454,5020343.5,55678.727
"239/846.1693mz/7.2min",1067711.93,1152150.5,1032699.06,1016805.94,1189718.9,1027176,1102724.8
"240/829.1793mz/7.22min",764064.45,269145.75,837101.94,800923.3,727205.6,810228.7,601849.06
"241/1021.2165mz/7.2min",115486.552,36926.984,187220.12,176974.94,94627.56,126281.734,104691.37
"243/421.2264mz/7.22min",1413122.8,1543095.5,1354569.5,1366709.8,1746980.5,1348720.8,1459535.8
"244/271.2279mz/7.23min",25304.5905,16963.104,27517.48,23091.701,110824.055,19309.414,44293.64
"245/325.1844mz/7.23min",621527.85,707378.7,656438.9,586616.8,771818.06,386909.53,501402.4
"246/910.1819mz/7.25min",810175.225,920664.75,836139.9,807910.25,812440.2,670823.94,695453.3
"247/893.1917mz/7.26min",763691.345,208345.1,687881.4,728906.44,959961.4,949905.25,798476.25
"249/974.1942mz/7.3min",565964.95,605807.1,656602.9,618903.7,526122.8,403348.22,248745.39
"252/327.127mz/7.3min",257224.764,85741.588,85741.588,85741.588,684717.25,428707.94,579598.2
"253/116.9286mz/7.33min",737516.575,824096.44,729084.9,745948.25,631202.44,839607.25,425759.62
"255/134.8947mz/7.34min",465452.72,191317.61,253075.06,441822.44,970854.1,489083,694814.2
"257/957.204mz/7.31min",686332.625,151072.47,576965.4,581705.5,986759.4,949056.3,790959.75
"258/701.1543mz/7.32min",118552.225,15732.398,78661.99,98036.62,192599.95,165374.25,139067.83
"259/1021.2163mz/7.34min",520097,86789.15,432230.5,450575.6,734050.25,698108.94,589618.4
"260/245.8947mz/7.32min",7511.3874,76685.266,2503.7958,2503.7958,12518.979,2503.7958,147436.88
"261/195.8109mz/7.36min",42582.784,42582.784,42582.784,42582.784,42582.784,42582.784,212913.92
"262/197.8079mz/7.36min",55709.14,55709.14,55709.14,55709.14,55709.14,55709.14,278545.7
"263/243.8995mz/7.34min",98342.09,478428.8,73165.37,62500.375,123518.81,42743.773,358852.88
"264/782.157mz/7.36min",150186.625,152883.02,147490.23,168418.52,182637.08,117734.69,146332.42
"265/765.1668mz/7.36min",236194.7,27418.176,199873.19,220917.45,308910.38,327568.9,251471.95
"266/717.5272mz/7.42min",597418.164,199139.388,10754722,1438815.9,199139.388,995696.94,199139.388
"267/716.5239mz/7.39min",1342393.48,13096.492,21377418,20885016,13096.492,2619304.5,65482.46
"268/846.1694mz/7.4min",194585.71,181452.5,189281.94,199889.48,240288.77,171629.27,204489.31
"269/829.1793mz/7.4min",271955.65,47982.93,253535.8,290375.5,359697.16,332707.75,217189.1
"270/447.3075mz/7.46min",67119.3,22373.1,22373.1,22373.1,169792.36,111865.5,174851.34
"271/910.182mz/7.43min",205617.025,187891.19,249593.8,216366.47,245553.72,194867.58,191937.72
"272/430.3172mz/7.46min",138849.696,46283.232,46283.232,46283.232,272284.72,269242.6,231416.16
"273/893.1917mz/7.44min",358227.64,45863.645,291317.5,322252.84,486137.25,463943.2,394202.44
"274/694.4669mz/7.44min",5181351.6,1727117.2,1727117.2,1727117.2,17336508,8635586,15176437
"275/711.457mz/7.44min",446807.88,148935.96,148935.96,148935.96,2306088.8,744679.8,1987839
"276/974.1941mz/7.45min",175770.295,205678.16,203266.56,234966.17,148274.03,147046.16,115553.2
"277/957.2039mz/7.46min",411499.315,35653.51,314503.56,330942.75,577123.25,509992.34,492055.88
"278/1021.2163mz/7.48min",354997.06,36438.9,294263.12,281097.78,537783.75,440395.12,415731
"279/717.5272mz/7.53min",1004358.54,334786.18,2260340.5,9158775,334786.18,1673930.9,334786.18
"280/430.3172mz/7.52min",143949.27,47983.09,47983.09,47983.09,476947.94,239915.45,319809.8
"281/447.3075mz/7.53min",128505.93,42835.31,42835.31,42835.31,421367.6,214176.55,308145.88
"282/161.9136mz/7.55min",462043.075,568924.5,468483.75,409192.7,571088.25,455602.4,358223.8
"283/744.5548mz/7.58min",3054.40842,1018.13614,6285295.5,1280532.8,1018.13614,1018.13614,5090.6807
"284/134.8947mz/7.59min",1342932.75,599277.4,475241.56,771033.6,2355043.2,2061461.2,1914831.9
"286/501.3546mz/7.59min",897912.96,299304.32,299304.32,299304.32,2889139.2,1496521.6,2334772.8
"287/484.3644mz/7.6min",354374.64,118124.88,118124.88,118124.88,1209560.2,590624.4,917544.1
"288/299.2592mz/7.6min",178265.268,59421.756,59421.756,59421.756,517657.3,297108.78,436065.16
"290/122.9758mz/7.68min",52174.6404,17391.5468,17391.5468,17391.5468,129808.84,86957.734,93194.33
"291/455.2106mz/7.68min",327928.68,109309.56,109309.56,109309.56,1022370.25,546547.8,801581.94
"292/716.5239mz/7.64min",1443944.825,22370.73,2776036,4065058,22370.73,11403737,111853.65
"293/186.9706mz/7.71min",174492.47,10743.104,92037.56,120549.54,264990.75,228435.4,247537.62
"294/116.9286mz/7.73min",2290864.3,2052267.8,1607187.6,1562418,3511324,2529460.8,2993136.2
"295/115.9208mz/7.72min",1029438.875,941693,947389.25,1111488.5,1454585.4,868638.5,2500541.5
"297/134.8947mz/7.71min",1749429.85,1204715.9,919789.5,436162.44,2403186.8,2294143.8,2298602.8
"299/161.9136mz/7.72min",407134.69,369761.66,232972.16,400479,413790.38,414419.94,730192.1
"300/299.2592mz/7.77min",7295.5146,2431.8382,2431.8382,2431.8382,96527.62,12159.191,20990.783
"301/720.4824mz/7.8min",339571.836,113190.612,113190.612,113190.612,601669.75,565953.06,890286
"302/100.9337mz/7.86min",734703.22,442760.06,1370036.8,725656.94,661730.56,743749.5,2152338
"303/161.9136mz/7.83min",343208.7,653377.94,270991.25,409684.12,363944.34,313101.78,322473.06
"304/116.9286mz/7.84min",5950177.75,12393366,9459970,9250374,2649981.5,2341646.5,2326403
"305/115.9208mz/7.84min",3232533.5,2716332.5,2872983.5,2125517.5,5156863,3592083.5,5494121
"307/355.1579mz/7.84min",1521848.46,185620.92,59089.965,46117.81,5181977.5,2858076,3674641.2
"308/186.9706mz/7.84min",305798.565,87716.66,256084.97,250572.06,395209.28,355512.16,393394.06
"309/578.3829mz/7.84min",168728.868,56242.956,56242.956,56242.956,537635.8,281214.78,451221.06
"310/144.9235mz/7.87min",2389560.35,2207950.2,1668841.6,1684144,3223718.5,2571170.5,2811093
"311/122.9758mz/7.87min",56890.851,1002.7514,5013.757,1002.7514,190800.8,130429.98,108767.945
"312/703.5632mz/7.85min",75929.568,25309.856,25309.856,25309.856,204662.1,126549.28,147436.88
"313/134.8947mz/7.85min",1368237.45,1570173.4,3109408.5,815535.2,1313767.5,1313725.6,1422707.4
"315/685.5011mz/7.86min",70986.1596,23662.0532,23662.0532,23662.0532,196996.38,118310.266,140590.67
"316/634.4455mz/7.92min",4866147.79,8483.889,79115.58,42419.445,17272704,9653180,14152182
"318/567.4017mz/7.93min",225432.336,75144.112,75144.112,75144.112,644376.44,375720.56,402892.1
"320/685.5011mz/7.93min",612998.1,204332.7,204332.7,204332.7,1384855.6,1021663.5,1071591.6
"321/100.9337mz/7.97min",1482416.8,1048909.5,1955329.6,440016.25,1346549.8,1618283.8,1891711.1
"322/122.9758mz/7.95min",113008.26,37669.42,37669.42,37669.42,259761.42,188347.1,236951.31
"323/180.9812mz/7.9min",137769.955,5616.9082,28084.541,72272.47,234355.89,203267.44,295909.3
"324/281.2486mz/7.94min",82745.532,27581.844,27581.844,27581.844,400204.72,137909.22,223156.5
"326/668.5111mz/7.94min",104306.316,34768.772,34768.772,34768.772,517202.06,173843.86,257369.77
"327/383.1776mz/7.94min",152665.716,50888.572,50888.572,50888.572,487479.2,254442.86,327749.84
"330/379.1792mz/7.94min",189691.572,63230.524,63230.524,63230.524,614135,316152.62,443947.94
"331/381.1737mz/7.94min",3956273.4,1318757.8,1318757.8,1318757.8,12026891,6593789,8592809
"332/186.9706mz/7.95min",413290.65,59611.477,279871.1,156907.08,578678.75,546710.2,577833.9
"333/115.9208mz/7.98min",3788381,1885097.5,3296047.5,1143598.4,5215941.5,4280714.5,5161455.5
"334/144.9235mz/7.99min",2671495.8,2721741.8,1964439.4,2003131.4,3009317.8,2621249.8,3623765
"335/703.5632mz/7.96min",140499.696,46833.232,46833.232,46833.232,318556.75,234166.16,306740.06
"338/134.8947mz/8.01min",1971781.45,1565606.4,511641.12,921579.44,2651161.5,2377956.5,2567694
"339/161.9136mz/7.96min",413828.42,625335.75,398203.4,279730.94,431427.06,360505.9,429453.44
"340/720.4822mz/7.99min",3746.619,1248.873,1248.873,1248.873,80359.63,6244.365,121732.8
"341/134.8947mz/8.07min",1664467.5,1683286.6,1007358.56,643762.7,1968338.2,1925549.8,1645648.4
"342/742.5395mz/8.08min",421314.036,140438.012,4822725.5,4365545,140438.012,702190.06,140438.012
"344/186.9706mz/8.11min",307873.89,163860.03,322023.03,313540.66,318090.03,302207.12,207863.12
"345/100.9337mz/8.07min",949920.35,1855549.6,3793995,675002.5,759258.7,592429.1,1140582
"346/529.3859mz/8.07min",451693.05,150564.35,150564.35,150564.35,1635350.4,752821.75,1209784.9
"347/669.5061mz/8.07min",186988.272,62329.424,62329.424,62329.424,649242.75,311647.12,449642
"348/512.3957mz/8.08min",131929.884,43976.628,43976.628,43976.628,432822.66,219883.14,325990.62
"349/652.516mz/8.08min",92319.552,30773.184,30773.184,30773.184,322104.06,153865.92,212090.19
"350/660.4613mz/8.11min",2508263.4,836087.8,836087.8,836087.8,6925559,4180439,5830251
"351/665.4403mz/8.18min",21870.802,21870.802,109354.01,697041.9,21870.802,21870.802,21870.802
"352/115.9208mz/8.19min",3185362.6,22956276,18390328,3097980,1109313.1,1309689.5,3272745.2
"353/100.9337mz/8.21min",939989.275,5787218,795094.4,984094.8,1755621.1,895883.75,450734.94
"354/683.4854mz/8.18min",264150.936,88050.312,88050.312,88050.312,891626.9,440251.56,592989.5
"355/667.4909mz/8.21min",99231.15,33077.05,33077.05,33077.05,287403.12,165385.25,208250.97
"358/100.9337mz/8.27min",2222237.55,1949023.9,4204680,5465797,805405.94,1220602,2495451.2
"362/703.5633mz/8.28min",847927.08,282642.36,282642.36,282642.36,2041118.4,1413211.8,1662352.1
"363/180.9812mz/8.31min",166100.025,44881.953,103006.25,136601.33,221794.52,195598.72,313835.38
"364/381.1949mz/8.28min",75054.6096,25018.2032,25018.2032,25018.2032,290946.12,125091.016,198975.56
