"MetaboAnalyst_ID","X2024_NEG_CC.Media_1_Run18.mzML","X2024_NEG_CC.Media_1_Run54.mzML","X2024_NEG_CC.Media_1_Run74.mzML","X2024_NEG_CC_1_Run21.mzML","X2024_NEG_CC_2_Run48.mzML","X2024_NEG_CC_3_Run62.mzML","shared_name"
"352/115.9208mz/8.19min",3.56600856344591,3.48581773570087,2.70949698772521,2.26250426966205,2.34694076892034,2.76419858052995,"352"
"353/100.9337mz/8.21min",2.9675769681227,2.12164695709628,2.21145531613045,2.46188091920478,2.18202408317433,1.90320761599868,"353"
"358/100.9337mz/8.27min",2.49492429092483,2.84496120973313,2.95607187586913,2.12346495717766,2.31634650053366,2.64643546743357,"358"
"362/703.5633mz/8.28min",1.65634439276119,1.67246552627362,1.66965564381505,2.52731832505895,2.37997967814773,2.47000940261637,"362"
"369/186.9706mz/8.33min",1.7405307409186,1.37402100930607,1.94064874990802,2.35718744727793,2.37659520826292,2.41419448652252,"369"
"370/383.1893mz/8.28min",1.34744405873205,1.24111768125659,1.13076121345374,2.99825169914322,2.64407055286745,2.87031252962551,"370"
"371/115.9208mz/8.28min",2.80832386052216,2.94121145290287,3.4841899869824,3.41993623718689,3.29539937309287,3.25742839083058,"371"
"374/134.8947mz/8.29min",2.41114602797547,2.70592009809595,2.9601885436329,2.92471048110361,2.7834099913998,2.94979696343694,"374"
"377/144.9235mz/8.31min",3.3327720620327,3.25722225488262,3.25059839258423,3.13861477168295,3.11657307824556,3.11689185964154,"377"
"378/161.9136mz/8.31min",1.91292309914243,2.06702613175785,2.03025129974557,2.23063875729342,2.18666099849293,2.37010674276448,"378"
"379/100.9337mz/8.32min",2.24356736916828,2.6641213534906,2.74239187986492,2.26762042104549,2.06925468326081,2.47352412143278,"379"
"380/667.4906mz/8.28min",1.46687746872169,1.48299860062139,1.48018871843537,2.29248128649176,2.19051273237354,2.23464980070728,"380"
"384/134.8947mz/8.4min",3.18606902508099,2.60498587249428,2.58354717278303,2.49927811728989,2.49481113701426,2.62306467803282,"384"
"385/161.9136mz/8.41min",2.95989820859497,2.70501302046516,2.65200777033489,2.1729769243875,2.25690997045002,2.31021513474949,"385"
"387/186.9706mz/8.41min",1.88816444125349,2.08245055053238,2.09213547971514,1.76203612215276,2.14676593130815,1.93603347989909,"387"
"389/100.9337mz/8.38min",2.14406023046948,2.34528694272843,1.88229862334963,2.14189746459787,2.14469654416859,1.67208109539924,"389"
"393/100.9337mz/8.42min",2.05100006810477,1.88446305942954,2.19324368238617,1.99492799210185,2.13867960270436,2.09122438628958,"393"
"396/669.5064mz/8.48min",1.43090222942658,1.44702336082706,1.44421347872541,2.47645788671845,2.15453748635063,2.3866606293429,"396"
"400/711.5167mz/8.54min",1.32261248861847,1.33873361790485,1.33592373616048,2.2567346931186,2.04624771705099,2.15326300389329,"400"
