"","filter","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-VPA_1_Run27.mzML","2024_NEG_CC-VPA_2_Run36.mzML","2024_NEG_CC-VPA_3_Run77.mzML"
"104/484.2681mz/5.03min",1280597.2,1311657.5,797769.3,1249536.9,1178386,1568127.9,1463050.8
"105/501.2583mz/5.03min",262347.86,270422,156216.22,254273.72,238359.84,309803.94,311683.28
"106/653.0254mz/5.04min",59060.945,54784.625,58481.97,78698.12,70695.15,49805.82,59639.92
"107/410.2311mz/5.06min",87312.015,103379.5,51974.75,89113.56,73695.48,85510.47,90707.44
"108/396.2154mz/5.1min",2668612.5,2768363.8,1713910.9,2769893.5,2568861.2,2434618.5,3084597.8
"109/397.2189mz/5.1min",484252.91,515677.44,307468.3,516834.34,452828.38,444084.94,550620.56
"110/424.2468mz/5.15min",146638.105,162407.5,75855.96,57278.75,130868.71,166555.53,170665.88
"111/484.2681mz/5.14min",3780882.15,3616339.8,2537889,3780737.5,3781026.8,4595462.5,4110527.5
"112/501.2583mz/5.14min",731159.52,690669.44,487320.1,743505.94,718813.1,866406.06,768062.75
"113/410.2311mz/5.17min",324926.825,360399.53,235453.77,346897.9,271788.9,302955.75,383447.6
"114/424.2468mz/5.21min",153929.23,174595,83637.05,161953.9,137498.94,145904.56,205681.22
"115/779.3652mz/5.3min",647718.575,772023.94,432716.03,565327.4,599148.25,828930.25,696288.9
"116/187.8609mz/5.32min",79153.35,111107.55,47199.15,212259.11,23921.633,40589.344,111574.84
"117/315.2541mz/5.45min",41296.3985,44681.258,26547.475,29931.889,41537.145,83228.336,41055.652
"118/214.8799mz/5.38min",152100.5,35296.652,180823.5,246851.19,117410.19,123377.5,1278336.2
"119/241.8989mz/5.44min",328777.935,245459.05,315385.97,380275.7,51295.727,342169.9,2269281
"120/424.2468mz/5.55min",780185.08,804076.6,500993,756293.56,700686.56,820780.2,870845.25
"121/512.2994mz/5.6min",125537,128773.26,76161.95,122300.74,120971.63,168782.33,147969.28
"122/705.3284mz/5.63min",409397.915,489167.97,264946.7,327699.4,384802.8,540857.5,433993.03
"123/424.2469mz/5.66min",3089269,3059949.2,2058347.2,3118588.8,3004246,3238825.8,3575290
"124/512.2995mz/5.71min",549086.1,519598.2,375007.28,535724.9,562447.3,686640.7,599587.2
"126/315.2541mz/5.8min",110487.105,116824.41,66822.36,104149.8,101346.766,140491.7,124596.02
"127/562.0039mz/5.83min",60063.2085,59231.617,56904.168,71395.22,63738.617,46074.05,60894.8
"128/315.2541mz/5.89min",30914.499,32840.086,21294.408,22499.285,77543.33,39847.145,28988.912
"129/656.1113mz/5.93min",158488.17,179382.88,156333.98,139756.39,160642.36,200276.6,137342.34
"130/195.906mz/6.01min",39770.532,39770.532,198852.66,39770.532,39770.532,39770.532,39770.532
"131/214.8799mz/5.97min",160911.235,16127.288,777054.6,216166.8,144169.22,177653.25,15912.807
"132/241.8989mz/5.96min",282557.73,262851.7,1409367,287083.3,278032.16,362558.5,83737.1
"133/315.2542mz/6.02min",112902.2825,115011.51,74739.94,107926.07,110793.055,145999.08,120491.63
"134/187.8609mz/6.02min",34527.324,34527.324,172636.62,34527.324,34527.324,34527.324,34527.324
"135/265.1479mz/6.02min",384513.23,580032,215177.77,434567.06,334459.4,543584.1,302905.03
"136/271.2279mz/6.06min",275355.28,326082.88,179300.84,254945.56,255609.31,390365.5,295101.25
"137/656.1114mz/6.14min",436112.16,509995.72,443529.72,415395.8,253142.78,574508.75,428694.6
"138/453.2816mz/6.12min",218030.32,219690.95,144243.7,216369.69,191786.92,237652.6,241654.3
"139/452.2782mz/6.13min",921527.67,930154.94,628842.3,912900.4,857613.4,1101981.2,1082828.6
"140/315.2541mz/6.14min",365999.185,427414.44,236347.86,343795.9,342301.6,490712.75,388202.47
"141/540.3308mz/6.19min",148583.665,141203.97,98026.41,145578.94,151588.39,183458.73,168363.47
"142/452.2782mz/6.24min",5473413.75,5552533.5,3698379.8,5394294,4748655.5,6032192.5,6047617.5
"144/480.299mz/6.3min",97946.96,110371.08,53516.062,92865.33,98978.08,96915.84,106462.08
"145/540.3309mz/6.3min",1001801.125,962392.06,768470.1,1034304.5,969297.75,1198520.8,1151665
"146/478.2939mz/6.3min",2682044.4,3028820.2,1575212,2638266,2588477.8,2725822.8,3067519.5
"147/656.1113mz/6.33min",145769.635,156319.52,158096.84,100092.45,135219.75,161451.17,133760.05
"149/566.3466mz/6.37min",394044.2,405563.7,244704.3,382524.7,358656.12,490987.5,444117.66
"150/311.1687mz/6.37min",145428.85,176017.78,92114.63,105721.15,141090.9,149766.8,186517.73
"152/271.2279mz/6.39min",263002.215,311101.3,202246.3,241514.03,236893.58,364392.53,284490.4
"153/478.2939mz/6.41min",10352187,11101540,6233555,10607851,10096523,9562844,11518978
"154/957.5953mz/6.4min",428920.01,480843.44,162516.58,467697.62,390142.4,368809.5,543285
"155/480.2991mz/6.4min",388173.89,410062.38,241661.5,375621.4,400726.38,346355.56,408622.6
"157/566.3466mz/6.47min",2013514.65,2011159.4,1302038.1,2015869.9,1897489.1,2310592,2110742.2
"158/297.2436mz/6.47min",145740.675,184996.92,104478.22,140608.97,150872.38,87299.34,164767.66
"159/573.1293mz/6.5min",332675.465,354637.03,294492.62,291222.03,400870.22,510855.28,310713.9
"160/590.1196mz/6.5min",571552.52,698235.94,581986.1,543353.6,561118.94,730305.3,546239.4
"162/634.4456mz/6.58min",445685.34,14791.682,447740.62,443630.06,431479.72,1712639.6,629504.3
"163/696.1426mz/6.53min",429602.06,456690.53,422361.72,286746.5,436842.4,771879.75,398418
"164/311.1687mz/6.53min",1058109.75,1737269.8,996377.56,1040250.3,968863.44,1245935.4,1075969.2
"165/506.3252mz/6.56min",91370.915,93383.7,42075.996,93380.98,65467.26,89360.85,114120.47
"166/297.2436mz/6.61min",647181.155,705437.75,385062.38,588924.56,516413.97,1027742.2,801544.8
"167/654.1321mz/6.62min",480050.665,581853.06,503467.03,456634.3,421692.1,601050.56,419033.22
"168/637.1419mz/6.63min",681485.3,742697.44,601160.5,607186.3,700683.9,947712.44,662286.7
"169/311.1687mz/6.64min",836420.17,1119345.5,769201.5,845185.9,650518.7,827654.44,850111.6
"170/634.4456mz/6.67min",919411.94,408265.84,1579137,522098.38,1316725.5,366722.03,2488758.5
"171/132.8679mz/6.68min",380834.015,348352.56,175353.36,413315.47,432237.97,1420139.9,115633.6
"172/299.2592mz/6.68min",2997568.4,3388781.8,2094375.1,2726822.8,2498580.8,3601104,3268314
"173/300.2626mz/6.68min",586158.06,635136.06,394256.47,537180.06,470596,704026.2,640731.8
"174/573.1294mz/6.68min",806908.275,941699.8,713468.5,713067.56,858763.25,1091795.6,755053.3
"175/520.3045mz/6.68min",467141.07,619270.9,116308.875,434940.44,499341.7,418158.16,601365.56
"176/635.4489mz/6.69min",334807.87,188240.27,481375.47,798919.9,28480.72,141234.98,905777.5
"177/297.2436mz/6.71min",412510.55,512959.03,280110.88,388409.72,350661.75,560038.75,436611.38
"178/480.3096mz/6.71min",271060.15,286617.2,170661.86,255503.1,227704.98,297075.7,288912.47
"179/701.1544mz/6.71min",454099.985,494174.22,379687,414025.75,504519.5,687357.8,403014.06
"180/481.313mz/6.71min",59622.2565,64564.203,29706.723,54680.31,50176.74,69204.13,70488.62
"181/718.1445mz/6.72min",443006.91,480480.12,511589.5,432678.16,370949.56,453335.66,378562.28
"183/295.2279mz/6.77min",684238.35,635072.9,420324.03,733403.8,547278.8,992030.7,892135.5
"184/634.4456mz/6.76min",558232.215,1081319,495835.03,2177745.5,294370.94,281606.84,620629.4
"185/782.157mz/6.8min",406700.535,445723.06,453937.53,381696.1,315901.3,431704.97,371254.16
"187/654.1321mz/6.81min",1823082,2064544.8,1920280.2,1705146.6,1570643.2,2034428.4,1725883.8
"188/765.1669mz/6.81min",161124.07,172986.48,148000.11,137694.28,230772.22,306452.1,149261.66
"189/297.2436mz/6.83min",51097.293,64958.69,36413.973,48204.07,41695.98,61437.7,53990.516
"190/481.3129mz/6.82min",405611.2,435096.6,273035.9,376125.8,330933.78,435728.78,488681.06
"191/565.2873mz/6.83min",61318.25,63614.79,40421.87,62948.715,43135.168,59687.785,78156.33
"192/480.3096mz/6.83min",1708643.5,1841383.1,1111156,1604569,1413488.5,1812718,2030702.8
"193/637.1419mz/6.84min",1030436.15,1089877.2,879505.8,864786.06,1453528.5,1821144,970995.1
"194/506.3252mz/6.84min",64366.245,73450.65,29290.664,67937.4,60795.09,59240.78,86235.98
"195/846.1694mz/6.89min",221911.565,264970.97,259154.84,210270.86,179608.12,233552.27,203501.28
"196/299.2592mz/6.9min",1243652.1,1381080.1,789359.4,1129585.2,1123364.4,1456650.9,1357719
"197/750.5293mz/6.98min",278620.528,2713.6232,543672.94,13568.116,6614620,1507685,2713.6232
"198/718.1446mz/6.92min",1899329.75,2079944.8,1988720.1,1797253.2,1529829.9,1989673.4,1809939.4
"200/634.4456mz/6.87min",290921.065,2215181,367107.66,741169.1,61041.44,214734.47,144923.64
"201/701.1544mz/6.93min",1329234.65,1460637.8,1087938.4,1153093.6,1801475.8,2206269.5,1197831.5
"202/765.1669mz/6.96min",1179520.05,1274761,978850.2,1051485.1,1513818.4,1958266.6,1084279.1
"203/506.3252mz/6.95min",317791.57,350362.84,155509.84,330003.3,305579.84,293115,401777.8
"205/893.192mz/6.96min",115854.565,130107.67,88092.734,101601.46,156144.64,208935.88,93289.44
"206/782.157mz/6.99min",1328107.95,1539943.1,1502992.6,1321836.4,1045270.94,1334379.5,1257668.6
"207/325.1844mz/7.02min",685057.225,811071.2,559043.25,249968.67,539706.94,1144877.2,838330.9
"208/637.1418mz/7.01min",340672.16,378073.94,303270.38,297694.16,453445.62,536898.25,298807.22
"209/654.1321mz/7.01min",405878.03,494623.3,417368.72,394387.34,322737.34,424109.16,392233.2
"210/299.2592mz/7.01min",59839.079,61171.758,30350.38,42942.098,77324.6,66434.01,58506.4
"211/271.2279mz/7.02min",98884.1795,107667.586,64508.71,98072.875,96829.78,121805.67,99695.484
"212/974.1943mz/7.03min",98660.775,107611.22,105920.06,79763.15,70847.83,108422.39,91401.49
"214/297.2435mz/7.05min",49728.033,56548.3,32786.95,42907.766,40356.85,64592.367,57638.332
"216/846.1693mz/7.05min",1140858.3,1345833.6,1181344.4,1034757.06,842284.9,1284714.4,1100372.2
"217/829.1793mz/7.06min",628999.69,560772.94,697226.44,516600.7,1089648.9,1287064.8,525769.6
"218/1131.5713mz/7.07min",306240.515,391379.3,227956.94,306260.06,237242.66,306220.97,320773.06
"219/628.2779mz/7.07min",452381.875,541845.3,399700.44,474629.47,374830.56,430134.28,505305.94
"220/565.2823mz/7.07min",3676226.65,4275468.5,3070236.8,3672834.5,3169126.2,3679618.8,3693034
"221/701.1544mz/7.09min",614015.05,633211.5,594818.6,503871.22,999089.06,1040450.2,521232.66
"222/893.1918mz/7.1min",382887,406572.78,359201.22,329077,660340.94,708639.9,321311.28
"223/718.1446mz/7.11min",912266.905,1018797.2,944577.1,920326.56,695711.7,886330,904207.25
"224/910.182mz/7.11min",931194.25,1033536.75,970170.44,921434.94,660223.9,940953.56,875792.44
"226/782.157mz/7.14min",1203352.6,1433329.9,1154045.8,1226037.1,909888.06,1228368.5,1180668.1
"227/765.1668mz/7.15min",750496.2,842092.8,658899.6,569113.25,1335441,1550045.4,634938.94
"228/974.1942mz/7.16min",542224.3,637664.1,544151.2,579330.7,393205.47,540297.4,520582.12
"229/957.2041mz/7.15min",235465.015,243276.08,227653.95,191187.2,419140,521484.97,167555.78
"230/325.1844mz/7.23min",426536.86,771818.06,375933.88,374518.75,340391.6,477139.84,544755.75
"231/829.1793mz/7.23min",761335.05,712441.4,810228.7,601849.06,1251672.8,1452925.4,614160
"232/846.1694mz/7.2min",1007470.2,1189718.9,1027176,1102724.8,815782.9,987764.4,980920.44
"233/1021.2165mz/7.21min",115486.552,94627.56,126281.734,104691.37,252970,308348.9,50624.96
"236/716.5239mz/7.25min",239380.482,6472.2528,446399.7,32361.264,29122422,18485974,6472.2528
"237/421.2264mz/7.22min",1447611.5,1746980.5,1348720.8,1459535.8,1637667.2,1435687.2,1377063.9
"238/717.5272mz/7.25min",131324.4625,1176.617,256765.84,5883.085,12528776,8136934.5,1176.617
"239/271.2279mz/7.23min",47475.7475,110824.055,19309.414,44293.64,95181.6,50657.855,43215.395
"240/750.5292mz/7.18min",597379.8135,11135.7454,5020343.5,55678.727,1139080.9,5737058.5,11135.7454
"241/1085.2288mz/7.26min",84362.9325,67479.6,73314.74,73343.67,111541.7,214546.31,95382.195
"242/744.5555mz/7.26min",11675.3893,964.37412,4821.8706,964.37412,7184281.5,455738.28,18528.908
"243/910.182mz/7.25min",691442.25,812440.2,670823.94,695453.3,560848.06,826751.2,687431.2
"245/893.1918mz/7.27min",954933.325,959961.4,949905.25,798476.25,1209526.8,1362063.9,758854.56
"248/974.1942mz/7.3min",347616.46,526122.8,403348.22,248745.39,278062.62,619404.2,291884.7
"249/122.9758mz/7.29min",78300.855,72485.89,61945.95,71934.92,84115.82,116997.75,84562.08
"250/116.9286mz/7.3min",636431.27,631202.44,829822.5,425759.62,641660.1,322768.66,734715.25
"251/327.127mz/7.3min",504153.07,684717.25,428707.94,579598.2,302830.34,353556.5,692630.56
"252/161.9136mz/7.3min",287719,224222.55,355853.28,323736.1,251701.9,200753.34,498654.12
"255/957.2041mz/7.31min",967907.85,986759.4,949056.3,790959.75,1084529,1200200,761708.1
"256/134.8947mz/7.31min",623798.07,993838.3,489083,694814.2,552781.94,318949.56,1080423.6
"257/701.1543mz/7.33min",178987.1,192599.95,165374.25,139067.83,193354.83,212218.11,135075.84
"258/1021.2165mz/7.33min",721546.595,734050.25,698108.94,589618.4,829670.06,956676.94,709042.94
"259/245.8947mz/7.32min",7511.3874,12518.979,2503.7958,147436.88,2503.7958,2503.7958,12988.439
"260/1085.2287mz/7.36min",377906.11,368293.34,387518.88,190771.92,496288.3,690963.9,363187.4
"261/195.8109mz/7.36min",42582.784,42582.784,42582.784,212913.92,42582.784,42582.784,42582.784
"262/197.8079mz/7.36min",55709.14,55709.14,55709.14,278545.7,55709.14,55709.14,55709.14
"263/243.8996mz/7.32min",80263.4015,123518.81,42743.773,358852.88,5480.995,1096.199,117783.03
"264/765.1668mz/7.36min",318239.64,308910.38,327568.9,251471.95,394274.72,470131.16,270511.8
"265/782.157mz/7.36min",118594.225,182637.08,117734.69,146332.42,82132.21,105146.48,119453.76
"266/846.1694mz/7.4min",171873,240288.77,171629.27,204489.31,132929.38,154865.25,172116.73
"267/829.1793mz/7.4min",387941.93,359697.16,332707.75,217189.1,589805.5,673391.25,416186.7
"268/711.457mz/7.42min",1798633.1,2306088.8,683428.25,1987839,765889.44,1609427.2,2169580.8
"269/694.4669mz/7.42min",15200083.5,17336508,8635586,15176437,11286238,15223730,16446489
"270/447.3074mz/7.44min",149404.665,169792.36,130127.86,174851.34,104522.42,168681.47,97155.74
"271/430.3172mz/7.43min",274150.735,272284.72,269242.6,276016.75,230680.2,302004.3,290061.34
"272/910.1821mz/7.43min",183588.585,245553.72,194867.58,191937.72,119959.2,160472.84,175239.45
"273/893.1917mz/7.44min",475040.225,486137.25,463943.2,394202.44,546604.1,666706.7,421829.88
"274/974.194mz/7.43min",130778.398,148274.03,147046.16,104475.445,128687.58,131305.53,130251.266
"275/957.204mz/7.46min",526131.2,577123.25,509992.34,492055.88,542270.06,623711.56,458680.78
"276/1021.2165mz/7.48min",460969.71,537783.75,440395.12,415731,481544.3,606356.1,414949.97
"277/1085.2287mz/7.5min",397568.905,446150.5,370747.03,342866.28,424390.78,462077.8,344981.75
"278/430.3172mz/7.52min",379331.05,476947.94,239915.45,319809.8,247421.69,438852.3,444236.6
"279/447.3075mz/7.54min",364756.74,421367.6,214176.55,308145.88,236610.62,475994.56,452917.72
"280/161.9136mz/7.55min",376099.12,571088.25,455602.4,358223.8,393974.44,162741.16,307033.97
"281/134.8947mz/7.56min",2046930.6,2355043.2,2061461.2,1914831.9,2032400,1969600,2154318.8
"283/501.3546mz/7.59min",2611956,2889139.2,1496521.6,2334772.8,2005145.1,4045832,3343223.2
"284/455.2106mz/7.68min",749730.42,1022370.25,546547.8,801581.94,569578.44,697878.9,812395.6
"285/484.3644mz/7.6min",1063552.15,1209560.2,590624.4,917544.1,725194,1329426.2,1345375.5
"286/299.2592mz/7.6min",457793.91,517657.3,297108.78,436065.16,319841.62,480607.44,479522.66
"289/1021.2164mz/7.65min",56385.64,64254.15,49001.37,35558.46,63769.91,74181.484,40667.26
"290/400.3066mz/7.72min",84296.32,111307.56,66022.375,71533.32,46504.94,137534.92,97059.32
"292/122.9758mz/7.68min",99710.01,129808.84,86957.734,93194.33,103127.27,135368.66,96292.75
"293/186.9706mz/7.68min",260973.975,264990.75,228435.4,247537.62,256957.2,286210.38,274830.1
"294/116.9286mz/7.68min",2897387.35,3511324,2529460.8,2993136.2,2349295.2,2801638.5,3101158.2
"297/716.5239mz/7.66min",1325624.225,22370.73,11403737,111853.65,4079328.5,2539394.8,22370.73
"299/115.9208mz/7.69min",1230129.42,1454585.4,868638.5,2500541.5,787614.6,1005673.44,1876759.4
"300/134.8947mz/7.69min",2296373.3,2403186.8,2294143.8,2298602.8,2232594.5,2031596.9,2330999.8
"302/161.9136mz/7.7min",406450.19,413790.38,414419.94,730192.1,387027.62,331353.38,399110
"303/744.5549mz/7.69min",198190.931,1551.7484,1551.7484,7758.742,1100682,388623.12,2224616.2
"305/720.4824mz/7.78min",893163.7,601669.75,533374.06,890286,896041.4,1227639.2,1020251.2
"306/299.2592mz/7.77min",31615.705,96527.62,12159.191,20990.783,34971.555,35941.83,28259.855
"307/400.3066mz/7.79min",378779.69,434920.88,255183.19,322638.5,195429.66,569193.2,451444.66
"308/742.5395mz/7.83min",65250.02,11366.876,56834.38,73665.66,1702614.9,144329.84,11366.876
"309/161.9136mz/7.82min",315727.265,363944.34,313101.78,322473.06,291315.25,175249.67,318352.75
"310/100.9337mz/7.87min",798787.845,661730.56,769004.25,2152338,828571.44,395754.72,1648398.4
"312/186.9706mz/7.84min",394301.67,395209.28,355512.16,393394.06,332475.9,433238.47,455381.2
"314/578.3829mz/7.84min",381599.43,537635.8,281214.78,451221.06,291504.88,332151.06,431047.8
"315/355.1579mz/7.84min",4045989.6,5181977.5,2858076,3674641.2,2386278.5,4417338,4941851.5
"316/122.9758mz/7.84min",174811.62,190800.8,130429.98,159934.86,127569.375,189688.38,203329.02
"318/144.9235mz/7.84min",2691131.75,3223718.5,2571170.5,2811093,2032440.2,1939088.8,3144959.8
"319/115.9208mz/7.84min",4412210.85,5156863,3592083.5,5494121,3784991,3903112.2,4921309.5
"320/703.5632mz/7.86min",136993.08,204662.1,126549.28,147436.88,125314.11,114976.984,195949.77
"321/685.501mz/7.86min",164877.885,196996.38,118310.266,140590.67,140052.8,222171.52,189165.1
"323/134.8947mz/7.86min",1334411.2,1313767.5,1313725.6,1422707.4,1523772.4,1344362.2,1324460.2
"324/485.0688mz/7.88min",248445.54,306508.16,147465.42,229652.33,189939.84,327479.16,267238.75
"325/634.4456mz/7.9min",13714752.5,17272704,9653180,14152182,10389074,13277323,14376757
"326/100.9337mz/7.93min",1482416.8,1346549.8,1618283.8,1891711.1,1007832.44,1683288.4,724447
"329/567.4017mz/7.93min",568459.52,644376.44,375720.56,402892.1,557546.6,603389.6,579372.44
"330/685.501mz/7.93min",1268101.25,1384855.6,1021663.5,1071591.6,1265505.1,1280526.5,1270697.4
"331/573.4122mz/7.93min",263871.095,218183.5,250649.98,288354.66,401444.56,272526.88,255215.31
"332/196.9761mz/7.94min",365050.845,397171.75,284121.3,391864.66,338237.03,422735.2,200643.03
"333/281.2486mz/7.94min",296487.25,400204.72,137909.22,223156.5,148018.36,369818,446126.6
"334/668.5111mz/7.94min",342194.185,517202.06,173843.86,257369.77,206515.2,427018.6,485025.6
"335/180.9812mz/7.94min",244173.875,234355.89,203267.44,295909.3,253991.86,225356.84,323915
"336/122.9758mz/7.94min",248356.365,259761.42,188347.1,236951.31,191375.86,266759.56,282691.06
"338/742.5395mz/7.98min",216402,72134,360670,72134,3161870.2,497182.88,72134
"339/383.1776mz/7.94min",356962.06,487479.2,254442.86,327749.84,248230.9,386174.28,437118.47
"341/379.1792mz/7.94min",465446.095,614135,316152.62,443947.94,319612.12,486944.25,601503.44
"342/381.1737mz/7.94min",9432306,12026891,6593789,8592809,6520639.5,10271803,12000265
"344/186.9706mz/7.95min",578256.325,578678.75,546710.2,577833.9,523546.3,618517.44,693542.2
"345/144.9235mz/7.95min",2663762.5,3009317.8,2621249.8,3623765,2498886.2,2367924.2,2706275.2
"346/115.9208mz/7.95min",5188698.5,5215941.5,4280714.5,5161455.5,4784935.5,6560940.5,5359914.5
"347/398.3272mz/7.95min",247984.965,278292.38,95038.64,217677.55,137280.28,384663,414252.84
"349/703.5633mz/7.96min",284430.435,318556.75,234166.16,306740.06,262120.81,206936.28,363432.5
"350/134.8947mz/7.97min",2462889,2651161.5,2377956.5,2567694,2452708.5,2256255.5,2473069.5
"354/161.9136mz/7.97min",362877.35,431427.06,360505.9,429453.44,365248.8,185492.14,353891.03
"355/720.4822mz/7.96min",63966.6235,80359.63,6244.365,121732.8,39972.406,47573.617,124750.49
"360/134.8947mz/8.06min",1785599.1,1968338.2,1925549.8,1645648.4,1408464.9,1404354,2405040.8
"361/186.9706mz/8.06min",253785.895,318090.03,285906.47,207863.12,154544.97,234760.95,272810.84
"363/529.3859mz/8.07min",1422567.65,1635350.4,752821.75,1209784.9,1069984.6,2053126.1,2022570.1
"364/669.506mz/8.07min",483213.235,649242.75,311647.12,449642,415850.03,516784.47,599977.94
"365/512.3957mz/8.08min",396253.78,432822.66,219883.14,325990.62,359684.9,464091.72,482622.06
"366/652.516mz/8.08min",240509.03,322104.06,153865.92,212090.19,222630.31,258387.75,302413.75
"367/660.4613mz/8.09min",5599543,6925559,4180439,5830251,4597112.5,5679892.5,5519193.5
"368/100.9337mz/8.12min",745697.07,759258.7,732135.44,1198430.5,682318.2,591212.1,1428275.8
"369/683.4854mz/8.18min",716008.275,891626.9,440251.56,592989.5,623595.75,922376,808420.8
"370/100.9337mz/8.23min",909886.405,1755621.1,895883.75,923889.06,748921.5,1727143.4,613773.25
"371/667.491mz/8.21min",243042.055,287403.12,165385.25,208250.97,229216.42,301974.8,256867.69
