Filename,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML,NEG_TJGIp4_1_Run59.mzML,NEG_TJGIp4_2_Run88.mzML,NEG_TJGIp4_3_Run183.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
398/243.1238mz/3.43min,94114.15,123537.125,89925.766,58759.46,80087.34,75720.695
399/156.0667mz/3.42min,68771.9,69837.29,59039.203,67350.414,72112.1,88773.76
400/189.1131mz/3.42min,149010.05,134481.92,69286.805,85768.17,145938.83,139344.05
401/271.1664mz/3.36min,1185631.6,845989.1,759530.44,1212188.9,2088017.9,1148842.8
404/241.0619mz/3.44min,301723.88,266276.1,372974.62,334912.3,424581.12,447247.03
406/257.1031mz/3.45min,1325118.2,969534.6,938761.7,683170.7,1690255.9,1666931.4
407/209.0795mz/3.45min,1592474.4,1647146.1,1570192.4,1033593.0,1577913.4,1712148.2
408/125.0972mz/3.45min,1250062.8,984737.7,864458.7,652446.56,1084950.6,1104532.6
409/187.0976mz/3.45min,34929676.0,29550620.0,25399812.0,19945066.0,32400652.0,32310198.0
410/145.087mz/3.47min,312352.28,264706.3,244313.97,409892.22,375585.7,281974.6
411/191.0747mz/3.46min,131285.88,91806.555,105576.305,96669.69,113583.0,134529.75
413/291.1351mz/3.46min,443628.66,424605.47,243640.88,367845.84,342602.84,364792.3
414/313.1881mz/3.46min,3171564.0,2816409.0,2214868.5,2427929.8,4009931.8,3152170.0
415/228.1031mz/3.47min,3078564.0,2760070.0,2208067.8,2618055.2,2302275.0,2409107.8
417/230.1033mz/3.48min,807598.3,728677.7,621769.44,918365.44,874096.06,902624.7
418/220.0979mz/3.49min,993126.4,900127.7,724671.0,1082590.1,907420.75,966593.56
419/156.0667mz/3.51min,47411.84,55934.93,38687.24,45784.89,50571.453,61825.316
422/361.2246mz/3.54min,236999.31,254020.9,290674.3,684047.9,573469.4,337873.84
423/407.2299mz/3.54min,212956.9,236154.4,275593.75,672387.44,565168.2,331277.78
425/397.201mz/3.54min,715505.7,452303.3,408743.66,1379949.4,1061962.9,526649.4
426/200.0929mz/3.55min,1082907.5,880780.3,965518.44,1373511.5,1207175.8,1107892.1
427/156.103mz/3.55min,721300.06,517615.88,493141.16,870760.56,614557.4,697604.44
428/144.0455mz/3.55min,108295.12,152102.0,22764.494,84974.83,472420.47,285729.88
429/222.0773mz/3.57min,298216.44,258102.66,175968.92,208444.17,230713.03,240614.11
430/305.1507mz/3.57min,98028.58,72228.414,63641.06,103882.69,93148.1,98209.31
431/243.1238mz/3.57min,2375271.5,1460402.0,1168161.2,1127382.5,2114001.8,2070687.0
432/354.2035mz/3.59min,334482.4,108676.266,217491.48,323839.5,272890.12,279128.03
433/168.0304mz/3.59min,0.0,0.0,0.0,0.0,55110.223,0.0
434/271.1665mz/3.59min,4319502.5,3601517.8,3020989.2,3975070.2,4992067.0,4185780.5
435/339.1538mz/3.6min,132573.53,148092.34,142367.47,134143.22,192686.34,170253.1
436/191.0748mz/3.6min,392281.34,265235.34,318434.38,304803.72,351220.62,380158.94
437/269.1509mz/3.63min,58004.773,28296.42,11234.766,4287.978,30099.729,40058.766
438/185.082mz/3.62min,15271.648,6921.6353,6916.9775,3602.0908,35159.46,43555.664
439/151.0262mz/3.63min,112703.67,84923.49,55784.07,80688.945,142911.05,109545.48
441/257.1508mz/3.68min,146943.4,106863.58,92245.93,135342.53,140762.38,136129.25
442/285.182mz/3.69min,8555546.0,5904787.0,5685149.5,8585248.0,8840426.0,8184508.5
443/571.3713mz/3.69min,119273.445,51373.4,55151.973,142377.98,194141.88,114126.11
444/200.101mz/3.69min,588483.25,436076.03,437927.12,622277.75,605149.5,500252.44
445/155.1078mz/3.69min,1977831.8,1399144.2,1439179.2,2058215.0,2003314.4,1657979.4
446/199.0977mz/3.69min,5475703.0,4102197.5,4148100.0,5846920.0,5712600.0,4769012.5
447/221.0796mz/3.69min,423767.6,391332.94,419802.75,445624.84,462478.0,422657.78
448/214.1449mz/3.7min,59995.094,64521.633,55236.625,30650.254,43592.668,44270.445
449/228.0667mz/3.71min,475194.84,436894.66,288952.56,284234.7,414197.8,393070.88
450/192.0667mz/3.73min,670251.9,572438.3,537911.1,822531.3,783694.8,793974.0
451/200.1292mz/3.74min,3495608.8,2982703.0,2449429.2,3652745.8,3049657.2,3232037.5
452/228.0878mz/3.74min,39819.36,38582.848,25523.715,0.0,25924.807,41882.375
453/130.0873mz/3.74min,92081.375,180735.4,60799.613,108236.4,157846.06,185408.69
454/257.1008mz/3.75min,68479.34,73125.59,67554.95,3935.6494,71340.65,81807.46
455/300.1452mz/3.75min,660664.1,460423.5,446940.9,238564.39,688844.56,612504.44
456/339.0179mz/3.74min,99070.836,38088.293,90815.14,162157.73,132672.03,138757.2
457/189.1133mz/3.75min,845859.9,774086.0,682153.06,475500.3,876243.6,892819.3
458/171.1027mz/3.75min,7444214.0,6747277.0,5694943.0,4110344.8,7464883.0,7579569.5
