"MetaboAnalyst_ID","X2024_NEG_Y.EV_1_CTRL_Run89.mzML","X2024_NEG_Y.EV_2_CTRL_Run118.mzML","X2024_NEG_Y.EV_3_CTRL_Run139.mzML","X2024_NEG_Y.p10_1_Run104.mzML","X2024_NEG_Y.p10_2_Run130.mzML","X2024_NEG_Y.p10_3_Run145.mzML","shared_name"
"135/378.1338mz/2.1min",2.47268922443073,2.43486046078192,2.50397791302295,2.15813236706786,1.60549122053724,1.83523243309608,"135"
"136/328.9796mz/2.11min",2.3284637932288,2.30785920676284,2.25393348410903,2.36125388865924,2.29224969396892,2.32167687157344,"136"
"138/117.0558mz/2.12min",2.65599344883399,2.68780372206246,2.93699226998463,2.58434529554779,2.75932190399177,2.5171022309879,"138"
"139/288.0725mz/2.16min",1.84494266974838,1.74595271706556,2.2604089716907,1.9519955594725,2.10347514734989,1.89137881556607,"139"
"141/382.1002mz/2.22min",1.81900179081758,1.84539436603339,1.8359368814922,2.01648277311181,2.05548861543042,1.71059767680439,"141"
"142/322.0603mz/2.29min",2.06408031068042,1.78198551435324,2.44927603945129,2.29984358715146,1.01627377437368,1.89528023440219,"142"
"144/290.0882mz/2.33min",2.60767101291776,2.61661498513672,3.00798155575154,2.696580362651,2.79849299557397,2.66752719826229,"144"
"149/129.0557mz/2.44min",2.13308993073818,2.23608312401179,3.08634972851458,2.43003206073846,2.34231187616563,2.55282246261752,"149"
"152/237.0881mz/2.52min",2.20147300589652,2.17885732708724,2.18886812146831,1.97005656754149,0.703387061007432,2.05739594632317,"152"
"154/175.0612mz/2.52min",2.75145705089942,2.7955764385882,3.08302544046985,2.59381012087943,2.67364470319545,2.71704030108875,"154"
"157/407.1206mz/2.6min",2.22524080770816,2.23608605854142,2.26193136240403,2.09874426654921,1.55711822104422,2.11186958491053,"157"
"158/373.0055mz/2.7min",2.50584868526185,2.46283851423732,2.45924564699533,2.45836746639054,2.48496550297246,2.48110158753692,"158"
"159/178.0509mz/2.71min",2.34465667790052,2.30805948760757,2.29112642257278,2.07366584084585,0.173685145064158,2.06530891750899,"159"
"160/298.0933mz/2.71min",2.55147305733239,2.52220562298318,2.49783136958486,2.28957045894368,0.803356609921068,2.27018916516039,"160"
"161/370.9898mz/2.78min",2.00540047554679,1.72352108067055,1.69699244380437,1.74775095534096,2.09585432957941,1.83509339822776,"161"
"163/304.1038mz/2.76min",2.83045353702691,2.82402715362368,3.21059316040603,2.89589333543401,2.98967507162394,2.84360278223248,"163"
"168/157.0506mz/2.8min",2.66204495993981,2.68685191079099,2.98706218542013,2.37896157715314,2.28768548466023,2.6004957864234,"168"
"169/265.0176mz/2.83min",2.43622560885231,2.42061249957055,2.39372011477165,2.41363605279511,2.44301832914209,2.42513807744594,"169"
"170/136.0404mz/2.83min",2.96324388643171,2.97547028693675,3.15788742630563,2.78087334283224,2.18986308662508,2.76826545045008,"170"
"175/131.0714mz/2.92min",2.90967672648162,2.92065170869299,3.13648465738698,2.87121865455961,2.93211445813878,2.75042471233012,"175"
"177/389.1564mz/2.95min",1.99049382774153,1.99489902059614,2.40887679080399,2.06898241141763,2.16813890938759,2.01818300508825,"177"
