"","filter","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-p10_1_Run104.mzML","2024_NEG_Y-p10_2_Run130.mzML","2024_NEG_Y-p10_3_Run145.mzML"
"160/298.0933mz/2.71min",1659881.9,2152100.8,2145004,2047585.8,1272178,39558.23,1160115.4
"161/370.9898mz/2.78min",395681.05,612054.4,340991.5,323894.2,365366.2,775774.2,425995.9
"162/272.0776mz/2.74min",160786.28,135736.58,148433.56,356803.3,172498.2,203774.94,149074.36
"163/304.1038mz/2.76min",4741578.5,4091128.2,4297834,10568270,5138907,6075137,4344250
"164/224.0928mz/2.77min",196276.435,126442.28,176541.03,496896.03,216011.84,272545.12,175488.89
"165/286.0932mz/2.77min",315733.675,244878.42,277315.25,710545.56,354152.1,408901.28,256952.62
"167/113.0609mz/2.8min",296588.94,313835.66,351036.4,720924.5,172501.39,134219.78,279342.22
"168/157.0506mz/2.8min",2629065.35,2776096.2,3133822.5,6316448,1562928.1,1206608.8,2482034.5
"169/265.0176mz/2.83min",1675158.7,1650498.6,1697598.5,1611131,1692830.5,1725437.9,1657486.9
"170/136.0404mz/2.83min",4748785.15,5554352.5,6091058.5,9360481,3943217.8,963261.25,3652392.8
"171/178.0509mz/2.87min",74264.53,70176.69,78352.37,93282.74,43216.176,8643.2352,84445.71
"172/298.0933mz/2.87min",109945.7425,104070.305,134513,156303.84,78065.09,15613.018,115821.18
"173/180.0577mz/2.87min",173775.445,194758.06,212220.14,311428.88,152792.83,32202.541,144517.77
"175/131.0714mz/2.92min",5115427.5,4909828,5368762.5,8910363,4855076.5,5321027,3505393.2
"177/389.1564mz/2.95min",707450,591402.8,636973.7,1668351.4,765525.8,916262.5,649374.2
"178/320.0776mz/2.98min",156770.37,123456.59,128056.48,385347.88,164738.84,212037.8,148801.9
"179/338.0883mz/2.98min",1567949.5,1273225.5,1359826.1,3427858.2,1710299.6,2035856.5,1425599.4
"180/258.0772mz/2.98min",43458.967,28898.996,38957.68,114398.67,47960.254,60936.633,32092.615
"182/292.0463mz/3.0min",205234.74,191136.42,216288.08,504699.72,221025.52,48621.656,194181.4
"183/310.0569mz/3.0min",1871731.25,1837153.6,1906308.9,4493857.5,2097307.5,531490.6,1722318.9
"184/229.1557mz/3.07min",389300.15,335455.78,339752.78,821279.56,415219.2,474245.6,363381.1
"185/172.0979mz/3.08min",300896.25,298350.94,311800.25,640666.4,303441.56,277263.38,262601.3
"186/165.0557mz/3.13min",1759911.4,1644299.8,1732001.9,2991095.5,1787820.9,2371256.5,1415576.8
"187/189.0768mz/3.13min",464986.86,532595.44,571095.8,1085541.8,236018.48,106298.586,397378.28
"188/397.0055mz/3.13min",289367.09,288246.78,298091.1,278670.6,294180.28,281258.25,290487.4
"189/85.0659mz/3.13min",189164.585,200423.47,234140.6,428468.75,87265.414,31060.836,177905.7
"190/113.0608mz/3.13min",34197.8555,37502.145,41764.9,91464.484,5064.709,1012.9418,30893.566
"191/164.0353mz/3.14min",1427320.45,1542885.9,1743191.1,3461248.5,1242292.2,701353.3,1311755
"192/265.0176mz/3.17min",3065573.2,3220640.2,2998618.2,2735092,3132528.2,2879692.2,3178656.2
"193/224.0928mz/3.24min",545060.71,445819.62,411615.53,1179200.9,585384.7,698720,504736.72
"194/286.0933mz/3.24min",819985.175,676439.1,699600.5,1756810,885327.1,1039946.1,754643.25
"195/403.172mz/3.27min",3100549.85,2711957.8,2815448.2,6745427,3385651.5,4346399,2796721
"196/421.0056mz/3.3min",76316.195,83364.69,70822.27,69917.45,87505.83,66002.43,81810.12
"197/238.0721mz/3.34min",171248.335,182107,196388.78,393158.6,123061.586,5009.09,160389.67
"198/178.0509mz/3.36min",228160.86,239134.67,320237.62,426447.7,217187.05,67039.21,162690
"199/421.0056mz/3.4min",2959730.1,3074538.5,2818251,2790453.5,3191890,2919788,2999672.2
"200/144.0455mz/3.39min",207260.7,206891.5,207629.9,350988,204465.77,309918.56,171581.28
"201/258.0771mz/3.4min",199779.64,162731.03,163000.75,414691.03,216630.16,250892.92,182929.12
"202/320.0777mz/3.4min",635183,518614.5,525066.94,1321670,676668.94,806539,593697.06
"203/292.0463mz/3.43min",46930.5445,45453.562,48407.527,124667.19,53113.11,8676.6828,43383.414
"204/249.0227mz/3.48min",6459215.5,6407318.5,6707730,6543680,6275355.5,6511112.5,5746292
"205/279.9958mz/3.52min",18888023,19185850,18329880,18195384,20258908,18590196,19953754
"207/582.981mz/3.52min",686752.63,692068.7,695000.56,639792.8,674470.44,681436.56,698389.8
"208/560.9991mz/3.52min",3617428.5,3583817.2,3651039.8,3427484,3885702,3786017,3498216.2
"209/403.172mz/3.54min",28263.247,6695.3677,23232.672,137740.3,33174.445,72577.1,23352.049
"210/417.1877mz/3.55min",744585.97,649944.56,610076.2,1654156.2,809776.94,1068771.6,679395
"211/405.0107mz/3.6min",18490602,18992736,19084708,16496108,18421976,18342016,18559228
"212/407.0044mz/3.6min",1230112.15,1281045.5,1295570.2,1165651.9,1197433.1,1252177.4,1208046.9
"213/811.0292mz/3.6min",319184.93,319416.56,336302.72,282409.06,337374.6,318953.3,313141.38
"214/406.0138mz/3.6min",3386717.4,3849010,3454241.5,3167832.8,3355958.8,3364453,3408981.8
"216/421.0056mz/3.84min",484399.8,470162.9,432973.6,526468.06,428232.12,498636.7,604044.4
"217/309.1014mz/3.99min",415345.29,401630.47,425955.4,425567.22,417834.7,412855.88,405122.53
"218/271.9983mz/4.12min",154694.115,165465.16,147111.36,158568.39,150819.84,159204.98,147193.95
"219/419.0263mz/4.15min",296875,300497.2,280903.5,293252.8,305788.34,300908.47,288185.47
"220/603.01mz/4.15min",321621.065,318339.25,303079.34,306254.62,324902.88,325206.34,329804.2
"222/497.0371mz/4.41min",852526.3,886725.5,852719.5,830051.6,855342.3,852333.1,843603.06
"223/242.1762mz/4.42min",476867.8,483586.22,444830.47,497085.88,491241.16,458520.2,470149.38
"226/793.0186mz/4.43min",956622.25,865492.7,947821.25,1099741,965423.25,937432.7,1021827.25
"228/422.9768mz/4.52min",742256.07,769498.75,752181.2,732330.94,760640.25,709861.8,729775.44
"230/653.0255mz/4.54min",786639.56,738599.8,787854.06,881052.6,785425.06,772209.44,804840.2
"231/341.0486mz/4.56min",719102.375,713415,724789.75,691402.25,740461.9,753151.25,705397.6
"233/404.0444mz/4.56min",448999.97,441468.97,450982.16,397570.47,468300.03,486186.44,447017.78
"234/497.0371mz/4.67min",1533312.7,1529486.2,1528771.4,1537139.2,1554100.8,1462336.2,1553483.4
"236/637.0305mz/4.74min",5549522.25,5148720,5728408.5,6099299,5943453,5198232.5,5370636
"238/227.9666mz/4.74min",6336234.5,6044906,6444993.5,6507448.5,6530966,6221298,6227475.5
"239/229.9645mz/4.74min",6206932.25,5962377.5,6257572,6281956,6414641.5,6100762.5,6156292.5
"240/230.9678mz/4.74min",491537.455,453998.22,476826.62,507543.5,507166.9,481247.88,501827.03
"241/228.9699mz/4.74min",504978.75,490618.6,506263.34,503694.16,507956.62,501137.47,507370.78
"243/268.9857mz/4.76min",478061.25,410500.8,464914.88,482757.22,499797.2,477244.66,478877.84
"244/266.9888mz/4.76min",1482979.05,1341550.4,1477297.2,1509454,1558331,1426116.8,1488660.9
"245/909.0177mz/4.92min",350911.78,177093.1,647804.7,295000,458603,381777,320046.56
"246/426.9678mz/4.92min",8737880.5,8612498,12882144,9713083,8206915,8863263,8157663.5
"247/481.0421mz/4.92min",4636646,4716066,4431022.5,5408636,4784339,4557226,4442705
"248/544.0379mz/4.92min",1853730.75,1927776.9,1844131.1,2129204.2,1863330.4,1758249.6,1763171.2
"250/214.8799mz/4.91min",1002.25654,1002.25654,1002.25654,5011.2827,1002.25654,1002.25654,293878.3
"251/241.8989mz/4.95min",80161.6,59726.113,82980.7,61961.027,150606.97,77342.5,461890.78
"253/653.0254mz/4.99min",80312.698,71990.29,73287.63,87954.414,77881.38,83070.27,82744.016
"254/242.1761mz/5.13min",56999.708,72657.17,67048.016,180981.14,20075.363,6065.409,46951.4
"255/241.8989mz/5.43min",166643.335,202874.22,1288056.5,15654.265,130412.45,611985.5,83803
"256/362.2909mz/5.45min",155073.125,159824.86,142169.53,150321.39,184083.84,524622,89716.984
"258/214.88mz/5.49min",504473.685,1034369.3,153247.12,5249.3657,906536.7,855700.25,1049.87314
"259/241.8989mz/5.49min",822793.95,1765625.1,719349.6,25456.807,1451744.5,926238.3,17529.068
"260/187.861mz/5.51min",118766.5875,258517.75,12625.705,2525.141,224907.47,240736.22,2525.141
"261/569.2734mz/5.69min",331600.18,318845.44,599113.3,436429.12,339140.2,324060.16,307264.12
"262/494.2524mz/5.7min",106129.65,156322.77,144326.42,96169.38,83706.336,116089.92,73957.164
"264/450.2625mz/5.74min",1301918.6,1683228.9,1443856.4,1159980.8,1025432.94,1525477.2,976665
"265/538.3152mz/5.79min",1470356.95,2747602.5,2403146.8,1591195.5,1293688.1,1349518.4,1258225.8
"266/555.3053mz/5.79min",280871.685,548359.25,456981.25,299621.47,250641.89,262121.9,247925
"267/569.2734mz/5.81min",356718.39,640074.7,423179.66,282660.5,282969.6,614154.75,290257.12
"268/494.2524mz/5.83min",246551.275,237967.02,255135.53,179662.44,262768.1,439472.06,229998.88
"269/562.0039mz/5.83min",54563.6525,68394.65,57438.547,51688.758,48672.13,39924.547,59099.52
"270/450.2625mz/5.85min",1450674.55,1762260.1,1478695,1120471.4,1295999.4,3265785.8,1422654.1
"271/265.1479mz/5.87min",330645.29,39778.622,198893.11,322987.28,338303.3,753190.06,379377.66
"272/538.3152mz/5.89min",1570205.8,2262575.5,1940860,1254277.1,1209782.5,1859955.1,1280456.5
"273/214.8799mz/5.84min",6154.6242,12858.122,2051.5414,848842.7,10257.707,2051.5414,2051.5414
"274/241.8989mz/5.87min",106642.707,207070.92,26724.01,991451.3,164720.34,42991.457,48565.074
"275/555.3053mz/5.88min",285569.615,429407.53,356028.28,177070.75,228057.84,334105.2,237034.03
"276/569.2733mz/5.86min",251819.25,408909.06,390778.53,4567.683,216111.16,89072.58,287527.34
"278/265.1479mz/5.91min",335427.81,327532.84,198893.11,39778.622,343322.78,633752.8,369262.88
"279/132.8679mz/5.92min",172509.085,178595.38,105897.945,638650.56,170422.39,165619.94,174595.78
"280/720.1238mz/6.08min",124316.227,127696.22,159711.03,166335.4,114473.74,120936.234,110728.32
"281/452.2781mz/6.12min",61754.217,90030.08,73919.84,49219.535,49588.594,90580.49,45969.742
"282/571.2889mz/6.15min",63372.1345,12149.491,114593.5,78958.53,63162.824,63581.445,43298.926
"284/656.1114mz/6.14min",472483.28,537645.1,337164.56,606303.2,480550.9,364941.25,464415.66
"285/540.3309mz/6.18min",132691.9425,302719.3,239334.4,136489.69,128894.195,105700.66,72473.14
"286/557.3209mz/6.18min",11408.796,43890.645,44186.14,11460.731,11280.348,11356.861,2256.0696
"287/784.1362mz/6.22min",101165.97,130373.875,115571.49,131785.25,86760.45,78268.1,75630.86
"288/452.2782mz/6.24min",1352082.45,1604940.4,1446845.4,1132612.8,1257319.5,1843832.8,1073985
"289/271.2279mz/6.26min",185545.91,145200.8,139739.34,264470.62,225891.02,313910,135866.25
"290/496.2681mz/6.26min",975854.6,1316831.6,1195454.2,756255,744543.2,1657088.4,616869.8
"291/311.1687mz/6.32min",948205.45,175582.45,860628.3,1187996.6,980092.6,983211.5,916318.3
"292/720.1238mz/6.28min",498994,572064,574251,566434.44,426963.5,406906.62,431553.56
"293/571.2891mz/6.29min",2401423.25,97504.51,3461764.5,2388800.5,2414046,2748404.5,2146413.2
"294/540.3309mz/6.3min",1759526.3,2327327.8,1925540.4,1438008.6,1593512.2,2063819.6,1158572.1
"295/265.1809mz/6.3min",645418.89,779828.25,804351.8,995149.8,430081.16,110383.79,511009.53
"296/478.2939mz/6.3min",1587568.35,2730147,2066201.2,1756986.8,1418149.9,1260868.8,1309707.8
"297/557.321mz/6.3min",288851.05,399340.1,328969.88,245813.8,259360.72,318341.38,200024.84
"299/522.2838mz/6.32min",534570.47,919418.4,763793.9,490750.5,457128.1,578390.44,351720.47
"302/583.3367mz/6.36min",426915.34,830090.44,659075.25,397502.34,381223.75,456328.34,306902.8
"303/566.3466mz/6.36min",2665165.1,4988551,4053222,2509659,2301715.5,2820671.2,1698674.9
"304/696.1426mz/6.4min",163971.75,262528.25,177264.5,193064.08,150679,105286.43,111674.82
"305/597.3048mz/6.37min",590834.595,39150.008,1433355.4,880595.7,609789.75,381343.8,571879.44
"306/784.1362mz/6.4min",424704.72,518171.47,496557.3,464782.28,374307.88,362037.9,384627.16
"307/478.2939mz/6.4min",732786.78,1022420.94,850315.56,539887.3,615258,852697.06,603968.1
"308/311.1687mz/6.42min",770281.33,1013555.2,830203.5,668478.56,766818.1,729162,773744.56
"309/571.2889mz/6.4min",23491.7275,4426674.5,61535.348,27328.402,19655.053,14833.394,2966.6788
"310/720.1238mz/6.46min",273137.36,324234.38,324907.66,291711.28,227311.86,220918.89,254563.44
"311/566.3465mz/6.47min",1114123.8,1657019.2,1425127.4,734856.4,880444.4,1347803.2,693619.9
"312/583.3367mz/6.47min",178428.915,298116,241249.17,121198.9,140118.94,216738.89,113721.27
"313/522.2839mz/6.47min",74019.095,114812.22,90225.13,46831.914,57813.06,137025.67,32034.506
"314/590.1196mz/6.5min",639218.1,753082.44,762551.94,693075.3,559831.8,540497.94,585360.9
"315/573.1293mz/6.5min",434093.785,337159.75,442889.1,732384.9,425298.47,525739.8,361442.8
"316/658.4457mz/6.55min",19299.11235,965.40508,5297.0547,4827.0254,33301.17,7993031.5,208576.5
"318/696.1426mz/6.52min",610337.51,747734.6,818027.2,746774.9,308708.3,413184.66,473900.12
"319/597.3048mz/6.55min",233768.065,1637929.2,337744.28,198071.75,201186.19,266349.94,176568.72
"320/784.1362mz/6.57min",277917.23,352306.38,352835.53,283996.62,260533.2,252647.7,271837.84
"321/311.1687mz/6.53min",92329.458,1006255.06,41230.363,62962.875,115842.83,164354.94,68816.086
"322/654.1321mz/6.61min",671125.7,803863.5,856471.9,694922.5,571028.75,519536.53,647328.9
"323/637.1419mz/6.62min",516203.5,373913.62,515442.1,932459.44,516964.9,629351.9,421075.94
"324/548.0646mz/6.64min",60873.203,172924.17,536029.06,5375.1532,94870.64,5375.1532,26875.766
"325/485.0687mz/6.65min",153935.53,242018.06,1104102.2,65853,294930.3,28417.764,64081.695
"326/325.1844mz/6.72min",216497.855,61632.332,120502.33,905262.25,312493.38,416448.16,72810.4
"327/573.1294mz/6.67min",443336.14,435765.84,369878.94,580677.2,670504.75,450906.44,347293.62
"328/299.2592mz/6.67min",258190.41,217165.16,251367.44,298922.03,329988.38,57774.562,265013.38
"329/590.1196mz/6.68min",293324.38,331207.16,334874.88,255441.6,224754.4,205080.08,560573
"331/701.1544mz/6.71min",360588.64,220384.11,345496.44,730440.6,375680.84,485208.88,274266.62
"332/718.1445mz/6.71min",469075.39,680527.8,643900.6,452922.44,426706.56,387835.16,485228.34
"333/597.3048mz/6.72min",77388.78,386943.9,77388.78,77388.78,77388.78,77388.78,77388.78
"334/776.545mz/6.77min",77102.628,25700.876,25700.876,128504.38,2462340.8,14939539,25700.876
"336/590.1196mz/6.73min",293433.67,383900.94,367029.03,281122.06,264820.8,247477.73,305745.28
"337/299.2592mz/6.81min",866590.58,863758.6,869422.56,748208,1197953.5,514353.22,1000661.56
"338/568.3622mz/6.79min",25223.241,74914.25,53738.906,23529.664,10388.913,26916.818,2077.7826
"339/654.1321mz/6.8min",1685056.3,2279394.8,2184351.2,1648955.5,1517512.1,1302624.5,1721157.1
"340/782.1569mz/6.8min",315030.61,515145.4,448070.1,300458.72,293569.72,216717.23,329602.5
"341/325.1844mz/6.81min",429827.03,167602.98,479567.56,557967.44,380086.5,336745.06,719764.5
"342/765.1669mz/6.81min",222191.145,125168.98,207725.62,429157.72,236656.67,348059.72,194292.14
"344/637.1419mz/6.83min",1396529.45,816552.75,1275770.4,2528052,1517288.5,1932438.6,1232250.4
"346/829.1796mz/6.89min",161939.39,82584.17,135556.56,310842.78,188322.22,245472.27,124927.48
"347/846.1694mz/6.9min",197935.2,335415.7,279943.4,193672.34,156308.92,131656.98,202198.06
"348/299.2592mz/6.9min",456033.205,429637.3,421693.53,517147.3,799487.7,477717.38,434349.03
"349/701.1544mz/6.91min",1545549.55,736709.6,1380501.6,2782409.2,1710597.5,2208078,1297106.6
"350/568.3622mz/6.91min",671429.48,1035367.9,830028.5,576461.9,565171.9,766397.06,428298.56
"351/718.1446mz/6.92min",1703657.7,2563472.8,2403511.5,1640605.9,1457361.9,1255562.2,1766709.5
"352/293.2123mz/6.92min",784699,797518.7,900611.94,942030.5,639665.2,217920.77,771879.3
"354/421.2264mz/6.9min",1451200.7,271816.58,1359082.9,1422667,1479734.4,1486048.9,1496144.6
"355/325.1844mz/6.93min",425629.31,1086621.4,488986.3,27555.057,390817.72,335323.03,460440.9
"356/910.1821mz/6.97min",131130.205,210434.3,189128.56,148446.69,112197.67,92750.055,113813.72
"357/893.1924mz/6.97min",86705.43,12637.223,75728.35,160695.7,97682.51,130407.76,64879.996
"358/765.1668mz/6.99min",1177464.7,538004,1086831,2039658.6,1268098.4,1571401.9,966142.06
"359/782.157mz/6.99min",1367584.45,2064156.5,1913381.1,1305847.5,1188157.2,1162307.2,1429321.4
"360/654.1321mz/7.01min",432126.97,590259.25,587802.8,395267.7,396162.5,332765.2,468091.44
"361/299.2592mz/7.02min",46582.089,54202.168,64904.77,61993.23,38962.01,7297.646,36488.23
"362/637.1419mz/7.03min",497392.11,220112.39,418421.94,837551.7,554294.06,633523.4,440490.16
"364/974.1941mz/7.03min",66880.992,125534.78,163389.36,48932.484,48681.285,53634.254,80127.73
"365/829.1793mz/7.05min",821002.55,347284.75,715131.2,1638869.2,926873.9,1127237.1,692373.94
"366/846.1693mz/7.05min",957849.73,1460922.4,1458623.5,911850.56,855432.2,776821.25,1003848.9
"367/760.5136mz/7.06min",696574.56,70298.58,1432075.6,458073.56,935075.56,351492.9,11036440
"369/701.1544mz/7.08min",1068413.47,443865.78,830867.44,1826127.5,1173215,1391079.2,963611.94
"370/718.1445mz/7.08min",935158.75,1314355.8,1300669.9,837015.4,826751.2,702549,1033302.1
"371/1038.2067mz/7.08min",49610.9365,62863.637,66401.875,53177.4,34539.543,13025.637,46044.473
"372/776.545mz/7.04min",523732.95,174577.65,174577.65,872888.25,12647860,2739569,174577.65
"373/802.5606mz/7.15min",331949.34,110649.78,110649.78,22262098,553248.9,3211855.5,110649.78
"374/893.1918mz/7.1min",571479.375,222991.58,471607.62,1146312,657723.25,789204.44,485235.5
"375/910.182mz/7.1min",636668.325,981420.25,982499.3,600235.9,546015.8,540746.94,673100.75
"376/717.5272mz/7.14min",197955.504,65985.168,65985.168,6914794,329925.84,8228101.5,65985.168
"377/716.5238mz/7.16min",838587.24,279529.08,279529.08,15762962,1397645.4,18583242,279529.08
"378/765.1668mz/7.14min",1255302.3,444783.8,883390.06,2202159,1374414.4,1594344,1136190.2
"379/782.157mz/7.14min",1061091.9,1620650.6,1682981,1013296.6,979028.6,811704.6,1108887.2
"380/421.2264mz/7.14min",271893.04,1359465.2,271893.04,271893.04,271893.04,271893.04,271893.04
"381/325.1844mz/7.1min",30722.6365,668422.5,37521.62,2180.546,34244.883,10902.73,27200.39
"382/974.1942mz/7.15min",452590.06,627665,812012.5,431277.22,383961.47,374729.47,473902.9
"383/957.2041mz/7.15min",365821.27,109972.35,293350.38,702193.1,430347.88,524337.4,301294.66
"384/599.3205mz/7.22min",406752.559,8711.318,1742.2636,1156092.4,804793.8,1098762.6,1742.2636
"385/846.1693mz/7.19min",929009.02,1438480.9,1516737.6,895763.6,829022.9,699760.7,962254.44
"386/829.1793mz/7.19min",1211492.2,406564.38,909618.75,1997162.9,1331094.2,1531997.1,1091890.2
"387/1038.2066mz/7.2min",276736.27,384533.6,463423.8,270557,277988.16,203005.47,275484.38
"388/1021.2166mz/7.19min",237093.445,48366.273,173014.38,526584.06,274343.75,317087.72,199843.14
"389/271.2279mz/7.22min",52594.0195,49573.793,55614.246,59730.758,39724.58,426567.16,42089.168
"390/1085.2288mz/7.24min",140510.93,14209.097,88616.125,345369.4,149846.98,203024.73,131174.88
"391/910.1819mz/7.24min",745372,1147151.9,1191039.4,774061.44,686613.9,602355.3,716682.56
"392/684.4613mz/7.26min",468465.4,468465.4,468465.4,468465.4,468465.4,2342327,468465.4
"393/893.1917mz/7.27min",978557.2,354495.12,804185.25,1686354,1051277.5,1264690.9,905836.9
"394/974.1941mz/7.29min",558722.525,833985.3,868026.25,586151.25,512371,256952.31,531293.8
"395/957.204mz/7.29min",776767.48,287269.44,691311.4,1328739.5,788187.4,982093.56,765347.56
"396/599.3205mz/7.27min",1124372.6,19149.56,2077303.2,14425.379,1334997.2,1024301.6,1224443.6
"398/701.1543mz/7.32min",162930.11,48831.75,118897.45,239925.19,158554.34,180204.75,167305.88
"400/1021.2164mz/7.33min",576224.42,176408.14,442072.97,983171.94,599822.9,716705.4,552625.94
"401/716.5239mz/7.3min",820298.88,273432.96,273432.96,1367164.8,6980555.5,3101477.2,273432.96
"402/447.0918mz/7.33min",490156.995,774130.8,1824385.2,166565.94,2018812.4,75438.484,206183.19
"404/401.0862mz/7.33min",62965.825,104558.57,260244.34,15270.518,291383.16,3054.1036,21373.08
"405/1038.2066mz/7.34min",347703.91,543008.25,598302,237487.61,354112.66,326536.7,341295.16
"406/802.5606mz/7.36min",993621.96,331207.32,331207.32,1656036.6,1679831.4,17837792,331207.32
"407/782.1569mz/7.36min",144872.12,226794.06,239391.53,145436.16,127891.67,110360.96,144308.08
"408/765.1668mz/7.37min",323170.74,64474.285,307430.72,486144.97,312844.1,352549.06,333497.38
"410/830.5919mz/7.37min",79277.8135,10569.8734,274114.7,105706.26,52849.367,10569.8734,4993312
"411/846.1694mz/7.4min",223543.735,255463.03,271714.7,259695.1,176772.19,147103.7,191624.44
"412/829.1793mz/7.41min",431355.385,260535.6,404351.8,626604.94,420052.3,492518.6,442658.47
"413/893.1917mz/7.42min",521391.775,432675.56,557522.1,662909.8,510689.8,515129.8,527653.75
"414/910.1819mz/7.43min",171612.35,224523.94,200629.47,261815.9,142595.23,137936.38,136322.06
"415/134.8947mz/7.44min",677740.58,922817.9,1122907,651587.7,662779.1,642868.4,692702.06
"416/974.1941mz/7.44min",130347.295,179840.84,144822.64,222262.38,109744.47,115871.95,61024.582
"417/353.1423mz/7.44min",165703.645,576094.6,296982.38,187134.27,144273.02,142373.28,96443.76
"418/957.204mz/7.46min",538859.44,445433.6,550130.6,680608.25,518454.84,539653.94,538064.94
"419/1021.2164mz/7.47min",466725.99,316624.38,478672.38,562603.7,466610.38,434007.2,466841.6
"420/1038.2065mz/7.49min",135234.267,162543.33,152872.3,174765,112260.46,113220.695,117596.234
"421/805.4883mz/7.49min",24287.7372,8095.9124,8095.9124,40479.562,124030.836,1425738.8,8095.9124
"423/134.8947mz/7.53min",485329.165,233570,785435.4,428367.53,542290.8,588020.3,376365.12
"424/802.5606mz/7.53min",1945793.28,648597.76,648597.76,3242988.8,6357956,3812351.5,648597.76
"425/599.3205mz/7.59min",466268.8,2331344,466268.8,466268.8,466268.8,466268.8,466268.8
"426/804.5754mz/7.6min",1291090.25,211733.58,2538000.2,1058667.9,1523512.6,211733.58,25901300
"427/760.5135mz/7.55min",567834.985,4634.3614,7524608.5,440994.97,694675,23171.807,806185.06
"430/1021.2165mz/7.64min",64170.0315,10774.9328,53874.664,92325.38,61825.223,73106.234,66514.84
"432/720.4824mz/7.67min",976060.225,117973.94,589869.7,806439.25,1145681.2,3870688.2,1395162.8
"434/758.498mz/7.71min",648347.24,648347.24,648347.24,3241736.2,648347.24,648347.24,648347.24
"435/732.4824mz/7.72min",119718.15,39906.05,39906.05,208869.98,199530.25,2137862.2,39906.05
"436/100.9337mz/7.84min",407811.67,1271478.2,1150849.9,453735.34,144373.16,131052.84,361888
"437/115.9208mz/7.84min",1835175.1,2061448.5,1938771.2,2443409.5,1440256.1,1731579,883610
"438/116.9286mz/7.84min",5461373.75,10945287,6527461,5038330,5442454,5118043,5480293.5
"439/134.8947mz/7.84min",1305590.55,5039524.5,1353587.1,1363928.6,993206.56,1127299.9,1257594
"440/186.9706mz/7.84min",173382.94,158214.22,207601.62,173259.78,227232.77,133303.62,173506.1
"442/161.9136mz/7.84min",237316.35,1657096.5,325903.66,226290.42,248342.28,195019.92,163674.98
"443/355.1579mz/7.84min",78082.315,579718.25,84741.88,105062.82,40220.35,71422.75,16732.322
"444/144.9235mz/7.85min",1159904.67,2206755,1481279.8,1402086.4,917722.94,848964.9,811942.8
"445/557.1084mz/7.88min",339575.22,370389.78,611533.9,282995.03,610661.3,122850.61,308760.66
