"","Filename","POS_TJGI2pt1_EV_gpdA_CTRL_1_Run13.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_2_Run143.mzML","POS_TJGI2pt1_EV_gpdA_CTRL_3_Run194.mzML","POS_TJGIp10_1_Run22.mzML","POS_TJGIp10_2_Run132.mzML","POS_TJGIp10_3_Run209.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","275/144.1019mz/2.08min","49199.188","15103.947","113513.625","38145.83","12717.105","40446.973"
"3","277/146.1176mz/2.07min","390600.94","258922.44","330650.62","345139.53","268177.78","269065.38"
"4","278/254.1386mz/2.08min","492422.66","234368.27","367548.34","560274.8","380056.88","391881.3"
"5","280/170.0812mz/2.1min","243944.94","232905.72","329703.4","244080.5","266364.94","297536.62"
"6","281/217.1047mz/2.15min","196940.28","436816.16","152408.9","1004301.75","814934.0","206468.16"
"7","282/379.3357mz/2.09min","0.0","0.0","4292.3413","0.0","31309.83","0.0"
"8","283/102.0914mz/2.13min","410428.34","638013.6","950261.06","500247.44","792596.3","723187.0"
"9","284/232.1543mz/2.1min","1597093.2","1726145.9","1607168.4","1593418.8","1358492.2","1110284.9"
"10","285/144.1019mz/2.13min","49199.188","15103.947","48353.78","49353.92","22194.082","48453.16"
"11","286/184.1696mz/2.15min","84380.1","114198.85","240853.03","149627.25","753851.5","119470.09"
"12","287/195.1228mz/2.21min","1317170.1","572778.3","580296.6","1473650.0","773285.3","496584.47"
"13","288/217.1047mz/2.21min","1846940.1","2563310.8","2898801.2","1701844.9","2690790.8","2363718.8"
"14","289/157.0835mz/2.21min","974588.06","870005.56","1089472.5","1169926.2","1175331.1","934574.75"
"15","290/113.0597mz/2.22min","2503632.0","1780983.4","2031160.0","1600132.0","1650948.8","1453377.5"
"16","293/116.0528mz/2.26min","14489.091","145005.38","98870.98","15646.527","165253.1","46260.414"
"17","297/146.0601mz/2.34min","2204377.5","1482783.8","1723027.8","1623058.2","1386238.8","1341954.8"
"18","298/231.1702mz/2.33min","385684.44","146836.38","454397.8","708140.3","447547.8","457624.88"
"19","299/187.094mz/2.34min","200853.92","737196.5","323563.44","40076.66","84452.586","56563.5"
"20","300/146.1175mz/2.32min","124545.61","157340.03","227835.97","219805.88","284898.25","253554.33"
"21","301/157.0835mz/2.37min","923798.56","2504576.2","3144559.5","982500.3","1781068.9","2375745.8"
"22","302/135.1016mz/2.38min","1016350.2","607675.2","681281.2","679841.9","501141.12","503811.1"
