row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_NEG_Y-p11_1_Run98.mzML Peak area,2024_NEG_Y-p11_3_Run151.mzML Peak area,2024_NEG_Y-EV_1_CTRL_Run89.mzML Peak area,2024_NEG_Y-p11_2_Run127.mzML Peak area,2024_NEG_Y-EV_2_CTRL_Run118.mzML Peak area,2024_NEG_Y-EV_3_CTRL_Run139.mzML Peak area,
177,397.00551307675966,3.1301053,,,,43,,,,,,,296423.16,298106.8,288246.78,303671.5,298091.1,278670.6,
388,401.0862068903345,7.331199,,,,,,,,,,,116321.41,201096.86,104558.57,223406.66,260244.34,15270.518,
187,403.1719990456477,3.2753851,,,,,,,,,,,3169610.2,2897313.5,2711957.8,2624113.0,2815448.2,6745427.0,
201,403.17207115563457,3.548044,,,,,,,,,,,25965.098,4967.9043,6695.3677,12922.801,23232.672,137740.3,
226,404.04435995698697,4.5594826,,,,48,,,,,,,470403.25,407124.1,441468.97,471126.06,450982.16,397570.47,
52,404.10430775674075,0.3758206,,,,,,,,,,,36373.773,68215.41,265042.25,67692.05,365182.34,50706.37,
119,404.1043730124308,0.94548684,,,,,,,,,,,386172.5,281562.75,4615992.5,555060.6,4245112.5,702394.7,
203,405.0106694818214,3.599988,,,,9,,,,,,,1.9107492E7,1.8946798E7,1.8992736E7,1.8652728E7,1.9084708E7,1.6496108E7,
35,405.0284987552183,0.38837817,,,,4,,,,,,,9801436.0,7093084.5,5527150.5,4342349.5,5313283.0,8688384.0,
69,405.028498823695,0.5226601,,,,1,,,,,,,2.6999314E7,2.4797942E7,3.1381754E7,2.9717342E7,3.2696306E7,5.0021836E7,
206,406.0137530668119,3.601469,,,,,,,,,,,3374263.8,3596289.8,3849010.0,3473162.2,3430319.2,3149038.2,
204,407.0044233596015,3.6014373,,,,9,,,,,,,1287786.1,1279370.0,1281045.5,1242831.2,1295570.2,1165651.9,
148,407.120627484993,2.6009247,,,,,,,,,,,752948.06,920956.56,1015384.1,950047.7,1109963.1,1189438.8,
484,411.3841286810205,9.380401,,,,,,,,,,,462843.22,521162.5,905600.5,691426.5,1134214.9,698695.9,
202,417.1876649215955,3.5539494,,,,,,,,,,,769450.8,691343.9,649944.56,624956.56,610076.2,1654156.2,
212,419.02628668453855,4.149056,,,,,,,,,,,296272.9,291793.62,300497.2,299131.4,280903.5,293252.8,
70,421.00274006565496,0.52696663,,,,1,,,,,,,624305.94,703291.1,519550.7,582417.1,431195.56,1268647.9,
208,421.0055597269067,3.8406909,,,,,,,,,,,499703.75,530246.25,470162.9,617817.0,432973.6,526468.06,
193,421.00557685272173,3.3989217,,,,36,,,,,,,3020520.5,3012682.2,3074538.5,3047560.8,2818251.0,2790453.5,
188,421.00559179601686,3.3127022,,,,,,,,,,,74402.88,76473.14,83364.69,75636.61,70822.27,1108250.0,
342,421.22642026405373,6.966542,,,,,,,,,,,0,1369803.1,0,1403327.2,1359082.9,0,
364,421.22642057572887,7.1414347,,,,,,,,,,,0,0,1359465.2,0,0,0,
332,421.22643235805145,6.823487,,,,,,,,,,,1341603.5,0,0,0,0,1422667.0,
222,422.97677928551883,4.519809,,,,,,,,,,,775389.2,775184.2,769498.75,817311.75,752181.2,732330.94,
238,426.96777305543293,4.9198813,,,,35,,,,,,,7711007.0,8560790.0,8612498.0,1.0402613E7,1.2882144E7,9713083.0,
61,427.0103889899492,0.45214596,,,,,,,,,,,1884668.2,1431792.6,1145148.4,1501564.0,1153299.4,2262944.0,
100,439.086077950569,0.64813286,,,,,,,,,,,25345.549,107437.48,638307.2,142619.08,782826.3,97451.586,
23,439.08694173650036,0.37546337,,,,,,,,,,,824106.75,1448102.5,2416516.2,1512768.0,2380624.5,1039640.7,
215,447.02126548616576,4.2051616,,,,,,,,,,,342857.38,318463.44,331359.56,329829.8,325344.4,308299.38,
386,447.0918320113924,7.331621,,,,37,,,,,,,884573.9,1433066.6,774130.8,1629047.5,1824385.2,166565.94,
259,450.26250471419917,5.8480887,,,,,,,,,,,796793.4,903357.8,1762260.1,987067.6,1478695.0,1120471.4,
253,450.26250625947745,5.743133,,,,,,,,,,,660350.7,775591.0,1683228.9,791752.25,1443856.4,1159980.8,
270,452.2781444028265,6.1259046,,,,,,,,,,,30824.809,39675.8,90030.08,46388.812,73919.84,49219.535,
276,452.2781578877403,6.237625,,,,,,,,,,,674644.56,890002.94,1604940.4,926921.7,1446845.4,1132612.8,
296,478.2938698771448,6.4057317,,,,,,,,,,,384215.94,524527.8,1022420.94,503054.72,850315.56,539887.3,
284,478.29389507768013,6.3054185,,,,26,,,,,,,990128.75,1181403.8,2730147.0,1237830.1,2066201.2,1756986.8,
239,481.0421045347687,4.9207463,,,,34,,,,,,,5062181.5,4752603.5,4716066.0,4868521.0,4431022.5,5408636.0,
313,485.0687618258175,6.6468854,,,,,,,,,,,138916.39,415274.8,242018.06,321230.16,1104102.2,65853.0,
426,485.0687721130607,7.8787365,,,,12,,,,,,,740571.2,927448.9,776480.56,1176709.2,1228509.4,555348.1,
