"","filter","NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML","NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML","NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML","NEG_TJGIp3_1_Run41.mzML","NEG_TJGIp3_2_Run127.mzML","NEG_TJGIp3_3_Run165.mzML"
"105/188.0353mz/2.78min",59053.8,74767.61,74520.31,97247.41,31940.744,33636.44,43587.29
"106/457.1869mz/2.8min",1049.62452,540976.44,1049.62452,5248.1226,1049.62452,1049.62452,1049.62452
"107/501.1766mz/2.8min",60461.284,2235403.5,24619.193,96303.375,115841.914,4923.8386,4923.8386
"108/158.0822mz/2.81min",973929.58,827401.56,1078931,1284084.1,977795.56,813722.1,970063.6
"109/293.1143mz/2.85min",257217.96,146973.92,104458.57,126393.85,394918.72,367462,437847.97
"110/159.0663mz/2.87min",620718.87,627582.8,531884.5,655401.25,655586.2,475454.94,613854.94
"111/426.1899mz/2.92min",201711.35,140842.95,245380.86,272410.38,132187.55,205866.28,197556.42
"112/185.0819mz/2.89min",33430.105,56959.445,47552.36,54623.066,7406.5254,7133.0303,19307.85
"113/172.098mz/2.91min",1256590.98,1627517.1,1472463.9,1040718.06,1681184.2,744552.94,917610.8
"114/130.0873mz/2.91min",159059,166496.08,202936.02,204167.9,99513.78,151621.92,101225.74
"115/118.051mz/2.9min",70743.585,117083.08,282126.3,42014.984,70534.26,70952.91,65723.8
"116/186.1136mz/2.95min",771766.98,1179859,924461.06,1100495.5,619072.9,556669.2,609602.25
"117/171.1027mz/2.95min",462391.78,687633.5,507766.84,591816.1,417016.72,198954.88,218560.31
"118/189.0769mz/2.96min",400083,438997.56,370401.44,500234.94,412233.6,263823.28,387932.4
"119/426.1898mz/2.97min",348044.885,308615.3,378038.34,423064.12,275942.1,349880.3,346209.47
"120/221.0932mz/3.01min",310671.72,503060.47,284848.9,331253.44,397416.34,237895.58,290090
"121/165.0557mz/3.02min",1268639.7,1189414.2,1087369.9,1387514,1383000,1035403.9,1347865.2
"122/194.0458mz/3.03min",115044.11,122264.27,107688.45,142449.52,107823.95,95488.89,129197.3
"124/173.0819mz/3.05min",1329511.15,1518530.5,1581946,1884898.4,1090596.9,957221.3,1140491.8
"125/164.0354mz/3.05min",2306365,2157244.5,2455485.5,2840776.8,2458743.8,1812761.2,2142779.8
"126/120.0455mz/3.05min",519413.75,490706.8,548120.7,624624.94,562690.5,404057.25,480394.62
"127/136.0404mz/3.05min",133171.315,126655.53,139687.1,166903.9,143259.2,95273.51,124129.86
"128/351.0598mz/3.05min",177402.96,98330.305,249345.89,286337.16,160586.08,144784.11,194219.84
"129/118.051mz/3.02min",176920.535,183894.88,20718.166,155461.38,190176.53,169946.19,214817.8
"130/243.1238mz/3.14min",30125.5265,34305.18,33753.207,44311.453,26497.846,11298.317,20546.088
"131/188.0354mz/3.15min",77265.595,87383.234,73895.51,97018.5,80635.68,50956.402,63909.75
"132/159.1027mz/3.15min",27135.2385,41772.6,37734.777,48960.438,16535.7,4053.9124,11605.101
"133/294.0984mz/3.19min",244339.585,96996.95,64497.562,80383.516,391682.22,455853.47,559652.5
"134/160.0405mz/3.2min",657892.57,784631.44,704773.2,724018.2,611011.94,473748.72,520970.84
"135/245.0932mz/3.2min",1531589,1819790.5,1527262.2,1903875.4,1520504.6,1156494.5,1535915.8
"136/228.1031mz/3.24min",29155.863,39002.047,32261.426,37590.504,26050.3,16063.817,16120.71
"138/180.0666mz/3.25min",919373.33,1015917.44,889864.56,1032301.56,916167.1,745795.3,922579.56
"139/178.051mz/3.25min",1680480.7,1665768.4,1932880.5,2263069.8,1695193,1205457.1,1460893.2
"140/181.0706mz/3.25min",79387.02,81229.24,227067.86,68778.31,77544.8,67162.234,188399.75
"141/144.0455mz/3.27min",567975.3,663514.8,573436.3,606194.4,562514.3,395939.56,420505.34
"142/261.1344mz/3.27min",226472.545,287355.78,346736.94,399631.44,144186.16,146909.31,165589.31
"143/216.1241mz/3.28min",266751.565,365490.12,285810.97,346175.56,247692.16,182184.08,216003.97
"144/164.0354mz/3.29min",30797.5175,43642.35,25461.379,26209.516,36474.133,30070.994,31524.041
"145/186.1136mz/3.29min",162288.775,197715.27,194343.66,226866.48,130233.89,92879.93,109520.48
"146/138.0197mz/3.32min",1562456.35,2092772.8,1728120.8,1958663,1396791.9,1180302.9,1318779.5
"147/121.0295mz/3.32min",25986.947,681.958,155217.58,54215.19,3409.79,19030.754,32943.14
"148/187.0976mz/3.35min",66752.18,80586.68,79126.85,85456.445,21023.11,53043.47,54377.51
"149/193.0506mz/3.35min",819339.975,782124.25,668515.8,722216.25,881528,856555.7,942850.25
"150/271.1664mz/3.36min",428120.22,408636.47,554522.5,447603.97,480038.62,216167.38,381059.62
"151/261.1344mz/3.36min",1435289.2,1764719.9,2150559,2504456.5,928874.25,931507.5,1105858.5
"153/314.1035mz/3.37min",51384.2055,63866.51,55715.266,58925.77,41859.133,43458,47053.145
"154/189.1131mz/3.43min",239541.465,239161.83,223227.1,252516.97,239921.1,204311.34,240065.56
"155/244.119mz/3.45min",268784.89,265579.72,214086.48,255500.05,310962.56,271990.06,328922.1
