"MetaboAnalyst_ID","X2024_NEG_Anid.EV.SA.OA_CTRL_1_Run174.mzML","X2024_NEG_Anid.EV.SA.OA_CTRL_2_Run218.mzML","X2024_NEG_Anid.EV.SA.OA_CTRL_3_Run245.mzML","X2024_NEG_Anid.SA.OA_1_Run171.mzML","X2024_NEG_Anid.SA.OA_2_Run192.mzML","X2024_NEG_Anid.SA.OA_3_Run236.mzML","shared_name"
"1436/297.0472mz/4.98min",1.73325331571054,1.95517873772566,1.79460368917843,2.17477831211402,1.56455794815483,1.28370973083053,"1436"
"1437/550.2673mz/4.99min",2.0797206786175,1.94701007484845,1.77831472769333,1.84799584096348,1.88461102705061,1.99581787306455,"1437"
"1445/567.2351mz/5.02min",1.4142369245882,1.12463823261838,2.25203694691272,0.447441317570734,1.9910977938368,1.90088162695003,"1445"
"1446/552.2241mz/5.02min",1.79824087955137,1.98419905702453,1.60416458094514,0.890282110325398,2.05749533604931,1.87413202253771,"1446"
"1447/447.1342mz/5.0min",1.77187502147427,1.86634034285197,1.66427853581083,1.99562522898435,1.72003625083699,1.71319243685931,"1447"
"1449/452.1714mz/5.03min",1.65852734867784,1.66446766257581,1.78611680116136,1.17726879171503,2.02595055373957,1.95117428167494,"1449"
"1458/438.1557mz/5.04min",2.36680086942042,2.23483662158677,2.59723587087122,0.675429859249268,2.91078436045776,2.64078258909126,"1458"
"1460/267.1238mz/5.04min",1.68988849565793,1.61309257074192,1.64977470823146,3.51591926498089,2.33548906307682,2.52426500409892,"1460"
"1461/439.1591mz/5.04min",1.76370852525751,1.67350604830542,2.01474072058576,0.99630551693907,2.32122270014972,2.0523840574286,"1461"
"1467/519.2235mz/5.05min",1.84264275289927,2.11221151910519,1.57510569603959,2.14446235039954,1.61920733758798,1.62426824217218,"1467"
"1480/579.2713mz/5.08min",2.20064834236563,1.64889487022952,1.53363160636772,0.819749333405573,1.89963858208216,2.1429997018502,"1480"
"1482/510.2135mz/5.09min",1.97969880352316,1.91392804261083,1.54674343881489,0.8328611240924,2.00776956103374,2.08374714418172,"1482"
"1485/250.1166mz/5.1min",1.21539630075527,1.13860042091711,1.17528253488603,1.85933942007274,2.08483218224491,2.30078979035158,"1485"
"1489/551.2877mz/5.1min",1.99231731917242,1.88529523998545,1.96485676224985,2.40686784124707,1.60102849482868,1.91443273664076,"1489"
"1491/341.1028mz/5.12min",1.73592538958068,1.46444237993861,2.23290659968505,0.84197021407891,1.80299000495063,1.84524392322814,"1491"
"1497/473.1242mz/5.12min",2.14046696200429,2.09849001232223,2.1503037539628,0.47589734155707,1.78246144891818,1.94298251375682,"1497"
"1498/249.1132mz/5.12min",2.26320641119954,2.18641048097899,2.22309262123632,3.34637051893008,2.90880699048177,3.13925594094078,"1498"
"1507/503.1744mz/5.15min",1.71760302274488,2.14552187710053,1.72601362675963,2.16583741121229,1.57866673012979,1.66321631158931,"1507"
"1511/485.1817mz/5.15min",2.10249162817508,2.60237283443544,2.14375539775207,2.67895048493305,2.011801006624,2.0465337392683,"1511"
