"","filter","2024_NEG_Anid-EV-SA-OA_CTRL_1_Run174.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_2_Run218.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_3_Run245.mzML","2024_NEG_Anid-SA-OA_1_Run171.mzML","2024_NEG_Anid-SA-OA_2_Run192.mzML","2024_NEG_Anid-SA-OA_3_Run236.mzML"
"97/213.0404mz/2.33min",1834480.3,1600705.8,3837481.5,189862.16,983480.56,2068254.8,2451033.5
"98/275.0561mz/2.32min",26435.4045,33713.11,4121.3414,189313.28,4121.3414,32264.102,20606.707
"99/274.0933mz/2.33min",2173294.4,4182448.8,3447492,2667774,1190006.9,628865.7,1678814.8
"100/212.0645mz/2.33min",668911.38,523647.38,1064121.5,631554.7,1997649.5,555552.5,706268.06
"102/230.1034mz/2.35min",143382.765,288966.34,219581.56,176184.14,58203.523,20957.143,110581.39
"103/211.0612mz/2.33min",7738585.75,5487106,9668502,6714785,19774816,8183288,7293883.5
"104/193.0505mz/2.33min",163532.215,122328.61,185088.4,112738.305,479410.25,178569.16,148495.27
"105/167.0713mz/2.34min",58064.105,35557.453,100999.76,44927.453,198311.64,63471.39,52656.82
"108/343.0756mz/2.34min",204497.26,174368.52,141737.72,199931.4,307165.62,209063.12,210395.06
"110/261.1171mz/2.35min",247079.855,331179.75,209653.78,248903.48,275053.84,117548.7,245256.23
"111/260.1138mz/2.34min",2286695,3003033.8,2603943.5,2298867,2274523,1107621.8,2100087
"113/326.086mz/2.34min",244316.625,174523.52,181214.92,257032.48,679364.9,282205.44,231600.77
"116/497.1776mz/2.36min",975456.1,1150642.8,1329248.6,887061,379162.34,840175.06,1063851.2
"119/185.1011mz/2.38min",312032.075,555865.1,464734.88,317220.9,199597.45,80987.03,306843.25
"121/519.2089mz/2.38min",973902,1614004.5,1656051.8,906907.9,395336.88,800347.75,1040896.1
"122/517.2039mz/2.38min",23945112,39729700,38296004,22638372,11428809,18064378,25251852
"123/535.2145mz/2.38min",2196009,4101736.5,3930740.5,2084739,937697.06,1615510.4,2307279
"124/260.1033mz/2.38min",1699911.3,2873307.2,2533526,1651234,1117140.8,1380734,1748588.6
"125/258.0984mz/2.38min",121552153,197116060,178996770,119814490,80596820,97378824,123289816
"126/557.1964mz/2.38min",320875.98,557746.2,501684.34,239792.9,188132.89,173855.5,401959.06
"128/184.0979mz/2.38min",3499612.5,6338246.5,5264916,3544015.5,2533587.5,2741592,3455209.5
"129/102.056mz/2.38min",1713184,3137483.2,2562734.2,1740945.2,1258545.6,1291043.2,1685422.8
"130/214.1085mz/2.38min",13484331.5,24024092,19837944,13423339,9843603,10479706,13545324
"131/196.0979mz/2.38min",1021619.7,1923627.2,1595286.9,1030371.5,736358.7,826279.75,1012867.9
"133/215.1117mz/2.38min",1382820.5,2538366.8,2054358.8,1379775.5,966390.9,1111835.9,1385865.5
"134/259.1017mz/2.37min",14918856,23733266,21465406,14703069,9887117,11873950,15134643
"135/539.1859mz/2.38min",3556991.9,4734752,4244408,3352542.8,2804050.8,3327590.2,3761441
"136/820.2735mz/2.38min",210017.6,83337.086,198376.36,221658.84,290638.12,359241.56,177930.34
"141/130.0591mz/2.42min",140099.202,175120.84,29621.922,600361.3,64025.164,153710.42,126487.984
"142/129.0557mz/2.42min",3420776.1,5327915,2590275.2,10028343,3938416.2,2903136,2615401.2
"143/677.2945mz/2.42min",312361.545,508433.16,374004.2,239904.75,184464.62,285023.03,339700.06
"144/675.2885mz/2.42min",3559341,5683678.5,4401523,2570428.8,2059435,3202152.2,3916529.8
"145/224.0644mz/2.43min",109407.055,409060.12,423176,35991.05,67321.77,7198.21,151492.34
"146/309.119mz/2.43min",326489.325,504244.03,143693.28,965106.9,444430.53,115990.87,208548.12
"148/175.0611mz/2.43min",335195.12,273644.2,408458.12,1211108.9,350704.4,319685.84,284730.6
"149/223.0611mz/2.43min",1100685.8,3494797.5,3681657,478051.3,804149.2,85172.31,1397222.4
"150/833.3729mz/2.44min",402636,434707.16,290124.53,370564.84,292712.62,512599,551705.3
"151/416.1825mz/2.44min",8508291.25,8290858.5,6505527,8725724,7342149.5,10102984,9948429
"152/479.1783mz/2.44min",1568258.3,1349701.8,1050626.5,1671756.1,1464760.5,2117549,2054299.8
"153/204.0302mz/2.44min",225876.48,117357.625,368104.66,272258.72,196981.6,254771.36,184829.97
"154/235.0644mz/2.45min",33729.242,103268.76,19394.975,351008.8,32418.527,10657.265,35039.957
"157/188.0353mz/2.46min",146443.165,229061.83,138434.52,108910.66,454623.3,151081.58,141804.75
"159/194.0458mz/2.46min",1199594.45,1276755.8,1463259.1,1122433.1,1326219.2,1122412.4,1075287.6
"162/259.1299mz/2.47min",1117524.75,1158294.1,1718939.4,798741.44,1512718.1,782046.94,1076755.4
"163/261.1173mz/2.48min",129800.437,168513.23,154342.56,136222.64,101815.66,94556.74,123378.234
"166/279.051mz/2.48min",172548.875,160837.81,68946.38,184259.94,47934.766,307320.56,235538.7
"167/230.1034mz/2.48min",284639.315,397555.1,325098.62,191546.83,269653.53,238168.16,299625.1
"169/716.3224mz/2.49min",2528170.5,2678790,4002061.8,2377551,3061976.5,2187744.2,2165052
"170/752.299mz/2.49min",674821.33,530769.9,1096380,783084.9,684335.56,585411.06,665307.1
"171/779.3179mz/2.49min",1006474.7,1017745.2,1490898.1,995204.2,1241597.4,868152.44,855516.8
"172/167.0349mz/2.49min",752582.87,803028.94,859318.6,814597.25,370945.8,702136.8,637472.3
"173/208.0614mz/2.49min",75448.645,114097.61,6968.8115,70390.97,1393.7623,80506.32,150233.73
"174/363.1082mz/2.5min",165599.555,309991.3,318230,158162.72,31632.544,162690.97,168508.14
"175/244.0462mz/2.5min",261816.42,438386.06,434959.47,154266.34,57305.312,91827.42,369366.5
"176/182.0539mz/2.5min",498108.13,780731.8,688675.7,465705.8,68122.64,486847.88,509368.38
"177/242.1034mz/2.51min",199145.905,510676.94,189141.92,209149.89,68599.91,186879.48,659386.7
"178/181.0506mz/2.51min",5404312.5,8225493.5,7636350,5186258,907074.56,5402680.5,5405944.5
"180/786.2858mz/2.51min",208624.6,229720.75,329856.44,52987.57,355852.7,187528.45,176825.12
"181/113.0608mz/2.52min",104289.415,120546.32,88050.36,271435.53,120528.47,82975.305,53035.812
"182/140.0434mz/2.52min",402977.32,440358.03,375732.34,357780.66,673875.25,415717.34,390237.3
"183/139.0401mz/2.52min",6795315.75,7188951,6159052.5,5568631.5,10482487,6859806,6730825.5
"184/175.0612mz/2.52min",7479645.25,9224900,7206495.5,34772240,7752795,5673234.5,5258533.5
"185/95.0502mz/2.52min",501496.89,579127.94,431861.3,428528.2,914699.75,493108.28,509885.5
"186/176.0645mz/2.53min",510455.595,658644.8,510358.66,2635900.2,510552.53,345044.1,345017.84
"187/260.0388mz/2.52min",91833.952,104266.24,40477.73,330926.66,107892.52,62999.54,79401.664
"188/373.1114mz/2.52min",15108.953,18460.537,18359.377,510442.5,11858.529,2371.7058,2371.7058
"190/157.0506mz/2.53min",179964.98,184624.62,200980.45,270673.72,175305.34,140988.84,138402.83
"191/153.0193mz/2.54min",360987.29,355864.2,1110048.1,327690.7,199898.6,366110.38,370211.06
"192/261.0881mz/2.54min",209585.455,171018.5,237322.47,34203.7,686455.5,181848.44,260962.2
"193/303.1562mz/2.54min",1078603.7,1366288.5,1223329.8,752666.75,2213187.2,631324.4,933877.6
"194/203.0462mz/2.54min",146300.95,146300.95,146300.95,731504.75,146300.95,146300.95,146300.95
"196/309.119mz/2.56min",252327.585,442850.62,49524.727,1669333.8,312163.7,98971.3,192491.47
"198/285.1456mz/2.55min",1163142.1,780384.8,980886.7,1490002.8,2302218.8,1246041.1,1080243.1
"199/477.209mz/2.56min",201412.49,247550.25,177305.1,979995.8,225519.88,139255.86,121443.5
"200/560.2461mz/2.57min",216944.64,778776.94,619357.25,234328.44,192239.77,199560.84,181334.94
"201/587.2935mz/2.56min",495587.85,428108.3,563067.4,629490.3,1167215.8,414230.6,424687.34
"203/303.1457mz/2.57min",758744.42,1006800,878003.4,604178.75,878607.06,590479.8,639485.44
"204/625.2704mz/2.57min",984653.23,1325017.6,1171799.9,731125.9,1251734.8,754172.4,797506.56
"205/391.1356mz/2.57min",267040.5,368125.16,271013.44,208267.83,362653.4,250254.92,263067.56
"206/603.2887mz/2.57min",11660935.5,18987676,16570268,8195257.5,14766117,6789334.5,8555754
"207/605.2947mz/2.57min",734169.845,1183612.1,1038453.94,512769.62,909707.75,438666.25,558631.94
"208/364.1359mz/2.57min",1906332.3,2008567,1997655.5,1465110.9,1966433.8,1846230.8,1819760.9
"210/302.1441mz/2.57min",6533489.75,8632745,7498597.5,5092113.5,7626433.5,4931122.5,5568382
"211/399.1072mz/2.57min",699507.525,911910.94,781233.75,548571,757073.3,517986,641941.75
"212/301.1406mz/2.57min",46658799,61819976,53705588,36681668,53802436,35212284,39612010
"213/171.0774mz/2.57min",285971.1,406391.03,346743.28,207527.28,369032.72,214250.86,225198.92
"215/129.0557mz/2.57min",3948673.75,6416794,3818476,17512322,4078871.5,3542521.8,3206606.8
"216/574.1713mz/2.58min",195961.36,365531.12,140125.89,208350.38,100765.02,183572.34,310062.3
"217/386.1179mz/2.58min",556745.07,533483.44,276039.25,456255.38,615592.4,648134.94,580006.7
"218/188.0716mz/2.58min",27752.587,101788.73,5191.7684,424759.75,5191.7684,29546.332,25958.842
"220/548.2463mz/2.59min",265771.525,796020.5,559575.44,274299.1,243733.19,121452.84,257243.95
"221/272.0235mz/2.59min",464375.97,622990.44,201330.92,470199.28,161510.84,458552.66,669010.75
"222/247.1016mz/2.59min",340465.065,859998.6,573366.9,349780.47,179789.17,171796.03,331149.66
"224/246.0983mz/2.59min",3477268,8009516.5,5423047.5,3592883.2,2638053.8,1667582.9,3361652.8
"226/199.0612mz/2.6min",379534.905,441728.47,343836.66,412821.25,943067.1,336540.47,346248.56
"227/214.1085mz/2.6min",922592.37,1278806.8,1172527,959204.8,885979.94,759184.5,884851.7
"231/532.251mz/2.61min",44189.5885,145631.53,229749.61,44339.63,44039.547,23329.498,26908.65
"234/183.0662mz/2.61min",314840.88,272276.47,438234.4,474210.3,159129.97,316339.2,313342.56
"235/131.0714mz/2.61min",155124.12,275868.1,181833.31,122316.734,150475.62,113059.59,159772.62
"236/232.119mz/2.61min",4430375,7367372,5005333,3722958.8,4257142.5,3252145.5,4603607.5
"237/295.1147mz/2.61min",394076,510071.78,305561.12,332525.75,420972.4,367179.6,445917.72
"239/463.2301mz/2.62min",163108.65,614026.44,630078,153895.28,155668.55,101285.07,170548.75
"240/410.1666mz/2.62min",135841.04,273567.5,370049.9,139358.81,132323.27,111788.44,116197.81
"241/100.0404mz/2.62min",139525,178654.27,381085.5,140404.22,138645.78,96289.15,136422.02
"243/461.214mz/2.62min",305411.765,1306577.4,3294091.5,312848.53,238083.73,176887.22,297975
"244/483.1961mz/2.63min",110332.368,354393.97,667151.8,112456.836,89575.67,76354.59,108207.9
"245/230.1034mz/2.62min",9947184.5,21316190,32403480,10308128,8836362,7335542,9586241
"246/231.1067mz/2.62min",1044194.375,2312150,3555518.5,1087950,904205.7,763457.44,1000438.75
"247/293.0991mz/2.62min",756316.45,1283898.8,1821536.6,734973.9,650156,664239,777659
"248/315.0811mz/2.63min",271044,420163,519203.7,284985.28,234352.58,257102.72,255466.58
"252/242.1034mz/2.63min",598380.06,675614,521146.12,1412730.9,229473.4,291440.94,724634
"253/258.0983mz/2.63min",1874495.05,4006679.8,3955139,1861433.5,1199880,1559134.4,1887556.6
"256/180.0428mz/2.65min",76475.112,76475.112,76475.112,382375.56,76475.112,76475.112,76475.112
"257/210.0407mz/2.65min",75769.212,75769.212,75769.212,378846.06,75769.212,75769.212,75769.212
"258/212.0645mz/2.65min",346528.46,346793.8,88719.85,465522.2,110366.52,395660.38,346263.12
"260/279.0508mz/2.58min",205658.31,228908.6,95708.39,182408.02,129753.35,283285.56,449231.16
"261/211.0612mz/2.65min",3346100,3416202,1059157.9,4394813.5,1262206,3692977,3275998
"262/166.0509mz/2.66min",47344.178,47344.178,47344.178,236720.89,47344.178,47344.178,47344.178
"263/167.0713mz/2.66min",688899.9,687635,426771.88,690164.8,853188.9,822277.56,629793
"264/291.0511mz/2.66min",233056.635,245028,128327.77,474815.03,209320.02,255793.55,221085.27
"268/178.051mz/2.68min",386159.47,420261.6,494998.25,296362.38,484006.1,352057.34,337275.06
"269/259.1298mz/2.69min",2365.5063,4110.601,3942.5105,788.5021,100831.66,788.5021,788.5021
"270/373.0055mz/2.69min",1163829.2,1156952,1104835.9,1099393.2,1216305.1,1186811.8,1170706.4
"272/179.0351mz/2.7min",519477.8,429816.9,268917.16,829780.75,473488.3,578365.56,565467.3
"274/159.0662mz/2.7min",242109.315,279483.25,216758.75,467677.22,267459.88,194333.1,185427.83
"275/247.0724mz/2.71min",270545.935,319221.56,671466.94,221870.31,331388.28,175646.1,207855.06
"276/165.0556mz/2.66min",24766.052,38301.914,201245.5,36890.62,12641.484,5745.8467,5108.617
"277/321.0617mz/2.71min",70087.83,102129.625,41145.867,533596.75,29798.781,68361.34,71814.32
"281/179.0708mz/2.72min",296680.86,523489.97,362223.62,328754.06,41216.58,255897.22,264607.66
"282/249.0405mz/2.72min",1781204,1510640,1288050.1,2925441.2,2446601,1887451.9,1674956.1
"285/287.1248mz/2.74min",76796.515,79625.61,153683.06,73967.42,60121.58,94544.484,71841.65
"286/163.04mz/2.75min",643753.875,647715.75,252442.27,922659.7,324726.56,677932.1,639792
"287/214.1084mz/2.73min",135947.425,400980.62,274502.8,107397.75,164497.1,39026.242,54020.008
"288/239.056mz/2.77min",444222.34,458910.4,714389.1,377717.5,4302.495,620761.06,429534.28
"290/163.0435mz/2.79min",377444.64,417023.47,466322.28,357812.88,397076.4,236659.48,309361.72
"291/337.091mz/2.79min",2288.00802,26469.982,762.66934,730891.6,3813.3467,762.66934,762.66934
"292/157.0506mz/2.79min",4689221.25,6891870.5,3689223.2,22179054,5182701.5,4195741,3711322.5
"293/113.0608mz/2.79min",507073.8,801482.8,408934.7,2527226,561732.4,452415.2,406033.56
"294/221.0455mz/2.81min",143124.04,78632.75,19399.123,340266.12,3879.8246,229341.45,207615.33
"295/315.1562mz/2.81min",223244.405,249487.95,498607.28,89571.51,308175.66,152270.64,197000.86
"300/265.0176mz/2.83min",1251459.15,1255430.9,1173289.4,1210859.5,1294127,1247487.4,1302612.4
"302/259.1299mz/2.83min",315941.955,400565.66,528977.25,270053.53,341591.75,276193.66,290292.16
"304/447.0932mz/2.84min",178399.39,195827.64,145530.39,268527.9,102239.91,165714.9,191083.88
"305/224.0645mz/2.84min",649876.175,1138737.9,1011511.06,641779.25,108466.305,565299,657973.1
"306/360.1774mz/2.84min",132762.7,163210.97,404902.6,107446.62,64728.36,125340.7,140184.7
"307/223.0612mz/2.84min",6269984.25,10033270,9363407,6525401.5,1165748,5300004,6014567
"308/197.0455mz/2.84min",859648.3,1088960.9,1169291.9,312661.34,965491.3,625639.06,753805.3
"309/151.0401mz/2.85min",372331.14,448113.72,349274.22,201102.4,369323.62,458092.06,375338.66
"310/209.0455mz/2.85min",245672.805,292156.06,185854.45,199189.55,37170.89,381520.28,318140.94
"311/154.0146mz/2.85min",840.91192,4204.5596,840.91192,1143406.5,840.91192,840.91192,840.91192
"313/208.0251mz/2.87min",56362.394,1028500.56,56362.394,281811.97,56362.394,56362.394,56362.394
"317/413.1562mz/2.87min",260237.97,420364.94,267504,658550.3,72073.07,140662.48,252971.94
"318/217.0613mz/2.87min",916.3814,4581.907,916.3814,22046404,916.3814,916.3814,916.3814
"319/218.0651mz/2.88min",515311.24,515311.24,515311.24,2576556.2,515311.24,515311.24,515311.24
"322/543.2673mz/2.89min",902421.675,2498530.8,1166136.6,509723.97,775362.75,600818.7,1029480.6
"325/238.0721mz/2.9min",32943.038,32943.038,32943.038,164715.19,32943.038,32943.038,32943.038
"326/289.0354mz/2.92min",30056.922,25204.514,63540.71,5040.9028,122817.555,5040.9028,34909.33
"328/471.2096mz/2.91min",1617615.2,2060965.8,1645177.2,1182016.4,2104260.2,1288636.4,1590053.2
"329/132.0747mz/2.91min",402492,496591,107565.055,1158896.1,643336.06,308393,217252.58
"330/311.1348mz/2.91min",1156742.37,1388516.8,924967.94,2814154.8,1897548.6,790713.5,645698.06
"331/273.1455mz/2.92min",254601.915,268190.88,628773.2,123270.44,141948.48,251518.5,257685.33
"332/131.0714mz/2.92min",8267175,8897787,7636563,19577916,11539202,5736793,5192581.5
"336/361.1615mz/2.92min",9779.2224,16298.704,309831.84,3259.7408,17613.129,3259.7408,3259.7408
"337/283.1299mz/2.96min",21585.04385,36054.97,343965.53,3701.6714,56801.35,4130.259,7115.1177
"338/232.119mz/2.92min",62572.18,97079.68,62135.54,33391.19,50653.6,70995.65,63008.82
"339/315.1562mz/2.92min",605574.86,1023373.1,9766184,89542.05,1432919.2,47062.848,187776.62
"340/378.1516mz/2.92min",676924.575,1086233.9,6665455,90710.7,1759512.1,69599.82,267615.25
"341/273.0075mz/2.92min",653492.35,609585.94,650789.7,656195,81640.26,846942.5,666798.56
"342/447.2347mz/2.92min",177325.56,306035.06,1997861.4,48616.06,668692.1,8286.822,37927.117
"344/351.1325mz/2.92min",161811.9975,249303.44,2854990.8,12653.801,371398.22,3814.4102,74320.555
"345/179.0707mz/2.93min",100083.4775,157006.64,130166.33,142390.97,21687.201,63136.4,70000.625
"347/287.0197mz/2.94min",30343.624,30343.624,30343.624,30343.624,151718.12,30343.624,30343.624
"348/429.0826mz/2.94min",45905.827,87979.52,20151.215,324944.8,55650.22,12842.875,36161.434
"349/440.2034mz/2.94min",32838.051,19382.008,26837.164,378562.66,92418.8,19834.404,38838.938
"350/195.0662mz/2.95min",2281479.5,4032200,3661446.2,2175575.2,200210.12,2133822,2387383.8
"351/196.0695mz/2.95min",238776.86,456563.53,385859.78,235638.25,44647.304,223236.52,241915.47
"353/258.0619mz/2.96min",217284.37,355997,350097.44,209105.19,3802.965,214980.4,219588.34
"354/211.0611mz/2.96min",194183.29,160738.16,214108.12,107031.7,313061.47,197957.39,190409.19
"355/159.0662mz/2.96min",649878.1,536758.6,668882.4,630873.8,788059.94,708441.25,608918.5
"357/456.1987mz/2.97min",2881422.1,3747544.5,3031025,3945461,2731819.2,1938809.5,2723140.2
"361/438.1041mz/2.99min",728770.73,1476882.1,552701.5,778986.56,50781.754,678554.9,1795348.8
"362/167.035mz/2.99min",3034316.35,8740596,2284799,11987112,2661033,3314499.2,2754133.5
"365/209.0455mz/3.0min",746855.42,368046.34,323725.12,866035.94,1144029.4,1126972.9,627674.9
"366/249.0881mz/3.0min",287835.81,319684.56,541672.5,116606.914,392760.84,232732.03,255987.06
"368/289.0355mz/3.0min",166817.125,207774.48,127510.56,196761,272783.4,136873.25,127632.68
"374/280.0827mz/3.02min",348892.155,356420.78,300569.22,341363.53,269605.66,472138.3,411505.5
"377/211.0611mz/3.01min",337080.03,355529,307673.25,318631.06,189656.75,463848.8,427250.06
"379/603.2887mz/3.03min",97882.888,120351.45,96318.26,59576.875,147625.31,99447.516,92481.445
"380/428.2036mz/3.03min",242509.13,412351.06,251051.56,501846.2,180795.22,202546.02,233966.7
"381/491.1997mz/3.03min",278293.11,472228.25,270909.28,427920.06,251088.12,273909.72,282676.5
"383/461.0725mz/3.03min",76524.95,93634.7,161400.17,135250.02,8414.324,59415.2,30819.633
"385/247.061mz/3.06min",16791.577,142070.88,4652.5454,331716.38,17871.412,9031.023,15711.742
"387/189.0768mz/3.06min",1095694.3,1186743.2,1740905.9,2779219.2,984505.56,1004645.4,852608.44
"388/153.0557mz/3.07min",320437.935,338332.62,805587.6,210279.14,1692260.6,302543.25,287206.88
"390/172.0615mz/3.07min",993480.85,1070027.8,1122850.9,1433228.8,916933.9,326421.66,566347.25
"391/284.114mz/3.08min",401731.14,431521.03,465311.53,575148.06,371941.25,132032.36,220046.4
"392/259.0612mz/3.08min",160172.95,325015.12,92490.52,648794.7,138037.31,157868.95,162476.95
"393/447.0932mz/3.08min",391260.64,495474.88,429010.9,1273711.5,236143.08,320550.25,353510.38
"394/263.0561mz/3.08min",237814.23,231334.34,90550.32,110044.484,244294.12,322187.28,255040.83
"398/301.1405mz/3.09min",488244.55,581860.6,595639.94,414563.2,561925.9,366598.75,293611.38
"400/329.1719mz/3.1min",226646.195,257745.55,379586.16,126626.945,647491.94,181243.39,195546.84
"402/336.109mz/3.1min",363176.67,291018.47,357355.84,417126.7,636966.8,368997.5,342402.12
"404/167.0349mz/3.09min",326744.74,387856.28,327408.88,486714.9,326080.6,94610.87,209541.39
"405/194.0458mz/3.11min",384951.5,463625.44,527219.06,321347.53,157126.16,355052.56,414850.44
"407/585.2779mz/3.12min",225539.61,278479.22,241615.14,172774.81,243078.39,177813.64,209464.08
"408/195.0662mz/3.12min",2470763.4,18609840,1468751.4,13141492,1135500.2,2822136.8,2119390
"414/165.0557mz/3.13min",1193840.7,1297131.8,968689.1,2424184,1698252.2,1090549.6,912385.25
"417/397.0055mz/3.13min",171552.725,198268.06,166241.5,148174.73,176353.7,166751.75,179881.66
"418/196.0695mz/3.12min",151327.84,769317.8,112688.8,1351993.9,54401.203,189966.88,91609.484
"419/291.0511mz/3.13min",112433.505,114353.26,16425.303,207800.69,60266.586,139897.52,110513.75
"420/196.0615mz/3.14min",2777.3736,13886.868,2777.3736,593388.9,2777.3736,2777.3736,2777.3736
"422/238.0721mz/3.15min",119905.812,119905.812,119905.812,599529.06,119905.812,119905.812,119905.812
"423/265.0176mz/3.15min",1156782.75,1087591,1116066.6,920179.5,1197498.9,1220095.2,1245796.5
"424/275.0561mz/3.16min",21057.268,23765.316,50948.46,18178.395,269181.28,18349.22,9235.018
"425/219.0297mz/3.17min",4124.88055,24694.422,4291.538,253253,791.64462,3958.2231,791.64462
"426/272.0412mz/3.18min",200346.625,298568.34,32650.736,172688.75,9996.469,276777.44,228004.5
"427/320.114mz/3.17min",210822.26,165505.14,195867.6,232652.08,397342.5,217493.16,204151.36
"428/263.0561mz/3.15min",45746.846,52982.555,19389.559,23570.305,38511.137,234742.7,98430.97
"429/543.239mz/3.18min",2751237.5,3251326.8,1962743.1,2997399,794454.94,2791408,2711067
"430/301.1405mz/3.18min",238051.375,275278.66,377984.8,227263.14,248839.61,211756.1,184709.75
"433/544.2412mz/3.18min",450007.61,556712.75,330207.3,474998.16,112808.62,486339.8,425017.06
"434/542.2357mz/3.18min",10038698,11891451,7116731,11084116,2921577.5,10229126,9848270
"435/221.0455mz/3.19min",127274.735,168863.47,65770.836,321877.94,13154.1672,142084.31,112465.16
"436/526.2403mz/3.19min",249076.56,188903.52,94459.695,480939.06,80215.4,342451.97,309249.6
"437/365.0334mz/3.19min",31045.738,155228.69,31045.738,586440.6,31045.738,31045.738,31045.738
"438/139.04mz/3.19min",73995.158,60245.586,94367.59,41314.914,224579.33,57661.137,87744.73
"441/587.2934mz/3.2min",954960.655,1494976,952726.56,938517.06,1617282.5,633993.7,957194.75
"442/287.0561mz/3.2min",1523276.25,2370954.5,975498.7,1571820.4,195099.74,1607176.4,1474732.1
"443/304.0463mz/3.21min",244503.8,244503.8,244503.8,1222519,244503.8,244503.8,244503.8
"446/209.0455mz/3.21min",2837710.6,3210848,1197624.1,2464573.2,583231.8,4161714.8,3530829
"448/265.0717mz/3.22min",740740.1,670834.75,722260.1,759220.1,445199.7,1070936.6,783060.1
"453/569.283mz/3.24min",2887909.15,1952402.9,2008647.9,3289316.2,3254761.8,3015135.5,2760682.8
"455/586.2811mz/3.24min",17392176,23911200,20028384,15365346,18051366,15593759,16732986
"456/683.2455mz/3.24min",765792.83,1050841.5,846711.25,700788.94,768098.06,707497.2,763487.6
"457/588.2861mz/3.24min",427406.46,643632.1,481973.47,421613.12,394711.97,433199.8,421097.12
"458/585.2781mz/3.24min",57308673,79732616,65710680,51223876,58999330,51720084,55618016
"462/1171.5625mz/3.25min",1172961.7,2064857.4,1556339.2,941661.75,1168227.2,960434.8,1177696.2
"463/587.2843mz/3.24min",3464882.9,5299364.5,4074369.8,3214348.2,3044067,3223930.8,3705835
"464/196.9761mz/3.25min",646576.82,992174.6,546302.2,549418.25,706862.94,586290.7,890808.9
"465/307.0824mz/3.24min",42327.42,36879.305,54947.89,334735.4,6688.5726,47775.535,33442.863
"468/293.0667mz/3.27min",1213631.1,1584305.2,928849.9,1429269.9,1070457.8,947076.9,1356804.4
"472/322.0933mz/3.29min",588445.58,481504.25,353317.38,690700.3,531933.1,767871.6,644958.06
"474/265.0717mz/3.29min",497603.125,447141.25,516816.25,478390,212894.58,1077838,608719.4
"475/171.0662mz/3.37min",317569.86,361311.38,471861.3,246027.55,273828.34,370929.2,254435.03
"476/827.4047mz/3.3min",613273.595,905871.8,457059.3,421276.06,684866.6,625220.75,601326.44
"477/245.0931mz/3.3min",1628325.85,1418334.1,1858710.8,1838317.6,4314135,1301197.4,1300768.2
"478/425.1563mz/3.3min",158919.775,156061.36,161778.19,184761.9,494503.47,117555.445,108579.41
"480/250.0721mz/3.31min",671444.5,633796,530717.25,709093,469580.38,1158430.4,892031.06
