"","Filename","2024_NEG_Anid-EV-SA-OA_CTRL_1_Run174.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_2_Run218.mzML","2024_NEG_Anid-EV-SA-OA_CTRL_3_Run245.mzML","2024_NEG_Anid-SA-OA_1_Run171.mzML","2024_NEG_Anid-SA-OA_2_Run192.mzML","2024_NEG_Anid-SA-OA_3_Run236.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","65/158.0822mz/2.03min","500899.88","633377.44","1368861.6","464550.12","366682.3","413521.25"
"3","66/259.1299mz/2.03min","1185901.2","1060308.2","109044.09","720207.4","248904.61","403879.28"
"4","67/217.0718mz/2.04min","325328.0","319955.8","303515.66","911837.4","206100.56","272782.06"
"5","70/287.0521mz/2.07min","520806.03","1471942.0","312153.75","446251.7","883077.6","904441.1"
"6","71/224.0564mz/2.07min","2246162.0","3941616.5","1492447.1","1883672.1","2041740.5","2103467.5"
"7","73/129.0557mz/2.08min","175410.34","263743.28","40268.457","224197.97","24898.61","189817.39"
"8","75/231.0985mz/2.1min","669858.25","815100.8","268181.97","280550.88","133409.78","167804.25"
"9","76/220.0649mz/2.09min","2492483.5","3202291.8","1824628.0","3014395.2","2235525.8","1956272.5"
"10","77/149.0278mz/2.1min","689850.94","806393.75","581340.25","1267203.5","572400.6","601949.94"
"11","78/163.9861mz/2.12min","5317767.5","5073853.5","4346139.5","6530354.0","5416347.0","5359139.5"
"12","79/117.0558mz/2.12min","1422908.2","1073013.4","3193668.8","1400443.5","793328.06","790726.44"
"13","81/167.035mz/2.15min","3551862.8","1792669.4","706875.25","1538947.1","973581.2","1669505.9"
"14","84/218.1034mz/2.18min","2072500.8","2025261.0","2224940.8","2415444.5","1662724.0","1455662.4"
"15","86/197.0455mz/2.2min","552624.4","388235.94","994565.8","711368.3","592110.6","567588.0"
"16","87/293.0667mz/2.21min","382106.44","278729.4","544117.0","900349.25","272756.47","427552.78"
"17","88/175.0611mz/2.21min","193080.16","371592.66","287911.56","293367.06","378987.94","248623.2"
"18","89/145.0506mz/2.21min","3415575.8","3208633.2","1757513.5","1984164.2","1181187.8","1797971.1"
"19","90/199.0613mz/2.23min","61003.23","157124.08","85023.85","292711.3","83794.92","45921.16"
"20","91/287.1249mz/2.26min","525799.44","734951.5","500220.9","612754.3","178138.06","434973.28"
"21","92/125.0245mz/2.26min","4236392.5","2699467.2","486300.66","3432505.0","957179.25","1470953.9"
"22","93/181.0507mz/2.27min","502010.8","362468.4","1057356.4","673779.7","426748.1","344034.94"
"23","94/131.0714mz/2.3min","491348.1","270174.0","162428.16","407767.2","97510.53","183428.7"
"24","97/213.0404mz/2.33min","1600705.8","3837481.5","189862.16","983480.56","2068254.8","2451033.5"
"25","98/275.0561mz/2.32min","33713.11","0.0","189313.28","0.0","32264.102","20606.707"
"26","99/274.0933mz/2.33min","4182448.8","3447492.0","2667774.0","1190006.9","628865.7","1678814.8"
