"","filter","2024_NEG_Anid-EV-alcA_CTRL_1_Run177.mzML","2024_NEG_Anid-EV-alcA_CTRL_2_Run198.mzML","2024_NEG_Anid-EV-alcA_CTRL_3_Run230.mzML","2024_NEG_Anid-TJGIp4_1_Run183.mzML","2024_NEG_Anid-TJGIp4_2_Run212.mzML","2024_NEG_Anid-TJGIp4_3_Run233.mzML"
"484/360.1774mz/2.85min",340193.23,290459.7,303168.4,1329611.5,546191.7,377218.06,58091.94
"485/107.0503mz/2.85min",136977.155,467996.53,628122.4,190237.14,70044.86,77653.45,83717.17
"487/151.0401mz/2.85min",769915.3,2151164,3175930,1040201.7,392764.84,499628.9,455402.25
"488/270.0983mz/2.84min",38576.685,245683.98,441023.7,3000.0968,22717.69,54435.68,15000.484
"489/188.0353mz/2.86min",3962.40915,3348.978,4575.8403,361542,14062.355,669.7956,669.7956
"492/294.062mz/2.85min",73929.19,85167.24,5385.125,605577.44,77353.21,70505.17,1077.025
"493/215.0117mz/2.87min",96485.49,108596.47,108654.84,770479.8,84374.51,45098.29,9019.658
"496/306.0985mz/2.86min",6510.42315,96459.17,52862.203,8112.129,4231.936,4908.7173,846.3872
"497/265.083mz/2.87min",127209.46,81713.586,106042.2,169399.52,155663.33,148376.72,58658.914
"498/168.0665mz/2.88min",118217.765,84790.11,171129.77,132699.62,110691.88,125743.65,73970.44
"503/131.0714mz/2.89min",16741957.5,20457662,23048808,40853556,13026253,10805442,4453819
"504/132.0747mz/2.89min",971523.15,1189763.1,1322014.9,2514358,753283.2,601629.25,243353.88
"507/313.1504mz/2.89min",265178.355,453228.12,524600.1,318480.6,211876.11,194429.69,10891.359
"508/309.1093mz/2.89min",124515.91,158939.78,168113.92,111830.65,125497.57,123534.25,101209.91
"511/243.1714mz/2.82min",45093.295,16680.543,9673.275,21376.965,68809.625,120160.84,801819.7
"512/336.1414mz/2.92min",211297.95,147843.06,157662.6,527804.2,270084.7,264933.3,29568.612
"514/293.1144mz/2.93min",302150.51,138326.27,187928.12,963195.6,416372.9,812778.1,44533.617
"515/254.1034mz/2.92min",1640584.1,1539419.8,2139358.2,1180411.2,1741748.4,1256602.5,2777475.5
"516/273.1456mz/2.92min",391158.36,259722.67,367093.72,1064260.5,415223,435035.72,51944.534
"521/301.1405mz/2.95min",15170.67725,7886.1685,44361.47,286991.03,22455.186,5454.8267,1090.96534
"522/246.0983mz/2.92min",112428.935,56098.68,13612.224,459611.94,324210,168759.19,31043.969
"524/241.1194mz/2.94min",424053.185,351776.47,496329.9,576958.7,328124.6,321485.06,571181.8
"525/195.0299mz/2.94min",395430.41,505928.88,746676.3,284931.94,85961.41,696107.25,17192.282
"528/195.0663mz/2.96min",1384964.35,1610865.6,1014264.6,3450133.8,1159063.1,1907629.1,250508.44
"530/159.0663mz/2.97min",1109710.2,1143323.2,1715786.6,1221420.1,793305.9,695862.6,1076097.2
"532/535.1096mz/2.98min",102822.024,102822.024,102822.024,514110.12,102822.024,102822.024,102822.024
"533/230.1034mz/2.99min",53686.192,34291.87,48958.574,209329.14,58413.81,64755.305,19408.357
"534/310.0933mz/2.97min",87173.355,82788.74,91557.97,443893.12,78746.91,198406.69,65426.656
"535/277.1557mz/3.0min",16980.7223,1497.29892,1497.29892,7486.4946,26474.95,44476.312,307229.44
"536/167.035mz/2.99min",4545148.1,8099251.5,4043967.2,5046329,3485743.2,9902303,525098.6
"539/210.0771mz/2.99min",553862.025,552633.8,732405.3,608794.3,459298.03,555090.25,528573.75
"540/209.0455mz/2.99min",256150.19,230830,281470.38,222426.4,809574.75,1015270.25,159407.05
"541/457.2304mz/3.0min",390049.22,87903.7,119853.88,1033233.8,796159.9,660244.56,46203.055
"544/180.0666mz/3.02min",477463.25,468600.5,664134.25,486326,379220.5,504526.1,84576.13
"547/252.0878mz/3.03min",285051.2,360290.8,386296.38,648256.44,200642.33,209811.6,78030.164
"549/313.1042mz/3.05min",129454.115,120543.68,369010.4,100303.53,138364.55,148631.14,20060.706
"550/461.0725mz/3.03min",75512.6635,16955.637,3391.1274,278200.3,179811.69,134069.69,3391.1274
"551/237.0405mz/3.04min",73359.384,33469.918,9491.25,575042.4,134898.03,113248.85,10337.789
"552/431.9951mz/3.05min",31883.553,593485.9,665961.4,968.6704,4843.352,58923.754,968.6704
"554/230.1034mz/3.03min",41625.222,34291.87,48958.574,210070.95,32583.559,60602.11,25176.594
"555/277.083mz/3.06min",14961.79975,919.3043,4596.5215,397664.34,35622.676,25327.078,919.3043
"556/189.0768mz/3.06min",4485704.4,4019944.8,5571851.5,7024449.5,4951464,2957678,1135573.4
"557/236.0928mz/3.06min",79230.63,44898.387,49934.41,108526.85,177447.83,191841.16,9763.004
"558/336.109mz/3.07min",169523.34,153852.48,91368.414,972439,290540.1,185194.2,31489.645
"560/153.0557mz/3.07min",181819.7475,1692.243,8461.215,3069830,355178.28,393666.25,1692.243
"561/190.0802mz/3.06min",371823.52,340924.94,461008.78,591508.56,402722.1,252143.2,76873.2
"562/275.1038mz/3.07min",268454.74,247028.48,334067.62,300250.06,180061.36,180475.81,289881
"563/447.093mz/3.09min",12086.6928,4028.8976,4028.8976,152647.88,80935.15,20144.488,4028.8976
"564/170.9854mz/3.08min",120887.37,117439.79,124334.95,961270.3,231839.72,107622.79,21524.558
"565/172.0979mz/3.02min",380673.535,193128.52,165958.39,2927450.5,495582.03,397619.47,363727.6
"566/222.1247mz/3.08min",77498.93,27472.55,45855.49,297053.56,109142.37,265854.47,5494.51
"569/356.1825mz/3.09min",512627.95,257205.94,358684.88,412905.4,612350.5,652386.06,829986.1
"570/280.0827mz/3.08min",244020.88,173789.69,203840.7,521075.72,284201.06,463024.34,123214.03
"571/301.1406mz/3.09min",205512.07,284072.22,501244.9,241752.58,146085.31,169271.56,159679.67
"572/277.1557mz/3.1min",24320.487,8106.829,8106.829,8106.829,40534.145,55530.402,87351.75
"573/221.0932mz/3.11min",196556.62,151832.47,46168.746,1937375.2,241280.77,259583.38,9233.7492
"574/167.035mz/3.09min",352537.02,398499.2,250503.25,959896.2,306574.84,565666.94,50100.65
"575/194.0458mz/3.11min",355512.13,325022.2,293122.34,1987665.2,690215.94,386002.06,10462.893
"578/195.0663mz/3.13min",490344.58,117007.65,153767.72,826921.44,1327703.6,2663432.8,23401.53
"580/166.059mz/3.13min",189104.06,192385.95,212934.69,83398.805,85145.23,185822.17,367353.8
"581/317.0669mz/3.13min",57101.2175,83889.914,110082.14,95738.375,29553.043,30312.521,5910.6086
"582/165.0557mz/3.13min",2244452.15,2267813.8,2506196,1116795,1112471.5,2221090.5,4236522.5
"583/397.0056mz/3.13min",160453.96,174976.98,125260.1,139790.6,164493.95,156413.97,183363.28
"585/313.1042mz/3.13min",274454.92,456173.84,1014674.2,121261.84,282310.9,266598.94,24252.368
"587/296.0775mz/3.14min",32115.7015,469503.3,122084.06,1890.5852,9452.926,54778.477,1890.5852
"588/336.109mz/3.11min",175702.715,153852.48,91368.414,803320.9,288202.25,197552.95,22645.422
"590/164.0353mz/3.14min",208151.475,180292.47,186965.95,1095567.2,317961.9,229337,41902.766
"591/188.0353mz/3.17min",360465.39,456810.72,664676.7,929719.44,264120.06,44218.754,54016.562
"593/310.0933mz/3.16min",34555.914,841.1636,841.1636,498318,64906.01,168236.14,4205.818
"594/265.0176mz/3.16min",1220354.05,1240520.6,568066.5,1119056.1,1403539,1200187.5,1641723.8
"596/301.1405mz/3.17min",128738.317,129999.234,262285.62,254465.08,127477.4,114980.055,110396.21
"598/224.0564mz/3.19min",7355.7247,4416.5234,883.30468,280955.62,70033.76,10294.926,883.30468
"600/377.1351mz/3.2min",695190.95,424103.25,681191.3,950765.25,721128.3,600855.06,709190.6
"601/575.1197mz/3.2min",602244.6,4109948.8,4866085,200748.2,200748.2,1003741,200748.2
"602/177.0193mz/3.2min",509301.1375,2711622,2643069.8,921.995,4609.975,1013992.3,921.995
