Filename,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML,NEG_D5-211-C2-a_Run119.mzML,NEG_D5-211-C2-b_Run122.mzML,NEG_D5-211-C2-c_Run125.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
457/139.9445mz/9.05min,4645120.0,5572134.0,1388615.9,3739019.5,3789062.5,2034544.6
458/312.8361mz/9.07min,2110466.2,1905496.6,1973860.1,1867149.6,1882387.8,1889499.5
459/427.2337mz/9.08min,1492815.0,1388974.2,1472346.1,290576.4,310550.3,286271.2
460/124.0015mz/9.09min,333306.03,729392.2,693759.6,693623.6,674281.3,723566.1
461/139.9445mz/9.1min,1781620.2,1798207.2,5522071.5,1966186.0,2083104.0,4935569.5
462/383.1894mz/9.15min,363823.3,400549.3,348723.2,392820.56,415680.22,418587.12
464/355.1581mz/9.15min,633205.06,590728.25,556430.5,640565.06,657586.25,612340.0
465/693.4408mz/9.16min,1461694.6,1466927.2,1178418.6,1029348.44,1012735.2,994724.9
467/411.3843mz/9.34min,811137.2,826110.8,915720.25,714690.44,689607.06,733083.94
469/467.2832mz/9.39min,380503.6,404538.16,368682.25,347538.66,311372.72,340198.4
470/124.0016mz/9.39min,263171.88,467265.9,390265.4,405394.84,222260.58,368497.78
471/101.9809mz/9.61min,594244.44,1001319.2,985750.3,2432575.0,1447303.5,2715729.8
474/248.9604mz/9.61min,1035116.56,1181970.4,1183136.8,1610502.9,3386871.0,3431952.5
479/124.0015mz/9.61min,341007.84,546398.7,249985.64,1173744.1,1074040.9,1273518.2
481/481.299mz/9.67min,430845.34,507836.16,456765.25,489560.84,446711.62,498704.84
483/452.9227mz/9.91min,281760.8,242655.81,501193.22,155955.42,122392.18,87037.195
484/495.3147mz/10.01min,2102587.2,2194907.2,2467396.8,1869098.5,1707917.8,1806495.4
485/496.3173mz/10.01min,768596.44,800476.56,908394.25,672812.7,623063.7,651266.5
