row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,
149,118.05098408787289,0.94102734,,,,,,,,,,,686836.4,338905.28,1119989.1,196443.84,780383.44,394506.22,
156,118.05099874568113,1.0727639,,,,,,,,,,,61320.633,428940.16,399167.38,303577.16,534648.2,235485.98,
2043,118.89961652625404,10.153325,,,,,,,,,,,186322.97,126743.71,215933.22,493111.06,104678.35,1564533.4,
1588,118.92675924208832,7.685865,,,,,,,,,,,624544.1,1354146.5,630209.06,394498.2,654323.75,403444.38,
96,119.03481742038004,0.47582403,,,,,,,,,,,468954.03,215559.0,481646.3,433169.1,1256464.4,779068.2,
51,119.03481877428065,0.37951672,,,,10,,,,,,,1006244.4,1418112.4,1002864.7,1748459.1,1685472.2,958086.44,
25,119.05414952258299,0.36748347,,,,,,,,,,,1048855.0,5723089.5,2911700.0,1806176.1,3467365.8,1449508.4,
313,120.04543516420098,3.0520916,,,,161,,,,,,,490137.9,452741.12,589460.6,616386.56,844727.25,564099.25,
104,122.02466493254197,0.5275424,,,,,,,,,,,2307491.2,4932402.0,1961641.2,3159792.0,5392305.5,2713289.5,
896,122.02468056406714,5.7939014,,,,182,,,,,,,218883.02,257946.08,241209.17,217840.86,301961.16,202420.11,
451,123.08157842130804,3.8344858,,,,39,,,,,,,171493.62,145322.75,415016.84,356947.12,464849.66,236580.98,
132,125.03561135240294,0.78342676,,,,,,,,,,,447221.1,1389203.8,461334.97,384821.72,1720018.8,344859.94,
387,125.09716019064827,3.4489195,,,,37,,,,,,,984737.7,864458.7,1765749.0,1555940.5,1650706.9,1250062.8,
208,126.00188427954849,2.5026689,,,,110,,,,,,,498238.84,656017.5,526371.94,587894.75,612295.1,526087.6,
66,128.03523461783988,0.38479897,,,,10,4,[M-2H2O+NH4]+,,2,66;74,146.02252,4504108.0,9211090.0,4902915.0,4758091.5,5606848.0,4412549.0,
110,128.03528532758648,0.6069912,,,,156,,,,,,,4957267.0,7772335.5,7380236.5,4898502.5,8667223.0,5043209.5,
152,128.0353375013725,0.98353857,,,,,,,,,,,324764.28,64485.008,275034.44,81148.51,63938.86,17561.922,
123,130.05093327248983,0.71934766,,,,147,,,,,,,3716562.0,4354453.0,2158905.2,3455266.0,6327654.5,4524649.0,
567,130.0509633750837,4.551112,,,,119,,,,,,,30584.926,24231.443,46711.69,57147.805,52068.645,30418.488,
126,130.08724784729404,0.7532235,,,,169,,,,,,,5655065.0,9426162.0,8779464.0,7829993.5,1.3378408E7,6990702.5,
296,130.08727153732653,2.9528036,,,,98,,,,,,,1438083.1,1397472.9,2646510.2,1569866.4,1883292.9,1686441.1,
279,130.0872798092888,2.9118452,,,,57,,,,,,,1059819.4,1174779.0,1478939.8,1724870.0,1740950.2,1443396.0,
146,130.08729662760337,0.88427705,,,,,,,,,,,121646.09,262674.62,333238.78,117392.06,438342.25,197723.2,
224,130.08730952888644,2.6517987,,,,,,,,,,,2402479.8,2596846.0,2667096.2,2741914.0,2836098.0,2964133.0,
428,130.0873319000601,3.739703,,,,152,,,,,,,180735.4,60799.613,125732.97,111340.55,98660.484,92081.375,
360,130.08736951104166,3.3540313,,,,,,,,,,,206066.44,91241.06,132030.52,96922.56,166109.83,105596.37,
253,131.07130602132773,2.7775214,,,,118,,,,,,,2287156.5,2581735.0,1289904.0,2282231.5,1931834.8,2635607.2,
217,131.0713168881574,2.6117408,,,,,,,,,,,63421.98,33981.957,7926.8037,36537.7,50241.234,48298.773,
2042,132.03016913031,10.154558,,,,,,,,,,,48978.59,59171.72,10263.878,11396.389,0,32876.33,
2048,132.90015252586332,10.180387,,,,,,,,,,,205815.08,179583.56,260446.2,477381.0,118252.88,834777.3,
1915,132.92336358756793,8.295339,,,,,,,,,,,827795.25,1033324.06,1119659.0,3261979.8,673182.0,535435.94,
1683,132.923365719771,7.717118,,,,,,,,,,,581802.4,874344.75,214077.83,1241818.8,872116.9,1004804.1,
1826,132.92336986406448,8.139262,,,,103,19,[2M-H2O+H]+,,2,1864;1826,74.96319,429754.38,5036373.5,5739851.5,736387.44,750437.56,1308345.8,
58,133.01414853498179,0.3825462,,,,10,,,,,,,6962417.0,2.1070608E7,1.7628488E7,1.2703596E7,9358972.0,1.2551164E7,
87,133.05048014406506,0.46129048,,,,,,,,,,,434241.1,663011.8,385837.6,266387.8,419128.3,508770.94,
103,133.05051851829026,0.60494536,,,,156,,,,,,,1888189.5,1440463.8,2179971.2,2404861.8,4330675.5,2460585.8,
41,134.01752063076864,0.38029277,,,,,,,,,,,282298.4,881926.1,721546.94,525372.8,153567.88,513775.75,
73,134.04714820911138,0.41200224,,,,116,,,,,,,374128.44,83698.92,100246.49,274932.84,538537.4,277004.12,
141,134.0471832250457,0.88001984,,,,158,,,,,,,1981824.6,2720068.2,2887271.0,1713454.5,5210602.5,1703892.2,
154,134.0472068850839,1.043901,,,,,,,,,,,196498.23,90352.84,246136.22,15866.659,249316.75,152750.3,
1480,134.89458548206622,7.4537735,,,,54,,,,,,,8891684.0,8984110.0,4332055.5,9555202.0,2409350.2,9904193.0,
1519,134.894589934013,7.5841427,,,,,,,,,,,2031829.0,2083147.0,1746109.1,2610370.0,4428427.5,3169514.0,
1707,134.8945927046157,7.781648,,,,21,,,,,,,9241190.0,5606497.0,6285876.5,1.1252309E7,4880189.5,6931130.5,
1331,134.89459885549488,7.1443295,,,,,,,,,,,1818349.9,2081073.0,2006478.9,3187262.2,3293398.0,3357459.2,
2091,134.89460940293395,10.238387,,,,,,,,,,,895116.75,1451355.4,2778206.8,1034893.8,1936050.0,875324.75,
2049,134.89461268382016,10.178597,,,,8,,,,,,,4752129.5,3805628.5,5285355.0,1.3246433E7,4068533.5,1.6043654E7,
2046,135.97087546261005,10.163211,,,,,,,,,,,551695.9,851320.8,3057350.8,483212.5,2849364.2,451683.78,
310,136.04032884407744,3.0493886,,,,,,,,,,,137920.12,132560.6,171517.86,169390.7,239060.52,156666.95,
197,136.04035034677696,2.4073694,,,,,,,,,,,460758.78,399410.94,397014.75,500949.4,524176.03,472529.47,
134,138.01960692813302,0.8125015,,,,,,,,,,,150572.56,253472.06,348299.97,378319.2,431275.06,232919.2,
354,138.0197096714275,3.3233128,,,,,,,,,,,885026.25,935043.1,1603256.0,1304949.8,1421864.0,1110769.4,
473,141.09214390295855,3.948593,,,,,,,,,,,384088.78,258584.31,815008.56,737396.06,1002333.6,426432.84,
454,141.09215234881088,3.8335686,,,,39,,,,,,,310088.8,266442.44,667089.1,593827.44,766932.8,404515.22,
188,144.04544910246673,2.3477154,,,,,,,,,,,1529922.9,914013.1,1015441.7,1095890.0,1085333.2,1134322.8,
346,144.04548176516894,3.2742357,,,,76,,,,,,,671242.5,411905.53,456265.25,514075.25,508949.28,619315.8,
401,144.04550137534454,3.5511482,,,,,,,,,,,152102.0,22764.494,290182.16,230864.7,131127.83,108295.12,
136,144.0455040637942,0.8164671,,,,,,,,,,,134635.94,3222.982,14879.028,10108.322,25564.496,3509.4343,
125,144.06655209879222,0.7963958,,,,,,,,,,,689226.75,499338.2,1567326.5,982537.5,435506.47,922454.94,
139,144.0665553064609,0.8587467,,,,131,,,,,,,1367193.9,2285624.2,784758.1,1956413.5,3221015.5,1767067.9,
176,144.06660633554728,2.1401117,,,,133,5,[M-H2O+NH4]+,,2,176;175,144.04332,4937351.0,4786195.0,5949400.0,7146671.0,8224528.5,5394218.5,
2058,144.92333384168555,10.207049,,,,20,,,,,,,1370930.8,2018522.5,2362013.5,2049958.1,1257286.6,1407476.2,
1919,144.92333924961645,8.291771,,,,,,,,,,,4992824.5,6068410.0,6802569.0,2.187276E7,4069605.0,5011190.0,
1689,144.92334026894716,7.7084084,,,,49,,,,,,,6305928.0,1025327.2,709366.0,6838528.5,1.0793844E7,4638454.0,
1850,144.92334217296198,8.136662,,,,103,,,,,,,2509705.0,3.5548064E7,3.2202194E7,4311709.0,3029314.0,2.2139138E7,
175,145.05056724987233,2.1391833,,,,133,5,[M+H]+,,2,176;175,144.04332,947109.44,1365864.5,1526489.9,1625637.5,1264942.9,1459906.6,
48,146.04577127759566,0.37801743,,,,10,,,,,,,1.923711E7,2.701015E7,2.0746146E7,2.3542844E7,2.4957008E7,1.8979756E7,
1166,146.0458273917438,6.5755363,,,,28,,,,,,,71131.98,114036.51,152216.31,120963.734,114233.22,83563.516,
2118,146.96118930091177,10.575242,,,,,,,,,,,723100.7,1767816.4,807807.0,668088.75,799801.8,610429.06,
74,147.02977626282248,0.3886653,,,,10,4,[M+H]+,,2,66;74,146.02252,616247.3,1165531.8,993798.1,959053.5,867735.25,914566.75,
144,147.06625035561657,0.8978149,,,,,,,,,,,403410.25,314844.16,501408.12,532632.6,982163.8,554180.4,
153,147.06626467723552,1.0822489,,,,,,,,,,,329444.16,59959.844,330005.47,391707.9,668643.5,392185.78,
2044,150.88945016560976,10.155065,,,,,,,,,,,269076.34,196027.66,318542.94,1997055.8,175037.52,2559470.0,
63,151.02598858871036,0.3840455,,,,10,3,[M-H2O+H]+,,2,63;59,168.02982,1712049.8,1277824.6,1366737.4,1788262.4,2307112.0,1555524.9,
112,151.02603160109643,0.62482196,,,,156,,,,,,,1858820.4,2222008.8,2569394.5,2541509.0,3614422.2,2237127.8,
499,151.0261738563693,4.0760665,,,,129,,,,,,,197108.16,148572.16,264233.38,299699.66,291151.9,215534.12,
413,151.02618084136392,3.6303368,,,,,,,,,,,84923.49,55784.07,222844.72,159959.17,167790.52,112703.67,
241,151.04003860617232,2.7603226,,,,,,,,,,,361607.84,289071.16,377666.84,420456.53,549176.2,379430.2,
186,151.04006473863026,2.2745736,,,,,,,,,,,114893.83,118775.25,111580.38,112985.875,142307.6,112174.46,
2093,153.86849562695593,10.308803,,,,,,,,,,,367751.7,886027.9,338166.28,155855.08,460848.34,71983.52,
7,154.0620755881422,0.3501582,,,,,,,,,,,95064.84,368514.12,280936.2,134993.16,174588.77,170585.28,
60,155.00973226829458,0.3803021,,,,10,,,,,,,452237.0,270516.62,913237.1,702657.56,633455.9,857380.6,
422,155.10780307150156,3.6923645,,,,87,,,,,,,1399144.2,1439179.2,1388420.2,1564498.0,1331246.9,1977831.8,
548,155.10785612269697,4.393303,,,,,,,,,,,0,0,36708.605,32819.426,49558.918,10620.56,
456,156.06668019540473,3.8407862,,,,,,,,,,,124895.945,129001.92,82235.67,131708.2,103848.64,153856.88,
167,156.06668189793956,1.9555092,,,,174,,,,,,,2073524.9,2208720.2,2369211.5,2512873.5,2380177.2,2373655.0,
375,156.06669668127742,3.424073,,,,122,,,,,,,69837.29,59039.203,39422.113,74426.305,70850.125,68771.9,
395,156.06669870510015,3.4930904,,,,,,,,,,,55934.93,38687.24,41997.754,54648.52,49446.562,47411.84,
400,156.10298436815086,3.5502625,,,,,,,,,,,511555.7,493141.16,533455.9,588990.7,656252.5,721300.06,
45,157.0365548191853,0.37351084,,,,10,,,,,,,590480.6,1608280.9,918850.2,169622.56,515342.56,153503.52,
213,157.08696038980085,2.590597,,,,,,,,,,,159542.14,98501.49,238683.66,326115.44,284537.0,247776.72,
342,157.08700238776407,3.2642946,,,,,,,,,,,318869.2,232203.8,495000.1,530097.9,619512.75,421119.7,
372,157.08704830526258,3.4159203,,,,,,,,,,,93999.54,59613.797,149348.84,102649.45,113232.91,85784.16,
1510,158.08215161796716,7.565725,,,,,,,,,,,196948.02,216933.92,377083.97,260550.06,189206.9,228795.88,
258,158.08220192984678,2.809748,,,,94,,,,,,,1.3992656E7,1.4843354E7,1.6326813E7,1.7543424E7,2.0618534E7,1.6140113E7,
233,158.08220941839366,2.725505,,,,65,,,,,,,8738520.0,9436480.0,1.1514448E7,1.3338005E7,1.5367065E7,1.0356726E7,
193,158.08221930116426,2.3704746,,,,38,,,,,,,1765233.9,1912167.6,1829597.0,2418075.5,2615498.5,1828318.2,
165,158.08223029721276,1.9403101,,,,153,,,,,,,6179436.0,5716461.5,6693415.5,8328440.5,9587224.0,7291374.0,
317,158.11860863442118,3.106411,,,,,,,,,,,151356.58,120740.61,174617.47,267947.06,327443.9,204352.2,
493,158.11868098574487,4.0293193,,,,,,,,,,,15520.44,7051.259,38573.03,61075.934,56512.688,28303.666,
164,159.08549827422826,1.9403101,,,,,,,,,,,156225.27,146889.14,174486.98,304264.4,299098.78,229939.1,
323,159.1026602051858,3.1525288,,,,,,,,,,,44134.027,23788.766,104876.875,74951.914,87386.87,57385.95,
439,159.10268580185874,3.7896092,,,,,,,,,,,152849.64,72790.49,126597.62,105110.03,152591.36,143360.23,
498,159.1027013119395,4.0723696,,,,129,,,,,,,607989.5,530114.7,707299.7,999884.75,1722080.8,814895.4,
329,160.0404034693431,3.195543,,,,135,,,,,,,1587384.2,940915.6,1477124.0,1580671.4,1661286.6,1481933.2,
64,160.0613983192914,0.3840448,,,,10,,,,,,,1945896.5,4190333.0,1994141.2,2491540.8,3098087.0,1682205.9,
114,160.06143638256108,0.63275796,,,,156,,,,,,,2076312.1,2813109.8,3303686.2,3312272.0,5481630.5,3025843.8,
2110,160.8420262294822,10.460175,,,,171,,,,,,,1035470.6,1420206.0,518190.88,2074249.8,592386.56,1994411.2,
128,161.04547275061978,0.7567627,,,,169,,,,,,,1765836.8,3029013.8,2585237.2,2721671.2,2611393.5,2629866.0,
2103,162.83906907652025,10.44697,,,,171,,,,,,,983754.06,1345470.9,233537.23,1789682.0,361960.62,1825163.9,
76,163.06108968048048,0.38332465,,,,,,,,,,,399492.16,2030743.2,983737.94,644570.94,373181.44,594120.6,
312,164.03533041302043,3.0493748,,,,161,,,,,,,2246296.0,2127112.2,2651171.0,2787504.5,3735726.2,2494853.0,
349,164.03538302952114,3.2880948,,,,,,,,,,,119252.94,145517.1,196103.81,261813.44,256884.75,176618.58,
307,165.05560761765113,3.0202618,,,,5,,,,,,,654854.56,458807.0,644041.56,666673.4,956289.94,707749.1,
494,165.05572270614263,4.045748,,,,165,,,,,,,514503.47,706354.5,497110.62,574391.6,424737.25,775749.44,
680,165.12846355525159,5.1115746,,,,173,,,,,,,28631.475,22311.404,90480.21,77785.2,119433.8,51711.5,
538,165.12846536985833,4.336786,,,,95,,,,,,,324009.2,285262.94,550133.2,404090.5,339111.22,396584.75,
239,168.03012214142313,2.7590659,,,,31,,,,,,,297372.06,479714.5,512389.66,542772.6,433858.34,413154.28,
18,168.03346398737708,0.36375436,,,,10,,,,,,,3683361.2,2399185.5,3538701.2,4395032.5,3294236.5,3655440.8,
62,168.06646107896833,0.38026533,,,,10,,,,,,,181366.0,965948.5,458019.25,200487.84,1572880.1,577553.44,
113,168.06652326180054,0.62569904,,,,,,,,,,,200679.83,565002.7,481962.88,242427.27,1049154.8,386843.25,
22,169.06172474441743,0.36673346,,,,10,,,,,,,888407.8,929304.7,816716.44,866783.2,919337.1,898553.6,
147,171.06629208481002,0.9450464,,,,,,,,,,,66283.766,60061.617,106814.83,224123.56,426244.97,100887.9,
336,171.06633707001583,3.230951,,,,,,,,,,,227376.23,218652.2,531278.1,470309.78,533866.9,304473.3,
288,171.10272631830523,2.9503174,,,,98,,,,,,,1939913.2,1185213.0,3047457.5,3227541.0,2390705.0,2545849.0,
436,171.10272852889557,3.7548697,,,,66,,,,,,,6747277.0,5694943.0,1.2531716E7,9325426.0,1.0137435E7,7444214.0,
484,171.1027320060908,4.006468,,,,,,,,,,,291535.16,238132.98,406829.97,347035.97,385408.06,386347.72,
133,172.04040422611024,0.8037915,,,,131,,,,,,,1835987.5,1555904.1,1417962.4,1324497.4,2106787.5,1366565.5,
256,172.09786887624497,2.7936566,,,,,,,,,,,253183.5,247923.86,257528.89,288672.5,307110.34,274846.53,
280,172.09789510184552,2.9127443,,,,57,,,,,,,9004134.0,2.261009E7,1.1462559E7,1.4572244E7,1.3918409E7,1.2052883E7,
343,172.09798120423133,3.251336,,,,,,,,,,,66155.59,118924.38,84384.03,202739.95,219999.89,94241.914,
121,173.08179360527708,0.69288224,,,,117,,,,,,,518862.47,758745.3,660135.0,733296.7,1011593.8,557210.56,
311,173.08182200816478,3.0430415,,,,161,,,,,,,958028.1,760568.7,1376940.6,1518176.0,1923178.1,1234346.2,
40,174.0770122938908,0.37578514,,,,10,,,,,,,1410520.2,3765653.0,1683872.2,1739821.8,3352256.0,1419091.2,
124,174.07708378490068,0.7447576,,,,169,,,,,,,287677.22,411465.88,425385.4,517450.34,702500.1,435732.6,
2117,174.95605026749283,10.574305,,,,59,,,,,,,1.4618727E7,1.6674975E7,1.6479814E7,1.5336535E7,1.6612127E7,1.4098028E7,
201,175.06113612522162,2.4343088,,,,,,,,,,,636195.44,1110509.6,1142033.0,1133187.4,1259625.1,1118792.1,
5,176.00942720337926,0.3461447,,,,1,,,,,,,667345.25,348729.1,331309.56,493752.1,483962.03,544296.5,
218,178.0509292436976,2.619106,,,,,,,,,,,491990.5,472134.47,603007.7,662352.5,627906.8,597586.7,
