Filename,2024_POS_Y-EV_1_CTRL_Run88.mzML,2024_POS_Y-EV_2_CTRL_Run117.mzML,2024_POS_Y-EV_3_CTRL_Run138.mzML,2024_POS_Y-p12_1_Run94.mzML,2024_POS_Y-p12_2_Run111.mzML,2024_POS_Y-p12_3_Run132.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
484/201.0701mz/2.82min,194773.3,211800.02,245143.42,157801.5,128405.22,151572.84
489/92.0494mz/2.82min,983452.44,1039924.25,1323065.5,827007.0,762295.8,814957.9
490/139.0583mz/2.82min,8287646.0,8772204.0,11028493.0,7291959.5,7033746.5,6850121.5
491/120.0444mz/2.82min,106981460.0,109321090.0,144984910.0,92834350.0,88537460.0,87078560.0
492/121.0477mz/2.82min,8066635.0,8297497.5,10920018.0,6897388.0,6711447.5,6533478.0
493/138.055mz/2.82min,110393250.0,112155530.0,141496660.0,94899464.0,90423940.0,89109064.0
494/328.1001mz/2.79min,420599.16,312519.7,1212994.4,354214.06,239598.1,268214.78
495/271.0713mz/2.83min,1407126.4,1142773.2,1352678.2,1090638.4,962734.2,875041.9
498/261.1444mz/2.83min,396323.4,432136.62,284405.56,309221.6,334459.66,242133.61
500/272.0794mz/2.83min,1753540.0,1466462.6,1423427.9,1441949.2,1307615.9,1204009.2
501/272.1856mz/2.83min,1369607.0,1608813.8,1651850.5,1121062.2,1447731.9,1281945.8
502/243.1338mz/2.85min,153721.25,157327.81,298563.12,140649.0,123513.76,124375.695
504/300.1077mz/2.87min,466088.62,513968.16,591127.2,306608.6,370015.47,383899.06
505/306.128mz/2.87min,855283.25,930733.06,1364842.6,699962.56,738433.44,683165.8
507/321.1478mz/2.92min,252992.6,296373.94,581484.4,322378.94,249782.62,132187.1
508/338.1445mz/2.94min,331701.88,221756.05,288754.94,98189.96,243506.02,241337.33
509/243.1338mz/2.93min,35250.145,41450.652,81911.53,46146.83,36327.535,88810.875
