row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,Anid_HE_TJG15pt3_EV_alcA_CTRL_2_YT_neg_20210511_Run103.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_1_YT_neg_20210511_Run47.mzML Peak area,Anid_HE_TJG15pt3_EV_alcA_CTRL_3_YT_neg_20210511_Run213.mzML Peak area,NEG_TJGIp2_1_Run53.mzML Peak area,NEG_TJGIp2_3_Run192.mzML Peak area,NEG_TJGIp2_2_Run121.mzML Peak area,
92,116.03529622549239,0.44231007,,,,,,,,,,,599221.2,628578.0,301046.75,511118.62,2464694.0,734900.25,
46,116.03531597849702,0.3772782,,,,10,,,,,,,1222332.9,1245409.9,2095248.5,3554355.5,2973921.0,2390831.8,
254,116.05054428015995,2.783783,,,,118,,,,,,,533882.6,579471.06,503076.97,698788.1,677960.5,679734.1,
330,116.05058170990519,3.1964588,,,,135,,,,,,,478284.97,455444.06,134629.98,486703.12,490364.72,454940.9,
91,116.0716764445882,0.4616283,,,,,,,,,,,587504.8,505221.12,662560.8,440433.9,1113511.0,381343.3,
162,116.0716851380862,1.3688986,,,,,,,,,,,63404.062,3708.3975,0,4590.26,106745.234,4123.515,
192,116.07168949171226,2.3704746,,,,38,,,,,,,262732.8,237953.25,227124.1,316798.8,346629.62,241848.14,
65,116.07170007875756,0.38410974,,,,10,,,,,,,880561.6,975983.7,1328648.2,1661717.0,1640451.5,1507985.2,
168,116.07171576978185,1.9623331,,,,174,,,,,,,549214.56,490891.47,445472.8,551641.3,624122.56,540000.6,
1633,116.92844631324844,7.6858315,,,,146,,,,,,,2.5893428E7,2.4697296E7,3.4801564E7,3.2316348E7,4.6404492E7,3.7862676E7,
1456,116.92844701142413,7.442673,,,,30,,,,,,,1.1808816E7,9749209.0,1.8765894E7,1.0917532E7,1.1130874E7,1.6723236E7,
85,117.01931339704629,0.4232327,,,,,,,,,,,7193896.0,6141807.5,6245758.0,1.0385099E7,8820044.0,6965611.5,
116,117.01932248301244,0.6433795,,,,156,,,,,,,2.186307E7,2.6081314E7,2.6499188E7,2.0731356E7,3.457924E7,2.8726098E7,
182,117.0193272550395,2.2518668,,,,,,,,,,,18134.8,0,12233.452,63864.01,80570.88,17855.906,
190,117.01933158102597,2.3395925,,,,,,,,,,,9590.846,0,15843.296,40039.203,68775.07,6464.5366,
