row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGIp11_3_Run150.mzML Peak area,NEG_TJGIp11_2_Run124.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,NEG_TJGIp11_1_Run26.mzML Peak area,Unnamed: 19
2960,621.3408227546822,8.464141999999999,,,,,,,,,,,545413.06,563635.1,319367.06,826414.0,0.0,0.0,
2823,621.3408465117373,8.174732,,,,,,,,,,,960389.0,546172.2,753986.9,4873.6543,0.0,0.0,
3035,621.4059211207818,8.906139999999999,,,,16.0,,,,,,,2275512.8,774592.7,1112692.0,432144.16,3416574.5,1810599.4,
3016,621.4059850468863,8.742280000000001,,,,157.0,,,,,,,324028.53,125208.78,249639.98,100926.72,299164.72,423765.53,
1730,622.4181346386922,6.6064534,,,,143.0,,,,,,,571637.9,503887.94,598993.6,181974.61,359330.72,985486.0,
1498,622.4183459201261,6.064220400000001,,,,45.0,,,,,,,600593.7,514966.28,1477491.5,1392762.0,476775.94,1064476.6,
1596,622.4184935507129,6.2587733,,,,31.0,,,,,,,69006700.0,70127450.0,83509330.0,77247730.0,64941656.0,90076104.0,
1245,626.3770958518627,5.5090365,,,,24.0,,,,,,,3908366.5,4291548.0,4305567.5,3902141.5,2781412.2,4736414.0,
1304,626.4132600712161,5.602567,,,,108.0,,,,,,,1745707.1,1928977.6,2163710.0,1981257.5,861005.2,2431808.0,
3077,626.4923719027672,9.262661999999999,,,,,,,,,,,221385.6,40969.914,331887.2,50940.23,736585.7,524421.75,
3134,626.5372550468625,9.736024,,,,,,,,,,,267793.38,154836.58,434229.25,182118.25,574864.3,711559.4,
2927,627.2597334475007,8.384241000000001,,,,,,,,,,,0.0,0.0,512515.66,354288.12,0.0,692362.8,
2881,627.2598391171982,8.20931,,,,7.0,,,,,,,0.0,0.0,1391535.0,1051087.4,15053.123,1212191.9,
1243,627.3802482927605,5.5080013,,,,,,,,,,,1243596.0,1447157.9,1451479.6,1296345.4,941350.4,1621411.8,
784,628.3380856371765,4.942277400000001,,,,,,,,,,,572991.94,669500.9,309674.7,303280.06,228413.58,528342.5,
