"","Filename","2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML","2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML","2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML","2024_POS_Anid-TJGIp4_1_Run182.mzML","2024_POS_Anid-TJGIp4_1_Run211.mzML","2024_POS_Anid-TJGIp4_1_Run232.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"86","981/168.0655mz/2.17min","9682978.0","14182017.0","40142.64","2293973.0","2819756.8","13097759.0"
"87","983/126.0549mz/2.17min","3483121.2","4738262.5","17565.797","733128.25","1160993.0","5202111.5"
"88","985/169.0689mz/2.17min","665591.3","1166303.6","0.0","59864.797","64033.184","1060481.6"
"89","986/190.0474mz/2.17min","2234327.5","1984319.6","0.0","467708.2","463348.1","3631846.5"
"90","988/90.0549mz/2.17min","88526.31","59631.445","357104.94","103892.16","34697.105","61079.508"
"91","993/221.1212mz/2.18min","1119267.9","1431027.8","6604214.0","1437146.2","1051843.9","697509.2"
"92","994/100.0392mz/2.17min","668427.44","908757.5","3352.6726","78463.62","109920.43","907880.44"
"93","995/220.1179mz/2.18min","11846775.0","15116501.0","68317180.0","15625748.0","11156437.0","7581625.0"
"94","996/202.1072mz/2.18min","626917.3","1159286.9","3138995.5","1000026.75","910202.7","994172.5"
"95","997/233.1576mz/2.19min","310239.72","319543.88","6411954.0","5135531.0","1246384.2","322279.22"
"96","998/342.1658mz/2.18min","2857549.5","6459406.5","1029639.44","1794672.0","3808770.5","0.0"
"97","999/242.1mz/2.18min","1751898.1","1748486.1","6464803.0","2945948.0","1605528.1","1627392.6"
"98","1001/243.1039mz/2.17min","59311.836","60878.605","519953.78","217845.23","99404.984","82569.15"
"99","1002/184.0968mz/2.21min","520211.6","767026.8","860650.56","313630.53","170468.36","73508.836"
"100","1003/169.0971mz/2.18min","713929.1","660477.4","816111.7","1061647.1","1190206.2","54819.176"
