Filename,POS_TJGI15pt3_EV_alcA-Control_1_Run31.mzML,POS_TJGI15pt3_EV_alcA-Control_2_Run114.mzML,POS_TJGI15pt3_EV_alcA-Control_3_Run203.mzML,POS_TJGIp2_1_Run37.mzML,POS_TJGIp2_2_Run93.mzML,POS_TJGIp2_3_Run161.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
2619/368.4244mz/7.58min,0.0,3237.5662,2086180.0,0.0,0.0,492473.2
2621/457.3493mz/7.62min,542019.44,486865.6,915594.8,175818.12,485116.4,646543.8
2622/369.2972mz/7.62min,234998.5,340287.7,616094.0,108092.375,359801.38,450474.5
2623/542.347mz/7.62min,417864.44,356834.8,646081.8,196999.53,372703.28,461066.8
2624/413.3231mz/7.62min,318817.72,362081.72,550482.2,114230.09,333162.12,441735.88
2625/408.3678mz/7.62min,673843.94,276952.75,325084.16,313553.28,338884.44,310186.6
2636/391.2989mz/7.63min,1422293.1,1269046.0,2050230.0,548563.75,1332657.0,1494068.1
2646/774.563mz/7.64min,2377429.2,0.0,2083343.4,3649489.0,0.0,0.0
2651/339.3253mz/7.65min,22376298.0,34998340.0,43498908.0,16909536.0,31633600.0,34012596.0
2654/380.3516mz/7.65min,648497.1,1029623.06,1218429.9,547699.8,935940.0,1001426.7
2655/442.4248mz/7.66min,0.0,1814492.4,1816623.6,0.0,2028798.9,444679.94
2659/255.2314mz/7.65min,469453.88,725281.06,913572.7,332686.1,657893.4,702610.5
2660/269.247mz/7.65min,429673.12,671806.9,816869.6,322580.22,586840.3,625052.56
2668/303.304mz/7.65min,562779.2,842582.9,1084018.8,411180.28,752932.75,827538.56
2669/321.3146mz/7.65min,6657189.5,9983004.0,12404646.0,4899239.5,8970253.0,9612088.0
2678/714.4697mz/7.65min,1574460.0,1507297.5,2024587.1,1539572.4,2269719.0,2051562.6
2680/475.3277mz/7.66min,491838.28,339637.75,978701.44,22391.656,401072.34,474598.03
2681/375.304mz/7.66min,6277221.0,7393843.5,11248521.0,3078465.5,8418385.0,8658617.0
2685/435.3362mz/7.66min,1949840.0,2520785.2,3811778.2,959854.8,2448789.2,3027095.8
2696/413.3024mz/7.67min,4272128.5,3634545.2,6465266.5,677588.75,3804912.5,4753249.5
2702/676.454mz/7.66min,5016010.5,10034004.0,16826164.0,3492222.0,10031491.0,8880512.0
2704/698.4356mz/7.67min,1305153.9,1210748.4,1866934.4,122750.89,1468296.5,1296176.8
2706/373.3095mz/7.67min,9146918.0,6426027.5,9522231.0,2657739.0,6581555.5,7776942.0
2708/575.5027mz/7.67min,495219.84,2012890.8,745105.94,402000.3,1675800.1,274988.47
2709/688.4538mz/7.67min,573229.06,732288.8,1246641.4,220303.33,1090914.0,922930.6
2711/327.2676mz/7.67min,693855.2,294289.53,664695.8,159226.89,636640.9,608016.7
2712/374.3129mz/7.67min,2450743.8,1707037.9,2557627.0,696406.75,1730598.8,2110797.2
2714/367.3353mz/7.67min,511255.47,552026.5,686689.2,277407.25,531836.2,651566.25
2716/385.3458mz/7.67min,958696.44,1016164.94,1256456.8,534475.0,986962.6,1228093.0
2723/674.4383mz/7.68min,763988.8,380164.25,869030.2,660812.5,944398.3,521461.1
2724/282.2787mz/7.68min,810253.0,969564.3,1302723.6,597690.0,1344796.8,1688414.8
2731/184.0732mz/7.68min,4011257.2,6084404.0,4748748.0,5907086.0,4060028.5,7305560.0
2733/744.5532mz/7.68min,1144701.5,3253650.8,3697.9365,4873381.0,968728.56,1528036.1
2737/515.3339mz/7.68min,267638.88,230266.08,646697.6,13566.861,343093.2,386338.16
2738/757.5563mz/7.68min,5274234.5,5691399.5,30275.266,465648.3,12802191.0,4099523.0
2739/756.5529mz/7.67min,11126784.0,10426845.0,164221.5,561572.8,27330758.0,8679552.0
2740/772.5838mz/7.68min,1365379.5,458938.25,295518.4,207256.78,1392843.8,1731112.0
2743/808.5765mz/7.69min,724213.75,1265498.0,1581231.9,73010.59,174119.27,194666.36
2744/758.5687mz/7.68min,44978920.0,128916536.0,9030445.0,13284994.0,24874564.0,159368640.0
2745/778.5352mz/7.68min,1012912.6,576384.5,0.0,48326.727,2257915.0,740253.3
2746/804.5494mz/7.68min,3605042.5,1678109.0,23665.672,4246248.5,3004521.0,1886889.0
2753/786.595mz/7.68min,11669815.0,31864500.0,26022466.0,1512655.5,1220482.8,1365100.8
2754/784.5827mz/7.68min,86985780.0,13502790.0,60860470.0,9807638.0,58662570.0,13439159.0
2755/806.5643mz/7.68min,4939787.5,1417469.4,3043490.8,872361.5,3733405.5,2041917.9
2757/800.5779mz/7.66min,6633976.0,38194.53,3157848.5,699145.3,0.0,0.0
