"","filter","NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML","NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML","NEG_TJGIp8_1_Run20.mzML","NEG_TJGIp8_2_Run85.mzML","NEG_TJGIp8_3_Run207.mzML"
"2627/488.3149mz/9.26min",50777.725,370548.1,57407.83,8829.524,247429.9,44147.62,8829.524
"2628/579.3305mz/9.27min",263145.97,26794.644,417520.8,813784.06,26794.644,133973.22,392318.72
"2630/744.6364mz/9.28min",255371.95,257348.28,229657.36,225799.89,917000.5,286952.8,253395.62
"2631/515.3337mz/9.26min",62461.4035,751948.2,73850.19,10214.5234,588997.6,51072.617,10214.5234
"2633/734.6075mz/9.27min",274609.3,1476712,276480.8,33837.957,2112145.8,272737.8,63350.88
"2634/761.6263mz/9.28min",88005.665,2154889.5,70904.01,7974.036,2601738.2,105107.32,39870.18
"2635/603.4633mz/9.36min",446587.165,86729.56,661137.94,433647.8,86729.56,459526.53,622129.4
"2636/643.3646mz/9.42min",50395.792,38784.19,58135.15,42656.434,62003.055,120316.61,33306.92
"2638/106.0411mz/9.42min",336734.315,8993.395,791412.2,669288.2,9453.193,109123.33,564345.3
"2640/579.3304mz/9.53min",306912.705,44745.888,1071284.6,2164568,44745.888,223729.44,390095.97
"2641/619.3619mz/9.53min",79804.678,5345.5172,433587.94,909757.75,5345.5172,26727.586,132881.77
"2642/603.3307mz/9.52min",293347.195,35671.228,408338.25,765889.3,35671.228,777540.3,178356.14
"2643/413.3636mz/9.53min",41647.544,252088.23,41647.544,41647.544,208237.72,41647.544,41647.544
"2644/587.3357mz/9.54min",19475.8584,6491.9528,32459.764,79406.67,6491.9528,81436.1,6491.9528
"2646/643.3641mz/9.53min",31964.2185,30330.695,63245.14,33597.742,28790.053,260009.58,26726.736
"2648/628.508mz/9.54min",363503.12,2244807.2,373991.34,85228.07,1864785.5,353014.9,90847.21
"2649/638.5369mz/9.54min",1576741.9,3068291.5,1608234,1063736.1,2672093.2,1545249.8,979522.5
"2650/629.5114mz/9.54min",133940.285,998095.75,139888.48,3439.418,802783.4,127992.09,7063.5967
"2651/592.531mz/9.54min",432789.39,860582.75,433580.62,267920.72,763782.1,431998.16,254739.86
"2653/655.5271mz/9.54min",774086.05,4315624.5,832935.3,205488.48,3730548.2,715236.8,106738.18
"2654/500.3594mz/9.55min",108201.945,509530.2,122534.24,33184.395,395312.5,93869.65,21559.223
"2655/490.3305mz/9.57min",29940.2255,658809.06,49165.066,2143.077,488803.2,10715.385,2143.077
"2656/517.3494mz/9.58min",124048.01,1848400.2,102668.69,20533.738,1403406.1,145427.33,20533.738
"2657/632.3655mz/9.6min",27960.92,322027.62,27960.92,27960.92,139804.6,27960.92,27960.92
"2658/129.9758mz/9.68min",13395.174,186298.67,13395.174,13395.174,66975.87,13395.174,13395.174
"2659/643.5271mz/9.73min",141400.27,1011145.06,137974.31,5738.6644,1043667.7,144826.23,28693.322
"2660/626.5372mz/9.73min",257737.425,574864.3,267793.38,154836.58,520950.75,247681.47,160292.75
"2661/106.0411mz/9.78min",116215.309,5311.7758,966817.9,1073634,26558.879,58844.168,173586.45
"2662/645.5425mz/9.78min",88763.992,626714.8,82371.914,16474.3828,752090.7,95156.07,16474.3828
"2663/619.3619mz/9.83min",259330.65,24138.06,474418.7,1065233.5,24138.06,120690.3,397971
"2664/603.3308mz/9.83min",646048.75,117214.82,586074.1,867906.75,117214.82,865058.3,706023.4
"2665/643.3622mz/9.85min",20187.43855,666.36142,3331.8071,37043.07,666.36142,292429.78,78922.484
"2667/571.4501mz/9.84min",904196.63,1871443.6,789832.56,497504.56,1963663.9,1018560.7,602228
"2668/580.334mz/9.85min",93536.0825,716.771,198147.56,824050,716.771,3583.855,183488.31
"2669/587.3357mz/9.84min",11496.072,1444.8036,7224.018,225632.05,1444.8036,144167.28,15768.126
"2670/106.0411mz/9.85min",99304.544,5311.7758,349451.7,526645.75,26558.879,58844.168,139764.92
"2671/579.3306mz/9.86min",852928.85,118195.24,1267655.8,2584412.5,118195.24,590976.2,1114881.5
"2672/473.2825mz/9.86min",914021.75,719054.9,1009809.44,952655.44,859324.5,1219984.8,875388.06
"2674/429.3009mz/9.92min",10187.446,56962.703,10187.446,10187.446,50937.23,10187.446,10187.446
"2675/146.9659mz/9.97min",120649.16,3194561.5,120649.16,120649.16,603245.8,120649.16,120649.16
"2676/499.364mz/9.95min",5273.161,73476.43,5273.161,5273.161,26365.805,5273.161,5273.161
"2678/757.6316mz/9.96min",116762.835,1400075.2,124382.72,21828.59,1255387.1,109142.95,21828.59
"2680/775.642mz/10.06min",7161.10615,156965.22,7665.5483,1331.3328,1010188.56,6656.664,1331.3328
"2682/146.9659mz/10.02min",24256.478,121282.39,24256.478,24256.478,2498417.8,24256.478,24256.478
"2684/129.9758mz/10.09min",56239.488,376732.8,56239.488,56239.488,281197.44,56239.488,56239.488
"2685/106.0411mz/10.1min",551753.4,9336.943,2520014.5,989800.75,26868.312,113706.05,3442853.2
"2686/645.5427mz/10.12min",10985.1984,54925.992,10985.1984,10985.1984,151650.4,10985.1984,10985.1984
"2687/579.3304mz/10.15min",155253.93,28662.094,332413.66,454032.56,28662.094,143310.47,167197.39
"2688/137.8917mz/10.18min",113164.62,1126446.4,82983.96,38781.816,525126.2,143345.28,39233.29
"2689/118.8996mz/10.15min",114184.09,3326575,75169.8,46815.207,2987262.5,153198.38,40350.633
"2690/619.3618mz/10.17min",35263.5675,5114.3778,91130.82,199396.83,5114.3778,25571.889,44955.246
"2691/132.9002mz/10.17min",171470.495,1476230.4,115194.24,71225.9,1579465.8,227746.75,70369.88
"2692/150.8895mz/10.16min",191452.825,4953608.5,164014.48,78046.12,4754720.5,218891.17,86867.07
"2694/135.9709mz/10.17min",568092.95,345282.78,610995.4,3132535.8,369252.66,525190.5,3110360.2
"2695/754.5832mz/10.17min",37001.932,191140.69,37001.932,37001.932,185009.66,37001.932,37001.932
"2696/790.562mz/10.2min",6417.7794,568876.5,2139.2598,2139.2598,483935.03,10696.299,2139.2598
"2698/800.5891mz/10.17min",30394.3445,928586.25,3820.909,764.1818,1611363.1,56967.78,764.1818
"2700/729.4716mz/10.18min",1680983.4,1680983.4,8404917,1680983.4,1680983.4,13212337,1680983.4
"2701/134.8947mz/10.18min",4027406.5,28997014,2665594.5,1792250.9,29868350,5389218.5,1756998.2
"2702/587.3354mz/10.18min",37531.1135,2155.518,64284.637,84893.984,2155.518,120630.73,10777.59
"2703/621.3411mz/10.18min",20740.27,20740.27,103701.35,20740.27,20740.27,155466.78,20740.27
"2704/652.3845mz/10.19min",15651.252,201871.75,15651.252,15651.252,78256.26,15651.252,15651.252
"2705/788.5453mz/10.23min",9194.5745,194114.22,9275.425,1822.7448,216989.33,9113.724,1822.7448
"2706/662.4125mz/10.19min",24996.272,227030.2,24996.272,24996.272,124981.36,24996.272,24996.272
"2707/798.5742mz/10.19min",63797.776,318988.88,63797.776,63797.776,351530.28,63797.776,63797.776
"2710/695.4659mz/10.2min",1526058.6,304031,1531962.2,1520155,304031,4729251.5,1696520.8
"2711/699.496mz/10.2min",397897.4,61684.1,487374.3,927029.94,61684.1,308420.5,669318.2
"2712/697.4806mz/10.2min",1141103.98,192924.812,1317583.9,2574456.2,192924.812,3181612.2,964624.06
"2714/563.3354mz/10.2min",150702.88,24059.72,191148.44,255937.53,24059.72,181107.16,120298.6
"2715/671.4662mz/10.2min",7018934,1199638.1,8039677.5,14350252,1199638.1,15070185,5998190.5
"2723/769.5013mz/10.21min",23256.2508,7752.0836,176555.83,7752.0836,7752.0836,134967.62,38760.418
"2724/742.5036mz/10.22min",79176.274,5107.2876,132816.11,153878.02,5107.2876,25536.438,332294.1
"2725/265.1478mz/10.23min",115452.1325,46424.52,135838.64,183028.8,33319.94,95065.625,183021.77
"2726/731.4827mz/10.22min",7098.87325,659.2709,131082.5,3296.3545,659.2709,10901.392,178174.02
"2727/180.9731mz/10.27min",45611.9005,59112.68,45164.574,3589.9854,200009.97,46059.227,717.99708
"2728/857.5182mz/10.24min",16142.7532,16142.7532,16142.7532,80713.766,16142.7532,16142.7532,1729576
"2730/112.9856mz/10.24min",8605055,17180678,8466706,7671776,15646626,8743404,6271046
"2731/861.5488mz/10.24min",40198.725,13399.575,66997.875,834078.7,13399.575,13399.575,67196.07
"2733/833.5188mz/10.25min",1161304.2,387101.4,2736872.8,1935507,387101.4,387101.4,6670130
"2734/859.5315mz/10.24min",72874.824,72874.824,72874.824,477216.94,72874.824,72874.824,364374.12
"2735/119.9469mz/10.26min",6864.4546,138326.19,6864.4546,6864.4546,34322.273,6864.4546,6864.4546
"2736/231.9316mz/10.2min",324961.295,710297.4,317283.34,181968.2,585651,332639.25,270750.28
"2739/507.2729mz/10.25min",48702.266,243511.33,48702.266,48702.266,48702.266,48702.266,48702.266
"2740/92.928mz/10.27min",28131.3702,348263.6,9377.1234,9377.1234,128517.11,46885.617,9377.1234
"2741/94.925mz/10.27min",4446.58476,222897.62,1482.19492,1482.19492,75909.7,7410.9746,1482.19492
"2742/134.8946mz/10.23min",1448376.6,3451385.8,741220.25,1125936.4,1978469.4,1770816.8,1043661
"2745/297.1528mz/10.24min",48012.387,115640.32,22376.867,41414.586,117261.42,18248.332,54610.188
"2746/102.9568mz/10.28min",115593.76,697101.75,77245.35,30093.826,354148.72,153942.17,16577.658
"2747/248.9604mz/10.28min",34051.096,851174.6,28468.11,5693.622,451620.2,39634.082,5693.622
"2748/197.8079mz/10.31min",1084195.9,768349.3,2897779.5,5928.698,381334.25,1400042.5,1576008.5
"2749/199.8049mz/10.32min",513063.17,365874.94,1392672.6,34989.332,174946.66,660251.4,754909.3
"2750/195.811mz/10.33min",1215486.7,627775.4,2792930.2,1668595.5,287458.4,1137023.6,1293949.8
"2751/571.2892mz/10.28min",38905.596,194527.98,38905.596,38905.596,38905.596,38905.596,38905.596
"2752/714.5083mz/10.28min",720222.12,122492.9,612464.5,2175764,618606.8,821837.44,4029571.2
"2753/311.1686mz/10.26min",182791.66,369760.16,100665.5,134309.27,299030.84,187138.34,178444.98
"2755/384.9354mz/10.3min",9604.6054,158196.45,9604.6054,9604.6054,48023.027,9604.6054,9604.6054
"2756/452.9228mz/10.3min",2526.9692,100146.73,2526.9692,2526.9692,12634.846,2526.9692,2526.9692
"2757/316.9479mz/10.3min",27657.924,362012.94,27657.924,27657.924,138289.62,27657.924,27657.924
"2758/782.4967mz/10.3min",67446.289,3571.196,36775.773,98116.805,102488.39,17855.98,982965.5
"2759/650.3679mz/10.32min",202412.01,2128.004,661006.75,794680,2128.004,394184,10640.02
"2760/153.8685mz/10.31min",543826.3,66089.555,616231.75,530917.5,57463.664,556735.1,581053.56
"2761/265.1479mz/10.29min",76873.605,40872.332,79400.16,102656.83,37138.375,74347.05,106664.805
"2762/129.9758mz/10.33min",27629.584,270839.34,27629.584,27629.584,138147.92,27629.584,27629.584
"2763/506.2887mz/10.32min",4090.9382,20454.691,4090.9382,4090.9382,4090.9382,173594.17,4090.9382
"2764/195.811mz/10.39min",1662309.7,37686.656,3857958.5,3305103,26225.385,1106887.6,2217731.8
"2765/197.808mz/10.39min",2045545.05,46879.074,4712379,4040092.8,35782.773,1361736.1,2729354
"2766/199.8049mz/10.39min",966778.48,10766.25,2250955,1920688,3346.1602,642791.56,1290765.4
"2767/231.9316mz/10.35min",201592.835,979590.94,159879.94,160262.1,434984.12,234567.2,168618.47
"2768/201.8019mz/10.36min",197244.22,24907.188,459719,395876.78,24907.188,124535.94,269952.5
"2769/740.5237mz/10.37min",62768.325,20922.775,104613.875,199577.36,20922.775,20922.775,1937685.1
"2770/160.8421mz/10.41min",1306703.125,805134.75,2610040,2411341,490118,702439.7,1808271.5
"2771/162.8391mz/10.41min",1223475.2,737394,2440340,2258318.8,678374.6,660693,1709556.4
"2772/164.836mz/10.42min",342294.74,230870.42,716758.1,682814.44,214067.75,209839.44,453719.06
"2773/788.5449mz/10.4min",2061.7248,687.2416,190915.06,38449.89,687.2416,687.2416,3436.208
"2774/311.1687mz/10.39min",194668.375,199850.73,139957.28,189486.02,500430,115763.625,258507.72
"2775/409.236mz/10.38min",94843.445,153065.67,36621.22,7324.244,4203399.5,219722.62,7324.244
"2776/504.2733mz/10.41min",41938.3,209691.5,41938.3,41938.3,2846788.5,41938.3,41938.3
"2777/190.9285mz/10.44min",443095.81,430026.16,457486.78,529762.9,352629,435972.56,450219.06
