Filename,2024_NEG_CC_1_Run21.mzML,2024_NEG_CC_2_Run48.mzML,2024_NEG_CC_3_Run62.mzML,2024_NEG_CC-VPA_1_Run27.mzML,2024_NEG_CC-VPA_2_Run36.mzML,2024_NEG_CC-VPA_3_Run77.mzML
Class,CTRL,CTRL,CTRL,EXP,EXP,EXP
341/379.1792mz/7.94min,614135.0,316152.62,443947.94,319612.12,486944.25,601503.44
342/381.1737mz/7.94min,12026891.0,6593789.0,8592809.0,6520639.5,10271803.0,12000265.0
344/186.9706mz/7.95min,578678.75,546710.2,577833.9,523546.3,618517.44,693542.2
345/144.9235mz/7.95min,3009317.8,2621249.8,3623765.0,2498886.2,2367924.2,2706275.2
346/115.9208mz/7.95min,5215941.5,4280714.5,5161455.5,4784935.5,6560940.5,5359914.5
347/398.3272mz/7.95min,278292.38,95038.64,217677.55,137280.28,384663.0,414252.84
349/703.5633mz/7.96min,318556.75,234166.16,306740.06,262120.81,206936.28,363432.5
350/134.8947mz/7.97min,2651161.5,2377956.5,2567694.0,2452708.5,2256255.5,2473069.5
354/161.9136mz/7.97min,431427.06,360505.9,429453.44,365248.8,185492.14,353891.03
355/720.4822mz/7.96min,80359.63,6244.365,121732.8,39972.406,47573.617,124750.49
360/134.8947mz/8.06min,1968338.2,1925549.8,1645648.4,1408464.9,1404354.0,2405040.8
361/186.9706mz/8.06min,318090.03,285906.47,207863.12,154544.97,234760.95,272810.84
363/529.3859mz/8.07min,1635350.4,752821.75,1209784.9,1069984.6,2053126.1,2022570.1
364/669.506mz/8.07min,649242.75,311647.12,449642.0,415850.03,516784.47,599977.94
365/512.3957mz/8.08min,432822.66,219883.14,325990.62,359684.9,464091.72,482622.06
366/652.516mz/8.08min,322104.06,153865.92,212090.19,222630.31,258387.75,302413.75
367/660.4613mz/8.09min,6925559.0,4180439.0,5830251.0,4597112.5,5679892.5,5519193.5
368/100.9337mz/8.12min,759258.7,732135.44,1198430.5,682318.2,591212.1,1428275.8
369/683.4854mz/8.18min,891626.9,440251.56,592989.5,623595.75,922376.0,808420.8
370/100.9337mz/8.23min,1755621.1,895883.75,923889.06,748921.5,1727143.4,613773.25
371/667.491mz/8.21min,287403.12,165385.25,208250.97,229216.42,301974.8,256867.69
374/445.3282mz/8.27min,523976.66,269124.6,427668.1,380265.38,800610.7,244042.95
375/100.9337mz/8.29min,1122458.5,1220602.0,1675860.0,1486438.5,857580.25,613773.25
379/703.5633mz/8.28min,2041118.4,1413211.8,1662352.1,1366942.8,726829.2,1738060.6
380/381.1949mz/8.28min,290946.12,125091.016,198975.56,129937.32,214465.03,260587.16
382/650.5002mz/8.28min,374424.53,66065.734,148996.69,70031.36,225865.75,329487.47
384/180.9812mz/8.28min,221794.52,195598.72,313835.38,226837.3,213253.95,363926.94
385/383.1893mz/8.28min,6036727.5,2595960.8,4178555.2,2621112.5,4483284.5,5282393.5
387/186.9706mz/8.28min,1379549.6,1402241.4,1461867.8,1299358.4,1532544.4,1454766.0
388/122.9758mz/8.29min,277312.34,171340.14,199805.2,191080.22,259621.05,295354.88
389/144.9235mz/8.29min,8339973.0,7705497.0,7372342.0,8058794.0,6779107.0,8279741.0
390/115.9208mz/8.29min,15939919.0,11631265.0,10189245.0,12016693.0,12015256.0,10770345.0
392/569.4172mz/8.3min,231369.06,135289.27,196785.6,242607.84,314485.94,263712.16
393/683.4855mz/8.29min,476523.2,304177.78,341733.22,407717.16,611116.5,528081.06
394/711.5166mz/8.3min,31189.537,12138.822,29642.033,33722.703,56041.297,66067.19
395/134.8947mz/8.3min,5096363.0,3577977.2,5017768.0,4382863.5,3989855.2,4119203.8
397/161.9136mz/8.31min,1030833.75,905500.25,1320749.2,1185392.0,522083.1,837898.5
400/713.5323mz/8.34min,491007.72,235356.27,409271.78,431237.5,850313.5,491634.9
401/667.4907mz/8.28min,1188587.5,913566.8,966859.6,1123229.9,1396468.8,1095410.0
402/683.5221mz/8.38min,52742.312,16574.898,41367.63,40737.47,42344.816,45623.863
404/648.4607mz/8.36min,443367.1,327589.84,405531.06,457866.72,591967.0,543602.0
405/186.9706mz/8.4min,350417.66,792441.94,486124.03,833101.7,1042176.44,283704.9
406/134.8947mz/8.38min,1913497.9,1840936.1,2364712.2,1456787.8,1151016.0,1593514.1
408/161.9136mz/8.41min,902665.4,1064480.1,1150611.6,807106.56,461156.78,853985.94
409/711.4569mz/8.4min,418797.16,288590.78,446058.9,262985.1,445150.97,475005.0
410/100.9337mz/8.36min,840325.1,822099.0,264724.84,325177.3,269908.88,291275.12
411/683.4851mz/8.41min,170900.12,107201.21,205609.45,135270.48,254007.25,184648.83
412/667.4894mz/8.4min,140776.92,130336.23,237981.03,210011.77,191013.1,182664.95
413/665.475mz/8.44min,560801.0,315234.78,430254.75,458777.38,670746.2,521159.53
414/697.5374mz/8.46min,615398.6,346648.7,445378.47,489970.34,530473.75,553806.75
415/711.5167mz/8.54min,1094673.4,655353.0,801634.9,784257.9,943404.1,1108699.9
416/669.5064mz/8.48min,1815548.1,840940.1,1372063.6,1438111.9,1649655.5,1884143.2
417/652.5163mz/8.48min,184652.77,74929.375,137143.22,125076.76,146533.72,205814.92
419/100.9336mz/8.48min,599070.4,625953.1,694925.1,462807.25,241238.22,177316.55
420/583.433mz/8.51min,606330.1,339381.62,489031.56,522866.94,821702.5,787199.06
421/665.4748mz/8.5min,118517.43,307513.88,90336.664,98675.84,141393.8,135713.0
423/713.5277mz/8.54min,164139.94,74666.9,112141.17,131513.5,184162.5,151177.38
425/1035.7314mz/8.58min,1313194.6,372446.47,1203093.2,1090257.6,950365.9,1179182.8
426/683.5216mz/8.59min,432212.72,169439.0,366309.2,292820.4,528339.4,542325.25
