row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp2_2_Run94.mzML Peak area,NEG_TJGIp2_1_Run38.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGIp2_3_Run162.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
82,158.08222118193177,2.3706079,,,,,,,,,,,357171.84,302178.62,274345.84,332609.88,314716.16,233479.2,
104,158.08222623395264,2.8109386,,,,,,,,,,,1009230.25,967254.3,1078931.0,1284084.1,783247.3,827401.56,
96,158.08223990488108,2.726311,,,,81,,,,,,,1042827.56,1002108.0,1053163.0,1315479.2,794972.1,816245.3,
76,158.08225422211305,1.9433517,,,,,,,,,,,1450898.9,1430461.1,1413868.4,1725117.1,1276522.2,1153797.2,
75,159.06624285223754,1.5873443,,,,,,,,,,,116814.65,343346.78,207988.22,422931.22,151003.56,124857.68,
105,159.0662624308482,2.8713,,,,,,,,,,,599474.1,658724.2,531884.5,655401.25,578955.2,627582.8,
94,159.0662660493105,2.605551,,,,,,,,,,,342298.03,358789.28,320898.0,393009.72,340736.3,332953.25,
188,159.10266253254215,3.7892933,,,,,,,,,,,94878.125,115843.055,88367.805,98328.49,95929.555,102183.6,
126,159.10268075123906,3.154287,,,,,,,,,,,40023.117,43002.7,37734.777,48960.438,21340.527,41772.6,
220,159.10270841520398,4.072792,,,,144,,,,,,,534130.3,568368.6,279341.88,329583.47,651373.7,608523.6,
127,160.04040803389105,3.201011,,,,162,,,,,,,731209.25,825204.5,704773.2,724018.2,764689.94,784631.44,
32,160.06142582522395,0.38819525,,,,58,,,,,,,590874.25,561278.56,604465.2,1181506.0,831568.9,424364.38,
56,160.0614449045736,0.63801193,,,,147,,,,,,,2308811.5,1765643.1,794131.44,1827518.1,1757154.9,1433234.0,
