row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp10_3_Run210.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_3_Run195.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_2_Run144.mzML Peak area,NEG_TJGIp10_2_Run133.mzML Peak area,NEG_TJGIp10_1_Run23.mzML Peak area,NEG_TJGI2pt1_EV_gpdA_CTRL_1_Run14.mzML Peak area,Unnamed: 19
2766,174.9560304460518,10.588034,,,,166.0,,,,,,,16539930.0,16078993.0,16144263.0,16032124.0,12603713.0,12442942.0,
109,177.05571148734842,3.2990696,,,,,,,,,,,114474.82,109777.08,74620.5,77738.305,84213.98,88605.086,
136,177.05572026441268,3.5317222999999998,,,,131.0,,,,,,,1130123.4,1061123.5,822041.0,822268.4,853408.1,770437.7,
124,177.05573664293263,3.4123604,,,,159.0,,,,,,,145969.64,137077.78,97754.79,93962.0,103514.23,92775.5,
82,178.05095680014682,2.618111,,,,,,,,,,,164449.03,181987.83,179995.73,200624.62,201867.73,150918.5,
110,178.05100296979484,3.2467759,,,,,,,,,,,484771.62,574364.94,568215.5,548342.2,524144.62,575404.44,
2809,178.97774219207923,11.19692,,,,,,,,,,,0.0,0.0,0.0,0.0,3064136.0,653604.7,
3,178.97783238844056,0.032626837,,,,,,,,,,,320479.1,309472.44,285335.94,300871.47,419407.53,194891.1,
79,178.97783254559852,2.5666277,,,,,,,,,,,0.0,0.0,0.0,0.0,144962.52,219319.02,
27,179.05615146107792,0.37505984,,,,78.0,,,,,,,595832.3,605788.8,458554.16,505060.06,680334.4,641420.1,
2467,180.03351837284217,8.421285000000001,,,,,,,,,,,120214.62,178122.22,198528.72,230927.45,119329.94,102330.734,
64,180.03362696435184,0.9713790999999999,,,,,,,,,,,1144101.9,1537479.4,1641859.2,1652956.8,0.0,0.0,
67,180.03364536531,1.7037683000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,3112028.5,5047525.5,
66,180.0336465584412,1.5746393,,,,,,,,,,,1344886.5,2012947.5,2261598.2,2649125.8,766329.4,1113674.8,
71,180.03366655424546,2.2605793,,,,,,,,,,,3666.1038,40124.16,39853.14,56124.543,23536.688,25159.244,
2703,180.97302010785373,10.284699,,,,,,,,,,,32250.266,3589.9854,45164.574,0.0,104028.42,364899.28,
2801,180.97318409839488,11.017461,,,,,,,,,,,118550.516,66104.1,13249.53,9140.648000000001,885315.3,2059464.5,
7,180.97318651264598,0.32289840000000003,,,,,,,,,,,144538.27,402178.97,438773.84,128860.99,474629.88,379899.9,
1,180.973464541719,0.060004424,,,,,,,,,,,437051.38,453302.72,328691.94,421253.72,323129.16,233395.11,
19,181.0717479370273,0.37118176,,,,78.0,,,,,,,44416668.0,47818220.0,28690438.0,56622812.0,26361696.0,8999006.0,
65,181.07175083645768,0.9114116,,,,,,,,,,,901345.06,787127.7,119442.05,2179700.8,365482.16,152602.81,
73,181.07176054943227,2.2498543,,,,,,,,,,,20195.652,0.0,0.0,50569.973,443238.03,0.0,
36,181.94708294908455,0.38876426,,,,78.0,,,,,,,561843.5,580030.06,541242.56,706640.1,1072214.6,710741.6,
24,182.0749210933218,0.37194428,,,,78.0,,,,,,,2835686.8,3130637.8,1836057.6,3668885.0,1284919.1,1036529.5,
230,183.138843574084,4.148785,,,,103.0,,,,,,,147804.39,124518.086,136516.89,179435.31,190975.17,88585.49,
276,183.13901463487676,4.3347096,,,,156.0,,,,,,,522063.28,326264.25,311513.88,608280.06,527943.25,488498.53,
101,186.07718552343042,3.0562317,,,,,,,,,,,927418.7,852534.44,827539.5,976180.0,925833.7,751721.4,
91,186.11355975372365,2.9489782000000004,,,,35.0,,,,,,,510955.66,1475168.5,1777681.5,393030.47,832169.5,1674071.9,
2234,187.09746818695862,8.025773,,,,,,,,,,,42109.38,3832.3779999999997,24685.445,27451.67,101801.52,120987.66,
121,187.09758875648774,3.3631947,,,,137.0,,,,,,,241808.47,211190.56,125076.46,262989.1,183905.38,92946.82,
129,187.09763131574903,3.44852,,,,75.0,0.0,[M+H]+,,2.0,130;129,186.09033,8133365.0,6005728.0,5778342.0,9233433.0,8081108.0,7811067.5,
187,187.0976507030608,3.9967782,,,,,,,,,,,131086.27,40597.242,33010.613,57904.316,42776.473,4354.2363,
76,188.03531537669852,2.4047687,,,,,,,,,,,637469.1,786489.0,737707.56,730912.25,707328.94,717033.7,
55,190.9284177094449,0.56764704,,,,,,,,,,,375791.88,25628.121,171501.1,149732.94,3637.5615,24647.507999999998,
2752,190.9284309352476,10.435004,,,,,,,,,,,507406.5,529762.9,457486.78,533549.75,292862.34,422613.75,
4,190.9284864534293,0.035538282000000004,,,,,,,,,,,1219194.8,1165869.1,1166930.4,1151922.9,498756.12,496796.0,
141,191.07482122236152,3.5882690000000004,,,,,,,,,,,387927.1,477026.25,389054.47,456592.16,75260.75,140575.33,
148,191.07484062870583,3.6401297999999995,,,,,,,,,,,400117.3,481849.44,457047.1,352734.53,334578.7,534429.3,
151,191.07484741836575,3.6931279000000004,,,,,,,,,,,185214.03,236465.77,203080.92,0.0,261282.94,823386.6,
94,192.0666472120479,2.970256,,,,81.0,,,,,,,571175.94,520074.75,478064.7,538577.9,625900.25,674453.3,
