"","filter","Yeast_HE_D5-Ctrl_a_pos_20190515_Run37.mzML","Yeast_HE_D5-Ctrl_b_pos_20190515_Run40.mzML","Yeast_HE_D5-Ctrl_c_pos_20190515_Run43.mzML","POS_D5-227-C1-a_Run220.mzML","POS_D5-227-C1-b_Run223.mzML","POS_D5-227-C1-c_Run226.mzML"
"78/561.2515mz/4.0min",234400.425,252184.88,131366.05,417414.56,216615.97,288455.97,213686.12
"79/222.1465mz/4.05min",667994.325,555436.4,555364,540602.9,791985.2,793666.6,780552.25
"80/325.1255mz/4.24min",882008.1,856377.1,824488.94,809217.3,907639.1,911607.3,953087.25
"81/233.0726mz/4.36min",431476.47,430908.72,316282.84,681919.6,432044.22,356269.75,450041.8
"82/255.0544mz/4.36min",574927.485,429370.25,324965.4,696547.7,635129.4,517206.22,632648.75
"83/266.1726mz/4.37min",99514.835,88478.78,83416.31,90807.68,162186.55,184238.12,108221.99
"84/226.1801mz/4.37min",142692.825,138396.81,117282.11,127039.375,203786.77,238657.72,146988.84
"85/244.1907mz/4.37min",58671.8655,51615.07,45961.19,52564.145,91606.56,106456.9,64779.586
"86/236.1621mz/4.45min",88158.705,82167.91,66461.484,77752.49,125387.54,113987.266,94149.5
"88/689.2988mz/4.5min",514340.77,553162.1,431136.62,874201.06,475519.44,559676.5,436364.7
"89/433.2067mz/4.54min",5326466,5378270,4720300,8173895.5,5274662,6360223,4474819
"90/450.2335mz/4.54min",1918306.1,2713164.2,2280884.2,3885283.5,1242099.6,1555728,1034712.4
"91/236.0805mz/4.54min",2316863.85,2251770.5,2062183.1,3239293.5,2381957.2,2810797.5,2064764.4
"92/455.1886mz/4.54min",35530108,36426240,33078956,46258470,34633976,39584430,31010314
"94/244.0667mz/4.55min",351200.83,392515.88,343792.88,535368.5,313989.1,358608.78,257755.19
"95/230.9845mz/4.69min",807263.88,722326.3,755746.25,758790.56,862592.6,855737.2,880425.6
"96/211.9707mz/4.69min",4306789.9,3885960.8,4098365.8,4073209,4515214,4521590,4599764
"98/229.9813mz/4.69min",9795435,8713632,9201769,9118387,10389101,10447202,10567029
"99/231.9791mz/4.69min",9601601,8553489,9007000,8944106,10196202,10253706,10351146
"100/232.9823mz/4.69min",805660.88,706129.5,762901.06,750166.3,864870.6,848420.7,873015.1
"101/447.127mz/4.69min",459640.72,489896.84,396407.16,514181.6,453712.88,379377.28,465568.56
"102/469.109mz/4.69min",418404.73,407673.62,341365.66,429135.84,460866.06,387016.56,466997.94
"103/247.0883mz/4.7min",449923.69,456514.1,474250.84,599881.7,424564.8,443333.28,407923.97
"104/269.0701mz/4.7min",497220.94,414863.53,436035.22,552757.1,504049.94,542393.8,490391.94
"105/568.2963mz/4.73min",495789.75,768481.94,756033,653115.9,299403.75,281153.22,338463.6
"106/573.2517mz/4.73min",4308568,4522530,4588901.5,4186200.5,3995428.2,3786247.2,4430935.5
"108/228.1959mz/4.82min",213802.305,216914.27,135601.77,210690.34,371252.88,313787.12,194807.69
"109/250.1778mz/4.82min",567792.4,560718.4,393789.3,574866.4,969284.75,828329.7,533939.25
"110/270.1464mz/4.85min",540444.69,496937.72,353035.2,666895.4,613597.2,516674.38,564215
"112/448.2033mz/4.9min",104229.325,95138.88,83090.31,121074.984,113319.77,90206.734,115740.74
"113/272.2583mz/5.14min",286041.315,187945.6,198759.75,187495.86,382707.53,376546.22,373322.88
"114/300.2896mz/5.2min",77530.48,45915.094,24881.229,57127.92,109740.164,99623.58,97933.04
"115/649.3064mz/5.23min",1055104.17,1071198.9,881551.06,1451975.6,1039009.44,1167440.9,892411.4
"116/666.3331mz/5.23min",710789.19,998123.44,802883.44,1186714.6,534970.5,618694.94,455520.1
"117/344.1302mz/5.23min",735207.77,716908.6,616682.4,1003180.8,753506.94,872718.4,656079.94
"118/671.2886mz/5.23min",10695407.5,10904982,9207097,13314125,10485833,11651874,9378113
"119/318.3001mz/5.24min",2562052.75,2385896,2681978.2,2260510,2575164,2762739.2,2548941.5
"122/203.0621mz/5.28min",336931.72,368459.94,289328.8,399944.6,334963.72,296334.78,338899.72
"123/298.2739mz/5.3min",690149.95,593503.06,598996.5,555201.94,781303.4,832507.75,820718.9
"125/338.2663mz/5.39min",329024.84,171246.66,188109.28,177548.64,496280.8,499922.56,469940.4
"126/256.2999mz/5.42min",8295605.5,11307937,11312143,11063268,5527943,5445359.5,5355214.5
"127/264.0921mz/5.43min",494880.5,458984.72,392724.38,472174.56,549501.5,517586.44,546395.7
"128/284.6054mz/5.43min",640359.07,601384.6,552727.4,640882.44,723490.75,639835.7,726276.25
"129/448.2035mz/5.43min",6626170,7044495.5,6236443.5,7188043,6711118.5,6094101,6541221.5
"130/917.3815mz/5.43min",711152.575,682053.44,563541.94,722467.9,804301.9,699837.25,795068
"131/470.1855mz/5.43min",13226986.5,12976840,11808889,13135237,14041289,13318736,14021494
"132/304.2998mz/5.45min",787725.4,420237.8,1600779.4,781189,682247.75,1514783.4,794261.8
"133/302.3053mz/5.48min",5251710.75,4338535,4959930,3558313.5,5637513,6618257.5,5543491.5
"134/284.2947mz/5.48min",155140.62,122752.555,143970.66,93965.07,172049.86,214648.25,166310.58
"135/303.3086mz/5.48min",1013125.82,842388.94,950029.44,674516.3,1109393.9,1255902.2,1076222.2
"137/338.2664mz/5.49min",281688.2,146732.7,143734.78,136945.6,416643.7,442634.34,449461.1
"139/301.293mz/5.58min",4827131,4414176,4683082,3360043.5,4971180,6065259.5,5044869
"140/322.2714mz/5.57min",534995.25,458712.03,531342.1,355391,542310.1,597945.5,538648.4
