"","Filename","NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML","NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML","NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML","NEG_D5-211-C1-a_Run92.mzML","NEG_D5-211-C1-b_Run95.mzML","NEG_D5-211-C1-c_Run98.mzML"
"53","149/654.1323mz/6.56min","394565.16","391032.94","351954.7","291149.53","278771.34","282143.53"
"54","150/291.2mz/6.52min","3345.4172","357237.1","33608.402","47402.973","0.0","447891.75"
"55","151/311.1687mz/6.61min","1258032.4","1150748.5","1135375.1","1085670.6","1176398.0","907274.1"
"56","152/299.259mz/6.61min","98935.83","104150.34","42225.164","118016.73","85482.48","219981.55"
"57","153/718.1449mz/6.66min","335500.06","323824.22","287828.6","233905.67","227011.0","228413.95"
"58","154/311.1687mz/6.67min","1547892.8","1420470.9","1531263.8","791382.4","815645.3","718009.4"
"59","155/291.2mz/6.65min","0.0","383065.0","35170.7","31557.83","0.0","206083.23"
"60","157/782.1575mz/6.76min","222726.42","220702.92","197190.48","179036.19","163231.73","154947.66"
"61","158/311.1687mz/6.73min","1025905.8","1002933.3","1119045.8","460093.56","701093.7","681563.6"
"62","159/654.1324mz/6.78min","948187.9","916515.94","868030.6","634668.7","620227.75","432284.94"
"63","160/568.3617mz/6.79min","0.0","0.0","0.0","316937.6","236708.12","449057.28"
"64","161/299.259mz/6.83min","391360.9","444463.7","381722.44","417891.38","415812.1","559157.56"
"65","162/846.1698mz/6.83min","131716.23","139503.3","131231.05","104308.84","52678.277","95523.12"
"66","163/718.1449mz/6.86min","1043433.44","1007725.9","925504.5","744749.8","713131.25","704655.2"
"67","164/291.2mz/6.85min","6930.496","378309.38","46061.45","22377.734","0.0","186212.92"
"68","165/782.1575mz/6.93min","874427.94","833843.1","763492.9","609135.56","597971.94","596676.3"
"69","166/271.2278mz/6.94min","89789.65","89301.0","35324.2","186669.78","218268.78","183046.05"
"70","167/654.1323mz/6.96min","255446.12","237351.8","211918.73","160294.66","147521.16","163004.19"
"71","168/846.1698mz/7.0min","690194.4","636983.75","586957.94","471239.53","436650.22","441917.84"
"72","169/718.1449mz/7.03min","488503.66","463638.22","446542.03","308183.7","317905.6","311877.2"
"73","170/782.1574mz/7.09min","569648.3","540491.56","522495.7","362124.03","424851.94","162809.64"
"74","171/846.1698mz/7.14min","511073.56","476029.22","459274.84","328767.72","364007.06","358792.38"
"75","172/716.5237mz/7.18min","0.0","0.0","0.0","4589200.5","896706.7","916881.6"
"76","173/271.2278mz/7.15min","1431407.9","1610510.8","975112.25","1880347.5","2244911.2","2161689.8"
"77","174/293.179mz/7.18min","0.0","0.0","0.0","600241.1","808293.7","408433.72"
"78","175/325.1842mz/7.22min","2131096.5","1216268.1","1230636.0","1529730.9","1674169.4","1392575.6"
"79","176/327.2903mz/7.25min","49892.492","97359.43","36921.676","69561.42","84212.336","143336.55"
"80","177/293.1792mz/7.27min","735747.4","943518.5","1074625.2","26073.3","3462.9658","292776.2"
"81","178/782.1574mz/7.3min","47919.246","43359.98","34889.473","12915.676","11015.267","4060.8032"
"82","179/325.1842mz/7.32min","1082338.0","2035603.8","2225115.8","1169074.5","1299542.8","1350329.5"
"83","181/421.2264mz/7.39min","349987.56","203174.16","188593.77","120287.69","323349.22","487130.34"
"84","182/129.9757mz/7.38min","1524657.2","1220047.8","1547980.1","1096064.5","1128755.0","1105908.0"
"85","184/321.2044mz/7.37min","236019.45","258651.98","349076.25","188484.11","53502.45","117173.266"
"86","187/194.9057mz/7.37min","306840.97","342409.84","383743.3","11009.238","75926.07","51557.36"
"87","188/114.9341mz/7.37min","775412.94","878201.0","1005206.0","643299.8","673426.56","869267.7"
"88","189/116.9285mz/7.37min","15537813.0","17655614.0","19481938.0","12335856.0","12964754.0","16782170.0"
"89","191/316.9476mz/7.37min","795290.06","825371.25","863041.1","303668.28","432355.7","541934.5"
"90","192/384.9351mz/7.37min","403357.38","406755.16","427882.4","43146.344","129133.75","238589.97"
"91","193/372.1162mz/7.37min","451424.2","483819.8","522969.47","382768.6","279789.84","662253.56"
"92","194/338.1948mz/7.38min","473545.06","378760.56","535679.75","454253.38","245606.47","392211.7"
"93","195/117.9286mz/7.37min","1816391.6","2054288.6","2226538.5","1431055.6","1490986.9","1921418.4"
"94","196/248.9603mz/7.37min","957737.4","953050.5","1023884.3","453311.5","583169.0","706937.6"
"95","197/353.1425mz/7.37min","24609580.0","26378220.0","28063858.0","7762320.5","7740486.0","14120478.0"
"96","198/253.2172mz/7.37min","976446.44","1171405.6","1498809.5","300569.03","170231.05","378480.88"
"97","199/351.148mz/7.37min","1239322.5","1324088.0","1407829.5","374224.97","365765.53","681077.75"
"98","200/590.3644mz/7.37min","385792.44","410310.06","462320.3","311950.03","167239.03","363575.94"
"99","201/299.2225mz/7.37min","285794.7","305866.94","431549.38","79558.1","26168.203","123329.43"
"100","204/421.1298mz/7.37min","575269.3","618204.0","687943.56","59318.69","71036.71","177866.2"
