row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGIp2_2_Run94.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGIp2_1_Run38.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp2_3_Run162.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
58,180.06657573061537,0.66089505,,,,,,,,,,,17580.871,45445.742,69893.07,90504.94,12617.874,49107.69,
130,180.06657924797992,3.2443879,,,,64,,,,,,,771553.7,1032301.56,755205.94,889864.56,861380.8,1015917.44,
133,181.07048628180553,3.2302465,,,,,,,,,,,54854.23,68778.31,162424.52,227067.86,63855.887,81229.24,
44,181.07169444369208,0.41422287,,,,,,,,,,,1.422598E7,2.9329044E7,1.0515548E7,1.3846682E7,2.8464788E7,1.1533311E7,
66,181.07173304679353,0.7473348,,,,,,,,,,,179083.88,2204095.2,1994826.8,1496888.8,2566967.8,269579.2,
89,181.0717386427486,2.558935,,,,,,,,,,,230466.23,26008.918,24634.2,82378.3,0,0,
19,181.9470847206303,0.37307766,,,,58,,,,,,,1120286.5,1136656.4,1232203.2,1243252.2,1069244.0,1191141.1,
427,183.13900086486328,5.1833057,,,,,,,,,,,251290.72,207553.14,203247.47,182760.53,165196.5,231955.34,
255,183.139002685361,4.336266,,,,129,,,,,,,993532.94,1321953.6,1105284.6,1162101.6,1213755.2,1661678.4,
107,185.08188815114212,2.8920534,,,,,,,,,,,52048.125,54623.066,58910.883,47552.36,38645.797,56959.445,
195,185.08195483958562,3.839245,,,,98,,,,,,,2854743.5,2973421.8,3085909.5,1748301.2,2638480.0,2616839.0,
293,185.11823771367298,4.6377044,,,,,,,,,,,169035.92,189943.08,169278.89,198256.94,222286.28,175696.12,
189,185.1182604533318,3.787484,,,,,,,,,,,170550.31,192640.81,164965.4,175207.3,126413.91,494974.9,
243,185.11833794267878,4.170258,,,,,,,,,,,174942.97,226046.14,171459.58,194370.27,197788.89,209916.06,
219,185.11838228202691,4.0995092,,,,,,,,,,,46311.098,39041.465,55403.645,71465.45,57988.273,32932.31,
111,186.113526685905,2.9525692,,,,29,,,,,,,831483.8,1100495.5,927908.7,924461.06,999656.44,1179859.0,
138,186.1135408929547,3.2954311,,,,,,,,,,,158583.58,226866.48,161985.31,194343.66,156851.28,197715.27,
1631,187.09750240715564,8.024837,,,,133,,,,,,,118693.914,58997.06,10523.992,77609.17,119044.34,106030.37,
153,187.09754000824023,3.4505475,,,,128,1,[M+H]+,,2,153;151,186.09023,2.2799438E7,3.0158918E7,2.4080818E7,2.6374946E7,2.35222E7,2.9062086E7,
144,187.09757046050356,3.4066722,,,,,,,,,,,62923.355,85456.445,1.4289087E7,79126.85,1.3741601E7,1.4192246E7,
208,187.09766879875482,3.9821203,,,,134,,,,,,,243726.69,414953.16,231182.3,296318.4,307795.22,268294.97,
101,188.03528860698597,2.785962,,,,122,,,,,,,56816.438,97247.41,58557.64,74520.31,80287.01,74767.61,
85,188.03530405162041,2.4051394,,,,141,,,,,,,1348096.5,2387149.5,1300468.4,2059580.0,1466273.1,1692900.9,
125,188.03535538377113,3.1465883,,,,,,,,,,,73047.22,97018.5,93086.45,73895.51,80844.56,87383.234,
36,188.0563314951722,0.39445594,,,,,,,,,,,305349.3,318840.12,276533.66,268524.88,259915.05,238219.39,
63,188.0563447662414,0.7523233,,,,,,,,,,,1825860.1,1344779.4,875418.44,671671.1,901967.7,701634.25,
113,189.0768053351139,2.9637039,,,,60,,,,,,,373637.28,500234.94,359607.97,370401.44,375289.2,438997.56,
148,189.11305039779862,3.4250915,,,,,,,,,,,266163.53,252516.97,314410.38,223227.1,252316.05,239161.83,
185,189.11321603199372,3.756708,,,,75,,,,,,,413835.44,621423.2,422529.25,528798.7,451335.06,575483.94,
59,190.07199100502274,0.6829033,,,,,,,,,,,915117.4,927893.25,819061.56,602141.3,796611.3,461234.1,
31,190.07199565802657,0.3833182,,,,58,,,,,,,767183.0,931795.8,858785.4,757867.25,837841.2,522177.03,
1,190.9283893147502,0.031831454,,,,,,,,,,,533778.94,1159419.5,480578.16,571728.0,1159166.0,476988.97,
2023,190.92845684078745,10.434657,,,,,,,,,,,256872.58,546657.9,56970.137,280459.34,419692.28,152839.19,
159,191.07460464164504,3.473674,,,,,,,,,,,110285.31,182464.17,130181.81,144099.77,184593.38,166395.66,
168,191.07478760896637,3.613692,,,,,,,,,,,448860.7,645950.06,511480.4,542563.0,640225.3,648927.94,
141,193.05057763458294,3.3513737,,,,,,,,,,,969933.44,722216.25,983188.56,668515.8,1808300.5,782124.25,
117,194.0457960961653,3.0317876,,,,,,,,,,,117698.32,142449.52,120599.04,107688.45,121723.89,122264.27,
83,194.04580269845323,2.390278,,,,141,,,,,,,2149701.0,2139740.0,1913724.8,1813843.2,2087747.5,1609258.8,
52,195.81074660859204,0.5384494,,,,,,,,,,,11584.917,135947.56,0,0,110843.8,5190.6724,
41,195.81077241416006,0.40010974,,,,102,,,,,,,617366.2,462928.1,436203.5,436014.9,643642.94,472550.28,
2025,195.81094613525417,10.404988,,,,,,,,,,,8767.234,942250.4,61334.605,76336.4,1722726.8,23355.469,
2015,195.8109764489975,10.346065,,,,69,,,,,,,603149.1,1843254.8,26198.977,1302808.0,2713040.0,25859.857,
51,197.8078020204586,0.5366465,,,,,,,,,,,15796.64,203477.6,10985.308,0,138860.53,10256.792,
39,197.80782874598302,0.39929274,,,,102,,,,,,,791362.1,596292.44,574364.0,564730.8,830950.06,611604.56,
701,197.8078723148822,5.954772,,,,,,,,,,,0,0,0,0,0,125463.97,
2013,197.80794582637213,10.349353,,,,,,,,,,,764676.4,1874636.2,30172.012,1616274.2,3199811.5,33515.242,
2022,197.80795921562688,10.390241,,,,,,,,,,,638818.0,2255229.0,76763.1,106748.3,3314215.5,72541.61,
177,199.09756434321966,3.6924455,,,,126,2,[M+H]+,,2,177;178,198.09025,1.1888789E7,1.4004434E7,1.2670404E7,1.2379448E7,1.3529061E7,1.3125033E7,
249,199.09762199402465,4.3016872,,,,,,,,,,,162589.0,272795.72,194515.17,126639.82,176684.28,192618.22,
