"","filter","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_CC_MC_RCG_1_pos_20210511_Run75.mzML","GF_CC_MC_RCG_2_pos_20210511_Run111.mzML","GF_CC_MC_RCG_3_pos_20210511_Run176.mzML"
"6445/660.8815mz/4.07min",613924.73,500762.62,134452.67,587398.06,788639.4,640451.4,824283.4
"6448/331.1862mz/4.07min",438435.05,299860.44,203856.75,407960.16,526317.6,468909.94,493820.9
"6451/398.2284mz/4.08min",2153871,1958503.2,1336319.5,2157784.2,2471302,2304093.2,2149957.8
"6452/501.2707mz/4.08min",314528.375,290619,192500.39,289063.62,371025.25,383521.38,338437.75
"6456/550.3599mz/4.08min",870465.22,795786.06,537333.75,880746.44,943748.4,914189.44,860184
"6458/510.2926mz/4.09min",377469.095,356024.06,246045.89,373065.16,411201.16,385291.12,381873.03
"6462/216.1595mz/4.09min",456833.955,389349.84,236694.62,481984.2,673609.8,451324.66,462343.25
"6467/526.2946mz/4.1min",304544.14,362383.34,304778.78,461254.2,303285.3,269522.6,304309.5
"6468/177.0547mz/4.1min",367224.545,435520.75,256904,514979.3,335613.84,310496.28,398835.25
"6470/410.2283mz/4.1min",480180.96,381868.6,267376.6,429115.62,573254.8,584110.44,531246.3
"6472/510.3281mz/4.1min",355656.34,365970.12,288624.97,345342.56,416301.66,385008.1,269785.56
"6473/352.1693mz/4.11min",251658.53,459876.78,300001.25,399544.2,165334.81,170272.83,203315.81
"6474/458.2521mz/4.12min",258194.465,473779.66,368122.12,494869,99377.93,96256.5,148266.81
"6476/120.0444mz/4.11min",384598.155,357692.56,269951.03,418970.12,413079.44,355981.38,411503.75
"6477/428.2541mz/4.11min",224830.18,270584.38,231584.33,219296.58,215924.23,230363.78,157013.75
"6478/360.1915mz/4.11min",1169175.25,1206261,747232.94,1050884.1,1268578.2,1132089.5,1300132.2
"6481/372.2491mz/4.11min",455965.16,418152.97,331601.7,588456.44,582297,435637.2,476293.12
"6484/453.7575mz/4.12min",1012031.82,1375800.4,1174786,1046402.2,824018.3,977661.44,575189.3
"6486/230.1135mz/4.14min",1152756.85,1089507.4,780521.94,1196683.6,1256093,1213113,1108830.1
"6489/683.3607mz/4.15min",1540291.5,1059081.1,713157.9,1445147,2053986.4,1635436,1888174.9
"6492/234.0219mz/4.15min",5070749.75,3478278.5,3039854.5,4904287,6115515,5237212.5,6273317
"6494/727.4022mz/4.15min",390818.39,417222.62,306861.47,468046.22,409059.25,281135.4,372577.53
"6495/364.2044mz/4.15min",846971,1116649.4,917673.7,1177533.6,776268.3,682844.75,711326.06
"6499/271.0712mz/4.16min",414561.16,236439.78,169994.77,396226.72,533589.9,432895.6,620212.75
"6500/515.2866mz/4.17min",396194.53,383322.16,234650.89,365378.9,576986.8,518527.47,409066.9
"6501/349.1906mz/4.17min",407672.47,504346,324733.47,552386.1,436178.38,355216.9,379166.56
"6505/239.1025mz/4.17min",423977.54,244152.55,101479.266,471079.7,615080.44,376875.38,660577.56
"6508/377.2261mz/4.19min",355396.8,401081.94,297279.4,363584.22,394049.72,347209.38,344200.38
"6509/376.2228mz/4.19min",1850063.65,1949052.5,1513861.9,2007758.4,2036592.9,1694364.9,1751074.8
"6510/237.1596mz/4.19min",259378.73,250527.34,192637.48,232779.16,285530.66,287510.25,268230.12
"6513/245.1131mz/4.2min",1478095.6,905216.25,1309852.6,1724356.9,1646338.6,951609.56,1687423.4
"6514/987.0621mz/4.2min",631599.32,609580.94,457479.78,594659.7,852918.5,653617.7,822227.6
"6518/353.7283mz/4.2min",1005105.15,1231227.2,1107905.9,1118882,865723.06,902304.4,772891.7
"6519/717.3868mz/4.2min",506488.065,485755.53,436355.75,477986.03,707428.44,527220.6,695134.5
"6520/706.4491mz/4.21min",265359,322296.62,247993.1,288987.6,282627.53,239198.36,248090.47
"6521/658.377mz/4.21min",880645.93,843873.94,681256.5,860923.8,1080317,900368.06,1148682.8
"6523/658.0428mz/4.21min",801165.25,756865.5,580624.1,790357.25,943040.6,811973.25,975280.06
"6525/915.497mz/4.21min",162935.585,307537.9,103987.22,155518.95,170352.22,105681.28,182281.33
"6526/335.1387mz/4.21min",933459,816261.6,604538.5,1011359,1208292.5,970840.1,896077.9
"6527/458.2519mz/4.21min",331337.255,560697.3,415674.03,628134.06,223065.2,172911.52,247000.48
"6530/342.2384mz/4.22min",425327.045,426133.97,365352.28,424520.12,467303.5,464360.06,387657.7
"6533/273.0326mz/4.23min",344086.185,213696.31,159852.94,340962.75,479546.97,347209.62,387153.6
"6537/454.3102mz/4.23min",1080966.475,1405263.8,1217316.2,1260936.6,944616.75,898866.06,848390.2
"6539/453.3068mz/4.23min",4533981.4,5836330,5082613,5249282.5,3985349.8,3797744,3589050
"6543/356.2541mz/4.24min",12660828.5,11995174,9871211,12399261,14199043,13325305,12922396
"6544/395.175mz/4.24min",155526.615,311477.6,304597.1,238719.97,58879.25,72333.26,45035.92
"6546/479.3225mz/4.24min",324147.46,374403.8,270529.06,299783.7,369344.4,348511.22,244778
"6547/384.2126mz/4.2min",276868.995,333357.34,221381.89,332356.1,168740.02,381398.62,105546.49
"6548/511.2548mz/4.25min",472439.545,567311.75,537985.25,373428.72,406893.84,547610.7,361370.1
"6552/192.1382mz/4.25min",701591.15,679005.8,442118.06,696027.5,780379.4,707154.8,733204.06
"6556/301.1544mz/4.25min",953473.03,658078.1,405024.03,922730.06,1314281,984216,1029421.9
"6557/379.2519mz/4.29min",374130.22,614881.4,277160.38,301144.44,693091.6,447116,211187.92
"6562/270.1123mz/4.27min",403700.77,424791.7,388766.28,521742.6,410978.66,382649.7,396422.88
"6563/614.3292mz/4.27min",1010768.88,942563.44,865402.9,1307624.6,1024286.7,997251.06,1475687.2
"6564/473.2755mz/4.28min",1284957.3,1795983.1,1485609.5,1642265.8,1053564.4,1084305.1,975845.25
"6565/376.2228mz/4.28min",1189949.7,1321022,1075958.9,1358847.1,1147807.5,1232091.9,1121614.2
"6568/323.1387mz/4.28min",417052.955,389764.25,313429.34,514994.06,458369.34,418873.75,415232.16
"6574/250.1436mz/4.28min",3130565.85,3189698.5,2516204.8,3900152.2,3633312.2,3071433.2,3056949.2
"6575/584.3445mz/4.34min",452165.33,617333.3,361921.84,190844,652824.94,492654.78,411675.88
"6578/332.1642mz/4.29min",273292.1,576087.4,484283.38,374306.22,125005.05,172277.98,143835.08
"6579/526.2945mz/4.29min",1738821.9,2083325.9,1772865,2400079.5,1681889,1597578.1,1704778.8
"6582/575.8286mz/4.29min",349303.93,419531.1,346835.06,482759.94,347526.06,305271.03,351081.8
"6584/1051.5819mz/4.29min",389649.655,426556.56,294963.75,497879.28,258897.36,352742.75,449443.66
"6585/382.2698mz/4.3min",218112.5175,380325.28,306738.34,343536.03,124780.93,129486.695,126019.22
"6589/559.3123mz/4.31min",499384.9,419105.2,227418.67,382823.5,671178.8,598044.75,579664.6
"6590/293.2109mz/4.31min",1261701.85,1069367.9,879919.9,1073412.6,1450607.5,1449991.1,1501037
"6591/195.138mz/4.31min",456573.55,398596.5,331338.8,386512.22,530176.5,537066.75,514550.6
"6593/275.2004mz/4.31min",1271459.15,1086616.2,854541.7,1010206.25,1512490.8,1503185.6,1456302.1
"6598/691.0656mz/4.32min",514723,471161.8,217352.11,198094.31,574767.75,558284.2,632129.75
"6601/406.731mz/4.31min",419359.295,559200.8,492794.25,607704.44,312262.44,314413.94,345924.34
"6602/1036.5969mz/4.32min",429473.64,341871.78,315743.12,297139.88,603033.4,517075.5,606735.75
"6603/691.3999mz/4.32min",639309.25,570325.56,282479.47,607269.5,721896.1,671349,796529.94
"6605/149.1325mz/4.32min",270980.525,182785.64,155336.8,201110.77,340850.28,380093.84,390217.75
"6606/167.1431mz/4.32min",162008.135,69485.91,50181.035,67675.8,254530.36,323013.38,277418.1
"6608/370.2697mz/4.34min",1253389.9,1613467.5,1308322.6,1685481.8,1198457.2,1103729.1,1123071.5
"6610/390.2384mz/4.35min",331800.875,362824.97,291185.47,410639.88,340197.47,323404.28,297466.3
"6613/492.2448mz/4.35min",244499.875,107025.38,59636.086,124997.63,507739.47,364002.12,538877.9
"6614/370.7204mz/4.35min",537619.55,732031.94,626619.2,656353.8,408205.75,448619.9,351835.88
"6616/244.1906mz/4.36min",421894.25,403763.97,362573.44,423236.97,483110.62,517023.28,420551.53
"6617/226.1801mz/4.36min",1031042.15,981817.56,859205.75,1002446.4,1134844.1,1184958.6,1059637.9
"6619/766.9212mz/4.36min",721187.65,632936.3,537531.9,640332.2,917598.75,802043.1,882799.9
"6623/235.1691mz/4.36min",507682.81,349651.75,358741.5,434997.72,580367.9,749650.56,735864.44
"6626/284.1279mz/4.37min",5548497,6478798.5,5006002,6905049,5617577,5479417,4605280.5
"6627/364.2043mz/4.37min",509201.535,615173.4,518181.6,680366.94,500221.47,432855.28,431443.34
"6628/727.4022mz/4.37min",394279.7,442418.03,322468.62,470333.03,420429.1,348414.84,368130.3
"6633/210.1025mz/4.39min",595386.5,582825.5,217375.94,392501.62,884637,607947.5,727965.25
"6634/651.3708mz/4.39min",1841207.1,1565220,1041064.06,1790724.6,2049529.5,1891689.6,1988708.6
"6635/673.3527mz/4.39min",709604.98,614937.94,560434.94,691507.4,727702.56,738327.7,765935.7
"6636/244.129mz/4.39min",1273875.2,1267868.2,865013.25,1340243.6,1417550,1264785.8,1279882.2
"6637/133.0647mz/4.42min",67074.5215,78223.02,17351.414,21561.877,55926.023,385324.1,96275.4
"6638/479.3224mz/4.4min",1969910.5,2086550.5,1574352.2,1853270.5,2345796.8,2578284.5,1811181.9
"6641/360.736mz/4.41min",6294740.5,7414227,6189541.5,7030115.5,6291992.5,6297488.5,5155717
"6642/720.4648mz/4.41min",2026979.3,2248055.5,1737076.4,2060414.5,2236592,1993544.1,1812445.9
"6643/215.1178mz/4.42min",677545.73,785800.2,530009.25,645118.94,823432.44,704887.56,650203.9
"6644/376.7309mz/4.43min",314351.69,299423.66,253061.67,329279.72,345970.8,345400.16,263235.94
"6645/584.3444mz/4.42min",2036824.65,1812229.8,945965.94,2095876.8,2042379.5,2139395,2031269.8
"6650/509.1439mz/4.42min",340820.105,96404.84,106363.34,247960.77,484349.9,433679.44,496439.84
"6654/137.0597mz/4.43min",275538.25,225205.95,162109.94,274499.9,293071.75,276576.6,300164
"6656/412.2439mz/4.44min",541013.175,483850.56,275163.16,518280.1,639794,585105.2,563746.25
"6666/757.3761mz/4.45min",419321.435,389597.84,279225.84,517301.78,449045.03,329122.62,456322.8
"6669/531.28mz/4.47min",612820.61,130791.14,199584.66,356020.72,1077090.4,869620.5,1045376.7
"6670/327.1911mz/4.46min",1019166.575,1293216.1,931227.4,1476467,1020378.4,838604.9,1017954.75
"6674/275.1387mz/4.47min",442754.155,200331.25,150374.77,430813.84,577127.9,454694.47,602632.7
"6677/348.2096mz/4.48min",328355.6,484513.4,446579.3,365829.3,224582.22,290881.9,154918.34
"6680/695.4121mz/4.48min",989819.47,1201303,994915.44,984723.5,926526.9,1024791,618565.1
"6681/344.1811mz/4.46min",900175.975,1318374,1041799.7,1363753,606601.75,758552.25,284637.2
"6686/413.7386mz/4.48min",2401893.6,3074519.5,2763030.2,3385890.5,2040757,1895863.8,1904515.8
"6689/575.8285mz/4.49min",1894849.5,2194655.2,1914011.6,2678600.8,1875687.4,1802120.6,1824607.5
"6690/826.4703mz/4.49min",747009.98,896758.5,755894.9,997135.9,738125.06,578351.94,673228.94
"6695/230.2113mz/4.47min",444605.885,14433.921,74277.555,108021.37,796024.94,803140.8,781190.4
"6696/171.0916mz/4.5min",812851.85,586931.7,375236.34,785861.5,871665.4,839842.2,927021.75
"6698/295.2265mz/4.5min",2279789.6,1787031.2,1476531.5,1899888,2659691.2,2752492.2,2746106.2
"6699/277.2159mz/4.5min",884498.83,675683.1,560951.94,720808.6,1048189.06,1062133.1,1067040.8
"6701/309.2056mz/4.5min",1189175.75,1089418,758573.44,1020685.8,1288933.5,1487053.2,1491218.5
"6706/1150.6501mz/4.49min",387390.11,340092.44,153826.28,505006.22,447267.16,232202.84,434687.78
"6707/291.1951mz/4.5min",1770772.2,1386383.9,1421178.4,1732151.5,1809392.9,2028711.8,1888390
"6708/509.2966mz/4.5min",788174.12,582453,385451.12,750961.44,888493.75,825386.8,944310.6
"6709/390.2383mz/4.5min",2403221.5,2856222.2,2430536.8,2846086.8,2171716.5,2375906.2,1959540
"6710/195.1379mz/4.5min",1930624.8,1562304.5,1270914.5,1622732.6,2250251.8,2238517,2285766.5
"6712/353.2295mz/4.5min",1189068.5,952999.1,1147318.4,1125669,1230818.6,1411774.8,1480495.1
"6713/584.8232mz/4.51min",949284.53,1313757.1,1153278,1398084.9,745291.06,653227.1,610416.1
"6714/177.1273mz/4.51min",402314.92,316817.4,252758.14,343293.34,461336.5,502914.5,517080.6
"6718/149.1324mz/4.51min",1051132.3,746451.25,604399.94,867358,1245260.6,1234906.6,1307415.5
"6720/396.2853mz/4.51min",651874.125,1006517.5,810437.5,948079.5,493310.75,469808.12,344861.2
"6721/527.3226mz/4.51min",256794.16,300192.7,240763.94,272824.38,190463.55,286622,193800.34
"6723/167.143mz/4.51min",509405.9,293435.28,203474.06,421178.2,665214.56,597633.6,763913.75
"6726/231.1591mz/4.52min",342476.015,186911.58,126371.32,257846.19,464594.62,427105.84,569651
"6728/213.1485mz/4.52min",748791.58,454385.97,305971.16,631359.1,866224.06,876687.3,1129658.8
"6732/419.1749mz/4.53min",149030.85,331966.2,273326.38,199928.19,65122.77,98133.51,58275.89
"6734/346.1798mz/4.57min",230524.65,309060.6,277149.22,217473.19,199691.56,243576.11,187804.9
"6735/293.2108mz/4.53min",1595364.55,1857451.2,946473.9,1167070,1433273.2,1820314.2,1757455.9
"6737/302.1899mz/4.61min",208600.162,508351.94,431836.94,293846.34,89241.26,123353.984,88552.01
"6738/614.3545mz/4.54min",293078.53,383041.16,237518.12,348638.94,117416.375,352317.62,172643.23
"6739/636.3362mz/4.54min",190048.065,200011.9,185078.88,195017.25,149930.31,195950.95,94981.34
"6743/456.3066mz/4.55min",378297.285,413625.1,488626.25,342969.47,298611.94,421985.62,222687.14
"6744/423.7229mz/4.55min",245641.76,350716.88,321259.97,394966.5,96559.5,170014.52,170023.55
"6746/742.4469mz/4.55min",325108.135,301982.8,108451.53,348233.47,393965.66,361538.44,297138.6
"6747/360.736mz/4.55min",6231861,6702088,5502668.5,6649871,6093652.5,6370069.5,4918065
"6748/720.4649mz/4.56min",2523850.25,2567343,1905726,2582542.2,2748879.2,2480357.5,2088563.4
"6752/499.2548mz/4.56min",512590.765,315716.4,188892.72,418194.03,777229.6,606987.5,670961.8
"6756/370.2696mz/4.56min",519262.27,730872.4,554776.44,755444.25,483748.1,423396.28,450289.6
"6757/230.175mz/4.56min",510222.61,398927.72,325349.84,496578.1,546384.1,523867.12,553694.56
"6764/298.1071mz/4.58min",314572.77,353500.34,340778.7,338875.88,282438.84,290269.66,256061.67
"6765/243.1411mz/4.58min",659459.7,219819.9,219819.9,219819.9,1131010.1,1229717,1099099.5
"6767/565.2977mz/4.58min",323628.815,218259.66,168406.64,428997.97,444433.56,187773.31,536268.4
"6768/356.254mz/4.59min",798447.7,686772.5,557487.75,782537.4,878391.94,883169.3,814358
"6769/311.2213mz/4.59min",897815.33,1292440.5,950532.6,1290767.2,845098.06,614956.56,829102.25
"6772/181.1223mz/4.59min",2273935.65,2252296.8,505318.47,3487315.2,2295574.5,1069779.2,3635719.8
"6773/584.8232mz/4.59min",732179.13,1092600.9,867899.56,1053358.8,596458.7,539035.06,564386.2
"6780/213.9684mz/4.61min",1071289.5,1119211,1357035,1095322.1,876912.5,1047256.9,945278.06
"6781/211.9705mz/4.61min",1135749.05,1179296.2,1430331.1,1165820.6,934558.94,1105677.5,987392.9
"6782/229.9811mz/4.61min",2344379.4,2353479,2890853.8,2405818.5,1960819.9,2335279.8,2082608.2
"6783/231.979mz/4.61min",2305475.8,2322731.8,2849465.2,2388371.2,1914254,2288219.8,2015605.4
"6786/171.0916mz/4.62min",445638.285,546338.8,434997.88,490218.66,435560.6,455715.97,416258.44
"6787/201.1386mz/4.62min",339679.98,115118.12,22168.979,346969.84,574086.7,332390.12,522554.78
"6789/351.214mz/4.63min",866398.43,733824.06,694383.9,825116.8,907680.06,1032626.4,1758861.1
"6791/299.2325mz/4.63min",341398.61,262898.34,191554.25,320953.72,442620.66,373053.1,361843.5
"6793/264.1592mz/4.63min",1212193,1049210.5,813659.6,1145696.4,1368326.6,1278689.6,1342201.5
"6794/396.2854mz/4.63min",3879192.5,6073375.5,4507068,5616621,3251317,2895302.5,2839480.8
"6798/706.4492mz/4.64min",578389.95,606767.8,418050.34,580582,591627.2,576197.9,551153.94
"6800/353.7282mz/4.64min",1347970.35,1492703.2,1256273.6,1526571.9,1251865.9,1421251.6,1274689.1
"6801/287.1024mz/4.63min",209973.475,115770.31,69987.56,266154.25,276522.66,153792.7,313967.28
"6802/559.3487mz/4.64min",837943.575,884450.1,632130.25,880722.75,885585.7,795164.4,750040.1
"6809/382.2697mz/4.65min",338903.32,555882,434726.8,540486.25,143806.58,243079.84,220550.5
"6810/648.3387mz/4.66min",405887.08,538790.75,307785.6,376584.78,435189.38,467097.2,215710.62
"6812/229.1334mz/4.66min",1037541.35,1754451.2,1211941,1366480.6,863141.7,758054.5,685235.25
"6813/380.1641mz/4.66min",1234832.05,3246234.8,2588602.5,1639418.6,607134.4,830245.5,550506.25
"6816/336.1743mz/4.67min",1100799.12,3099663.5,2522301.5,1495814.8,463082.8,705783.44,443998.72
"6819/253.1181mz/4.67min",1195297,732501.8,475227.03,1434044,1601137.2,956550,1827441.8
"6820/192.1382mz/4.67min",197188.17,249615.6,51697.664,211176.61,306480.12,130554.055,183199.73
"6823/413.7387mz/4.68min",1335250.65,1760828.1,1426297.4,1854234.4,1244203.9,1108049.6,1162625
"6824/826.4705mz/4.68min",695146,868770.3,598538.1,862041.1,743213.9,539253.56,647078.1
"6825/406.7308mz/4.68min",222903.62,283508.84,243271.66,297115.78,173812.7,162780.1,202535.58
"6835/181.1223mz/4.7min",1472899.05,1386210.8,836219.44,1474720.1,1526046.4,1471078,1774065.1
"6836/199.1328mz/4.7min",335435.25,337850.66,216801.83,333019.84,363479.2,370583.1,331805.8
"6839/302.1496mz/4.7min",425626.81,253612.34,150822.75,386404.28,556566.06,464849.34,542598.44
"6840/272.1391mz/4.7min",484519.25,253229.08,147664.39,422813.5,715307.7,546225,714873.6
"6849/333.2038mz/4.72min",392176.76,391692.3,392661.22,361090.38,309941.22,461766.75,490428.4
"6853/541.3382mz/4.73min",2461357.5,2762835.2,2165576,2395018.5,2557310.5,2527696.5,1814931.1
"6854/384.2854mz/4.72min",372818.94,401498.47,565770.8,394251.44,267319.1,351386.44,174733.56
"6856/275.2003mz/4.73min",2896908.5,2410410,1819845.4,2271401.2,3420287.8,3383407,3515872.8
"6857/542.3415mz/4.73min",708569.75,895728.9,704272.7,712866.8,703790.56,793774.94,524572.75
"6858/211.0866mz/4.73min",600899.525,532397.44,344005.97,591185.75,695570.1,610613.3,662092.44
"6860/309.2057mz/4.73min",620314.52,619958.94,392708.72,333022.2,662104.7,639123.6,620670.1
"6863/293.2108mz/4.74min",839959.35,840846.6,576459.3,810541.8,2831035,1177739.8,839072.1
"6869/149.1325mz/4.75min",291408.92,222647.44,161291.36,225036.62,363280.03,357781.22,367651.06
"6870/195.138mz/4.75min",642649.905,529922.1,390855.97,545820.56,769065.4,739479.25,765800.7
"6879/370.7203mz/4.76min",425929.545,566698.5,459427.56,567434.56,392306.8,392431.53,369785.78
"6883/552.3752mz/4.77min",877753.05,892405.8,678632.3,821891.1,1170531,1206860.6,863100.3
"6884/186.1488mz/4.77min",772774.3,713365.75,510275.72,808394.5,979422.75,852772.06,737154.1
"6885/299.2326mz/4.77min",1477438.05,1328774.5,977037.25,1573511.6,1847717.9,1585015.2,1381364.5
"6886/241.1255mz/4.78min",348904.725,1057827.5,555146.25,629137.25,134245.31,125056.06,142663.2
"6887/229.1334mz/4.79min",878050.5,1197498,883142.44,1064689.2,859150.44,872958.56,791649.9
"6888/540.3101mz/4.79min",205390.655,231834.36,216298.17,288438.5,182910.1,160401.62,194483.14
"6894/158.1539mz/4.81min",327541.25,329313.12,289756.62,348242.34,307565.88,325769.38,360169.25
"6895/381.1553mz/4.82min",526279.47,483135.62,288343.75,520832.34,557382.2,551259.9,531726.6
"6898/426.2593mz/4.83min",355893.035,313076.62,192879.52,358277.97,381592.94,353508.1,367833.5
"6902/479.2754mz/4.83min",947821.475,1672811.5,1264179.2,1724677,614372.94,543943.4,631463.75
"6903/195.1379mz/4.83min",350092.75,301647.28,220248.48,298025,418559.44,398538.22,426774.1
"6910/523.3122mz/4.84min",623100.65,530838.5,290225.8,594729,690879.4,651472.3,653868.06
"6911/545.2942mz/4.84min",371598.55,278709.56,219419.22,365946.8,377250.3,415307.75,483934.72
"6912/353.2295mz/4.84min",2361672.1,2114497.5,1377184.9,2550500,2930692.2,3242013.8,2172844.2
"6917/720.4648mz/4.85min",447773.86,432278.94,295271.88,463268.78,481639.9,465520.7,424524.62
"6918/360.7359mz/4.85min",1194808.25,1239400,989793.06,1336452.8,1150216.5,1256107.1,1110719.2
"6922/279.2316mz/4.88min",403481.84,393601.3,486200.6,272754.2,408926.94,408383.88,398579.8
"6924/367.2815mz/4.87min",171225.7885,39539.957,35548.367,39484.56,302911.62,347461.3,329337.78
"6927/635.3069mz/4.87min",263386.87,434405.88,192505.42,520233.38,272474.22,217813.58,254299.52
"6928/309.2784mz/4.87min",174433.792,46628.184,19774.596,36033.957,383999.72,358748.7,302239.4
"6929/291.2679mz/4.87min",196912.4425,50882.445,22289.822,33794.28,499669.88,478188.9,342942.44
"6933/592.4063mz/4.88min",871461.155,884768.75,646939.2,858153.56,979205.94,947134.2,717111.75
"6934/313.237mz/4.88min",1514376.45,1405823.4,624056.94,1457556.1,2102786.8,2097008.9,1571196.8
"6943/413.7386mz/4.9min",180377.955,225343.16,188324.66,274569.4,161353.84,152167.86,172431.25
"6946/557.2966mz/4.91min",545776.47,461581.62,296280.2,527841.44,580741.56,563711.5,601310.2
"6947/511.2549mz/4.91min",234830.405,128171.625,52010.902,201558.19,447248.8,393333.22,268102.62
"6948/642.3488mz/4.91min",430748.375,233657.86,122479.7,387735.03,574775.94,473761.72,546006.5
"6949/495.3536mz/4.91min",580907.95,636089.9,449833.5,617675.06,615992.6,545823.3,477630.97
"6951/152.1069mz/4.92min",275167.66,248029.98,158881.23,216195.77,367575.34,311004.84,302305.34
"6952/403.2011mz/4.92min",1597140.55,1481751.9,1014173.8,1382522.8,2070845.9,1889066.2,1712529.2
"6953/483.2596mz/4.92min",514106.69,709270.2,514129.88,664998.5,510164.47,514083.5,444292.62
"6954/425.1829mz/4.92min",531543.35,427704.62,487257,461223.66,575829.7,604043.2,602413
"6956/279.2315mz/4.92min",710640.2,638463.4,476206.16,468267.38,782817,877317.6,864654.44
"6961/479.2754mz/4.93min",523605.7,818895.75,653021.3,862662,394190.1,301951.72,347000.9
"6963/386.2069mz/4.94min",893037.08,857435.44,624866.7,895854.06,938741.75,923454.2,890220.1
"6969/325.2733mz/4.95min",125326.617,29461.344,6695.258,15959.963,270400.03,253437.77,221191.89
"6970/185.1072mz/4.95min",101396.2725,154495.92,99474.555,95934.39,106469.734,97776.27,103317.99
"6971/307.2627mz/4.95min",257506.06,83383.72,40870.25,60423.617,521085.8,501565.22,431628.4
"6972/365.2658mz/4.95min",225353.004,51688.47,50409.95,55712.668,394993.34,425468.8,412893.47
"6973/626.3906mz/4.95min",334230.55,327802.6,235815.61,340658.5,373364.16,346982.16,290709.8
"6975/288.2893mz/4.99min",656122.56,812092,279034,500153.12,988147.3,1237296.6,181660.06
"6980/295.2264mz/4.97min",3493387,3046406.8,1934860.5,3154682.8,4174902.8,4148179,3832091.2
"6983/396.2852mz/4.98min",313345.06,478686.1,348984.78,502226.88,277705.34,218585.12,241132.34
"6985/295.1901mz/4.98min",583416.82,460208.9,317041.44,484051.44,715732.25,732196.3,682782.2
"6987/277.1796mz/4.98min",2311887.3,1906367.8,1300553.5,1835919.6,2842393.5,2769864.8,2717406.8
"6988/245.113mz/4.98min",394177.96,501854.84,376896.22,465061.38,408293.3,380062.62,358735.2
"6989/547.3178mz/4.98min",2360795.5,2733982.2,2296643,2988072.2,2424948,2163730.5,2019938.6
"6990/335.1824mz/4.98min",675688.67,497269.5,534907.6,619650.4,731726.94,851917.44,931250.5
"6995/277.2159mz/5.0min",3314190.5,2619597.8,1569986.1,2847200.5,3835510.8,3781180.5,3826781.8
"6998/614.329mz/5.0min",332729.275,173834.45,71103.31,280967.75,463150.16,396465.56,384490.8
"7003/335.171mz/5.01min",324502.45,120606.88,54238.9,299254.06,480131.03,349750.84,473509.6
"7005/343.2223mz/5.02min",427554.59,704105.1,455010.06,811701.06,400099.12,297057.88,397236.94
"7007/195.1743mz/5.02min",98791.464,32930.488,32930.488,32930.488,164652.44,212461.2,211442.38
"7008/592.4062mz/5.02min",942601.45,945642.2,648114.3,939560.7,1069059.5,984910.1,839777
"7009/525.3067mz/5.03min",161486.31,223319.22,137309.81,234757.6,148470.34,170476.6,152496.02
"7010/320.1389mz/5.03min",732258.75,471251.62,283356.78,676719.56,921164.44,787797.94,863530.8
"7013/286.1547mz/5.04min",1057897.68,596504.75,342124.44,989316.56,1540609.4,1126478.8,1489455.8
"7014/440.275mz/5.04min",315056.09,336473.66,194619.14,339631.7,325990.84,304121.34,274858.97
