row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML Peak area,GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML Peak area,GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML Peak area,GF_CC_MC_RCG_3_pos_20210511_Run176.mzML Peak area,GF_CC_MC_RCG_2_pos_20210511_Run111.mzML Peak area,GF_CC_MC_RCG_1_pos_20210511_Run75.mzML Peak area,
7613,98.98410485422608,6.6239376,,,,,,,,,,,49418.05,158691.27,51715.63,3843.869,28099.152,2062107.2,
427,99.09164512291011,0.5169154,,,,222,,,,,,,1124324.5,1860298.6,3538903.2,6017713.5,3412520.0,4996168.5,
8920,99.5121635663556,10.494517,,,,24,,,,,,,2579817.2,2092925.8,2639366.0,2299378.2,2251465.0,2318033.2,
8953,99.53106928616386,10.595927,,,,13,,,,,,,2489901.8,2578284.5,2262237.8,2631510.0,2083914.2,2822290.2,
2632,100.07568975851696,2.1510112,,,,,,,,,,,1352385.0,1881292.1,2674476.2,2546395.0,2251575.2,2419987.2,
1562,100.0756962805014,1.2837759,,,,,,,,,,,2.7291268E7,2.4127496E7,1.5318076E7,1.4936252E7,1.0234394E7,5183607.0,
1733,100.07569930112089,1.4486984,,,,,,,,,,,1.0138723E7,4.8739124E7,1.936498E7,1.2170782E8,1.3336821E7,2.34195E7,
1828,100.07570405300227,1.488288,,,,99,,,,,,,8.841267E7,1.4212374E8,2.698797E8,1.5873851E8,1.7080438E8,2.6558118E8,
8870,100.11197964242412,10.199977,,,,,,,,,,,337944.9,203635.31,190580.86,433474.75,377385.34,757912.44,
8417,101.07092125666277,8.553821,,,,,,,,,,,3.5902336E7,9234436.0,3.593877E7,3.1262162E7,3.664031E7,4.699597E7,
614,101.10729370057858,0.6466593,,,,187,,,,,,,337570.28,876664.1,1700238.4,1456369.2,1305549.2,1901958.6,
8941,102.03378863857982,10.575015,,,,13,,,,,,,7.034124E7,6.729754E7,7.414421E7,6.695674E7,6.759437E7,6.5132932E7,
2643,102.09134984372609,2.1245987,,,,,,,,,,,4767843.5,7725475.5,1.3860233E7,1.4026903E7,7705306.0,1.0210545E7,
8940,102.53536342482609,10.574147,,,,13,,,,,,,6121507.5,5855995.5,6445375.5,5784655.5,5878899.0,5666934.0,
1865,103.05420754590193,1.5050011,,,,,,,,,,,815342.4,1278091.5,4290757.0,2695832.5,2102132.2,3906425.8,
4803,103.05420935485853,3.0140913,,,,173,,,,,,,709250.9,1239948.9,285821.56,711180.9,910463.4,232143.33,
1501,103.05421014130552,1.2035183,,,,45,,,,,,,7.441064E7,8.4001144E7,1.1098322E8,1.2795509E8,1.1801352E8,1.20135544E8,
2107,103.05424685230855,1.793972,,,,,,,,,,,118401.97,191436.97,2964091.8,1002132.1,154371.1,647757.2,
