"","filter","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML"
"7033/458.252mz/4.1min",198990.852,473779.66,368122.12,494869,22678.996,29290.732,29859.584
"7035/510.3281mz/4.11min",255404.62,365970.12,288624.97,345342.56,129837.375,156645.31,222184.27
"7036/120.0444mz/4.11min",203263.935,357692.56,269951.03,418970.12,104341.62,136576.84,104877.625
"7039/360.1916mz/4.11min",1499240.05,1206261,747232.94,1050884.1,2208278.5,1891651,1792219.1
"7041/428.2542mz/4.11min",120823.0105,270584.38,231584.33,219296.58,4202.6914,6231.828,22349.441
"7043/245.1283mz/4.13min",253489.765,253475.73,99897.56,220724.38,1457119.2,886602.75,253503.8
"7047/453.7576mz/4.13min",893945.725,1375800.4,1174786,1046402.2,632265,575976.2,741489.25
"7051/230.1135mz/4.14min",835054.69,1089507.4,780521.94,1196683.6,749106,889587.44,754409.8
"7053/683.3607mz/4.14min",1094989.05,1059081.1,713157.9,1445147,1061649,1531571.8,1128329.1
"7054/752.9423mz/4.15min",407172.635,238550.33,163482.45,83002.33,629780.1,575794.94,628016.94
"7056/234.0219mz/4.15min",1948955.6,3478278.5,3039854.5,4904287,700115.5,858056.7,790640.1
"7057/364.2045mz/4.16min",790997.95,1116649.4,917673.7,1177533.6,463384.47,532095.94,664322.2
"7058/727.4023mz/4.16min",294418.045,417222.62,306861.47,468046.22,207342.81,248521.95,281974.62
"7060/271.0712mz/4.16min",1222478.46,236439.78,169994.77,396226.72,2270095,2075664.9,2048730.2
"7063/515.2865mz/4.17min",379544.315,383322.16,234650.89,365378.9,424776.62,541802.25,375766.47
"7067/349.1904mz/4.17min",186941.3835,504346,324733.47,552386.1,49149.297,48309.797,22194.049
"7068/239.1025mz/4.18min",521465.32,244152.55,101479.266,471079.7,571850.94,778073.25,616647.1
"7070/377.2262mz/4.19min",200623.755,401081.94,297279.4,363584.22,54536.742,103968.11,70441.64
"7071/376.2228mz/4.19min",1021857.95,1949052.5,1513861.9,2007758.4,365753.66,529854,361546.75
"7072/237.1596mz/4.19min",302156.5,250527.34,192637.48,232779.16,427909.38,369114.47,353785.66
"7077/245.1132mz/4.2min",1243788.6,905216.25,1309852.6,1724356.9,1222597.6,1264979.6,1141561.2
"7078/987.0622mz/4.21min",468118.45,609580.94,457479.78,594659.7,199904.72,478757.12,285479.2
"7080/353.7283mz/4.21min",1007128.73,1231227.2,1107905.9,1118882,750516.6,906351.56,766899.56
"7081/717.3869mz/4.21min",579574.485,485755.53,436355.75,477986.03,714917.8,675683.8,673393.44
"7083/706.4491mz/4.21min",268490.35,322296.62,247993.1,288987.6,221775.27,293036.9,208929.84
"7084/658.3771mz/4.21min",731258.13,843873.94,681256.5,860923.8,641920.9,694994.56,767521.7
"7085/335.1388mz/4.21min",321970.75,816261.6,604538.5,1011359,12771.667,39403,25291.004
"7086/658.0429mz/4.21min",641609.12,756865.5,580624.1,790357.25,551200.9,621770.44,661447.8
"7087/915.4972mz/4.21min",77374.5025,307537.9,103987.22,155518.95,20807.998,50761.785,14167.867
"7089/458.2519mz/4.22min",242591.11,560697.3,415674.03,628134.06,12492.112,69508.19,32462.342
"7092/342.2385mz/4.22min",458154.655,426133.97,365352.28,424520.12,490175.34,589152.2,491807.75
"7095/273.0326mz/4.23min",158439.08,213696.31,159852.94,340962.75,157025.22,155865.56,130546.43
"7096/139.1117mz/4.23min",284737.41,214574.67,219643.67,237911.16,377594.3,338670.6,331563.66
"7100/454.3103mz/4.23min",990380.7,1405263.8,1217316.2,1260936.6,674284.25,688788.2,763445.2
"7101/331.081mz/4.23min",3945765.6,1315255.2,1315255.2,1315255.2,8997542,8239501.5,6576276
"7104/453.3069mz/4.23min",4120264.1,5836330,5082613,5249282.5,2834855.2,2861435.2,3157915.2
"7106/356.2541mz/4.24min",8089012.75,11995174,9871211,12399261,5406326,5559523.5,6306814.5
"7107/395.175mz/4.24min",143231.982,311477.6,304597.1,238719.97,47743.994,47743.994,47743.994
"7112/384.2126mz/4.21min",209055.445,333357.34,221381.89,332356.1,40900.24,164245.1,196729
"7114/511.2549mz/4.25min",1039745.675,567311.75,537985.25,373428.72,1873379.1,1692590.6,1512179.6
"7115/192.1383mz/4.25min",687516.65,679005.8,442118.06,696027.5,835518.9,653140.5,746089.9
"7119/301.1544mz/4.25min",224118.06,658078.1,410349.53,922730.06,18179.09,17240.363,37886.59
"7129/270.1123mz/4.27min",231360.39,424791.7,388766.28,521742.6,68894.86,73954.5,55463.324
"7130/379.252mz/4.3min",287734.39,614881.4,299064,316556.28,276404.78,219049.2,115738.62
"7133/614.3293mz/4.27min",1085726.1,942563.44,865402.9,1307624.6,1126989.5,1044462.7,1537897.5
"7134/473.2755mz/4.27min",1083925.72,1795983.1,1485609.5,1642265.8,452106.06,682241.94,552960.44
"7136/376.2228mz/4.27min",714305.325,1321022,1075958.9,1358847.1,255380.34,352651.75,282771.12
"7138/323.1387mz/4.28min",186915.45,389764.25,311525.75,514994.06,62305.15,62305.15,62305.15
"7140/250.1437mz/4.24min",1324273.955,3189698.5,2516204.8,3900152.2,89535.2,132343.11,91677.56
"7142/584.3445mz/4.32min",362146.59,617333.3,361921.84,190844,289692.28,362371.34,465734.12
"7143/1051.5821mz/4.29min",215508.1,426556.56,294963.75,497879.28,136052.45,67463.68,127326.98
"7145/332.1642mz/4.29min",254596.885,576087.4,484283.38,374306.22,109881.82,118473.53,134887.55
"7148/526.2946mz/4.29min",1287902.55,2083325.9,1772865,2400079.5,571261.4,802940.1,698725.8
"7149/575.8287mz/4.29min",229612.235,419531.1,346835.06,482759.94,39822.17,112389.41,80295.8
"7152/382.2697mz/4.3min",184043.004,380325.28,306738.34,343536.03,61347.668,61347.668,61347.668
"7155/195.138mz/4.31min",509442.75,398596.5,331338.8,386512.22,741198.06,636547,620289
"7156/275.2004mz/4.31min",1436062.7,1086616.2,854541.7,1010206.25,2141491.2,1920374.5,1785509.2
"7157/293.2109mz/4.31min",1458298.8,1069367.9,879919.9,1073412.6,2243715.2,1977216.6,1843185
"7162/406.731mz/4.32min",461015.545,559200.8,492794.25,607704.44,291058.25,429236.84,368953.38
"7165/291.1952mz/4.32min",720986.22,512706.94,217832.56,258091.89,1115576.8,929265.5,945466.5
"7169/149.1325mz/4.32min",337672.805,182785.64,155336.8,201110.77,554255,492110.2,474234.84
"7170/351.2142mz/4.32min",680276.55,382254.1,490242.84,494726.3,1155798.6,865826.8,871564.4
"7171/167.1431mz/4.32min",218201.515,69485.91,50181.035,67675.8,420201.3,373643.22,366917.12
"7174/691.4mz/4.32min",371184,570325.56,282479.47,607269.5,203634.36,199689.61,459888.53
"7179/370.2697mz/4.34min",686463.725,1613467.5,1308322.6,1685481.8,57364.75,64604.85,59000.746
"7181/390.2385mz/4.35min",276030.885,362824.97,291185.47,410639.88,230294.36,260876.3,251938.48
"7182/370.7204mz/4.35min",428480.945,732031.94,626619.2,656353.8,74707.28,230342.69,158641.14
"7184/226.1801mz/4.36min",992131.98,981817.56,859205.75,1002446.4,1380770.5,1148717.4,857213.06
"7185/244.1906mz/4.36min",413500.47,403763.97,362573.44,423236.97,590830,475963.88,374850.28
"7187/766.9212mz/4.36min",698623.975,632936.3,537531.9,640332.2,830190.9,825336.1,756915.75
"7188/235.1691mz/4.36min",617772.16,356559.06,358741.5,434997.72,1033393.94,891929.75,800546.6
"7193/284.128mz/4.38min",2583715.78,6478798.5,5006002,6905049,117208.82,142268.02,161429.56
"7195/364.2043mz/4.38min",454630.44,615173.4,518181.6,680366.94,252486.03,283079.56,391079.28
"7196/727.4022mz/4.38min",312073.075,442418.03,322468.62,470333.03,203969.7,241243.84,301677.53
"7201/210.1025mz/4.39min",1068628.45,582825.5,217375.94,392501.62,1554431.4,2036524,1694388.9
"7202/244.1291mz/4.39min",868690.175,1267868.2,865013.25,1340243.6,767478.56,872367.1,837146.6
"7203/651.3708mz/4.39min",1428747.9,1565220,1041064.06,1790724.6,1202194.6,1510294.6,1347201.2
"7205/673.3527mz/4.39min",570788.72,614937.94,560434.94,691507.4,438576.12,581142.5,506274.88
"7206/479.3224mz/4.41min",1596775.05,2086550.5,1574352.2,1853270.5,1203483.2,1151257.8,1619197.9
"7207/720.4649mz/4.41min",1566359.2,2248055.5,1737076.4,2060414.5,1137542.1,1175469,1395642
"7208/360.736mz/4.41min",5324682.75,7414227,6189541.5,7030115.5,3587442.8,3478510.5,4459824
"7213/509.144mz/4.42min",514803.785,96404.84,106363.34,247960.77,897975.94,891912.94,781646.8
"7215/584.3443mz/4.42min",1419989.45,1812229.8,945965.94,2095876.8,1204511.1,1612678.8,1227300.1
"7216/215.1178mz/4.43min",475337.565,785800.2,530009.25,645118.94,420665.88,381805.62,341794.2
"7219/297.2422mz/4.44min",101858.095,81176.43,56550.86,80910.01,148543.31,128802.766,122539.76
"7222/412.2439mz/4.44min",301000.68,483850.56,275163.16,518280.1,208803.48,326838.2,228837.89
"7228/757.3762mz/4.46min",333510.655,389597.84,279225.84,517301.78,166199.83,377061.78,289959.53
"7232/327.191mz/4.47min",488703.528,1293216.1,931227.4,1476467,40839.26,46179.656,28579.418
"7234/275.1388mz/4.47min",158067.48,200331.25,150374.77,430813.84,56147.195,71126.586,165760.19
"7236/348.2096mz/4.48min",278783.675,484513.4,446579.3,365829.3,156821.92,123281.94,191738.05
"7238/344.1811mz/4.43min",629301.465,1318374,1041799.7,1363753,198070.67,189121.36,216803.23
"7240/695.4122mz/4.48min",801223.28,1201303,994915.44,984723.5,590313.3,545718.3,617723.06
"7246/413.7386mz/4.49min",2280611.8,3074519.5,2763030.2,3385890.5,1272481.8,1499810.1,1798193.4
"7247/826.4704mz/4.49min",672400.98,896758.5,755894.9,997135.9,435076.97,505509.78,588907.06
"7249/575.8285mz/4.49min",1253416.175,2194655.2,1914011.6,2678600.8,227022.9,592820.75,464674.94
"7253/230.2114mz/4.47min",298159.245,14433.921,74277.555,108021.37,619477.7,524764.94,488297.12
"7254/171.0916mz/4.49min",1090405.85,586931.7,375236.34,785861.5,1425660.1,1738152.8,1394950.2
"7256/309.2057mz/4.5min",1445028.95,1089418,758573.44,1020685.8,2121406.2,1923573.5,1800639.9
"7257/295.2265mz/4.5min",2545277.9,1787031.2,1476531.5,1899888,3679168.2,3361207.5,3190667.8
"7258/1150.6503mz/4.49min",132434.315,340092.44,153826.28,505006.22,46695.113,111042.35,70442.914
"7259/291.1952mz/4.5min",1904383.7,1386383.9,1421178.4,1732151.5,2334032.5,2367927.5,2076615.9
"7260/277.216mz/4.5min",1007929.7,675683.1,560951.94,720808.6,1446244.9,1357774.8,1295050.8
"7263/509.2966mz/4.5min",679967.67,582453,385451.12,750961.44,608973.9,754159.5,794814.56
"7264/348.2741mz/4.5min",326968.02,311619.94,55903.39,67601.03,633589,526248.44,342316.1
"7268/353.2296mz/4.5min",1397411.3,952999.1,1147318.4,1125669,1647504.2,1672085.5,1726353.9
"7269/390.2383mz/4.5min",1700320.62,2856222.2,2430536.8,2846086.8,759486.5,970104.44,905392.94
"7270/195.1379mz/4.5min",2135460.05,1562304.5,1270914.5,1622732.6,3009473.2,2780455.8,2648187.5
"7272/584.8231mz/4.51min",848815.28,1313757.1,1153278,1398084.9,206307.34,425589.9,544352.56
"7275/396.2853mz/4.51min",486262.5,1006517.5,810437.5,948079.5,162087.5,162087.5,162087.5
"7280/177.1273mz/4.51min",474848.045,320494.9,252758.14,347111.34,721299.06,631714.8,602584.75
"7281/149.1325mz/4.51min",1190622.05,746451.25,604399.94,867358,1701723.5,1623352,1513886.1
"7285/527.3226mz/4.52min",269138.69,300192.7,240763.94,272824.38,148666.14,331319.8,265453
"7287/167.143mz/4.52min",650166.88,293435.28,203474.06,421178.2,958881.6,984718.1,879155.56
"7289/213.1485mz/4.52min",974005.8,454385.97,305971.16,631359.1,1442024.2,1468434.6,1316652.5
"7291/109.1012mz/4.52min",637445.32,504702.8,402268.47,540407.94,847281.25,762821.06,734482.7
"7293/231.1591mz/4.52min",473079.565,186911.58,126371.32,257846.19,707703.6,763204.06,688312.94
"7294/419.175mz/4.53min",136517.0325,331966.2,273326.38,199928.19,56616.066,72836.31,73105.875
"7297/721.3895mz/4.53min",163334.55,54444.85,54444.85,54444.85,299227.56,272224.25,322702.16
"7298/346.1798mz/4.56min",210009.645,309060.6,277149.22,217473.19,202546.1,146455.38,93155.18
"7299/699.4071mz/4.53min",291631.14,97210.38,97210.38,97210.38,553825.8,486051.9,602895.2
"7300/293.2108mz/4.54min",1991479.85,1857451.2,946473.9,1167070,2469052,2125508.5,2797456.5
"7301/302.19mz/4.61min",216493.37,508351.94,431836.94,293846.34,96535.3,45750.633,139140.4
"7302/614.3546mz/4.54min",139681.87,383041.16,237518.12,348638.94,41845.62,21871.133,38172.023
"7303/636.336mz/4.54min",97596.51,200011.9,185078.88,195017.25,9810.283,3137.6357,10114.14
"7305/423.723mz/4.55min",202507.27,350716.88,321259.97,394966.5,34806.293,70500.37,83754.57
"7306/456.3065mz/4.55min",205781.682,413625.1,488626.25,342969.47,68593.894,68593.894,68593.894
"7308/720.4649mz/4.56min",1897651.1,2567343,1905726,2582542.2,1476449.2,1346391.8,1889576.2
"7310/360.736mz/4.56min",5018158,6702088,5502668.5,6649871,3414229,3293535,4533647.5
"7315/499.2549mz/4.56min",187452.41,315716.4,188892.72,418194.03,160589.45,169468.92,186012.1
"7316/370.2697mz/4.53min",292827.962,730872.4,554776.44,755444.25,29135.281,30879.484,22828.953
"7317/230.175mz/4.56min",481446.91,398927.72,325349.84,496578.1,558038.25,466315.72,533409.5
"7326/298.1072mz/4.58min",209511.855,353500.34,340778.7,338875.88,54134.996,80147.83,66064.87
"7328/565.2977mz/4.59min",228274.34,218259.66,168406.64,428997.97,238289.02,386279.5,101141.234
"7329/356.254mz/4.59min",752258.95,686772.5,557487.75,782537.4,744830.2,759687.7,840740.9
"7330/311.2214mz/4.59min",1661967.5,1292440.5,950532.6,1290767.2,2563426,2111907,2031494.5
"7333/181.1223mz/4.6min",2837711.3,2252296.8,505318.47,3487315.2,3735063.2,1352401.4,3423125.8
"7334/584.8232mz/4.57min",648371.97,1092600.9,867899.56,1053358.8,106603.25,326916.62,428844.38
"7339/346.1798mz/4.61min",455566.04,861381.8,745595.44,579749.8,224306.81,177677,331382.28
"7344/213.9684mz/4.61min",970966.175,1119211,1357035,1095322.1,846610.25,826889.44,828411.6
"7346/211.9705mz/4.62min",1023036.27,1179296.2,1430331.1,1165820.6,880251.94,862323.44,878139.94
"7347/229.9811mz/4.62min",2108276.9,2353479,2890853.8,2405818.5,1806329.9,1748751.9,1863074.8
"7348/231.979mz/4.62min",2063500,2322731.8,2849465.2,2388371.2,1785102.5,1744582,1804268.2
"7349/351.214mz/4.62min",1196597.92,735376.25,717690.4,803639.94,2159412.8,1589555.9,2108303.8
"7350/171.0916mz/4.6min",414019.33,546338.8,434997.88,490218.66,393040.78,331009.16,260948.64
"7352/690.386mz/4.62min",54166.29935,3203.3608,640.67216,3517.4087,369653.06,104815.19,475573.22
"7354/299.2325mz/4.63min",265927.295,262898.34,191554.25,320953.72,268956.25,255320.4,352356.12
"7356/264.1592mz/4.63min",1185552.3,1049210.5,813659.6,1145696.4,1395411.2,1225408.2,1378830.2
"7358/396.2855mz/4.65min",2271827.049,6073375.5,4507068,5616621,18434.432,30235.527,36586.098
"7363/353.7282mz/4.64min",1409558.6,1492703.2,1256273.6,1526571.9,1249650.9,1555660.2,1326414
"7364/706.4493mz/4.64min",566550.78,606767.8,418050.34,580582,552291.06,709078.7,552519.56
"7367/559.3488mz/4.64min",672014.575,884450.1,632130.25,880722.75,431152.62,387508.84,711898.9
"7370/277.1795mz/4.65min",341349.285,268112.97,153973.14,211992.48,713420.8,442545.34,414585.6
"7371/382.2696mz/4.65min",260836.08,555882,434726.8,540486.25,86945.36,86945.36,86945.36
"7373/648.3387mz/4.66min",182147.304,538790.75,307785.6,376584.78,42066.23,56509.008,19021.91
"7377/229.1332mz/4.66min",646914.07,1754451.2,1211941,1366480.6,24815.834,81887.14,34581.555
"7378/380.1641mz/4.66min",1071376.47,3246234.8,2588602.5,1639418.6,408387,430013.53,503334.34
"7380/336.1743mz/4.67min",957023.82,3099663.5,2522301.5,1495814.8,328271.66,322797.38,418232.84
"7381/253.1181mz/4.67min",1229645,732501.8,475227.03,1434044,1179348.1,1484081.4,1279941.9
"7382/192.1382mz/4.67min",219555.835,249615.6,51697.664,211176.61,365566.38,130224.05,227935.06
"7389/826.4706mz/4.68min",595610.83,868770.3,598538.1,862041.1,422099.6,462393.62,592683.56
"7390/413.7387mz/4.68min",1261376.95,1760828.1,1426297.4,1854234.4,733761.75,816583.7,1096456.5
"7392/364.2102mz/4.68min",241143.29,211478.48,209390.08,277375.66,270808.1,210731.16,394715.38
"7393/727.4131mz/4.68min",179969.215,156852.53,116399.29,225283.69,158894.98,201043.45,370806.28
"7394/406.7309mz/4.69min",263364.58,283508.84,243271.66,297115.78,176811.36,283457.5,212880.55
"7403/272.1392mz/4.7min",93846.78,253229.08,147664.39,422813.5,6158.4326,40029.17,21798.055
"7404/181.1223mz/4.7min",1430465.45,1386210.8,836219.44,1474720.1,1700084.2,1237894.6,1654404.5
"7405/199.1328mz/4.7min",335435.25,337850.66,216801.83,333019.84,360741.94,287237.4,407233.88
"7407/302.1497mz/4.7min",98248.3165,253612.34,150822.75,386404.28,21112.795,45673.883,15787.887
"7411/697.4289mz/4.7min",497913.4015,25512.012,61040.863,32984.707,934785.94,1091657.4,989559.4
"7419/333.204mz/4.72min",561951.81,391692.3,392661.22,361090.38,932602.9,731242.4,818919.56
"7422/572.3078mz/4.72min",1907.28924,635.76308,635.76308,635.76308,3178.8154,11300.863,293378.8
"7424/384.2855mz/4.73min",239302.212,401498.47,565770.8,394251.44,64214.035,84352.984,29627.305
"7425/690.3859mz/4.7min",116609.352,38869.784,38869.784,38869.784,251045.53,194348.92,331785.97
"7426/275.2004mz/4.73min",3233032.25,2410410,1819845.4,2271401.2,5016137.5,4227879,4055654.5
"7427/541.3382mz/4.73min",2169439.5,2762835.2,2165576,2395018.5,1931284.9,1675398.4,2173303
"7430/542.3416mz/4.73min",684402.5,895728.9,704272.7,712866.8,586931.06,497680.28,664532.3
"7432/211.0866mz/4.73min",681482.425,532397.44,344005.97,591185.75,878880.4,771779.1,837320.75
"7433/309.2057mz/4.74min",861909.27,619958.94,392708.72,333022.2,1655270.2,1623638.8,1103859.6
"7440/149.1325mz/4.75min",310563.67,222647.44,161291.36,225036.62,442090.4,397358.3,396090.72
"7443/195.138mz/4.75min",664491.655,529922.1,390855.97,545820.56,918078.56,783162.75,824394.06
"7452/370.7204mz/4.76min",356625.545,566698.5,459427.56,567434.56,153395.38,253823.53,182145.03
"7457/626.3293mz/4.76min",226253.65,58256.08,15635.771,51565.637,493445.62,457008.2,394251.22
"7458/552.3754mz/4.77min",802341.1,892405.8,678632.3,821891.1,782791.1,719024.25,958630.25
"7460/186.1488mz/4.77min",615849.435,713365.75,510275.72,808394.5,518333.12,468116.28,714144.8
"7461/299.2327mz/4.77min",1173523,1328774.5,977037.25,1573511.6,1018271.5,906184.2,1386345.5
"7462/241.1256mz/4.78min",1872135.35,1057827.5,555146.25,629137.25,4429374,2871065.5,2686443.2
"7463/263.1075mz/4.78min",466207.28,219120,218001.28,197845.48,967527.3,713294.56,846041
"7464/335.2326mz/4.79min",197088.432,65696.144,65696.144,65696.144,411802.97,328480.72,346507.22
"7466/229.1332mz/4.79min",471360.13,1197498,883142.44,1064689.2,11222.172,59577.82,28207.691
"7467/540.3102mz/4.79min",219651.055,231834.36,216298.17,288438.5,180281.66,223003.94,213637.31
"7471/381.1554mz/4.82min",869380.72,483135.62,288343.75,520832.34,1217929.1,1765361.4,1355674.1
"7472/426.2594mz/4.83min",215782.585,313076.62,192879.52,358277.97,206356.98,225208.19,203814.45
"7474/656.3762mz/4.83min",125180.907,119339.234,91741.086,156453.6,131022.58,103425.03,212187.17
"7476/280.2632mz/4.86min",236746.71,215297.73,31027.268,20012.865,664931.44,649058.3,258195.69
"7477/479.2755mz/4.83min",788571.13,1672811.5,1264179.2,1724677,300551.03,264375.56,312963.06
"7479/195.1379mz/4.84min",368186.015,301647.28,220248.48,298025,504641.03,434724.75,438141.34
"7487/545.2942mz/4.84min",297291.655,278709.56,219419.22,365946.8,244930.42,315873.75,333376.4
"7488/523.3123mz/4.84min",459832.8,530838.5,290225.8,594729,417203.88,475091.88,444573.72
"7489/353.2296mz/4.84min",2929050.25,2114497.5,1377184.9,2550500,3771122.2,3307600.5,3938949.5
"7497/360.7359mz/4.86min",1200212,1239400,989793.06,1336452.8,1161024,1153290.5,1368969.9
"7499/720.4648mz/4.86min",447773.86,432278.94,295271.88,463268.78,487360.4,427052.6,539528.1
"7500/109.1012mz/4.85min",619688.26,408156.72,363140.2,422754.22,965661.6,816622.3,817319.75
"7506/635.307mz/4.88min",317067.875,434405.88,192505.42,520233.38,298053.5,316674.97,317460.78
"7508/291.1951mz/4.87min",552200.1,367518.3,248619.75,248768.83,1178824.1,736881.9,778662
"7509/309.2784mz/4.87min",161985.312,46628.184,19774.596,36033.957,344611.88,280396.12,277342.44
"7512/291.2679mz/4.87min",165602.9575,50882.445,22289.822,33794.28,444950.4,280323.47,303980.66
"7514/251.164mz/4.87min",324864.985,223203.67,142005.52,206090.08,784262.1,569952.75,426526.3
"7519/279.2316mz/4.88min",557334.78,638463.4,476206.16,272754.2,1182652.2,917784.8,421015.3
"7522/313.2371mz/4.88min",1693981.6,1405823.4,624056.94,1457556.1,2913308,1930407.1,2523562.8
"7525/592.4064mz/4.89min",625465.3,884768.75,646939.2,858153.56,531650.3,457582,603991.4
"7529/413.7387mz/4.9min",208541.43,225343.16,188324.66,274569.4,164977.36,191739.7,232279.1
"7532/579.2785mz/4.91min",272836.13,134348.17,127520.95,194664.92,361220.1,351007.34,460719.88
"7533/557.2967mz/4.91min",700415.22,461581.62,296280.2,527841.44,872989,918665.44,1088822.2
"7535/241.1255mz/4.88min",188593.335,99105.29,14067.071,28868.312,534212.4,366892.78,278081.38
"7538/495.3537mz/4.91min",411541.985,636089.9,449833.5,617675.06,269026.84,278381.84,373250.47
"7539/483.2596mz/4.92min",282299.735,709270.2,514129.88,664998.5,7693.747,50469.59,23337.453
"7540/152.1069mz/4.92min",226583.085,248029.98,158881.23,216195.77,273056,236970.4,198213.83
"7541/403.2012mz/4.92min",1352599.2,1481751.9,1014173.8,1382522.8,1475132.1,1322675.6,1194435.8
"7543/425.183mz/4.92min",421512.21,427704.62,487257,461223.66,415319.8,404027.47,396754.4
"7544/642.3487mz/4.93min",90982.3735,233657.86,122479.7,387735.03,41484.113,59485.047,29171.35
"7548/479.2755mz/4.88min",430405.175,818895.75,653021.3,862662,207789.05,173184.28,164290.62
"7551/386.2069mz/4.94min",321311.905,857435.44,624866.7,895854.06,3551.422,17757.11,3551.422
"7560/185.1073mz/4.95min",165147,154495.92,99474.555,95934.39,175798.08,201869.03,186072.14
"7561/307.2627mz/4.95min",219061.76,83383.72,40870.25,60423.617,462235.78,382636.34,354739.8
"7563/365.2659mz/4.95min",105582.709,51688.47,50409.95,55712.668,155452.75,310656.84,340441.44
"7564/626.3907mz/4.96min",335003.94,327802.6,235815.61,340658.5,337877.94,332129.94,506329.34
"7565/288.2894mz/5.0min",844218.97,812092,289109.78,521610.66,1198515.6,1018456.44,876345.94
"7570/295.2265mz/4.97min",3746189.9,3046406.8,1934860.5,3154682.8,5366711,4337697,4774445
"7571/396.2853mz/4.98min",209390.868,478686.1,348984.78,502226.88,69796.956,69796.956,69796.956
"7574/245.113mz/4.98min",394710.89,501854.84,376896.22,465061.38,291678.2,276684.34,412525.56
