"MetaboAnalyst_ID","GF_MC_RCG_Ctrl_1_pos_20210511_Run67.mzML","GF_MC_RCG_Ctrl_2_pos_20210511_Run146.mzML","GF_MC_RCG_Ctrl_3_pos_20210511_Run158.mzML","GF_S4_MC_RCG_1_pos_20210511_Run70.mzML","GF_S4_MC_RCG_2_pos_20210511_Run90.mzML","GF_S4_MC_RCG_3_pos_20210511_Run170.mzML","shared_name"
"7215/584.3443mz/4.42min",2.88650294021277,2.51484937164502,2.94010289024516,2.82401373582868,2.96481967753054,2.81872047812621,"7215"
"7216/215.1178mz/4.43min",2.52360180801057,2.26325732222662,2.42837693307283,2.3671402181756,2.33911411845102,2.26353439873213,"7216"
"7228/757.3762mz/4.46min",2.21890621483783,1.98492948315995,2.33248111376241,1.96383351054821,2.33368431513782,2.19210709767559,"7228"
"7232/327.191mz/4.47min",2.73996077546283,2.50802961794968,2.78796088463098,1.35428089509088,1.42172256869812,1.18582330989688,"7232"
"7238/344.1811mz/4.43min",2.74832830230026,2.556758099913,2.75347285897358,2.04002310414725,2.03401238738017,2.06583546040833,"7238"
"7240/695.4122mz/4.48min",2.70794223436597,2.53676004260928,2.61205144245152,2.51428549783085,2.49424031874277,2.52056352300857,"7240"
"7246/413.7386mz/4.49min",3.11606692444544,2.98035950332726,3.1484100487522,2.84785450872903,2.93330807460796,2.98460610777723,"7246"
"7247/826.4704mz/4.49min",2.58096517475472,2.41743528741706,2.61749149264304,2.38176902539745,2.46100136348581,2.49981646973021,"7247"
"7249/575.8285mz/4.49min",2.96965597097469,2.8209184371159,3.04664513409719,2.09927259954308,2.53019519757357,2.39691896077211,"7249"
"7254/171.0916mz/4.49min",2.39687723962691,2.11327876583079,2.51408315318694,2.89721892442178,2.99735975306202,2.87432841198178,"7254"
"7256/309.2057mz/4.5min",2.66548421943862,2.41897150487333,2.62762921295198,3.06982676299995,3.04138058609656,2.98519657781283,"7256"
"7257/295.2265mz/4.5min",2.88042180759601,2.70821658821941,2.89746513961294,3.30895257205561,3.28376712458903,3.23365129790414,"7257"
"7259/291.1952mz/4.5min",2.77017317897968,2.69162246986736,2.85732301419823,3.11130982825242,3.13164020191883,3.04712588339185,"7259"
"7260/277.216mz/4.5min",2.45803272977024,2.28789952718576,2.47655710001659,2.90344476973913,2.89009954473353,2.84205651300966,"7260"
"7263/509.2966mz/4.5min",2.3935505598796,2.12494318633496,2.49435477801842,2.52780160925116,2.63473500706398,2.6300355229256,"7263"
"7264/348.2741mz/4.5min",2.12191491511274,1.28641215502085,1.44869051883008,2.54501055828415,2.47846262265006,2.26419703553929,"7264"
"7268/353.2296mz/4.5min",2.60738216334625,2.59865783040023,2.67014784622598,2.96002945966166,2.98053028147625,2.96689953869606,"7268"
"7269/390.2383mz/4.5min",3.084081662955,2.92467607252791,3.07298528095545,2.62372298808448,2.74409029309335,2.68660681228837,"7269"
"7270/195.1379mz/4.5min",2.82205535634142,2.64309020638536,2.82898410100115,3.22169340939201,3.20138779629409,3.15271843969877,"7270"
"7272/584.8231mz/4.51min",2.74680474882047,2.60090787928309,2.7642706851471,2.05771761273948,2.38626311435605,2.46564997868757,"7272"
"7275/396.2853mz/4.51min",2.63111100304747,2.44769340032766,2.59558189625918,1.95295245949345,1.96702133055165,1.93951923912772,"7275"
"7280/177.1273mz/4.51min",2.13411079836715,1.94167902909264,2.15920594449133,2.60131829572237,2.55779285283455,2.5097878454059,"7280"
"7281/149.1325mz/4.51min",2.50129112268963,2.32029828522033,2.55693552876676,2.97409192553998,2.96768450111089,2.90986290993145,"7281"
"7287/167.143mz/4.52min",2.09580200415966,1.84748293280091,2.24320302574748,2.72496791438611,2.75058372152177,2.67383543566882,"7287"
"7289/213.1485mz/4.52min",2.28571458719955,2.02465436912735,2.4190135850908,2.90217547802122,2.9241264097365,2.84924087659922,"7289"
"7291/109.1012mz/4.52min",2.33132538779139,2.14348986785371,2.35145886219285,2.67123052516412,2.63969447547912,2.59575127961461,"7291"
"7293/231.1591mz/4.52min",1.89992588945807,1.64062242059459,2.03009786292248,2.59305433433178,2.63991247292578,2.56755564297124,"7293"
"7300/293.2108mz/4.54min",2.8972070851703,2.5150825143058,2.68583404555925,3.13573316578844,3.08473464674776,3.17653305046855,"7300"
"7308/720.4649mz/4.56min",3.03777356737006,2.81903433073066,3.03078456672668,2.9124214381011,2.88644325870091,3.00613411863654,"7308"
