"MetaboAnalyst_ID","Yeast_HE_D5.Ctrl_a_neg_20190515_Run37.mzML","Yeast_HE_D5.Ctrl_b_neg_20190515_Run40.mzML","Yeast_HE_D5.Ctrl_c_neg_20190515_Run43.mzML","NEG_D5.227.C2.a_Run248.mzML","NEG_D5.227.C2.b_Run251.mzML","NEG_D5.227.C2.c_Run254.mzML","shared_name"
"215/275.083mz/6.38min",3.56297498375485,3.47302558888545,3.54904018274691,2.06729476140555,2.07508576978211,2.06700580338436,"215"
"220/409.1923mz/6.6min",3.40819980636114,3.39184053684709,3.40939805511859,1.98610979845249,1.99390080368458,1.9858208405501,"220"
"225/301.1408mz/6.65min",3.63529262170225,3.58577118560563,3.60490508857567,2.18004027853912,2.18783128972488,2.17975132041179,"225"
"232/577.3609mz/6.86min",3.42297237876668,3.28435587019461,3.40491662506145,1.87862531471273,1.88641631348849,1.87833635705428,"232"
"238/311.1686mz/6.99min",2.5526051815311,2.5526051815311,2.5526051815311,2.57365425478884,2.62399812595887,2.5445252087335,"238"
"254/271.2279mz/7.15min",2.63126545669064,2.63126545669064,2.63126545669064,2.6406369651848,2.63378695029175,2.62318548365044,"254"
"255/478.2924mz/7.17min",3.38114935276889,3.29847668036464,3.39590474878644,1.89274609538612,1.90053709520303,1.89245713768833,"255"
"263/316.9477mz/7.36min",2.77950614249695,2.77950614249695,2.77950614249695,2.77171512745485,2.8672481070814,2.89488850441428,"263"
"269/116.9285mz/7.37min",3.85913724157619,3.85913724157619,3.85913724157619,3.86018758222037,3.85913724157619,3.88310189907928,"269"
"270/117.9286mz/7.37min",2.92477002052322,2.92477002052322,2.92477002052322,2.92019786056349,2.92477002052322,2.94049539749281,"270"
"271/248.9604mz/7.37min",2.8354381167339,2.8354381167339,2.8354381167339,2.92685481744222,2.8354381167339,2.91411229478815,"271"
"275/372.1163mz/7.37min",2.49014026755923,2.49014026755923,2.49014026755923,2.50530684453217,2.49014026755923,2.51228503446638,"275"
"276/253.2172mz/7.37min",2.54304805037714,2.54304805037714,2.54304805037714,2.58291388823477,2.54304805037714,2.61178983397578,"276"
"277/384.9352mz/7.37min",2.56489338233097,2.56489338233097,2.56489338233097,2.55710236774524,2.612182492844,2.56943972841304,"277"
"280/421.1298mz/7.37min",2.51057501108691,2.51057501108691,2.51057501108691,2.50278399670778,2.51901210654029,2.55362292814286,"280"
"286/351.1481mz/7.37min",2.78174061154876,2.78174061154876,2.78174061154876,2.77394959650388,2.78812149841398,2.80755413377625,"286"
"289/237.2213mz/7.37min",3.31611116976284,3.41149300137243,3.48592363879251,1.91038055054197,1.91817155156755,1.91009159279853,"289"
"292/350.1775mz/7.37min",3.57968184053238,3.71753211157749,3.73872301003487,2.17395093679095,2.18174194785935,2.17366197866805,"292"
"295/353.1425mz/7.37min",4.08612183425732,4.08612183425732,4.08612183425732,4.08078417198304,4.08612183425732,4.11082623606141,"295"
"303/438.1199mz/7.38min",2.63633000739239,2.63633000739239,2.63633000739239,2.62853899260287,2.65965692547529,2.69242368229583,"303"
"304/255.2318mz/7.38min",3.4642613307491,3.55139252946792,3.6345783345704,2.05853051136253,2.06632151945342,2.05824155335213,"304"
"310/369.1372mz/7.45min",2.69744856004862,2.69744856004862,2.69744856004862,2.68965754513075,2.7285417359406,2.72160234881941,"310"
"311/481.2922mz/7.46min",3.715797346831,3.82141294362436,3.80076879819277,2.31006638708988,2.31785740013493,2.3097774288923,"311"
"313/377.3202mz/7.47min",3.21572839362758,3.28509710614346,3.25902680043983,1.80999801228162,1.81778900491085,1.80970905485541,"313"
"315/365.266mz/7.51min",3.25081248487711,3.45150143189869,3.5422907039592,1.84508200765509,1.85287300366849,1.84479305010102,"315"
"321/579.2633mz/7.54min",3.81075583340858,3.81507745387167,3.92414032022472,2.40502485091095,2.41281586475924,2.40473589268302,"321"
"327/481.292mz/7.57min",3.18252262271834,3.27162463076696,3.20277189864937,1.7767923475551,1.78458333643638,1.7765033902705,"327"
"330/131.5336mz/7.61min",3.37722839216585,3.78426473987349,3.70890475824801,1.97149767365033,1.97928867818075,1.97120871577446,"330"
"346/408.3081mz/7.7min",3.74338534928775,3.51121767893277,3.63225910124986,2.10548681976014,2.11327782925538,2.10519786169669,"346"
