"","filter","2024_POS_Anid-EV-alcA_CTRL_1_Run176.mzML","2024_POS_Anid-EV-alcA_CTRL_2_Run197.mzML","2024_POS_Anid-EV-alcA_CTRL_3_Run229.mzML","2024_POS_Anid-p4_1_Run185.mzML","2024_POS_Anid-p4_1_Run194.mzML","2024_POS_Anid-p4_1_Run223.mzML"
"927/233.1498mz/2.12min",948697.35,692653.3,1042838.1,955909,1745530.8,941485.7,241310.77
"928/216.0865mz/2.12min",439441.61,614841.56,1156047.6,121552.78,447479.56,197753,431403.66
"929/262.1186mz/2.13min",170599.2575,670968,976224.5,34481.355,21981.275,11523.295,306717.16
"930/370.1602mz/2.13min",224805.825,130333.664,628015.06,170272.81,137855.98,279338.84,693874.3
"931/243.1338mz/2.13min",681666.05,541221.9,604728.8,1022897.7,1738268.2,758603.3,295157.78
"934/149.0709mz/2.13min",1181098.95,1340187.1,2670773.8,977791.6,1081220.5,279493.66,1280977.4
"936/205.0971mz/2.14min",30456.6635,50532.68,103981.69,10380.647,3649.49,5121.6855,1433060.9
"938/254.1862mz/2.14min",306986.65,211286.7,1013238.94,960432.25,402686.6,111774.35,142625.69
"940/261.1444mz/2.13min",964744.32,924630.44,1126142.5,1004858.2,1684124.1,760687.3,387002.94
"943/179.0814mz/2.17min",176160.725,179994.31,365849.1,181434.84,172327.14,39123.18,37339.57
"945/254.1386mz/2.14min",1975694.15,100796.695,117228.43,6653244.5,3267320.2,3378537.5,684068.1
"946/281.1133mz/2.19min",237379.12,106716.266,345510.38,51834.97,983515.25,457182.6,129247.86
"947/214.0711mz/2.14min",687084.1,1125556.6,1410276.6,378223.2,505032,64305.215,869136.2
"948/181.0859mz/2.15min",94993.36,13307.268,13307.268,793695.8,66536.34,214256.25,123450.38
"949/257.1132mz/2.15min",1641304.05,2561969.8,2949579.2,1780238.6,634481.5,1502369.5,1367605.1
"951/284.1239mz/2.14min",486107.975,1888947.4,2250720,92492.77,35513.984,99891.39,872324.56
"952/186.1125mz/2.15min",378967.92,254703.39,345902.62,688107.8,672244.25,412033.22,246102.92
"953/158.0812mz/2.16min",2382544.7,2670762,4675272,6221414.5,2094327.4,1649102.1,1266648.5
"954/207.1128mz/2.15min",72973.9793,231868.2,539156.25,4155.809,8050.2686,3243.224,137897.69
"957/324.1917mz/2.15min",3756016.5,3599872.2,3912160.8,5063895.5,2168627.8,2251364.5,3932388.8
"961/263.1028mz/2.16min",84464.8105,61306.957,47015.895,107622.664,830394.4,34178.992,219413.69
"971/281.1494mz/2.17min",144417.075,93033.266,73610.01,305067.66,562515.7,142783.42,146050.73
"973/169.0688mz/2.18min",44380.4585,665591.3,1166303.6,1930.8134,1930.8134,9654.067,79106.85
"975/190.0862mz/2.23min",57262.91,357380.84,987629.75,96809.984,3658.1987,6655.2197,17715.836
"982/241.1546mz/2.17min",1069428.45,1044944.8,2057273.4,1277800.5,1093912.1,429053.78,657319.25
"983/168.0655mz/2.17min",1789514.88,9682978,14182017,40142.64,537817.8,681251.56,2897778.2
"986/190.0474mz/2.18min",178916.629,2234327.5,1984319.6,1154.7756,5773.878,1154.7756,352059.38
"987/126.0549mz/2.17min",549785.42,3483121.2,4738262.5,17565.797,26810.93,102856.78,996714.06
"988/90.0549mz/2.16min",113133.79,88526.31,59631.445,357104.94,137741.27,158928.73,25529.883
"990/463.3005mz/2.18min",1526.5604,1526.5604,1526.5604,7632.802,1526.5604,642991.9,1526.5604
"992/233.1576mz/2.19min",3083645.44,310239.72,319543.88,6411954,5847747,22341806,225209.86
"993/342.1658mz/2.18min",3079739.5,2857549.5,6459406.5,1029639.44,1068387.9,3301929.5,7400982
"994/100.0392mz/2.17min",42946.5,668427.44,908757.5,3352.6726,3306.1162,3621.44,82271.56
"996/461.2103mz/2.18min",466534.53,47496.582,153272.12,2479193.5,779796.94,980971.7,65511.855
"997/242.1001mz/2.18min",2703556.8,1751898.1,1748486.1,6464803,3655215.5,3823032.2,1372492.9
"998/227.1026mz/2.18min",5379076,8228367,14089481,5392118.5,5366033.5,3559098.2,4659628.5
"999/220.1179mz/2.18min",22886674.5,11846775,15116501,68317180,30656848,36338700,8783600
"1000/221.1212mz/2.18min",2197891.8,1119267.9,1431027.8,6604214,2964755.8,3628262.2,817585.8
"1001/243.1039mz/2.18min",156605.9125,59311.836,60878.605,519953.78,246805.2,277356.9,66406.625
"1002/202.1072mz/2.18min",1277940.35,626917.3,1159286.9,3138995.5,1396593.8,2453442.5,911891.9
"1008/352.15mz/2.19min",87364.682,50490.54,790148,17732.297,93414.414,81314.95,488570.44
"1009/266.1022mz/2.21min",337651.36,496318.47,539901.06,412006.66,123041.15,256362.58,263296.06
"1010/213.1599mz/2.23min",30689.781,16670.207,92311.18,465822.47,34273.855,27105.707,15993.014
"1012/254.1022mz/2.26min",498744.59,594084.3,742657.75,634654,298666.34,344307.56,403404.88
"1013/251.1025mz/2.19min",2451180.5,2299696.2,3309104.2,216484.94,3631179.2,953748.1,2602664.8
"1014/169.0971mz/2.18min",687203.25,713929.1,660477.4,816111.7,460783.5,247534.55,864894.8
"1015/184.0968mz/2.22min",528357.405,529002.06,767026.8,860650.56,416021.7,527712.75,267377.78
"1016/237.1229mz/2.18min",635990.82,129557.016,730399.3,672362.2,722515.5,301085.47,599619.44
"1017/299.1236mz/2.17min",316841.345,875984.1,1044107.9,44646.496,75067.99,21149.95,558614.7
"1019/232.1543mz/2.19min",27315743.25,3337144.5,5032907.5,54027356,49482670,187926600,5148816.5
"1026/345.1291mz/2.2min",905357.93,1122858.2,1445507.1,627062.3,871784.8,750431.1,938931.06
"1029/256.1291mz/2.2min",520031.22,1962543.4,906393.75,133668.69,26073.797,15390.625,2073223.1
"1030/206.081mz/2.21min",240659.1525,401620.38,379923.75,92503.68,101394.555,54143.715,567109.9
"1031/228.1059mz/2.18min",182800.615,225591.97,1461330.6,182138,183463.23,74812.29,103860.86
"1037/295.1288mz/2.18min",1058632.92,2150757.8,2421252.5,86490.78,908804.44,67949.125,1208461.4
"1038/307.9777mz/2.2min",731857.3,2445821.5,3310371.8,53183.188,216695.1,115533.984,1247019.5
"1040/172.0967mz/2.21min",287503.4525,551339.4,1045318.1,100771.625,74395.58,71020.94,474235.28
"1047/234.076mz/2.21min",871710.73,843377.06,1101376.2,1232675.2,828531.4,822241.06,900044.4
"1049/153.0658mz/2.21min",292399.35,206397.31,209994.77,777210.06,316326.6,631271.1,268472.1
"1054/250.1186mz/2.23min",411026.39,610572.94,2350664,211479.84,142478.05,185740.06,1125391.5
"1057/102.0912mz/2.22min",457634.82,349172.62,591234.3,528267.2,752235.1,338564.72,387002.44
"1060/139.1229mz/2.22min",714062.825,821825.4,2136288,3466394.8,606300.25,433478.66,411953.94
"1063/129.0546mz/2.22min",538344.125,1186748.8,407290.72,485878.25,931089.25,236079.47,590810
"1064/384.1148mz/2.22min",990225.775,413998.38,815406.75,1165044.8,1390255.2,1458501.1,442797.56
"1067/197.1285mz/2.26min",181462.54,191474.06,287632.62,685722.44,171451.02,29641.809,146819.31
"1068/499.1487mz/2.21min",5832.9396,1944.3132,1944.3132,9721.566,586962,96038.42,1944.3132
"1069/356.2179mz/2.23min",415012.31,388638,1747749.1,757246.56,441386.62,233038.33,280136.62
"1070/358.1971mz/2.23min",241709.66,48335.227,144154.6,994995.1,339264.72,340176.72,59611.285
"1072/184.1695mz/2.23min",2627206,1758225,1916051.6,2317416.2,2936995.8,2941389.8,3134848.2
"1073/300.1078mz/2.23min",670447.225,651346.25,156864.84,689548.2,170929,1083805.8,834652.06
"1074/319.1134mz/2.23min",267951.36,114088.37,270978.44,196575.11,2758190,934307.2,264924.28
"1083/179.0814mz/2.23min",535115.875,260680.39,409676,689988.25,795525.5,660555.75,324770.03
"1084/237.0869mz/2.23min",1979840.65,1438545.6,1879496.1,2080185.2,19551504,2589768.5,1521182.9
"1085/267.0975mz/2.24min",955159.58,981258.06,1161434.8,929061.1,1072506.5,678661.9,878199.3
"1086/213.1234mz/2.24min",620174.845,626450.75,613898.94,657535.56,2000169.2,469167.53,372199.66
"1088/287.1236mz/2.23min",235288.7,144591.11,288113.9,74220.33,302840.4,182463.5,1090973.5
"1094/247.1287mz/2.25min",1353119.85,2035873.4,1507282.8,1700399.2,1198956.9,1028980.2,524195.4
"1099/279.1339mz/2.24min",1270159.03,836182.56,780100.8,2624496.2,4484042.5,1704135.5,798612.8
"1101/192.0691mz/2.24min",743674.55,950436.5,831799.6,1372629.6,235267.94,550585.8,655549.5
"1102/214.0507mz/2.25min",249205.57,448611.12,297222.12,437971.03,124686.17,183247.33,201189.02
"1103/247.1112mz/2.25min",283450.95,94483.65,94483.65,802647.8,1945234.2,472418.25,94483.65
"1106/200.092mz/2.25min",362641.66,163921.44,234615.27,386249.94,2181362.8,339033.38,425270.44
"1107/348.1693mz/2.25min",25307.8992,8435.9664,8435.9664,183410.31,471421,42179.832,8435.9664
"1108/174.0583mz/2.24min",153467.945,158683.72,238513.17,413955.34,119650.79,148252.17,129618.05
"1110/241.1182mz/2.25min",1123806.8,1425392,2030617.2,1172442,174369.77,499912.8,1075171.6
"1111/334.1284mz/2.27min",179142.8825,558931.7,347245.66,11040.105,2208.021,2208.021,1258285.4
"1112/255.1339mz/2.25min",553956.425,487283.6,563555.25,554234.6,350162.06,553678.25,1062147.9
"1113/183.1126mz/2.23min",137426.6475,104783.9,404071.16,147631.92,1963100.9,127221.375,79394.69
"1115/142.0862mz/2.25min",145525.215,46342.496,42155.4,469335.88,297036.03,242312.64,48737.79
"1116/295.1651mz/2.26min",121204.775,353139.7,710900.4,18090.135,56499.953,122414.54,119995.01
"1118/200.1045mz/2.26min",2445331.5,3114178.2,2435376.2,2455286.8,2353708.5,2323952,2560389
"1121/205.0971mz/2.26min",10446135,10775515,19258568,10226726,8201989,10665544,7341050.5
"1122/188.0705mz/2.26min",12029594,13583502,22880242,11776793,9777516,12282395,8629943
"1124/218.1281mz/2.26min",3443014.5,3855651.5,3414292.2,3471736.8,3276598.5,3276039.2,3483866.5
"1125/409.1869mz/2.26min",186733.715,151594.38,511271.6,240715.47,86745.734,221873.05,95705.875
"1127/226.1075mz/2.28min",423478.61,532332.06,1096343.8,418623.12,86838.06,109616.72,428334.1
"1128/312.1299mz/2.26min",260711.9975,33173.934,52622.395,685629.4,958175.3,468801.6,50138.754
"1130/189.0738mz/2.26min",1398788.75,1630216.5,2597572.2,1362068.9,1139588,1435508.6,1000214.1
"1135/316.2228mz/2.27min",96954.8625,52646.023,90819.195,438182.1,103090.53,90395.016,129321.51
"1138/448.1921mz/2.27min",753501.405,855065.44,1344487.2,750967.75,680671.25,756035.06,729800.3
"1139/316.1978mz/2.28min",200765.496,66921.832,66921.832,1347717.6,2491335.5,334609.16,66921.832
"1140/196.0969mz/2.26min",553322.165,660582.8,687296.4,446061.53,48010.188,333840.5,909875.1
"1145/292.1655mz/2.28min",3060930.45,4493765,9809839,1494085.2,1628095.9,1544498.4,4542981.5
"1147/399.1695mz/2.28min",22985.613,7661.871,7661.871,1308849.5,38309.355,125151.95,7661.871
"1148/217.1044mz/2.28min",402845.885,412053.97,423272.03,240069.19,393637.8,299819.75,444337.44
"1149/195.1226mz/2.28min",596236.95,465462.2,701341.56,501588.56,616533.4,575940.5,627752.7
"1151/410.1379mz/2.28min",220531.011,3165.6152,633.12304,1144000,51454.902,474441.6,389607.12
"1153/263.139mz/2.28min",201917.86,276492.78,330729.84,360612.06,100198.92,61874.64,127342.94
"1155/332.1127mz/2.29min",326006.82,364067.2,287946.44,444468.97,17699.72,34816.703,958090.1
"1156/345.0603mz/2.29min",245950.032,676594.3,990877.5,81983.344,81983.344,81983.344,409916.72
"1157/220.0969mz/2.29min",494593.05,755895.56,796566.25,234460.44,371576.8,285783.8,617609.3
"1162/198.0762mz/2.29min",1715312.45,2343742.8,2331142.8,1099482.1,2655531.2,1054851.1,1063761.5
"1164/261.1444mz/2.28min",434526.89,479054.03,1089958,65692.984,755791.4,42832.55,389999.75
"1168/347.1448mz/2.29min",1946650.35,2802167.8,3561497.8,1771569.5,1747614.1,1616749.9,2121731.2
"1170/219.1128mz/2.3min",366396.455,488784.2,604927.75,380386.47,145411.9,352406.44,346107.4
"1171/221.1575mz/2.3min",142857.07,39815.527,135246.08,504903.97,734432.6,147771.75,137942.39
"1174/223.1076mz/2.3min",493996.13,394627.2,456471.7,531520.56,666671,533483.44,325788.38
"1175/203.147mz/2.3min",276760.68,126546.2,341080.3,691154.06,1040694.94,212441.06,191950.89
"1176/184.0968mz/2.29min",783832.8,388781.4,115310.55,2094630.9,998772.2,963132.2,604533.4
"1178/220.1542mz/2.3min",1895074.7,1056060.4,2201766.2,4759693,7131425,1557321.6,1588383.2
"1180/234.0759mz/2.3min",447593.44,442739.25,585087.1,563703.2,448204.6,446982.28,414374.94
"1181/202.1437mz/2.3min",3093109.5,1674393.2,3719763.2,7384323,10953394,2407237.2,2466455.8
"1184/331.15mz/2.31min",399391.365,505180.88,1225263.5,337388.1,376423.53,357058.9,422359.2
"1186/158.1175mz/2.3min",440942.35,260726.92,532737.2,1119783.5,1642712.4,348911.1,349147.5
"1187/257.1132mz/2.26min",480482.705,1561053.4,2273255,68255.91,32529.83,235894.66,725070.75
"1189/307.1288mz/2.3min",417778.36,539785.44,780621.75,295771.28,56103.26,20619.912,1198999
"1190/301.1757mz/2.3min",359228.275,264962.75,493332.7,140757.7,670761.75,158553.78,453493.8
"1193/287.16mz/2.3min",73076.275,86513.31,257653.17,50713.504,641030.4,50646.883,59639.24
"1194/292.1179mz/2.32min",367461.005,532155.44,489326.78,558381.8,245595.23,204321.88,241382.84
"1196/245.1494mz/2.31min",413538.66,65799.52,55377.516,1468666.8,761277.8,939471.8,59423.625
"1198/217.0818mz/2.31min",206714.904,68904.968,68904.968,344524.84,1233505.9,365218.22,68904.968
"1202/250.1186mz/2.28min",275033.05,118160.71,478774.84,318402.38,231663.72,415750.16,171265.5
"1204/268.1179mz/2.32min",180220.095,259879.22,40611.72,182851.77,99537.65,177588.42,752834.8
"1206/280.129mz/2.32min",982286.55,1068343.4,3006554.8,572661.8,896229.7,572462.06,1412133.9
"1208/193.1335mz/2.32min",213105.085,313489.3,742193.2,106384.67,26396.008,112720.87,479446.25
"1212/139.0866mz/2.32min",886184.55,1648061.5,981257.2,987786.4,460218.62,779817,791111.9
"1217/244.2012mz/2.32min",425321.205,508671.22,423110.03,431713.2,388439.56,380515.8,427532.38
"1218/358.1494mz/2.32min",431370.21,221478.2,167869.27,1027940.3,390878.3,549423.56,471862.12
"1221/239.1023mz/2.31min",37653.7735,527428.94,488032.84,24502.197,17964.742,50805.35,22132.195
"1222/301.0706mz/2.32min",69339.9,288813.62,524123.94,23113.3,23113.3,23113.3,115566.5
"1224/113.0596mz/2.32min",1200116.35,847802.9,876856.7,1604192.4,5277300.5,1523376,827693.75
"1225/186.0761mz/2.32min",894822.88,890141.06,899504.7,855971.9,682305.1,1032912.2,933713.4
"1228/166.0862mz/2.33min",658972.725,498130.5,875047.8,683537.2,828047.8,613600.56,634408.25
"1229/276.1342mz/2.34min",416207.835,823572.06,1620865.4,171512.02,281750.97,119063.266,550664.7
"1230/309.1171mz/2.34min",228771.155,366069.47,409550.6,91472.84,53609.59,49418.117,533763.4
"1232/197.1285mz/2.3min",207842.915,97145.22,141108.55,635066.75,424891.53,274577.28,129213.33
"1235/261.1443mz/2.33min",448940.07,488773.84,1433900.6,340776.66,655803.56,189475.66,409106.3
"1236/362.1921mz/2.33min",176336.74,73861.65,193596.81,352460.9,159076.67,294093.53,106311.4
"1237/465.1978mz/2.33min",144819.475,125114.37,537091.2,9271.893,147240.98,142397.97,350656.75
"1238/308.1128mz/2.34min",1795436.95,2811405,3003582.2,779468.9,534675.2,464218.3,3832054.2
"1241/244.0816mz/2.32min",160798,1558447.4,443823.84,167635.38,102013.7,83759.66,153960.62
"1242/164.0706mz/2.34min",667852.77,573354.8,657135.6,913358.44,678569.94,593134.4,712705.56
"1246/262.1186mz/2.34min",369766.575,547123,1365207.1,241268.02,311851.75,187136.62,427681.4
"1247/241.1546mz/2.34min",1624780.3,1641261.8,4302648,1608298.8,2338285,850676.9,858214.4
"1248/254.1022mz/2.34min",1821683,2597944.5,3282828.2,1011084.5,1579131.2,1131847.9,2064234.8
"1250/363.1662mz/2.34min",455788.31,533587.9,2270675.2,230172.38,377988.72,261753.23,1180710.2
"1252/275.1601mz/2.34min",79046.0615,192006.97,288802.7,26623.021,36855,60028.273,98063.85
"1257/190.0861mz/2.34min",720574.365,1653793.6,3340554,1261503.5,42481.41,83344.37,179645.23
"1259/139.1229mz/2.34min",635676.265,263841.2,941382.25,2768497.8,1055350.2,329970.28,240505.53
"1261/210.076mz/2.33min",1766433.3,1821660,2215858.8,3171149,1689097.6,1711206.6,1082516.4
"1264/267.0975mz/2.3min",136958.39,132133.12,69765.66,141783.66,1329626.4,245939.28,41211.03
"1265/281.0992mz/2.35min",305919.545,239143.92,279768.56,414037.28,560796.3,332070.53,155611.73
"1269/165.0909mz/2.36min",328971.36,48583.38,36063.53,1395594.8,389553.84,310756.12,347186.6
"1271/345.1291mz/2.35min",762539.15,981239.1,1119229.6,299487.8,677502.4,395675.22,847575.9
"1272/213.1233mz/2.34min",363195.41,638488.5,700756.5,289927.44,199615.42,250728.72,436463.38
"1273/403.2071mz/2.36min",612665.2,454113.7,771216.7,14199.973,1007056.44,174418.19,1249883.9
"1274/254.1499mz/2.36min",343040.635,355918.47,492115.44,520238.47,248294.69,330162.8,302331.9
"1277/236.0916mz/2.36min",2082134.3,2166141.2,2828308,2223361.2,1865114.4,1763704.2,1998127.4
"1278/240.0865mz/2.36min",607946.97,907776.1,767232.44,423925.47,424810,511646.5,704247.44
"1279/220.118mz/2.29min",732439.8,275648.3,642738.5,2504810.5,822141.1,1785922.4,515932.75
"1280/281.1131mz/2.35min",181363.51,123951.04,39505.168,380384.1,917711.5,238775.98,35041.42
"1282/337.1506mz/2.36min",75569.975,97416.67,520457.53,48086.055,66717.59,52937.92,84422.36
"1285/257.1131mz/2.34min",534147.14,2018741.5,2345399.8,178030.88,102925.95,92507.03,890263.4
"1288/202.1072mz/2.37min",614162.475,265077.75,378376.62,570360.7,682891.7,657964.25,1053144.8
"1291/287.1026mz/2.37min",602661.275,894275.25,1236639.6,79186.87,127822.766,311047.3,965132.06
"1292/214.071mz/2.37min",1045545.9,1194564.4,1611573.8,950022.7,565746.44,468007.97,1141069.1
"1299/330.2386mz/2.37min",883051.725,851992.2,914111.25,2351921.2,481865.84,1083269.2,484671.47
"1302/244.0534mz/2.38min",291184.08,600337.75,459778.44,141089.78,108657.266,162330.22,420037.94
"1305/267.1335mz/2.37min",236989.09,131911.53,174317.38,265045.34,468436.53,327521.5,208932.84
"1306/322.092mz/2.38min",58304.965,28654.684,3925.6526,101902.81,38096.17,78513.76,2601764.2
"1307/443.0731mz/2.38min",942792.52,1349697.8,1690145.8,747650.94,306871.88,650778.8,1137934.1
"1308/187.1076mz/2.38min",629820.07,352519.34,655239.94,845068.94,675443.56,604400.2,353530.1
"1309/242.1022mz/2.38min",1569713.1,1795408.5,2216383.8,1490580.6,1648845.6,1257589,1373807.5
"1310/206.081mz/2.38min",680939.65,757015.9,896033.1,604863.4,63284.04,126642.164,2070982.1
"1316/220.1081mz/2.38min",792966.75,363042.72,946489.8,639443.7,1504084.8,1335284.4,570721.75
"1320/244.2012mz/2.39min",642108.02,797091.94,685392.06,623664.6,621658.06,603403.3,660551.44
"1321/209.092mz/2.37min",54732.925,43229.13,66236.72,322401.44,106765.92,38842.766,11889.409
"1322/299.1599mz/2.38min",94116.93,71194.91,117038.95,26461.938,519303.62,25455.445,125128.76
"1323/170.0811mz/2.4min",724330.4,732103.7,724063.4,1002870.9,349515.25,724597.4,538226
"1324/195.1128mz/2.39min",1313411.4,1370700.6,1606029.4,1523085.8,1256122.2,1176788.2,1052505
"1328/231.1703mz/2.32min",1674717.35,1310463.9,2040806.9,1681052.8,2422739.5,1668381.9,1596131.6
"1329/197.0922mz/2.4min",488681.37,1264674,1046987.56,457885.8,318187.4,414686.3,519476.94
"1330/260.1128mz/2.4min",1447840.475,665110.7,1031511.75,1904665.2,1864169.2,1871319.8,401267.3
"1331/146.06mz/2.4min",893731.06,996767.56,790694.56,3355638.2,772514.2,1333888.9,460528.72
"1334/285.1444mz/2.43min",131454.72,153396.67,145669.4,117240.04,730792.1,84654.04,50757.8
"1335/434.1077mz/2.4min",9314.45,9314.45,9314.45,9314.45,3007072.8,46572.25,9314.45
"1336/451.1343mz/2.35min",36632.37,10878.027,18498.611,19105.52,5631554.5,54159.22,54215.082
"1337/140.1434mz/2.4min",388162.1,336065.6,294255.88,162125.64,440258.6,441122.4,554256.5
"1339/300.1441mz/2.4min",236383.96,227156.75,283965.1,102601.664,221361.97,245611.17,1082078.4
"1340/181.086mz/2.4min",30787.9755,26198.033,35377.918,15430.352,13970.172,38488.652,194347.77
"1341/292.1179mz/2.4min",499900.4,584354,1586602.4,573266.6,341421.7,372459.5,426534.2
"1342/306.0973mz/2.38min",316310.7,270734.06,383611.66,361887.34,40455.906,105656.81,904467.5
"1343/337.1393mz/2.4min",587194.25,831310.44,811784.75,424830.2,551546.06,484786.44,622842.44
"1344/295.1288mz/2.4min",409714.09,392087.06,420184.9,450329.6,598465.3,399243.28,301937.53
"1345/116.0705mz/2.41min",551961.36,252076.67,208072.52,983604.9,682438.56,705327.2,421484.16
"1347/255.1339mz/2.4min",636936.92,646572.94,887149.5,627300.9,762765.44,536657.5,596923.25
"1350/288.1553mz/2.43min",71259.03,22722.531,54672.51,587616.25,1288103,87845.55,3357.2402
"1351/226.1184mz/2.38min",270679.145,739642.4,765251.06,3463.9124,8960.445,51745.91,489612.38
"1353/310.139mz/2.38min",50817.4175,20286.215,46967.465,144103.53,394030.4,54667.37,16005.734
"1354/516.3024mz/2.41min",23179.726,23179.726,23179.726,115898.63,639038.4,23179.726,23179.726
