row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_CC_MC_RCG_3_neg_20210511_Run177.mzML Peak area,GF_CC_MC_RCG_2_neg_20210511_Run112.mzML Peak area,GF_CC_MC_RCG_1_neg_20210511_Run76.mzML Peak area,Unnamed: 19
202,269.08090963950036,0.54837674,,,,52.0,,,,,,,1206595.5,2826682.5,2740123.5,4948096.0,4517376.5,5953840.0,
71,269.0812954727578,0.45013627,,,,,,,,,,,1038508.9,616442.4,227361.52,0.0,10677.383,40511.38,
3185,269.1218130286828,9.278251,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,437018.0,
1704,269.1507157870911,3.1398627999999995,,,,36.0,,,,,,,976040.25,1434297.0,1369521.2,240871.98,322979.94,503828.0,
2274,269.17584842795156,4.9384760000000005,,,,,,,,,,,84914.016,133657.12,250227.97,467479.47,334174.88,374299.38,
2417,269.21216625478536,5.834748,,,,,,,,,,,511700.3,526000.7,744949.44,757629.2,815272.2,787275.1,
2398,269.2121797604695,5.764883,,,,,,,,,,,171834.39,105531.89,178461.28,128921.26,308021.3,211433.4,
2518,269.21221050039173,6.560367599999999,,,,,,,,,,,222713.0,261938.55,299108.0,286959.47,275082.84,276647.53,
2530,269.2122265127133,6.657262299999999,,,,195.0,,,,,,,525204.25,573877.44,667751.8,706661.25,652920.94,598779.8,
2494,269.21222944592745,6.3936176,,,,,,,,,,,53329.965,44480.66,228387.9,37975.58,26899.93,31270.574,
2502,269.2122307022301,6.4317402999999995,,,,,,,,,,,58671.71,81279.1,88542.86,45508.145,47796.905999999995,39493.195,
2554,269.21226133528626,6.8328875999999985,,,,,,,,,,,448943.34,549618.6,584803.3,635850.7,609363.2,549196.06,
618,270.145739990319,1.1191936000000002,,,,,,,,,,,26116.87,409579.6,543813.4,1055677.5,1016721.44,4558652.0,
529,270.1457559348783,1.0134526,,,,,,,,,,,224751.78,93203.984,528298.94,4915250.0,3745747.5,725660.44,
2147,271.0183359304355,4.227767500000001,,,,18.0,,,,,,,172359.61,206484.8,335384.22,354081.0,349556.78,436465.03,
193,271.07787877133075,0.54594344,,,,52.0,,,,,,,175346.28,908872.0,853427.7,1579810.8,1431321.9,1914102.6,
771,271.12983304556576,1.549579,,,,,,,,,,,0.0,78772.125,229950.16,1394319.4,323581.06,553569.7,
2008,271.16633001960867,3.731765,,,,141.0,,,,,,,355379.62,493049.9,550559.8,457172.88,588014.1,615971.44,
1861,271.16635477799707,3.3491733,,,,,,,,,,,814793.75,1035270.44,1183167.2,1253938.8,1193259.2,1453738.4,
3089,271.1914526889686,8.527663,,,,61.0,,,,,,,1051881.2,288238.56,690302.7,254947.16,359889.4,1478584.2,
2338,271.1914804814084,5.331866000000001,,,,162.0,,,,,,,186971.39,158890.84,154215.72,168325.6,240378.77,196823.14,
2364,271.1914849568322,5.453725299999999,,,,,,,,,,,300504.94,361445.2,462533.66,1091278.1,1119801.8,945366.1,
2441,271.2278318688381,5.991171,,,,,,,,,,,1121663.4,1459926.9,1617769.8,2655983.2,2590546.8,2666254.5,
2505,271.22784542336325,6.437728400000001,,,,136.0,,,,,,,290844.88,348845.53,398118.62,416408.03,413026.66,427311.72,
2491,271.2278501929024,6.329144,,,,76.0,,,,,,,103636.266,124251.63,160083.27,218088.38,213666.69,205708.11,
2593,271.2278562573664,7.0687622999999995,,,,,,,,,,,8276757.5,7714282.0,9648310.0,9297519.0,9375971.0,7694910.5,
2522,271.2278604370018,6.595176700000001,,,,,,,,,,,192607.36,218303.73,289475.53,335319.3,305983.8,289696.25,
2560,271.22788877836757,6.86256,,,,15.0,,,,,,,7332669.5,6763681.0,7951292.5,7162540.0,6756343.0,7452618.0,
264,271.99022123007336,0.62332386,,,,,,,,,,,381936.2,929067.1,1825190.6,2269248.0,1132295.8,1803713.4,
160,271.9902560559036,0.49264348,,,,,,,,,,,877994.6,265566.5,332222.5,209152.81,190779.53,172757.92,
1024,272.12518390329325,2.2878997,,,,5.0,,,,,,,605492.2,456310.75,366788.84,1944677.1,1892779.9,2212919.0,
1495,273.0880982176878,2.839925,,,,,,,,,,,193673.23,294671.44,531848.5,1079871.8,719169.7,933913.3,
635,273.156666224533,1.0981876,,,,,,,,,,,1104018.9,202228.22,179195.86,124306.82,134992.73,50603.93,
452,273.15671344326734,0.9441280999999999,,,,210.0,,,,,,,1382187.6,495760.0,1577847.4,1594193.5,1592370.2,1176026.0,
545,273.1567273725828,1.0189155,,,,,,,,,,,159118.28,1244328.9,1026527.7,214831.52,301016.62,94691.266,
360,273.1567295136431,0.78459793,,,,174.0,,,,,,,710915.3,871922.0,949045.3,1058478.1,1172340.4,971674.9,
1138,274.119775542312,2.4427507,,,,,,,,,,,8407115.0,8098633.0,6615888.5,5390181.5,6721205.0,5500314.0,
1275,274.1197881316885,2.5640776,,,,180.0,,,,,,,5042443.0,6166284.0,5349343.0,4106856.0,5253195.5,4506420.0,
305,274.14073698842304,0.7177009,,,,,,,,,,,110463.4,276926.8,243796.44,2165092.0,314567.47,1317786.9,
548,274.14075362665994,1.089636,,,,,,,,,,,37388.758,82451.664,468616.88,1659831.0,677426.1,1329107.0,
299,275.070540016252,0.6883178000000001,,,,,,,,,,,835530.7,758747.6,679501.4,480376.4,670964.75,566488.0,
1377,275.10376691601385,2.6814172000000003,,,,,,,,,,,588607.4,706471.3,805893.94,872247.1,846572.5,875535.4,
1619,275.1037923656653,2.9908247,,,,59.0,,,,,,,5970804.0,6835072.5,7411920.5,9107260.0,8472209.0,8809171.0,
1621,276.0005038114811,3.0005417000000003,,,,,,,,,,,101869.85,113166.195,774221.6,4230228.5,519862.62,3747528.8,
1254,276.0005480208138,2.585036,,,,,,,,,,,0.0,23503.674,1191623.2,49131.695,489461.34,313975.25,
2258,276.1240512818417,4.876119999999999,,,,50.0,,,,,,,1119660.9,1528984.4,1979810.6,2623275.8,2718696.8,2946486.5,
920,277.04984197527097,2.1328595,,,,,,,,,,,255734.06,416335.97,746792.0,672915.2,511166.12,702026.6,
325,277.12258686377004,0.7328324,,,,,,,,,,,239154.81,466479.12,690315.25,1339059.9,1099641.0,1379903.2,
1588,277.1556633417843,2.9199773999999996,,,,,,,,,,,756419.44,777455.2,939413.9,1009261.7,1139985.9,1229219.6,
1474,277.15567733075005,2.8324807,,,,,,,,,,,552482.4,779226.2,636408.0,726796.75,896399.75,868715.56,
46,279.0596250625015,0.38007379999999996,,,,186.0,,,,,,,833072.3,1170864.8,1291713.4,428781.12,462582.44,980119.1,
255,279.05963639399243,0.62936646,,,,110.0,,,,,,,487061.47,293387.62,256408.19,154326.19,251985.11,179486.28,
228,279.1096244119233,0.5874223000000001,,,,92.0,,,,,,,9128119.0,9724062.0,10971583.0,5901541.5,14667860.0,4599809.0,
1215,281.1243375226653,2.4957873999999998,,,,,,,,,,,1257416.5,1728601.4,1680599.4,38019.137,3006.1494,35590.047,
409,282.0841279125602,0.8379448,,,,127.0,,,,,,,812376.25,1011501.06,1547844.6,1480309.4,1152590.6,1313883.6,
2169,282.11355124093626,4.375932,,,,,,,,,,,5812442.0,6762155.5,7054734.0,4251612.0,5261494.5,5261950.5,
1842,283.1298799130118,3.3168676,,,,187.0,,,,,,,1211963.4,1762817.4,1821615.0,612933.6,478710.38,429930.53,
3208,283.26412706428425,9.510898,,,,,,,,,,,71591.44,41853.59,58237.13,29450.725,38934.836,149073.9,
2967,283.2641344960244,8.138624,,,,,,,,,,,285847.47,79059.7,237085.25,145552.12,167430.9,433050.97,
3225,283.2641597048645,9.708396,,,,,,,,,,,235942.73,110976.445,178273.94,87200.17,135720.47,452347.38,
3186,284.1088898613193,9.278251,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,641145.8,
643,284.16133036276403,1.1896737,,,,68.0,,,,,,,137062.78,818785.25,1015702.6,1832867.9,1235002.9,1675263.6,
850,284.1614988571553,2.0322971,,,,93.0,,,,,,,669583.0,894190.8,1215280.0,972191.9,652189.2,1013376.8,
970,284.16149969601025,2.208627,,,,,,,,,,,1117773.8,1066790.8,988519.3,798314.56,318825.3,651399.9,
1121,284.16153073580915,2.4293056,,,,95.0,,,,,,,1033940.0,954058.25,1225734.8,1531519.6,2271374.8,860424.1,
441,285.1126922487087,0.9496142,,,,,,,,,,,562799.75,665576.0,445736.0,474492.22,607588.56,500046.4,
2116,285.1132655191205,4.056866599999999,,,,90.0,,,,,,,472009.4,533892.6,652698.3,868056.44,745380.8,813485.1,
1902,285.1132859750902,3.4414437000000007,,,,32.0,,,,,,,1022050.25,1229527.5,1135883.6,2348704.2,1262413.1,1405980.8,
1819,285.11329725156565,3.3269722,,,,194.0,,,,,,,0.0,251253.28,629432.1,1081225.5,661956.7,690135.25,
2086,285.14560224895814,3.933694,,,,116.0,,,,,,,1191845.0,1537869.9,1800945.2,1939710.0,1915562.6,2036452.4,
2822,285.2070670533142,7.6896895999999995,,,,4.0,,,,,,,346249.28,215809.73,326577.3,249730.95,204979.75,432690.62,
2375,285.2070718431256,5.552509,,,,,,,,,,,153164.7,182442.64,237911.64,258926.4,206837.17,242803.05,
2427,285.2070911800316,5.895371,,,,,,,,,,,33897.504,73420.87,109177.29,109397.16,136654.38,85424.03,
2404,285.20710071816796,5.747292,,,,87.0,,,,,,,139474.6,196513.69,259743.06,405389.25,392857.38,376861.7,
3100,285.20711599550674,8.658891,,,,100.0,,,,,,,470932.78,41281.71,284241.1,50439.04,127197.75,572543.3,
2354,285.20711874860507,5.399739,,,,19.0,,,,,,,108512.41,152769.64,168362.36,154699.31,148269.97,139769.66,
2602,285.24343842620203,7.102056,,,,113.0,,,,,,,891767.8,755721.7,923769.25,965365.6,958832.56,1032018.75,
2642,285.243448984336,7.3569083,,,,115.0,,,,,,,755172.9,634000.3,809796.9,719829.94,638158.25,635770.8,
2617,285.2434852130746,7.163728,,,,,,,,,,,1558532.9,1285894.5,1607044.6,1522599.2,1403826.0,1681139.4,
1179,286.14084209968615,2.4657247000000004,,,,95.0,,,,,,,861999.94,1757841.2,2141607.5,2261346.5,2368505.0,2545206.0,
860,286.1771201697308,2.0279162,,,,,,,,,,,568721.7,673798.4,771128.3,406715.7,317389.4,280993.38,
1280,286.1772107663991,2.5776465,,,,8.0,,,,,,,4699698.5,6730838.5,6777415.5,10236001.0,8153012.5,9315986.0,
600,287.0883148225303,1.1329292,,,,,,,,,,,296281.38,195320.39,148721.42,325564.72,185902.34,139954.23,
687,287.08833008732864,1.2216486999999998,,,,,,,,,,,558659.8,45895.187999999995,277606.88,52945.617,185902.34,69687.59,
507,287.08834367534274,0.99452496,,,,,,,,,,,961785.56,30211.522999999997,34533.223,790460.75,2025996.5,903993.06,
807,287.08837864271493,1.8546089,,,,133.0,,,,,,,1529848.2,3945151.0,2542996.8,3347842.2,2210773.5,3751685.5,
919,287.12482032017385,2.1326389999999997,,,,,,,,,,,187398.34,177623.75,678776.2,138636.53,918150.25,187044.73,
1237,287.12483721124715,2.5232959999999998,,,,48.0,,,,,,,2394701.0,2454379.0,2058390.4,2340191.2,2412145.5,1868479.0,
3090,287.18639129188296,8.54187,,,,61.0,,,,,,,123645.55,0.0,72108.25,0.0,0.0,193259.47,
2251,287.18641578391015,4.843632,,,,29.0,,,,,,,1023509.94,939704.4,961885.56,1261618.2,1571550.2,1258782.1,
2337,287.1864815169508,5.3309690000000005,,,,162.0,,,,,,,52444.992,70938.94,103522.32,113886.96,79790.84,104996.086,
589,288.15631744312304,1.160327,,,,68.0,,,,,,,32286.156000000003,471936.8,1768223.4,2790825.2,1818814.5,2609717.8,
693,288.15632903057264,1.1958115,,,,,,,,,,,110604.13,1139343.8,938651.8,1249841.9,411581.5,132301.19,
356,288.15633158792883,0.7673731,,,,105.0,,,,,,,501884.56,1046220.94,1918560.4,2803331.0,1810663.4,2446392.5,
830,288.1564068469034,2.0007650000000003,,,,164.0,,,,,,,490050.1,944941.0,1509630.0,1932407.8,1384137.9,1392000.5,
726,290.1144363388256,1.3235518,,,,,,,,,,,2055649.4,2466200.2,2992196.5,4026249.5,3458961.2,3807609.2,
796,290.1145582493113,1.7449179,,,,,,,,,,,297916.2,451794.53,551530.0,753682.94,654730.0,664197.94,
2376,290.1186541733045,5.5533867,,,,14.0,,,,,,,147314.67,297711.2,320681.06,495703.4,495983.47,465140.22,
2341,290.17618781346545,5.3391023,,,,,,,,,,,437508.72,647808.3,694186.9,828812.7,760216.44,859068.7,
1333,291.06568357695437,2.649307,,,,,,,,,,,1562363.2,2273638.5,2262563.5,580682.4,1469815.0,672288.75,
1469,291.0656838968208,2.7605722000000004,,,,,,,,,,,13667.818000000001,220172.62,490290.88,2146122.8,704618.1,2250488.0,
2365,293.17409938172364,5.4518986,,,,,,,,,,,19671.516,22824.98,32454.397999999997,71422.11,77935.13,57283.55,
2310,293.17593966693283,5.124164,,,,98.0,,,,,,,2790348.5,3790705.2,6375291.5,3789340.2,6044722.5,5999156.0,
2413,293.17601430360304,5.7842535999999996,,,,,,,,,,,140441.11,176732.55,146020.53,87560.516,175210.69,91630.266,
2607,293.1793634416739,7.135763000000001,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,971967.3,
3332,293.21222451838236,10.942725999999999,,,,,,,,,,,0.0,143723.78,8152.7314,4070.1934,8173.888000000001,6293.508000000001,
2425,293.21222504446223,5.8909400000000005,,,,156.0,,,,,,,12667083.0,16981744.0,15699618.0,15037685.0,16644474.0,14935606.0,
2455,293.2123002018258,6.066012000000001,,,,,,,,,,,64568.707,48740.582,167271.95,138063.44,48129.645,44095.7,
2490,293.21230830243087,6.3228436,,,,76.0,,,,,,,209890.6,406885.3,320791.47,245314.22,306633.47,263453.4,
101,295.0908984020772,0.42076364,,,,,,,,,,,0.0,32143.045,539343.06,488416.56,427591.7,472879.25,
449,295.14091021018686,0.9555041,,,,,,,,,,,105059.74,218614.75,62148.527,869178.0,328002.38,281258.47,
2368,295.191363944112,5.491588,,,,140.0,,,,,,,1409396.6,1926689.5,1976618.8,2653801.0,2615539.8,2511562.2,
3333,295.2277018686905,10.953638,,,,,,,,,,,0.0,166990.03,34123.707,12998.306999999999,22339.266,13750.896,
2556,295.2277025070553,6.85544,,,,15.0,,,,,,,70830.92,104985.11,148791.22,122992.4,116100.26,112481.19,
2484,295.2277102064683,6.207941,,,,99.0,,,,,,,12233354.0,11945631.0,5367595.0,4850496.5,9411515.0,4585029.5,
2466,295.2277111155042,6.1689086,,,,25.0,,,,,,,19603618.0,18086814.0,19448428.0,15535634.0,21499042.0,15012394.0,
2534,295.2277616438517,6.667178599999999,,,,,,,,,,,476678.34,200902.83,393312.56,264155.22,309921.38,253068.72,
2512,295.2277803169357,6.4499345,,,,,,,,,,,215206.5,184644.69,248973.83,45930.527,100744.11,114591.32,
1351,296.0267239998028,2.6318085,,,,,,,,,,,361523.6,311811.38,295330.62,422583.9,343961.47,353910.56,
2209,296.0927681303023,4.5750546,,,,168.0,,,,,,,1156385.5,1185961.8,1085837.5,843609.75,929481.06,904601.44,
2463,296.23099029115434,6.168907599999999,,,,25.0,,,,,,,3803238.8,3483629.8,3759440.2,3026316.0,4145732.8,2708033.5,
