row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-227-C1-c_Run227.mzML Peak area,NEG_D5-227-C1-b_Run224.mzML Peak area,NEG_D5-227-C1-a_Run221.mzML Peak area,Yeast_HE_D5-Ctrl_b_neg_20190515_Run40.mzML Peak area,Yeast_HE_D5-Ctrl_a_neg_20190515_Run37.mzML Peak area,Yeast_HE_D5-Ctrl_c_neg_20190515_Run43.mzML Peak area,Unnamed: 19
712,158.9640622870442,10.230296000000001,,,,28.0,,,,,,,0.0,0.0,0.0,1906315.6,2624077.2,1869687.1,
783,158.9860313455945,10.381978,,,,63.0,,,,,,,0.0,0.0,0.0,3095836.5,3042893.8,3145120.2,
3,159.96921900056972,0.03497914,,,,0.0,,,,,,,0.0,0.0,0.0,4326045.5,4641526.5,4479709.5,
8,159.96925114742473,0.31784472,,,,4.0,,,,,,,0.0,0.0,0.0,4295066.0,4084891.5,5161697.0,
799,160.84193564886985,10.475337,,,,64.0,,,,,,,3795407.5,3784531.2,3885011.2,0.0,0.0,0.0,
593,160.9181924911891,8.88411,,,,,,,,,,,897220.2,3467333.0,1016431.7,0.0,0.0,0.0,
573,161.91346405315463,8.746601,,,,,,,,,,,6053890.0,6599059.0,5806507.0,0.0,0.0,0.0,
800,162.83895073207347,10.477112,,,,64.0,,,,,,,3557681.0,3560525.0,3604284.2,0.0,0.0,0.0,
735,163.9904621374365,10.328528,,,,63.0,,,,,,,0.0,0.0,0.0,3114640.2,3112184.2,2318191.0,
798,164.83588155814678,10.475334,,,,64.0,,,,,,,1054206.4,1045578.6,1069497.9,0.0,0.0,0.0,
802,164.92705701863557,10.48243,,,,63.0,,,,,,,1280670.6,1287744.0,1333648.6,0.0,0.0,0.0,
41,165.055493615522,3.089609,,,,,,,,,,,859388.8,770230.7,774156.56,0.0,0.0,0.0,
179,165.09111488084397,6.1017194,,,,36.0,,,,,,,0.0,0.0,0.0,1798361.6,1058426.0,1163049.0,
787,165.98290197813049,10.404160000000001,,,,63.0,,,,,,,0.0,0.0,0.0,2999492.8,2994280.8,2786776.0,
817,167.01279109961246,10.49928,,,,8.0,,,,,,,0.0,0.0,0.0,45706830.0,43583810.0,44698970.0,
814,168.01607192002174,10.4940405,,,,8.0,,,,,,,0.0,0.0,0.0,2426957.2,2303669.5,2340229.5,
619,168.9862143933492,8.956605,,,,,,,,,,,460788.25,732419.94,516588.53,0.0,0.0,0.0,
736,169.97724299348775,10.328528,,,,63.0,,,,,,,0.0,0.0,0.0,2523196.0,2090951.4,2717459.5,
828,169.9773038008394,10.813591,,,,,,,,,,,0.0,0.0,0.0,4723972.0,1639406.1,1162215.4,
785,170.87068856461437,10.401697,,,,,,,,,,,834017.56,776447.25,841150.56,0.0,0.0,0.0,
831,171.9929344546499,10.990345,,,,,,,,,,,0.0,0.0,0.0,5685771.0,5334411.0,5775479.0,
40,172.09778782856122,3.0324562000000004,,,,,,,,,,,450822.56,548585.9,515014.94,0.0,0.0,0.0,
43,172.13328631101967,3.19013,,,,35.0,,,,,,,0.0,0.0,0.0,1000862.06,1050209.2,1013033.6,
732,172.95630883965146,10.326572,,,,63.0,,,,,,,0.0,0.0,0.0,7586959.5,7769538.0,7882801.0,
17,172.97716508604807,0.39007828,,,,,,,,,,,0.0,0.0,0.0,1540978.1,1454416.0,1527799.4,
733,174.9532930730195,10.326572,,,,63.0,,,,,,,0.0,0.0,0.0,1189366.0,1219012.0,1864198.0,
794,174.9563221973705,10.419799000000001,,,,63.0,,,,,,,14976992.0,14867285.0,15057382.0,2453941.5,2511086.8,2466169.5,
4,176.98454022260955,0.03497914,,,,0.0,,,,,,,0.0,0.0,0.0,1022336.06,1047339.4,1035003.7,
9,176.984549626929,0.31965512,,,,4.0,,,,,,,0.0,0.0,0.0,933284.5,913744.7,407455.72,
405,180.97279142621497,7.8641148,,,,,,,,,,,756743.56,332596.06,527341.3,0.0,0.0,0.0,
714,180.97283853805172,10.232244999999999,,,,9.0,,,,,,,1777911.4,1865719.2,1807361.2,0.0,0.0,0.0,
275,180.9728419163313,7.3677106,,,,2.0,,,,,,,602149.94,591067.94,510395.9,0.0,0.0,0.0,
763,181.0143632554777,10.369756,,,,63.0,,,,,,,0.0,0.0,0.0,5250397.0,4991951.5,5315389.0,
734,182.9851056286819,10.328315,,,,63.0,,,,,,,0.0,0.0,0.0,19318986.0,18995584.0,19853678.0,
761,183.00977404215908,10.369750999999999,,,,63.0,,,,,,,0.0,0.0,0.0,1992402.0,1869142.9,1988661.4,
600,183.93411081240637,8.930411999999999,,,,30.0,,,,,,,36912412.0,40943384.0,37141024.0,0.0,0.0,0.0,
826,184.002908729641,10.555591999999999,,,,8.0,,,,,,,0.0,0.0,0.0,6825015.0,6884058.5,6564892.0,
762,184.98545751132562,10.369750999999999,,,,63.0,,,,,,,0.0,0.0,0.0,8208764.0,8216978.5,8527034.0,
760,186.9808874104209,10.36975,,,,63.0,,,,,,,0.0,0.0,0.0,3197577.0,3141608.2,3281207.2,
15,186.9810143582568,0.3214697,,,,,,,,,,,0.0,0.0,0.0,146788.0,177004.67,190878.4,
825,191.94610769850934,10.549052,,,,,,,,,,,1894671.6,2761832.8,2463182.2,0.0,0.0,0.0,
751,192.9285903632256,10.348450999999999,,,,,,,,,,,1020900.25,1000845.6,1013156.56,0.0,0.0,0.0,
256,192.92860837608228,7.360316,,,,,,,,,,,17145.057,23443.077999999998,299376.47,0.0,0.0,0.0,
311,192.9286378894392,7.464066000000001,,,,,,,,,,,131368.97,21861.527000000002,266538.88,0.0,0.0,0.0,
44,194.11530587325248,3.19013,,,,35.0,,,,,,,0.0,0.0,0.0,5608868.5,5550690.0,5752086.5,
421,194.90560164103138,7.869330000000001,,,,49.0,,,,,,,1006760.5,1059227.2,963333.9,0.0,0.0,0.0,
268,194.90561630719483,7.365961,,,,2.0,,,,,,,331637.66,330704.25,276156.16,0.0,0.0,0.0,
133,195.1016442414073,5.6147423,,,,18.0,,,,,,,0.0,0.0,0.0,753661.0,763165.75,792258.3,
803,195.8106787143943,10.482432000000001,,,,63.0,,,,,,,378389.1,385504.94,407849.78,0.0,0.0,0.0,
535,195.81071515157916,8.485667,,,,20.0,,,,,,,5335559.0,5239775.5,5115917.0,0.0,0.0,0.0,
747,196.0166946013329,10.335481,,,,63.0,,,,,,,0.0,0.0,0.0,1538541.5,1588109.5,1608647.9,
804,197.80772376529052,10.482432000000001,,,,63.0,,,,,,,488673.44,488968.56,520580.16,0.0,0.0,0.0,
536,197.80776349957344,8.485667,,,,20.0,,,,,,,6799997.5,6630271.5,6932228.0,0.0,0.0,0.0,
805,199.80476708341018,10.482432000000001,,,,63.0,,,,,,,215864.97,220901.11,233178.48,0.0,0.0,0.0,
537,199.80482438794502,8.485667,,,,20.0,,,,,,,3150183.0,3144993.5,3231617.8,0.0,0.0,0.0,
658,199.92906872512285,8.924756,,,,30.0,,,,,,,1941944.8,1896529.1,1882711.8,0.0,0.0,0.0,
660,200.8586389603076,9.054889999999999,,,,51.0,,,,,,,849158.7,1314570.1,1356311.6,0.0,0.0,0.0,
584,200.8586692184762,8.866685,,,,30.0,,,,,,,3240959.8,2962825.2,3171329.2,0.0,0.0,0.0,
51,201.05962880800863,3.6546627999999997,,,,,,,,,,,0.0,0.0,0.0,150574.69,183206.77,383144.03,
820,201.9756361012609,10.522572,,,,8.0,,,,,,,0.0,0.0,0.0,910274.3,894870.0,944537.5,
572,201.97567951600087,8.724799,,,,,,,,,,,0.0,0.0,0.0,1094939.9,1050704.6,1111101.2,
16,202.18023437985718,0.38639775,,,,,,,,,,,0.0,0.0,0.0,965623.06,828940.25,840620.8,
21,202.18024112307,0.7063114,,,,,,,,,,,0.0,0.0,0.0,221008.98,183787.23,170202.81,
116,203.0620305200156,5.280399299999999,,,,,,,,,,,0.0,0.0,0.0,289328.8,368459.94,399944.6,
69,203.06207471263846,3.9052315,,,,,,,,,,,0.0,0.0,0.0,175056.88,159196.42,221874.0,
731,205.0170545757708,10.323267,,,,63.0,,,,,,,0.0,0.0,0.0,6269994.5,6009908.0,6322871.5,
801,205.83948750312527,10.480653,,,,63.0,,,,,,,1466243.2,1452013.9,1484597.8,0.0,0.0,0.0,
753,207.01743617772684,10.362767,,,,63.0,,,,,,,0.0,0.0,0.0,5852630.0,5736909.5,5721414.5,
806,207.83651038163825,10.482432000000001,,,,63.0,,,,,,,1383641.1,1381336.4,1408613.4,0.0,0.0,0.0,
810,208.03925482574527,10.485463000000001,,,,8.0,,,,,,,0.0,0.0,0.0,2890163.0,2781455.0,2846321.0,
754,209.01285151800357,10.362767,,,,63.0,,,,,,,0.0,0.0,0.0,2227056.2,2168588.8,2182367.2,
144,211.07540240691048,5.67697,,,,50.0,,,,,,,0.0,0.0,0.0,1541299.8,1131671.8,1620104.2,
92,211.97068427871758,4.6875849999999994,,,,29.0,,,,,,,0.0,0.0,0.0,4098365.8,3885960.8,4073209.0,
730,213.98274672909668,10.323082000000001,,,,63.0,,,,,,,0.0,0.0,0.0,3004029.2,2954334.5,2121385.2,
553,213.98289257339138,8.583336,,,,,,,,,,,0.0,0.0,0.0,1185502.4,1994470.4,997182.8,
411,213.98292450187057,7.8734210000000004,,,,,,,,,,,0.0,0.0,0.0,1027605.4,1919399.9,1473685.1,
779,215.98370849433812,10.376729,,,,63.0,,,,,,,0.0,0.0,0.0,1538013.6,1490980.4,1537714.2,
565,216.88024434283267,8.687335000000001,,,,62.0,,,,,,,1904866.0,2240227.0,2012235.5,0.0,0.0,0.0,
705,216.9226915393438,10.203182,,,,28.0,,,,,,,0.0,0.0,0.0,2452230.2,3525483.2,1746166.8,
47,217.0420839959052,3.5225315000000004,,,,,,,,,,,524772.44,660038.75,439592.0,0.0,0.0,0.0,
175,217.04214501604932,6.100059,,,,,,,,,,,508439.94,817927.4,487627.25,0.0,0.0,0.0,
28,217.1047226583724,2.2417057000000002,,,,,,,,,,,0.0,0.0,0.0,1119584.6,873157.44,874888.25,
35,217.10711657549118,2.7953131,,,,,,,,,,,0.0,0.0,0.0,251867.11,302399.5,562677.25,
52,217.1071308941926,3.6564722,,,,,,,,,,,0.0,0.0,0.0,96024.46,123977.27,165238.33,
60,217.1072127355851,3.8454866,,,,,,,,,,,0.0,0.0,0.0,56348.49,77007.41,150358.2,
580,217.9007655818924,8.838742,,,,,,,,,,,918095.2,3218258.8,482256.78,0.0,0.0,0.0,
557,218.9859669963754,8.644961,,,,62.0,,,,,,,2883886.8,2829321.5,2478041.8,0.0,0.0,0.0,
185,219.0570087986024,6.105232,,,,36.0,,,,,,,0.0,0.0,0.0,1139331.4,647338.25,737153.9,
48,219.05706279792412,3.5234516000000005,,,,,,,,,,,0.0,0.0,0.0,704063.7,472468.16,571939.8,
206,220.11215041661774,6.3073406,,,,37.0,,,,,,,0.0,0.0,0.0,1579625.2,1028722.6,1622712.4,
386,221.17510545569198,7.7733307,,,,16.0,,,,,,,0.0,0.0,0.0,323904.6,611463.44,499227.66,
71,222.14644680556896,4.052981,,,,,,,,,,,0.0,0.0,0.0,555364.0,555436.4,540602.9,
728,223.98820929510305,10.313156,,,,63.0,,,,,,,0.0,0.0,0.0,4126823.8,4378309.0,4118898.0,
824,225.0293618553117,10.545257000000001,,,,8.0,,,,,,,0.0,0.0,0.0,2297900.0,2080563.0,2227100.2,
139,225.09101887918732,5.675162,,,,50.0,,,,,,,0.0,0.0,0.0,2506728.2,1899133.2,2575933.2,
76,226.1801232543065,4.3745365,,,,23.0,,,,,,,0.0,0.0,0.0,117282.11,138396.81,127039.375,
339,226.18015194951082,7.696942,,,,66.0,,,,,,,0.0,0.0,0.0,582207.6,1075306.4,849377.25,
387,226.180159904128,7.7733307,,,,16.0,,,,,,,0.0,0.0,0.0,477243.1,875251.06,677584.6,
716,226.95139997858303,10.233948,,,,28.0,,,,,,,0.0,0.0,0.0,3827481.2,7775669.0,3718035.5,
681,226.95143402781295,9.937847999999999,,,,,,,,,,,0.0,0.0,0.0,2297287.8,1343061.5,2240422.0,
87,227.96660618892346,4.683395,,,,57.0,,,,,,,2120846.8,2120627.2,2102406.0,0.0,0.0,0.0,
388,228.1958483300781,7.7733307,,,,16.0,,,,,,,0.0,0.0,0.0,617810.2,1119824.1,886804.6,
103,228.19589444550067,4.81681,,,,46.0,,,,,,,0.0,0.0,0.0,135601.77,216914.27,210690.34,
581,229.90071599827732,8.843989,,,,30.0,,,,,,,9736365.0,9977960.0,10028511.0,0.0,0.0,0.0,
94,229.9812724527679,4.6875849999999994,,,,29.0,,,,,,,0.0,0.0,0.0,9201769.0,8713632.0,9118387.0,
97,230.9844951385709,4.6875849999999994,,,,,,,,,,,0.0,0.0,0.0,755746.25,722326.3,758790.56,
95,231.97908862055698,4.6875849999999994,,,,29.0,,,,,,,0.0,0.0,0.0,9007000.0,8553489.0,8944106.0,
96,232.9823190589649,4.6875849999999994,,,,29.0,,,,,,,0.0,0.0,0.0,762901.06,706129.5,750166.3,
73,233.0725841733212,4.3618855000000005,,,,,,,,,,,0.0,0.0,0.0,316282.84,430908.72,681919.6,
49,233.07260638344326,3.5542364,,,,,,,,,,,0.0,0.0,0.0,61915.23,111962.734,174515.22,
183,235.07120274715112,6.103478,,,,36.0,,,,,,,0.0,0.0,0.0,755374.6,478825.16,515278.03,
84,236.08052904591648,4.5446835,,,,47.0,,,,,,,0.0,0.0,0.0,2062183.1,2251770.5,3239293.5,
78,236.1620438374823,4.4469895,,,,,,,,,,,0.0,0.0,0.0,66461.484,82167.91,77752.49,
391,236.16205193617088,7.775116000000001,,,,,,,,,,,0.0,0.0,0.0,325925.53,597995.0,469060.94,
234,237.221258779756,6.9768314,,,,33.0,,,,,,,0.0,0.0,0.0,143574.7,64129.83,192841.34,
287,237.2212924967455,7.3731594,,,,6.0,,,,,,,0.0,0.0,0.0,1070492.8,859413.0,1270616.2,
46,239.08896620915345,3.3526404000000003,,,,,,,,,,,0.0,0.0,0.0,621064.56,585025.5,785703.9,
797,242.94322024292012,10.452237,,,,63.0,,,,,,,2163594.0,2209590.0,2135222.2,0.0,0.0,0.0,
546,243.8990738504531,8.594417,,,,62.0,,,,,,,23113778.0,24852612.0,23418044.0,0.0,0.0,0.0,
86,244.06669896737824,4.548229,,,,,,,,,,,0.0,0.0,0.0,343792.88,392515.88,535368.5,
