row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,2024_POS_CC-AZA_3_Run70.mzML Peak area,2024_POS_CC_2_Run47.mzML Peak area,2024_POS_CC-AZA_1_Run23.mzML Peak area,2024_POS_CC-AZA_2_Run38.mzML Peak area,2024_POS_CC_3_Run61.mzML Peak area,2024_POS_CC_1_Run20.mzML Peak area,
2,113.96363681896605,0.029831355,,,,0,,,,,,,375241.47,374389.25,453272.66,461471.5,443886.28,606591.4,
38,115.04790091466195,0.36741617,,,,90,2,[M+H]+,,3,38;40;36,114.04064,8393260.0,8723398.0,1.5376383E7,8578499.0,8189501.0,8876638.0,
39,117.04828180878992,0.36823234,,,,90,0,[M+Na]+,,2,39;33,94.05955,746205.3,800857.7,1269821.4,775961.5,741968.9,1238968.9,
14,118.94255939335808,0.3153722,,,,24,,,,,,,825490.1,760141.9,751322.5,411886.1,731704.44,567762.25,
1,118.94257445519713,0.03143483,,,,0,,,,,,,2548584.2,2397939.0,2399717.0,2555750.2,2441484.0,2437795.0,
131,120.04434076766692,2.827214,,,,,,,,,,,229842.12,258310.25,286276.2,367085.66,378867.56,583206.75,
56,122.08436224777749,0.38206306,,,,90,,,,,,,3680323.8,3761407.5,3778159.0,3657386.8,3634423.8,3738241.2,
71,124.100024870866,0.38779822,,,,90,,,,,,,3013687.0,5774063.5,3040098.5,2809347.0,2840287.8,3015820.2,
42,125.07592964395265,0.3723004,,,,90,,,,,,,1357359.1,1316497.1,1368687.1,1299789.5,1322793.2,1305217.1,
122,130.15900887827632,2.6904728,,,,,,,,,,,394216.94,421903.75,416263.16,385447.38,418963.97,415925.8,
1209,131.53347181310107,8.68065,,,,,,,,,,,335073.88,335845.03,250394.97,326275.12,339694.9,59732.51,
1598,131.5334775092551,10.446578,,,,76,,,,,,,873147.06,997642.3,873812.56,1187093.2,978908.1,295209.44,
94,134.06103078881378,0.8078185,,,,55,,,,,,,4130495.5,4084153.5,3873563.5,4430849.0,4649845.0,3920684.5,
8,136.9531814141396,0.033048708,,,,0,,,,,,,1019919.9,987258.7,933741.6,978065.06,1091951.4,916718.56,
36,137.02987914556442,0.36497548,,,,90,2,[M+Na]+,,2,38;36,114.04064,3505167.8,3479584.5,3739151.5,3489869.5,3590909.0,3640689.5,
132,138.0549460926587,2.8258169,,,,,,,,,,,239249.08,265142.75,295281.44,384870.28,393499.62,601815.75,
91,138.11573315452767,0.7577806,,,,55,,,,,,,1156248.6,1140707.5,1129653.4,1128069.6,1163376.1,1121321.5,
43,139.05523109819643,0.37311384,,,,90,,,,,,,1251733.9,1256071.2,1273767.9,1208935.0,1236556.6,1281499.4,
93,139.11907666478461,0.7603174,,,,55,,,,,,,2.4035436E7,2.374614E7,2.392754E7,2.36975E7,2.4045836E7,2.3498784E7,
1239,139.98788301832099,8.720237,,,,,,,,,,,883468.56,619693.25,769982.94,673176.2,680115.25,719585.56,
1593,139.98789474217577,10.43798,,,,,,,,,,,783796.6,433654.34,699029.44,817993.7,716163.6,685794.0,
96,141.03391925847993,0.8760354,,,,115,,,,,,,6052985.5,6527677.0,6559007.5,6275170.5,6386137.0,6458222.5,
75,141.0339336328061,0.3935708,,,,90,7,[M+H]+,,2,74;75,140.02664,2288950.0,2548004.8,2534768.2,2378484.2,2356542.2,2534493.2,
83,141.03397135264936,0.5539033,,,,,,,,,,,4186866.8,4119699.0,4147568.8,4186457.0,4189688.0,4145426.8,
57,141.04691110317515,0.38206315,,,,90,,,,,,,5964466.5,5928983.5,6355002.0,5911711.0,6010710.0,6021855.0,
15,141.958593269816,0.3153722,,,,24,,,,,,,989151.1,895105.6,1025668.3,772313.94,905696.6,862327.5,
3,141.958612693729,0.03223448,,,,0,,,,,,,3507113.8,3540097.5,4674409.0,4098149.2,3568298.8,4639011.0,
1188,144.9821643133774,8.659493,,,,86,,,,,,,3.204645E7,2.8418046E7,3.4915376E7,2.3101566E7,3.0714658E7,2.8957694E7,
1177,146.9803361872736,8.657746,,,,86,,,,,,,1.4371539E7,1.2834623E7,1.5814172E7,1.04002E7,5354872.5,1.295645E7,
1126,146.98033688043978,8.600309,,,,,,,,,,,4737545.5,4840871.5,5199431.0,4629089.5,1.3878051E7,5117129.0,
44,154.07423589938753,0.37392747,,,,90,,,,,,,1908540.8,1959969.4,2046155.0,1903904.1,1879356.4,2025419.8,
27,155.1269803359896,0.3592806,,,,90,,,,,,,789814.44,823870.06,829722.75,755759.25,793223.9,791969.56,
79,156.0721007504553,0.40338993,,,,90,,,,,,,509965.12,531907.75,519132.47,478293.8,474721.8,514192.6,
63,157.04183653013638,0.38369274,,,,90,5,[M+H]+,,2,63;48,156.03454,1334675.8,1388807.0,1450435.5,1231094.2,1373695.4,1387046.2,
85,158.15391311169324,0.65067965,,,,118,,,,,,,392041.2,449293.28,367199.9,453696.8,368098.12,351843.6,
70,158.15391383512815,0.3869724,,,,90,,,,,,,256689.56,278040.9,259933.3,272797.34,258699.05,254717.4,
196,158.153931582938,4.948925,,,,,,,,,,,740665.56,761025.3,786935.1,745732.75,778231.94,798888.1,
1549,158.96406103735782,10.271544,,,,34,,,,,,,272153.7,292937.38,275761.84,179467.2,283479.06,370391.97,
23,158.9640730072483,0.3401552,,,,71,,,,,,,404961.7,432464.3,465558.25,436583.0,422881.16,415184.97,
4,159.96915991194683,0.03223448,,,,0,,,,,,,1291959.8,1336210.4,1704737.8,1284777.9,1480768.2,1634016.9,
74,163.0158307014102,0.3927602,,,,90,7,[M+Na]+,,2,75;74,140.02664,1343803.2,1273226.8,1408029.1,1297335.5,1353617.5,1384761.6,
7,164.94808478818717,0.03223448,,,,,,,,,,,308693.34,303017.06,234466.92,302370.16,349587.72,193485.05,
603,173.13247946702887,7.8043747,,,,,,,,,,,88236.86,76368.09,15939.307,0,351525.8,7446.9014,
99,176.1134493415885,1.446486,,,,,,,,,,,8684240.0,8463675.0,8449889.0,8454515.0,8681479.0,8407691.0,
48,179.02372763226012,0.37636793,,,,90,5,[M+Na]+,,2,63;48,156.03454,689174.94,444191.9,461410.88,429916.7,456783.2,693496.75,
104,181.097090300948,2.121685,,,,93,,,,,,,930572.75,811825.75,957125.94,909935.06,944581.0,898039.1,
133,181.0971031651857,2.8395612,,,,,,,,,,,54111.28,95668.05,113174.29,72206.49,72708.77,85198.02,
1604,182.9850950603918,10.459266,,,,76,,,,,,,1621464.2,1567338.6,1715957.1,1721913.6,1294357.5,1436539.8,
5,182.98510489841473,0.03223448,,,,0,,,,,,,439456.47,442995.6,699563.6,460993.7,447598.8,587764.3,
135,183.09167899146743,2.9559028,,,,,,,,,,,448749.7,518081.8,668993.25,745771.56,571238.75,757174.4,
118,184.1695222232061,2.5223794,,,,,,,,,,,215935.47,199355.02,226808.69,180339.3,262391.03,189120.73,
107,184.16953595991552,2.2104323,,,,,,,,,,,2179055.2,2006927.0,2143597.5,2017430.5,2359434.5,1963623.9,
1118,184.98546444803767,8.544019,,,,,,,,,,,396800.6,208752.8,114414.23,180800.84,229383.8,113157.83,
6,184.9854883183666,0.03223448,,,,0,,,,,,,158747.86,172578.88,333073.34,190757.4,166926.92,406871.97,
1236,184.98549287715787,8.729985,,,,,,,,,,,2928032.8,2679705.2,3610235.0,2172248.5,2832889.5,3521431.5,
1594,184.98549379499298,10.442124,,,,76,,,,,,,1041677.9,1026331.56,1090633.4,1080259.4,993823.5,1064980.9,
123,185.08548836884617,2.6958268,,,,106,,,,,,,124516.04,524594.1,609377.44,840935.1,382658.53,777895.7,
26,185.1271426321546,0.3543991,,,,90,,,,,,,4728927.0,4885115.0,4966217.0,4754363.5,4775536.0,4972407.0,
128,185.1283777110625,2.8016999,,,,53,,,,,,,89776.555,61179.35,96173.18,84914.97,73187.625,77001.2,
134,185.1283779981468,2.8665679,,,,,,,,,,,75842.99,68127.84,79450.64,78656.41,79606.73,55443.945,
612,191.14308310122078,7.8090897,,,,,,,,,,,82214.0,65699.734,8143.125,0,321619.88,3549.2642,
76,192.10830636817377,0.39614105,,,,90,,,,,,,434440.62,400928.9,410547.03,413730.4,420569.62,441804.1,
86,192.10832243566108,0.6531893,,,,118,,,,,,,958190.06,1040439.7,1016575.94,981509.8,974695.8,976091.9,
113,195.12269493486258,2.2837884,,,,,,,,,,,662278.9,661755.6,612852.5,660870.75,609265.1,662007.2,
160,195.13794515520138,4.338534,,,,,,,,,,,779086.2,741257.94,837890.7,758929.7,812256.3,826656.94,
154,195.1379478091818,3.8345766,,,,,,,,,,,111584.36,83246.664,76909.14,131685.69,99103.6,77177.36,
124,197.1284617046199,2.7075398,,,,106,,,,,,,2340342.2,2233381.2,2626200.8,2466864.2,2507296.8,2253950.2,
651,198.18521603259694,7.8201013,,,,,,,,,,,42470.547,87635.164,9505.381,0,285348.8,3578.269,
111,199.10123373877025,2.2470672,,,,,,,,,,,510563.4,478102.5,459850.16,441382.16,489736.03,442934.53,
110,200.10456650235787,2.2484787,,,,11,,,,,,,6169442.0,6020740.5,5942917.5,5571293.5,5971879.5,5724253.5,
58,202.1800769064587,0.38206303,,,,90,,,,,,,1.2943711E7,1.3850775E7,1.3144905E7,1.284791E7,1.368776E7,1.2931305E7,
125,202.18008153761875,2.7239008,,,,,,,,,,,124609.78,137273.95,148619.97,107204.734,177111.53,117968.21,
88,202.18008235580206,0.6869599,,,,132,,,,,,,9276015.0,9957784.0,8726639.0,9680706.0,9835758.0,8607728.0,
29,203.05281329715714,0.36822987,,,,,,,,,,,428859.72,12500.707,79835.75,186751.97,41605.156,27216.168,
65,203.08098908740956,0.38369608,,,,90,,,,,,,6874741.0,5509893.0,6450860.0,5981521.5,5056564.0,7437979.5,
90,203.08561733299211,0.73196554,,,,,,,,,,,1020791.44,679984.56,608472.3,1009915.3,890791.6,533797.94,
112,203.0856246306479,2.248682,,,,11,9,[M-2H2O+Na]+,,2,112;109,216.11749,322282.56,280762.22,281174.12,405434.12,304745.06,264041.8,
66,203.08563624945828,0.38532686,,,,90,,,,,,,2464142.0,2819725.2,2378465.2,2622222.5,2678906.5,2128059.8,
59,203.18333046246664,0.38206303,,,,90,,,,,,,1289012.1,1378073.5,1344458.4,1204797.2,1352455.8,1308953.2,
89,203.1833440749124,0.6882441,,,,132,,,,,,,921567.44,953970.6,871045.75,931873.56,966479.4,838987.25,
28,206.071516703411,0.35928068,,,,90,,,,,,,650108.75,642132.3,720492.94,643710.75,615687.9,674610.56,
25,207.1091196741166,0.3518982,,,,,,,,,,,249308.55,240721.03,281683.9,239639.81,250939.19,270215.47,
32,208.0693027830816,0.3633484,,,,90,,,,,,,436944.06,444160.5,505435.9,442346.97,462312.5,454060.3,
605,208.16955747178665,7.779424,,,,,,,,,,,65156.21,58833.02,3786.119,0,293701.25,0,
33,209.0726754018888,0.36334834,,,,90,0,[2M-H2O+K]+,,2,39;33,94.05955,8729726.0,8826681.0,9263465.0,8639073.0,8779223.0,9096340.0,
653,209.1536049919645,7.8031983,,,,,,,,,,,163800.84,172819.23,46403.254,0,702720.4,28037.766,
55,210.07912041130263,0.38208485,,,,,,,,,,,537718.06,11596.224,17057.812,193832.53,16631.002,4549.329,
30,210.0849883334544,0.36172137,,,,90,,,,,,,637510.25,689040.2,706209.25,646364.4,662784.06,708129.2,
60,210.10669180179073,0.38206303,,,,90,6,[M-H2O+H]+,,3,62;52;60,227.10994,1139985.1,938404.7,982590.6,1170885.2,1130733.1,1175874.2,
31,211.08830751198244,0.36253476,,,,90,,,,,,,9559567.0,9729510.0,1.0214024E7,9584310.0,9545449.0,1.0161829E7,
138,211.14403839276542,3.241471,,,,,,,,,,,3114641.8,2982399.8,3633643.5,3597371.2,3417069.0,3156233.5,
137,211.1440560581925,3.1408103,,,,,,,,,,,2760558.8,2714042.2,3288375.8,2911704.2,2883836.8,2833066.5,
173,211.97050459908004,4.744717,,,,15,,,,,,,3073461.8,3086185.2,3258696.5,3180775.8,3181167.0,3010576.2,
175,213.96845628699938,4.7461305,,,,15,,,,,,,2988285.0,2976733.5,3137186.0,3079320.2,3062890.5,2951436.0,
146,214.04985895800291,3.5409338,,,,96,,,,,,,2.1684724E7,2.1875316E7,2.534902E7,2.8440298E7,2.6346566E7,2.7752528E7,
166,214.18010050154066,4.506849,,,,,,,,,,,183018.36,409036.22,607663.2,497409.66,281583.0,566948.5,
127,214.18010303209806,2.748743,,,,,,,,,,,54590.168,85959.45,80991.25,54235.49,88138.39,77211.89,
149,215.0529902716029,3.5396261,,,,,,,,,,,1791758.5,1904962.6,3084808.8,2279914.5,3271536.0,2483226.5,
109,217.12472104659813,2.2470672,,,,11,9,[M+H]+,,2,112;109,216.11749,524414.0,512937.16,501832.8,480451.34,524780.9,490726.38,
108,218.12809128595745,2.2470672,,,,11,,,,,,,7363443.0,7037200.0,6960655.5,6545084.5,7092236.5,6703308.0,
610,226.18008286838145,7.785791,,,,66,,,,,,,477307.56,406357.06,34501.082,29771.406,1784599.4,59382.027,
666,226.18009632958697,7.837957,,,,14,,,,,,,345666.84,415213.1,93497.93,29771.406,1209765.6,66350.61,
162,226.1801091627532,4.4259696,,,,133,,,,,,,1135484.0,1208796.8,1331357.4,1288313.8,1239245.2,1213328.6,
19,226.95143218266878,0.3393269,,,,71,,,,,,,1756147.9,1752811.4,1835048.5,1752975.8,1610556.5,1887228.6,
1546,226.95144798956562,10.269424,,,,34,,,,,,,806691.06,861718.56,836874.4,475472.66,890742.1,1267549.8,
1458,226.95147524919923,9.81214,,,,,,,,,,,10452.439,0,38912.17,0,5461.8833,100326.1,
1494,226.9514757430956,9.977975,,,,,,,,,,,33230.258,0,44975.63,0,18301.33,66561.13,
61,228.11725922829405,0.38043603,,,,,,,,,,,321088.9,382271.6,359730.78,320403.25,321376.34,349518.94,
602,228.19575796169488,7.7973747,,,,66,,,,,,,358903.66,318605.72,161228.55,77704.79,1342528.2,140588.52,
647,228.19576200114417,7.837095,,,,14,,,,,,,718469.6,867165.06,215651.48,91910.01,2489330.5,174679.8,
195,228.19577483261102,4.879937,,,,92,12,[M+H]+,,2,195;194,227.18848,3085944.5,4957938.5,6272940.0,5061821.0,4184122.5,5062860.0,
1062,228.19577569077168,8.413948,,,,2,,,,,,,49712.68,96214.375,88210.48,127560.625,119214.27,70102.95,
148,228.23207781314852,3.5423431,,,,96,,,,,,,157084.73,139505.05,156339.56,134636.06,161905.42,147417.58,
142,228.23211501387837,3.463479,,,,,,,,,,,400984.28,387021.8,398251.97,354615.0,435638.53,374266.97,
150,228.23213383579923,3.6554375,,,,,,,,,,,1964079.0,1970114.9,1904914.0,1776090.4,2159286.5,1943579.0,
312,228.23216951621836,6.7220726,,,,,,,,,,,49004.312,50845.383,54815.598,54976.668,61009.395,60039.434,
24,229.09090087297395,0.34101823,,,,71,,,,,,,185487.64,183283.84,194804.78,221189.67,228812.5,219202.23,
193,229.19906269867045,4.8761163,,,,92,,,,,,,400695.16,658708.5,823355.3,666169.0,552259.4,664404.25,
613,229.1992828164719,7.822109,,,,,,,,,,,77387.38,56149.043,14440.53,0,177371.3,7503.9097,
176,229.9810875898385,4.7461305,,,,15,,,,,,,7466004.5,7350487.0,7691433.0,7537647.0,7657618.0,7010560.0,
192,230.24774566298538,4.8678737,,,,,,,,,,,258225.55,260901.88,381745.03,450653.88,379399.28,430348.7,
203,230.24780622257617,5.0926695,,,,,,,,,,,29823.21,44479.016,19762.137,5568.1914,0,75506.43,
179,230.984406841701,4.744717,,,,,,,,,,,636843.06,618256.9,631165.44,639740.75,628901.94,586435.44,
177,231.97899869083918,4.7461305,,,,15,,,,,,,7422870.5,7271303.5,7641884.5,7506423.0,7597168.0,6890246.0,
45,232.06142427380078,0.37955505,,,,,,,,,,,799773.44,5319.704,5757.2334,346472.62,15267.307,0,
174,232.9823103950749,4.7475505,,,,15,,,,,,,626796.6,622539.4,648051.4,614343.1,637876.25,559345.1,
163,244.19064990284235,4.4259696,,,,133,,,,,,,791794.0,809258.7,914699.56,887771.25,819670.94,836944.6,
102,244.1906848696145,2.0967333,,,,,,,,,,,393101.1,378928.16,392938.66,392134.53,448430.34,362358.0,
611,244.19071404954596,7.798224,,,,66,,,,,,,77024.336,66335.08,103358.31,29224.906,356307.7,77306.7,
648,244.1907145238766,7.837095,,,,14,,,,,,,421022.03,485668.1,109694.11,33346.45,1479212.8,81179.88,
114,244.20120682876086,2.3592026,,,,,,,,,,,2123997.0,1235168.4,2163086.2,2081247.2,1254858.4,2119867.8,
117,244.20121092223278,2.503113,,,,,,,,,,,299249.72,316261.53,344088.6,311362.53,321047.5,317576.8,
136,244.20121170112023,3.0620372,,,,,,,,,,,36012.52,44383.53,50446.97,42220.22,44044.227,39026.684,
98,245.09536420309192,1.0585462,,,,,,,,,,,143781.98,119477.16,157579.7,163931.0,208238.39,201804.17,
100,245.09536884892108,1.5667195,,,,,,,,,,,760599.8,647339.9,728104.44,763132.6,513715.38,492371.72,
105,245.09538053175137,2.121685,,,,93,,,,,,,4394836.0,3831443.2,4439472.0,4294543.5,4424619.0,4122480.2,
139,245.12839222842058,3.2596252,,,,,,,,,,,1346210.6,1330699.2,1576807.5,1364764.6,1425901.0,1398522.4,
141,245.12841576153323,3.389322,,,,,,,,,,,3042570.0,2998391.5,3591314.0,3278307.8,3290411.8,3259170.0,
151,246.13350932425033,3.669895,,,,,,,,,,,218075.44,202918.1,208701.12,205971.72,201266.3,215748.77,
171,246.24268747360279,4.6921453,,,,,,,,,,,203492.67,241016.22,353001.22,326136.25,361673.1,421906.94,
49,249.04525420868163,0.37636817,,,,90,4,[M+K]+,,3,47;49;60,210.08257,935556.2,1010559.9,1016315.94,931522.5,871816.7,997856.8,
52,250.0991966939217,0.37799534,,,,90,6,[M+Na]+,,2,52;60,227.10994,4088132.5,4020819.0,4214969.0,3864232.2,3996229.8,4160642.5,
194,250.17768163350013,4.878433,,,,92,12,[M+Na]+,,2,195;194,227.18848,466440.56,806940.25,957253.7,775188.0,665428.2,782530.8,
654,250.17771030882787,7.8389564,,,,,,,,,,,14143.039,44358.008,0,0,290471.88,22865.357,
40,251.07051040311742,0.36822975,,,,90,2,[2M+Na]+,,2,38;40,114.04064,1940388.4,1930712.8,2042559.6,1954770.4,1895322.2,2014172.2,
453,256.2634569774987,7.362087,,,,,,,,,,,380713.53,423257.06,391809.88,390424.4,447031.03,430029.5,
198,257.21099677625034,4.992732,,,,,,,,,,,40824.555,40884.07,58592.24,58765.805,65931.67,72377.35,
253,257.21107438135544,6.2744603,,,,,,,,,,,183688.6,182462.7,285659.6,314602.88,292970.16,286505.03,
248,257.2110777006619,6.1939454,,,,,,,,,,,61720.68,130354.08,190222.22,181936.31,193383.67,195239.31,
129,259.2202066659225,2.7929401,,,,53,,,,,,,209427.38,200408.77,216257.8,196702.78,200241.4,201252.77,
121,259.22021342639846,2.6565814,,,,,,,,,,,462735.4,450825.1,466168.6,443831.28,453464.7,444309.44,
120,261.12337930340857,2.5968153,,,,,,,,,,,3640695.0,3550931.0,4171253.8,3694634.8,3679835.0,3745073.2,
143,264.1335382493884,3.4731236,,,,,,,,,,,332434.2,737559.6,931127.1,1115428.8,876122.44,1062805.0,
309,265.2525480202426,6.677345,,,,75,,,,,,,238654.08,259705.45,329676.72,405305.0,393826.16,360203.2,
332,265.2525535289604,6.9000335,,,,58,,,,,,,50738.85,24087.172,59586.37,66699.07,58773.48,60746.46,
534,265.25256457408545,7.6407,,,,50,,,,,,,120374.695,98056.33,107707.3,138381.1,139418.03,157325.1,
578,265.2525744130101,7.685866,,,,57,,,,,,,156138.75,156542.48,188036.3,199265.75,215768.48,261957.95,
358,266.14130055557433,7.0667586,,,,21,20,[M-H2O+H]+,,2,371;358,283.14444,499395.5,602937.5,785445.25,773653.2,611586.5,802889.56,
181,270.2062987345575,4.7782702,,,,,,,,,,,360349.1,331885.22,408155.53,372006.97,357785.06,372678.72,
130,272.18557696428275,2.821298,,,,,,,,,,,1052239.0,1329863.4,1029867.5,1018529.4,1344371.1,1246104.6,
77,273.07604092319554,0.39891687,,,,90,8,[M+H]+,,2,78;77,272.06875,510931.47,474003.75,581847.6,453566.03,512929.03,536334.9,
97,273.07609846568135,0.8760354,,,,115,,,,,,,4319232.5,4167048.0,3933629.8,4155607.0,4024984.8,4015543.8,
147,274.1647917506687,3.5422418,,,,96,,,,,,,841521.7,809188.4,797095.9,781406.2,832806.6,835814.9,
191,274.2739897337319,4.847215,,,,,,,,,,,179699.19,183454.72,242767.45,279219.03,226529.44,286962.53,
208,274.274022839016,5.1970773,,,,,,,,,,,193145.61,240222.11,308290.16,311616.78,325205.22,416781.6,
384,275.2580065511777,7.1623416,,,,,,,,,,,196684.73,185503.77,123712.75,108958.734,183415.75,275558.9,
320,279.23180479623966,6.7770314,,,,26,18,[M-H2O+H]+,,2,320;318,296.2351,702540.2,482344.56,625309.0,551035.7,802216.6,629786.56,
526,279.2318349984892,7.59527,,,,50,,,,,,,88187.06,84364.93,56431.59,63305.184,232593.02,104329.93,
456,282.13619074465174,7.3875847,,,,107,,,,,,,393182.22,470439.75,476214.9,606985.8,387469.5,535024.94,
500,282.2790843995936,7.51774,,,,112,,,,,,,1805077.8,1989211.8,2033422.1,1943576.5,2290065.5,1936338.8,
328,283.1439967461593,6.8728156,,,,110,,,,,,,48392.285,10066.047,390553.22,45916.727,248361.39,145386.92,
416,283.1440050770163,7.294536,,,,54,,,,,,,403586.94,562244.25,603088.7,752758.5,536754.0,645186.9,
329,283.2630905470583,6.9012475,,,,58,,,,,,,342836.56,341006.7,367880.53,427543.78,538834.44,609630.0,
307,283.26310118324625,6.674784,,,,75,,,,,,,1403586.2,1440401.5,1823553.0,2266287.5,2189052.0,2036659.6,
319,284.13369119001,6.771307,,,,,,,,,,,42051.65,53117.48,58424.043,78893.836,60785.402,73940.195,
644,284.15187533691613,7.8367457,,,,,,,,,,,38299.992,35796.07,233002.83,56113.656,332250.25,237156.94,
370,284.15191551449135,7.0744705,,,,21,20,[M+H]+,,2,371;370,283.14444,4.873723E7,5.597704E7,6.702073E7,6.84548E7,6.120318E7,6.782316E7,
232,284.2947328356925,5.6533456,,,,108,,,,,,,140097.3,162967.89,212763.33,211769.22,244343.67,303447.9,
735,284.2947329033298,7.9187818,,,,,,,,,,,324677.84,326421.53,401117.06,401689.84,508888.25,551137.5,
314,289.21612554628456,6.657004,,,,,,,,,,,240641.2,228754.78,218287.72,261824.56,427216.56,237977.33,
78,295.0579458203115,0.40058863,,,,90,8,[M+Na]+,,2,78;77,272.06875,1027418.5,1001841.0,1046166.1,999491.6,1028745.9,1052370.9,
95,295.0580089291758,0.8169587,,,,,,,,,,,1225208.2,1241010.0,1268398.6,1251658.5,1269358.9,1220522.2,
386,297.24019793331354,7.164606,,,,,,,,,,,43132.516,63711.74,25755.05,19273.9,94991.25,156108.44,
357,297.2420802531846,7.0541434,,,,,,,,,,,17956.314,46514.586,51093.855,51297.316,67951.92,92143.54,
219,297.24229527725214,5.630096,,,,98,,,,,,,62582.926,57074.367,94528.234,98244.81,88048.13,100100.42,
254,297.2423394172475,6.269785,,,,,,,,,,,162666.4,147407.62,152657.9,152358.36,180093.1,148655.23,
316,297.2423482210439,6.772882,,,,26,18,[M+H]+,,2,316;318,296.2351,1593260.1,1163659.1,1431933.0,1357913.2,1768609.0,1471426.9,
116,302.1961074342522,2.366501,,,,,,,,,,,363781.9,460546.97,658119.06,524538.0,508644.47,577454.4,
106,302.1961262539594,2.1741416,,,,,,,,,,,61438.4,63591.703,42546.027,49748.24,76567.086,49615.59,
233,302.3053148404783,5.6533456,,,,108,,,,,,,5565822.5,6792641.0,8153556.0,8560842.0,8906008.0,1.14365E7,
231,303.30871875057534,5.6531925,,,,,,,,,,,1048708.1,1267029.6,1509179.8,1535858.2,1692953.5,2123404.8,
235,307.2477904475227,5.6784463,,,,,,,,,,,431316.22,449512.62,468966.3,452230.06,450707.34,468750.2,
820,310.3103707565585,7.9986787,,,,85,,,,,,,231216.73,254356.6,250970.19,576922.8,499595.44,286550.78,
522,311.2579940305106,7.5912347,,,,50,,,,,,,1119765.8,1088206.2,750975.3,861918.5,2570127.2,1280813.8,
530,312.26135964881297,7.5910664,,,,,,,,,,,230434.8,206950.64,144086.17,161409.3,509221.3,246464.55,
296,313.14337710990674,6.62765,,,,,,,,,,,385213.25,374542.4,482464.7,541771.1,574642.25,667083.25,
119,316.2117381892202,2.5784338,,,,,,,,,,,327123.0,555945.0,327421.56,321671.38,515751.84,518763.5,
126,316.2117501545915,2.7408788,,,,,,,,,,,727041.6,1166596.2,729428.2,687008.0,1235190.8,1072906.8,
318,319.2243627916082,6.772882,,,,26,18,[M+Na]+,,3,316;320;318,296.2351,689651.8,655611.8,689886.06,216139.56,1019114.0,886726.0,
388,319.2841718222488,7.1767178,,,,105,22,[M+H]+,,2,388;387,318.27693,613676.0,523539.0,542156.06,416559.6,576642.25,741985.6,
