row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,GF_MC_RCG_Ctrl_2_neg_20210511_Run147.mzML Peak area,GF_MC_RCG_Ctrl_1_neg_20210511_Run68.mzML Peak area,GF_MC_RCG_Ctrl_3_neg_20210511_Run159.mzML Peak area,GF_S4_MC_RCG_2_neg_20210511_Run91.mzML Peak area,GF_S4_MC_RCG_3_neg_20210511_Run171.mzML Peak area,GF_S4_MC_RCG_1_neg_20210511_Run71.mzML Peak area,Unnamed: 19
670,406.16165112965615,1.1803549999999998,,,,58.0,,,,,,,22437.896,98877.58,47995.227,1518513.6,1824053.6,1302816.9,
2575,408.1849335981123,4.83219,,,,,,,,,,,127315.125,201425.72,225370.39,469037.34,357933.88,413977.03,
2564,408.1850021624112,4.792783999999999,,,,,,,,,,,97281.91,132178.1,169515.31,110121.68,101495.92,112525.43,
2246,409.1108916131136,3.5780733000000002,,,,,,,,,,,47083.273,111371.08,88184.15,891924.7,776747.94,836765.6,
2140,409.11095795808404,3.3701803999999997,,,,,,,,,,,49475.88,26336.264,30107.408,1590485.9,1389533.4,1572672.5,
2969,409.23570433386004,7.274770299999999,,,,,,,,,,,284280.9,841343.25,49303.895,107591.125,65924.69,1085633.4,
2956,409.235791496606,7.188257000000001,,,,,,,,,,,518053.9,2542123.0,142037.52,65705.516,231956.5,351698.53,
3106,409.23597836664237,7.680747500000001,,,,,,,,,,,194122.8,1036159.3,104234.09,123472.3,131673.66,451540.62,
1796,409.2455566712384,2.959366,,,,36.0,,,,,,,2790502.2,3358330.5,2939766.0,1115687.5,767713.1,557520.9,
1355,409.2455647043512,2.4899622999999997,,,,69.0,,,,,,,4005580.2,4748138.0,3893242.8,2840479.2,2888829.2,3313629.5,
3343,409.3322591844976,8.453315,,,,,,,,,,,151230.03,49414.617,140046.39,0.0,34632.363,101652.04,
3378,409.3323253929741,8.670502,,,,,,,,,,,10276738.0,6548908.0,9799880.0,2388246.0,5843108.5,8381184.0,
3394,409.3685789927487,8.822386,,,,,,,,,,,1183446.6,602700.6,935917.06,667561.7,586816.1,1253026.6,
2634,410.2005400650552,5.0647793,,,,,,,,,,,111668.52,265998.62,326551.34,536858.94,533446.0,501352.34,
2614,410.2005484930729,5.026807,,,,,,,,,,,97392.984,187353.22,232126.38,529469.9,534427.1,548550.75,
2680,410.2207806969415,5.359983000000001,,,,,,,,,,,0.0,74738.016,21866.574,89832.37,58754.277,1041955.56,
2698,410.30227392196116,5.4488025,,,,,,,,,,,474277.88,413765.38,519216.03,242656.48,201152.92,213349.66,
2171,411.2249562758106,3.4211837999999997,,,,67.0,,,,,,,1543443.5,1776582.0,1702140.2,2377353.8,2342173.5,2190885.2,
3189,411.34781647186907,8.00623,,,,,,,,,,,114922.04,93782.33,108387.664,45680.617,118353.93,121115.805,
3310,411.3478194409622,8.290675,,,,28.0,,,,,,,153779.39,71822.33,110421.14,138485.36,139302.3,203682.97,
3012,411.34782057473336,7.545502000000001,,,,61.0,,,,,,,695591.1,320841.5,620806.75,356768.56,497527.78,280528.44,
3363,411.3478744622756,8.523114999999999,,,,,,,,,,,641118.6,230603.48,514847.3,0.0,140605.39,391059.94,
3325,411.38416172920313,8.403971,,,,,,,,,,,385337.12,251558.33,312580.16,144693.72,170811.36,295890.2,
3420,411.38428079724673,9.22717,,,,53.0,,,,,,,9692987.0,4324706.0,7089456.0,902095.06,792624.5,944710.75,
2122,412.16161140820935,3.3416588,,,,,,,,,,,353062.3,168707.98,205233.92,30609.666,129124.38,8356.77,
2002,412.16169251878534,3.1960322999999997,,,,,,,,,,,344012.72,168702.81,152815.1,11469.5625,133329.47,29141.85,
1206,412.2200240880793,2.3595639999999998,,,,49.0,,,,,,,1467747.4,1648056.2,1974324.9,1578059.1,1554275.1,1614723.8,
1370,413.23997288216873,2.4822042,,,,69.0,,,,,,,818074.94,1055617.9,1019597.06,160707.03,102282.5,82652.53,
3370,413.36354315795165,8.612993,,,,,,,,,,,4618092.5,1963397.4,3292970.5,757595.56,666211.2,1229021.2,
268,414.17798871469114,0.5833213,,,,,,,,,,,118371.01,125299.12,520939.78,492061.22,184129.89,347494.47,
557,414.2143050595055,1.0107201,,,,,,,,,,,207592.44,2499117.8,1573335.9,63485.437999999995,209986.38,166409.08,
640,414.21431343407056,1.0628811000000002,,,,,,,,,,,2017049.6,234274.47,244019.25,63485.437999999995,113540.1,183322.83,
1359,415.1835714030776,2.4951327,,,,69.0,,,,,,,284424.6,428165.62,758602.56,1538361.2,1008216.2,1231389.0,
1310,415.2196987519667,2.462325,,,,69.0,,,,,,,429004.9,1251112.9,1662853.4,845704.4,833888.5,837804.0,
2780,415.28134341925863,5.9767113,,,,,,,,,,,439529.38,574719.3,820431.56,73200.586,60265.484000000004,60914.765999999996,
1572,418.12893481339205,2.6855671,,,,,,,,,,,678723.06,673138.56,759592.44,2104673.2,2237597.5,2488240.2,
1364,418.12928686941666,2.4850323,,,,218.0,,,,,,,248514.72,0.0,7931.509,1250004.9,1293198.1,1336484.9,
3006,419.1082297545016,7.456117,,,,162.0,,,,,,,488354.34,540221.9,715289.94,511763.22,642624.94,479292.84,
3122,419.10825481170446,7.6856046000000005,,,,4.0,,,,,,,237903.48,200757.89,336883.28,226699.05,258314.25,240765.14,
856,420.09029941568,1.7061821,,,,,,,,,,,106010.734,38746.684,1133502.4,0.0,0.0,0.0,
1098,420.0904389022755,2.2242715,,,,91.0,,,,,,,1840290.6,2601821.0,3464613.5,3843919.0,2903704.2,2611411.0,
2683,420.25026195499663,5.358894,,,,208.0,,,,,,,256355.0,743763.56,456892.97,907263.4,816030.25,5698791.0,
3007,421.1052230434652,7.456947,,,,162.0,,,,,,,634140.2,692632.6,931157.44,669606.8,829439.1,622492.25,
3134,421.1052319935348,7.687972500000001,,,,4.0,,,,,,,320348.44,253550.97,450384.38,286285.53,335062.97,333481.1,
3050,423.3091717667273,7.655823,,,,4.0,,,,,,,1061218.4,622581.75,899910.3,381407.0,649616.1,990113.44,
2571,424.2453669485519,4.823568,,,,,,,,,,,243608.98,331676.5,396593.62,234825.06,236703.73,202453.22,
2728,424.2468765879409,5.605066000000001,,,,,,,,,,,976653.8,1128392.0,1276188.9,347582.7,251644.55,295669.44,
1563,425.2041757706209,2.6817894,,,,,,,,,,,7304132.5,8362936.5,7860147.5,7091609.5,6924134.5,7084969.5,
