"MetaboAnalyst_ID","X2024_NEG_CC_1_Run21.mzML","X2024_NEG_CC_2_Run48.mzML","X2024_NEG_CC_3_Run62.mzML","X2024_NEG_CC.AZA_1_Run24.mzML","X2024_NEG_CC.AZA_2_Run39.mzML","X2024_NEG_CC.AZA_3_Run71.mzML","shared_name"
"42/265.0176mz/3.18min",2.75676414409117,2.74084038912104,2.75635299973593,2.76629926036755,2.76212886917261,2.72967725847149,"42"
"43/212.0353mz/3.3min",2.63707218297902,2.76400429998108,3.15896495765915,2.64045611404528,2.86665816385412,2.79437126708092,"43"
"45/421.0056mz/3.41min",2.72742739554425,2.68168958728227,2.69741178486115,2.6996039876817,2.73041218241371,2.69056433963621,"45"
"46/249.0227mz/3.49min",2.99972110865063,2.98556841235194,2.99855894891823,3.07504428571604,3.04924878660484,2.98501059963623,"46"
"48/582.981mz/3.54min",2.11367267556048,2.06402071255856,2.06596309111434,2.10688942395226,2.09581878417428,2.05673379927245,"48"
"51/560.999mz/3.54min",2.84318668280433,2.81081367334934,2.82278209908447,2.85878796445962,2.82842364547984,2.79366858287881,"51"
"52/213.0386mz/3.54min",2.65653784146393,2.5807942690095,2.45653000915825,2.52602887166978,2.55201241676514,2.56424923238754,"52"
"53/212.0353mz/3.54min",3.55600008349184,3.48094052335743,3.37338507990829,3.55213112284435,3.61406971277947,3.46496643302744,"53"
"55/405.0107mz/3.62min",3.4936615307656,3.47854694644027,3.50062475447408,3.51861650323754,3.50121124728693,3.48658352447383,"55"
"56/407.0044mz/3.62min",2.34318802317456,2.30673619245149,2.33886583176609,2.34300470809579,2.34317809230872,2.31473639249668,"56"
"58/406.0138mz/3.62min",2.77627771643569,2.74358007570228,2.81180374047865,2.76244190585927,2.76568162991552,2.76180851716471,"58"
"60/421.0056mz/3.86min",1.92755646679237,1.91126602639599,1.90468411564579,2.00771999487884,1.8823071586203,1.95341974610977,"60"
"61/309.1014mz/4.02min",1.86218171996046,1.83621420637124,1.84276999822116,1.88015035928101,1.85770389497146,1.85735724874125,"61"
"62/605.0258mz/4.07min",2.16703157331,2.04494603921238,2.11772444364927,2.18689490210934,2.08942053336132,2.04672780753152,"62"
"64/421.1867mz/4.15min",2.28180885475607,2.13508151466234,2.23951532228448,2.2559773643864,2.28459480379815,2.13829195065539,"64"
"70/242.1762mz/4.43min",1.9202497231492,1.91104829967361,1.93350341120727,1.93944504922272,1.9444342911686,1.87783530680217,"70"
"71/497.0371mz/4.44min",2.23686556754376,2.19242095415645,2.25378178783087,2.25014913359761,2.19186398483095,2.16254466151237,"71"
"74/793.0186mz/4.49min",1.99434263860356,2.03828534132061,2.23229089073768,2.03832019582201,2.01379522910339,2.14414036329942,"74"
"76/341.0486mz/4.56min",2.12957479085869,2.07601452678065,2.12052409885944,2.12067746092065,2.09422808194913,2.04720716455845,"76"
"77/404.0444mz/4.56min",1.9020485230808,1.8761494112552,1.86869981465132,1.88016009890741,1.86342319048944,1.8632796096816,"77"
"78/422.9768mz/4.56min",2.15256257175738,2.10594088493079,2.13382987879091,2.12797105424293,2.115548561759,2.0867119186501,"78"
"81/653.0255mz/4.57min",1.95914096148279,2.02565147069008,2.17461217833516,2.01018079005709,2.00510061315513,2.08695922632488,"81"
"82/497.0371mz/4.67min",2.33648340069847,2.37439519441957,2.52225129184614,2.39102826282378,2.37560026364098,2.4184973653231,"82"
"84/229.9645mz/4.74min",2.99667218456567,3.00593556164325,2.99544174088883,2.98853971618486,2.99315186602175,2.98262716467928,"84"
"85/228.9699mz/4.74min",1.91135380574855,1.88812346420031,1.90925512244421,1.89831098158091,1.91808291644668,1.8894525148,"85"
"86/230.9678mz/4.74min",1.8957161843975,1.90643426521908,1.89599386172758,1.90618056455822,1.89256338131074,1.89279780932816,"86"
"87/266.9888mz/4.76min",2.44570302696686,2.41507484247233,2.38537356332356,2.4157269825705,2.42990959044215,2.37691196261638,"87"
"88/268.9857mz/4.76min",1.97188401803208,1.94212008040713,1.90809406030469,1.92382034302587,1.93550930343412,1.89127247137834,"88"
