"","filter","2024_NEG_CC_1_Run21.mzML","2024_NEG_CC_2_Run48.mzML","2024_NEG_CC_3_Run62.mzML","2024_NEG_CC-AZA_1_Run24.mzML","2024_NEG_CC-AZA_2_Run39.mzML","2024_NEG_CC-AZA_3_Run71.mzML"
"176/506.3253mz/6.84min",56001.1925,73450.65,29290.664,67937.4,55308.105,56694.28,34142.598
"177/690.5081mz/6.84min",190252.405,28916.678,144583.39,28916.678,989899.06,235921.42,4673450
"178/846.1694mz/6.89min",199337.63,264970.97,259154.84,210270.86,183964.64,133690.86,188404.4
"179/299.2592mz/6.9min",1152028.8,1381080.1,789359.4,1129585.2,1174472.4,1204776.1,733682.94
"180/718.1446mz/6.91min",1664897.4,2079944.8,1988720.1,1797253.2,1532541.6,1329127.4,1513584.5
"181/634.4456mz/6.86min",261865.87,2215181,367107.66,741169.1,137283.94,132416.44,156624.08
"182/701.1544mz/6.93min",1497027.4,1460637.8,1087938.4,1153093.6,1957517.1,1900185.2,1533417
"184/506.3252mz/6.95min",266413.05,350362.84,155509.84,330003.3,277212,255614.1,165722.48
"185/893.1921mz/6.97min",128869.295,130107.67,88092.734,101601.46,165680.98,164602.61,127630.92
"187/765.1669mz/6.97min",1307340.45,1274761,978850.2,1051485.1,1586332.4,1584863.8,1339919.9
"188/325.1844mz/7.02min",558737.155,681455.2,559043.25,277759.88,519320.16,758548.06,558431.06
"189/782.157mz/6.99min",1189042.3,1539943.1,1502992.6,1321836.4,1031228.7,906296.9,1056248.2
"190/637.1419mz/7.01min",407481,378073.94,303270.38,297694.16,512106.8,464603.88,436888.06
"191/654.1321mz/7.01min",368681.95,494623.3,417368.72,394387.34,342976.56,244726.5,322560.5
"193/271.2279mz/7.02min",98060.25,107667.586,64508.71,98072.875,98047.625,118706.45,58428.78
"195/974.1944mz/7.03min",89398.91,107611.22,105920.06,79763.15,66907.93,38788.223,99034.67
"196/297.2436mz/7.05min",43361.545,56548.3,32786.95,42907.766,43815.324,56909.25,28557.66
"198/846.1693mz/7.05min",953180.23,1345833.6,1181344.4,1034757.06,832089.56,820457.4,871603.4
"199/829.1793mz/7.05min",834534.42,560772.94,697226.44,516600.7,1104876.9,1120006.6,971842.4
"200/1131.5713mz/7.07min",264238.89,391379.3,227956.94,306260.06,271480.9,256996.88,140961.88
"201/565.2823mz/7.07min",3357780.85,4275468.5,3070236.8,3672834.5,3446379.2,3269182.5,2443143.5
"202/628.2779mz/7.07min",396612.5,541845.3,399700.44,474629.47,393524.56,392599.94,308481.75
"203/750.5293mz/7.1min",1034148.75,6408.728,1015836.5,32043.64,8467589,1052461,10076160
"204/701.1544mz/7.09min",747470.2,633211.5,594818.6,503871.22,1046915.4,966945.1,861728.9
"205/893.1918mz/7.11min",473069.34,406572.78,359201.22,329077,598281.6,597606.7,539565.9
"206/718.1445mz/7.11min",831511.405,1018797.2,944577.1,920326.56,742696.25,607078.44,686963.2
"207/910.1819mz/7.11min",820053.75,1033536.75,970170.44,921434.94,718672.56,588123.6,620478.6
"208/782.157mz/7.14min",1047471.4,1433329.9,1154045.8,1226037.1,940897,762454.94,821843.5
"209/765.1668mz/7.15min",994739.5,842092.8,658899.6,569113.25,1431138.1,1310825.6,1147386.2
"210/974.1942mz/7.15min",487806.865,637664.1,544151.2,601519.94,431462.53,340405.53,383093.88
"211/957.2041mz/7.16min",317329.65,243276.08,227653.95,191187.2,464853.62,454653.53,391383.22
"212/325.1844mz/7.23min",369015.64,771818.06,375933.88,331451.84,241712.52,393951.2,362097.4
"213/716.524mz/7.22min",14305715.44,39895.144,456784.88,199475.72,40722876,28154646,32880728
"214/829.1793mz/7.22min",988441.45,712441.4,810228.7,601849.06,1376848.2,1251562.8,1166654.2
"215/846.1694mz/7.2min",939228.03,1189718.9,1027176,1102724.8,851280.06,666429.6,676900.7
"216/1021.2165mz/7.2min",177780.037,94627.56,126281.734,104691.37,272887.47,240971.6,229278.34
"218/421.2264mz/7.22min",1476420.35,1746980.5,1348720.8,1459535.8,1652126.1,1493304.9,1403334.5
"219/717.5272mz/7.24min",6222341.375,1176.617,235552.75,5883.085,17773494,12209130,13999806
"220/271.2279mz/7.23min",56821.085,110824.055,19309.414,44293.64,69348.53,73908.44,33448.957
"221/750.5292mz/7.2min",787644.075,11135.7454,5020343.5,55678.727,1927369.6,489956.25,1085331.9
"222/910.182mz/7.25min",623483.32,812440.2,670823.94,695453.3,576142.7,179547.05,410609.12
"224/893.1918mz/7.28min",1045966,959961.4,949905.25,798476.25,1264569.8,1235771.9,1131970.6
"227/974.1942mz/7.3min",295313.96,526122.8,403348.22,248745.39,218478.17,268847.12,321780.8
"229/134.8947mz/7.3min",581396.55,973941.6,532409.44,694814.2,572720.2,333015.47,590072.9
"230/116.9286mz/7.3min",652649.25,631202.44,839607.25,425759.62,499565.2,674096.06,728544.7
"231/327.127mz/7.3min",414320.47,684717.25,428707.94,579598.2,399933,280441.53,333891.16
"234/957.2041mz/7.32min",989102.7,986759.4,949056.3,790959.75,1061782.9,994073,991446
"235/701.1543mz/7.33min",173481.2,192599.95,165374.25,139067.83,193124.94,172396.28,174566.12
"236/1021.2165mz/7.33min",721322.725,734050.25,698108.94,589618.4,828780.94,846993.1,708595.2
"237/245.8947mz/7.35min",2503.7958,12518.979,2503.7958,147436.88,2503.7958,2503.7958,2503.7958
"238/195.8109mz/7.36min",42582.784,42582.784,42582.784,212913.92,42582.784,42582.784,42582.784
"239/197.8079mz/7.36min",55709.14,55709.14,55709.14,278545.7,55709.14,55709.14,55709.14
"240/243.8996mz/7.32min",26357.863,123518.81,42743.773,358852.88,4405.948,881.1896,9971.953
"241/765.1668mz/7.37min",318239.64,308910.38,327568.9,251471.95,402596.3,364919.3,303494.22
"242/782.1571mz/7.37min",104121.985,182637.08,117734.69,146332.42,90509.28,60320.63,74240.56
"243/846.1694mz/7.4min",146932.143,240288.77,171629.27,204489.31,121380.36,99003.47,122235.016
"244/829.1793mz/7.4min",365464.63,359697.16,332707.75,217189.1,460460.1,516707.44,371232.1
"245/694.4669mz/7.42min",11951087,17336508,8635586,15176437,11649691,12252483,7755415
"246/447.3075mz/7.46min",131823.453,169792.36,111865.5,174851.34,124374.266,139272.64,111149.055
"247/910.182mz/7.43min",172281.33,245553.72,194867.58,191937.72,152624.94,123843.36,108123.055
"248/430.3172mz/7.44min",265582.025,272284.72,269242.6,276016.75,194768.66,261921.45,233764.14
"249/974.194mz/7.43min",103233.135,148274.03,147046.16,117270.92,88512.29,89195.35,88194.625
"250/711.457mz/7.42min",797830.2,2306088.8,744679.8,1987839,850980.6,701116.2,625260.4
"251/893.1917mz/7.44min",460170.71,486137.25,463943.2,394202.44,556764.2,447407.94,456398.22
"252/957.204mz/7.46min",501024.11,577123.25,509992.34,492055.88,576892.25,479666.22,482193.97
"254/1021.2165mz/7.48min",440291.46,537783.75,440395.12,415731,501892.44,440187.8,425875.25
"255/430.3172mz/7.5min",321484.6,476947.94,239915.45,319809.8,323159.4,348568.34,175791.03
"256/447.3075mz/7.53min",302218.175,421367.6,214176.55,308145.88,296290.47,368815.66,176432.45
"257/161.9136mz/7.56min",392634.1,571088.25,455602.4,358223.8,321344.75,276173.12,427044.4
"258/134.8947mz/7.56min",2035160.1,2355043.2,2061461.2,1914831.9,2256191,1879615,2008859
"260/501.3546mz/7.59min",2285395.15,2889139.2,1496521.6,2334772.8,2236017.5,2752015.5,1607138
"261/484.3644mz/7.6min",880792.55,1209560.2,590624.4,917544.1,844041,941690.25,586160.75
"262/299.2592mz/7.6min",395528.875,517657.3,297108.78,436065.16,369512.75,421545,239503.39
"266/742.5396mz/7.7min",274438.965,15809.754,15809.754,79048.77,1325511.5,5054564.5,469829.16
"267/122.9758mz/7.68min",102155.455,129808.84,86957.734,93194.33,111116.58,123662.72,87786.11
"268/455.2106mz/7.68min",731135.15,1022370.25,546547.8,801581.94,770531.2,691739.1,483765.5
"269/186.9706mz/7.68min",252377.74,264990.75,228435.4,247537.62,264018.72,257217.86,235979.97
"270/116.9286mz/7.68min",2858841.8,3511324,2529460.8,2993136.2,2935219.8,2782463.8,1699510
"271/716.524mz/7.67min",3994357.1,22370.73,11403737,111853.65,5556334.5,2754440.2,5234274
"272/115.9208mz/7.68min",1092389.75,1454585.4,868638.5,2367393,610408.9,1145857.6,1038921.9
"274/134.8947mz/7.69min",2296373.3,2403186.8,2294143.8,2298602.8,2434642.2,2094517.8,2272006.5
"276/161.9136mz/7.7min",414105.16,413790.38,414419.94,730192.1,392900.03,311315.25,801072.25
"277/720.4824mz/7.79min",745977.875,601669.75,533374.06,890286,894779.44,1081023.6,462839.66
"278/299.2592mz/7.78min",28267.4755,96527.62,12159.191,20990.783,35544.168,43960.195,19315.688
"279/742.5396mz/7.8min",301234.86,11366.876,56834.38,73665.66,2481237,1306321,528804.06
"280/100.9337mz/7.83min",839221.72,661730.56,743749.5,2152338,576123.56,1418729.1,934693.94
"281/161.9136mz/7.83min",308961.74,363944.34,313101.78,322473.06,304821.7,240593.25,303462.2
"283/355.158mz/7.84min",3396371.9,5181977.5,2858076,3674641.2,3351975,3440768.8,2272267.5
"284/144.9235mz/7.84min",2671159.65,3223718.5,2571170.5,2811093,2771148.8,2508999.5,1868924.5
"285/115.9208mz/7.84min",3905925.5,5156863,3592083.5,5494121,4219767.5,3474899.8,3288127.5
"287/578.3829mz/7.84min",310038.595,537635.8,281214.78,451221.06,308876.94,311200.25,221701.84
"288/186.9706mz/7.84min",377172.86,395209.28,355512.16,393394.06,350748.25,396372.97,360951.66
"289/122.9758mz/7.87min",127322.22,190800.8,130429.98,108767.945,163292.45,84732.375,124214.46
"290/703.5632mz/7.87min",161700.49,204662.1,126549.28,147436.88,175964.1,194033.28,101083.44
"293/685.5011mz/7.86min",168793.525,196996.38,118310.266,140590.67,198300.06,204863.62,111048.58
"294/134.8947mz/7.86min",1382865.15,1313767.5,1313725.6,1422707.4,1478350.9,1397508.8,1368221.5
"295/634.4456mz/7.9min",11709958,17272704,9653180,14152182,11308386,12111530,8356095
"298/567.4017mz/7.93min",487606.6,644376.44,375720.56,402892.1,572321.1,576067.44,307414.78
"299/100.9337mz/7.95min",1482416.8,1346549.8,1618283.8,1891711.1,768609.2,1137083.9,2425631.5
"300/685.5011mz/7.93min",1212438.9,1384855.6,1021663.5,1071591.6,1481055.1,1353286.2,1027333.9
"301/573.4122mz/7.93min",269502.32,218183.5,250649.98,288354.66,355973.75,351872.62,249719.34
"303/122.9758mz/7.95min",232588.485,259761.42,188347.1,236951.31,235983.45,229193.52,180020.6
"304/180.9812mz/7.94min",251408.07,234355.89,203267.44,295909.3,268460.25,291959.44,210886.39
"305/281.2486mz/7.94min",211066.63,400204.72,137909.22,223156.5,199619.6,222513.66,108783.414
"307/379.1792mz/7.94min",369817.325,614135,316152.62,443947.94,358373.75,381260.9,266839.94
"308/381.1737mz/7.94min",7992819,12026891,6593789,8592809,7877719,8107919,5209654.5
"310/383.1778mz/7.94min",289929.715,487479.2,254442.86,327749.84,294294.9,285564.53,215492.33
"312/668.5112mz/7.94min",280720.12,517202.06,173843.86,257369.77,304070.47,310451.94,126646.14
"313/115.9208mz/7.95min",5188698.5,5215941.5,4280714.5,5161455.5,6886082,5019859.5,5308684.5
"314/144.9235mz/7.95min",2588979.3,3009317.8,2621249.8,3623765,2556708.8,2329410.5,2392320.5
"315/186.9706mz/7.95min",576374.55,578678.75,546710.2,577833.9,555497.94,574915.2,582727.2
"317/703.5633mz/7.96min",310744.61,318556.75,234166.16,306740.06,314749.16,344673.3,258225.8
"318/161.9136mz/7.97min",382874.88,431427.06,360505.9,429453.44,388774.38,334343.78,376975.38
"320/134.8947mz/7.97min",2472825.25,2651161.5,2377956.5,2567694,2611009.8,2211534.5,2166331.2
"322/720.4823mz/7.98min",28753.7475,80359.63,6244.365,121732.8,49039.215,8468.28,5780.5415
"325/742.5395mz/8.02min",946753.4,116989.64,584948.2,116989.64,3997968,1308558.6,4408322
"326/134.8947mz/8.06min",1593453.75,1968338.2,1925549.8,1645648.4,1541259.1,1207261.2,1415502.1
"327/186.9706mz/8.06min",260438.015,318090.03,285906.47,207863.12,234969.56,319735.9,221490.81
"329/529.3859mz/8.07min",1230383,1635350.4,752821.75,1209784.9,1250981.1,1389545.2,916358.8
"330/669.5061mz/8.07min",447228.485,649242.75,311647.12,449642,576997.8,444814.97,314748.84
"331/512.3957mz/8.08min",341498.62,432822.66,219883.14,325990.62,357006.62,358878.66,282309.25
"332/652.516mz/8.08min",212806.405,322104.06,153865.92,212090.19,272224.16,213522.62,145546.9
"333/660.4613mz/8.09min",5148119,6925559,4180439,5830251,4988842.5,5307395.5,3679155.2
"334/100.9337mz/8.16min",701948.95,759258.7,218933.47,1294304,225107.55,644639.2,848658.1
"335/703.5633mz/8.16min",860446.3,927997.2,851485.7,869406.9,1103356.8,810079.9,470033.8
"336/683.4854mz/8.18min",664141.03,891626.9,440251.56,592989.5,789907.7,735292.56,420072.03
"337/100.9337mz/8.22min",795739.03,1755621.1,895883.75,876193,698015.8,715285.06,486616.6
"338/667.4909mz/8.21min",216516.225,287403.12,165385.25,208250.97,260538.12,224781.48,137333.78
"341/100.9337mz/8.26min",853362.82,805405.94,1220602,2495451.2,500521.88,816838.94,889886.7
"344/703.5633mz/8.28min",1446692.8,2041118.4,1413211.8,1662352.1,417884.22,1480173.8,529025.4
"346/180.9812mz/8.28min",280454.88,221794.52,195598.72,313835.38,326972.53,326585.12,247074.38
"347/381.1949mz/8.28min",171940.72,290946.12,125091.016,198975.56,177994.14,165887.3,125871.17
"349/115.9208mz/8.28min",10126772.5,15939919,11631265,10189245,10064300,9779819,7246739.5
"350/144.9235mz/8.28min",7538919.5,8339973,7705497,7372342,7089198,5064005,8073605.5
"351/650.5003mz/8.28min",126923.18,374424.53,66065.734,148996.69,119587.69,134258.67,41040.016
"354/186.9706mz/8.28min",1388972.55,1379549.6,1402241.4,1461867.8,1322917,1398395.5,1203322.5
"355/383.1893mz/8.28min",3562236,6036727.5,2595960.8,4178555.2,3692568,3431904,2588815.5
"357/122.9758mz/8.28min",206740.235,277312.34,171340.14,199805.2,213675.27,221136.05,154153.67
"358/134.8947mz/8.29min",4569598,5096363,3577977.2,5017768,4694928,3857606.2,4444268
"359/683.4855mz/8.29min",404502.91,476523.2,304177.78,341733.22,467272.6,549558.6,285576
"362/161.9136mz/8.31min",1094118.375,1030833.75,905500.25,1320749.2,1194035.6,1046007.25,1142229.5
"363/100.9337mz/8.31min",1023731.15,1122458.5,809188,1675860,1817947.9,705888.8,925003.8
"364/667.4906mz/8.28min",1077723.55,1188587.5,913566.8,966859.6,1277752.6,1267691.8,718560
"365/681.47mz/8.37min",62636.312,65250.914,57848.086,93400.52,60021.71,125998.99,49193.656
"366/713.5323mz/8.35min",450139.75,491007.72,235356.27,409271.78,491968.34,521983.94,265131.72
"368/662.4769mz/8.45min",20187.114,20187.114,20187.114,20187.114,100935.57,1250492.1,20187.114
"369/648.4607mz/8.38min",424449.08,443367.1,327589.84,405531.06,487472.06,524621,317888.78
"370/134.8947mz/8.39min",1842585.55,1913497.9,1840936.1,2364712.2,1844235,1366113.2,1297688.6
