"MetaboAnalyst_ID","X2024_POS_Y.EV_1_CTRL_Run88.mzML","X2024_POS_Y.EV_2_CTRL_Run117.mzML","X2024_POS_Y.EV_3_CTRL_Run138.mzML","X2024_POS_Y.p10_1_Run103.mzML","X2024_POS_Y.p10_2_Run129.mzML","X2024_POS_Y.p10_3_Run144.mzML","shared_name"
"574/294.0607mz/3.0min",1.45046086619407,1.49381249113534,1.87886623201497,1.53993686145008,0.876920826243012,1.53157488047324,"574"
"575/312.0713mz/3.0min",2.3103622198688,2.33969681673463,2.71150552563524,2.38504611772591,1.77231502939091,2.36206787805757,"575"
"576/334.0533mz/3.0min",1.46942411779923,1.51929761555156,1.84239877742956,1.57151516437264,0.904620594381906,1.5521780036941,"576"
"579/231.1703mz/3.07min",2.33446323325131,2.33919270941765,2.74232887117754,2.43656035649269,2.46761030245502,2.41945405335622,"579"
"587/427.1685mz/3.27min",1.44027852501439,1.44980346041769,1.89855486961547,1.57190567645987,1.65868635578285,1.53750562785056,"587"
"588/405.1865mz/3.28min",2.47222173729593,2.46907297666848,2.81014073895196,2.56493613836853,2.64701842450719,2.53996211180821,"588"
"590/240.0866mz/3.34min",1.89795596051244,1.91040723384453,2.25045762826319,1.74077905184169,0.672016881255555,1.87579328246672,"590"
"591/245.1859mz/3.36min",1.71219841387353,1.72952435634274,2.12631281903244,1.81955533435587,1.86760370096821,1.79760851936936,"591"
"592/182.1903mz/3.37min",1.77951291538751,1.70539263633288,1.90468716111756,1.67629783819915,1.67864382773257,1.75879947310675,"592"
"594/217.107mz/3.43min",1.68434216465207,1.69922755707593,1.67901155539813,1.54826453754699,1.38324693277907,1.61014647777626,"594"
"595/196.0968mz/3.47min",2.07078648327213,2.03803048978562,2.22228504422865,1.61908865165783,0.637102100473385,1.39410783863562,"595"
"596/228.2321mz/3.48min",1.8270457392024,1.78854167603926,1.9264766449122,1.80033899392264,1.76049545993857,1.75382229619163,"596"
"597/246.1699mz/3.48min",1.52485586429034,1.49722095414258,1.47852867921408,1.51429850362371,1.48715019133391,1.56215258493127,"597"
"601/213.1597mz/3.53min",1.81244464687607,1.83128988942996,2.18839476873624,1.69275976782543,1.866521949204,1.84225663168972,"601"
"602/274.1648mz/3.54min",2.0542957583781,2.03039443687284,2.03593393583826,2.05963954405685,2.04963241131522,2.10302442518149,"602"
"603/419.2022mz/3.55min",1.8735498807895,1.88134349576274,2.2882135213023,1.98331087320545,2.0801372282864,1.96895526411272,"603"
"606/210.1124mz/3.59min",1.61482186826621,1.61914093467064,1.85191198546918,1.34138642791464,-0.121027707040698,1.1492045699528,"606"
"609/228.2321mz/3.67min",2.53319181287305,2.51335975709024,2.64003889189913,2.48619869433501,2.48316944153619,2.48418487682356,"609"
"612/235.0865mz/3.7min",1.58627515148782,1.59512658095201,1.72306150135384,1.53155029173773,1.54827005013744,1.47731010971548,"612"
"613/402.2484mz/3.64min",1.50596495040297,1.60408591192367,1.78991710718499,1.55958695622993,1.6203956223532,1.58368730354061,"613"
"615/586.2703mz/3.72min",2.29525788835593,2.08409126227239,2.22694827129644,2.05422879914865,1.98483232909752,1.84122200379635,"615"
"618/233.0784mz/3.85min",1.86217742147429,1.79712718154273,1.7817183770087,1.77655778748948,1.61150597224602,1.75793894437366,"618"
"619/296.1182mz/3.86min",2.1172209863492,2.11307397777613,2.21241721962639,1.99077521536343,1.95965791263454,1.92684805628927,"619"
"620/246.1699mz/3.93min",1.8235126305513,1.83894526754053,2.39954099554479,2.10226692110345,1.97197237567812,2.35630188190263,"620"
