"","filter","2024_POS_CC_1_Run20.mzML","2024_POS_CC_2_Run47.mzML","2024_POS_CC_3_Run61.mzML","2024_POS_CC-AZA_1_Run23.mzML","2024_POS_CC-AZA_2_Run38.mzML","2024_POS_CC-AZA_3_Run70.mzML"
"141/245.1284mz/3.39min",3268738.9,3259170,2998391.5,3290411.8,3591314,3278307.8,3042570
"142/228.2321mz/3.46min",392636.885,374266.97,387021.8,435638.53,398251.97,354615,400984.28
"143/264.1335mz/3.47min",903624.77,1062805,737559.6,876122.44,931127.1,1115428.8,332434.2
"146/214.0499mz/3.54min",25847793,27752528,21875316,26346566,25349020,28440298,21684724
"147/274.1648mz/3.54min",820997.5,835814.9,809188.4,832806.6,797095.9,781406.2,841521.7
"148/228.2321mz/3.54min",151878.57,147417.58,139505.05,161905.42,156339.56,134636.06,157084.73
"149/215.053mz/3.54min",2381570.5,2483226.5,1904962.6,3271536,3084808.8,2279914.5,1791758.5
"150/228.2321mz/3.66min",1953829,1943579,1970114.9,2159286.5,1904914,1776090.4,1964079
"151/246.1335mz/3.67min",207336.42,215748.77,202918.1,201266.3,208701.12,205971.72,218075.44
"152/586.2703mz/3.73min",906904.52,1014120.25,897805.44,367355.75,786174.75,1025183.75,916003.6
"153/320.1703mz/3.75min",54395.5515,70265.625,54729.83,52197.117,56879.754,54061.273,50556.5
"154/195.1379mz/3.83min",91175.132,77177.36,83246.664,99103.6,76909.14,131685.69,111584.36
"156/514.2855mz/3.98min",1048127.5,951709.75,1089534.6,1340759.6,950283.9,1006720.4,1190243.1
"158/320.1703mz/4.32min",4581681.75,6276044.5,4979478,4532468,4362284.5,4630895.5,3681898
"159/325.1257mz/4.32min",449431.55,694140.5,478547.88,467068.2,431794.9,352716.47,405247.1
"160/195.1379mz/4.34min",795671.25,826656.94,741257.94,812256.3,837890.7,758929.7,779086.2
"161/364.1965mz/4.4min",406802.315,492407.03,402542.47,407481.97,457882.12,406122.66,361088.9
"162/226.1801mz/4.43min",1226286.9,1213328.6,1208796.8,1239245.2,1331357.4,1288313.8,1135484
"163/244.1906mz/4.43min",828307.77,836944.6,809258.7,819670.94,914699.56,887771.25,791794
"165/408.2226mz/4.47min",499181.12,523569.12,495124.94,503237.3,541230.8,439352.72,426476.78
"166/214.1801mz/4.51min",453222.94,566948.5,409036.22,281583,607663.2,497409.66,183018.36
"167/412.2457mz/4.55min",39100.691,38495.562,35457.67,43226.742,33171.098,39705.82,42653.29
"168/392.1914mz/4.56min",2067384.85,2679363.2,2131720.2,2003049.5,2285184.8,1995230.9,1726917.1
"169/583.2912mz/4.61min",60060.667,144715.45,39467.914,25571.318,80653.42,117289.39,5946.8496
"171/246.2427mz/4.69min",339568.735,421906.94,241016.22,361673.1,353001.22,326136.25,203492.67
"172/583.2911mz/4.72min",31145.961,80093.15,28315.516,5795.407,33976.406,72922.29,1159.0814
"173/211.9705mz/4.74min",3133480.5,3010576.2,3086185.2,3181167,3258696.5,3180775.8,3073461.8
"174/232.9823mz/4.75min",624668,559345.1,622539.4,637876.25,648051.4,614343.1,626796.6
"175/213.9685mz/4.75min",3025587.75,2951436,2976733.5,3062890.5,3137186,3079320.2,2988285
"176/229.9811mz/4.75min",7501825.75,7010560,7350487,7657618,7691433,7537647,7466004.5
"177/231.979mz/4.75min",7464646.75,6890246,7271303.5,7597168,7641884.5,7506423,7422870.5
"179/230.9844mz/4.74min",630033.69,586435.44,618256.9,628901.94,631165.44,639740.75,636843.06
"181/270.2063mz/4.78min",366178.035,372678.72,331885.22,357785.06,408155.53,372006.97,360349.1
"182/656.071mz/4.79min",1249698.75,1124599.2,1268443.9,1618905.1,1230953.6,1134314.4,1523909
"187/551.2695mz/4.81min",433945.045,427248.25,440641.84,459741.7,469917.78,363841.56,392737.47
"188/568.2961mz/4.81min",13721997.5,14026671,13417324,14107290,14938220,12675558,12143041
"189/573.2513mz/4.81min",1209501.95,1187876.4,1231127.5,1249859.4,1312409.8,1057431.4,1084114.2
"190/570.3016mz/4.81min",863610.72,881437.44,845784,890951.25,937915.9,804559.9,752750.8
"191/274.274mz/4.85min",234648.445,286962.53,183454.72,226529.44,242767.45,279219.03,179699.19
"192/230.2477mz/4.87min",380572.155,430348.7,260901.88,379399.28,381745.03,450653.88,258225.55
"193/229.1991mz/4.88min",661556.375,664404.25,658708.5,552259.4,823355.3,666169,400695.16
"194/250.1777mz/4.88min",778859.4,782530.8,806940.25,665428.2,957253.7,775188,466440.56
"195/228.1958mz/4.88min",5009879.75,5062860,4957938.5,4184122.5,6272940,5061821,3085944.5
"196/158.1539mz/4.95min",769628.62,798888.1,761025.3,778231.94,786935.1,745732.75,740665.56
"197/640.3173mz/4.96min",662682.97,683654.5,641711.44,712445,757109.25,594156.6,569598.44
"198/257.211mz/4.99min",58679.0225,72377.35,40884.07,65931.67,58592.24,58765.805,40824.555
"199/398.23mz/4.99min",891926.98,986272.94,584495.2,932737.4,851116.56,951600,622354.4
"200/371.2742mz/5.0min",45731.905,56089.42,30918.408,60613.79,35374.39,57073.5,11827.618
"201/440.277mz/5.03min",2464028.15,2661892.5,1602689.8,2627320.8,2300735.5,2644829,1763683.4
"202/412.2458mz/5.06min",101590.708,122609.53,80857.24,115685.586,87495.83,126952.375,86206.195
"203/230.2478mz/5.09min",24792.6735,75506.43,44479.016,1113.63828,19762.137,5568.1914,29823.21
"204/398.2301mz/5.1min",3131433.5,3267316.8,2135922,3356334.2,2995550.2,3312610,2297428.5
"205/426.2614mz/5.11min",167188.265,185890.55,87180.02,172563.95,161812.58,184607.62,90473.47
"206/440.277mz/5.14min",8258301.5,8193631.5,6154331.5,9456741,8322971.5,9227597,7379945.5
"207/412.2457mz/5.17min",444144.815,484739.34,358331.8,528420.25,405277.97,483011.66,377576.28
"208/274.274mz/5.2min",309953.47,416781.6,240222.11,325205.22,308290.16,311616.78,193145.61
"209/387.1801mz/5.21min",355598.94,435207.62,353825.66,350158.44,282801.66,450711.2,357372.22
"210/404.2066mz/5.21min",370652.585,452540.28,363168.97,337792.12,293586.75,477284.75,378136.2
"211/426.2614mz/5.21min",300476.06,334620.34,158632.94,321417.06,291311.5,309640.62,197555.47
"212/752.4mz/5.3min",826720.52,1024753.75,598757.56,825044.6,828396.44,922427.4,544565.5
"213/583.2914mz/5.31min",8878.806,8878.806,8878.806,53795.195,8878.806,8878.806,44394.03
"214/482.2876mz/5.42min",466794.155,481890.78,265811.56,451697.53,589187.2,521134.97,347483.25
"215/426.2614mz/5.55min",852506.44,932896.2,571551.94,960616.5,776034.94,928977.94,594415.9
"216/371.2742mz/5.57min",532741.36,591540.94,420440.84,617121.25,473941.78,681146.4,284291.47
"217/468.3082mz/5.6min",220873.865,245384.17,162268,256384.77,217107.89,224639.84,176649.08
"218/678.3632mz/5.63min",414846.575,592393.4,293052.84,394728.75,434964.4,478845.03,304509.44
"219/297.2423mz/5.63min",91288.182,100100.42,57074.367,88048.13,94528.234,98244.81,62582.926
"222/446.2535mz/5.64min",299295.2,318903.28,348832.88,299378.1,211813.28,295264.16,299212.3
"223/415.2113mz/5.64min",1934638.85,2142358.5,2188887.2,1995079.8,1835091.2,1874197.9,1710218.1
"225/432.2378mz/5.64min",2259786.5,2571387,2528331,2266384,2152207.8,2253189,2025624.9
"226/581.312mz/5.65min",19384.1628,109619.49,4763.4956,952.69912,34004.83,44531.305,952.69912
"227/716.509mz/5.65min",666349.07,1154070.8,642122.44,812701.3,690575.7,479472.28,454541.28
"231/303.3087mz/5.65min",1522519,2123404.8,1267029.6,1692953.5,1509179.8,1535858.2,1048708.1
"232/284.2947mz/5.65min",212266.275,303447.9,162967.89,244343.67,212763.33,211769.22,140097.3
"233/302.3053mz/5.65min",8357199,11436500,6792641,8906008,8153556,8560842,5565822.5
"234/426.2613mz/5.66min",3566105,3733901.2,2512296.8,4075763.8,3398308.8,3925498.2,2778057.5
"235/307.2478mz/5.68min",451468.7,468750.2,449512.62,450707.34,468966.3,452230.06,431316.22
"236/371.2742mz/5.69min",381096.69,415180.28,294413.38,455190.56,347013.1,493614.62,185800.19
"237/468.3082mz/5.71min",987442.35,991197.1,755599.1,1152739.8,983687.6,1088073.1,887453.06
"238/440.277mz/5.74min",148271.045,172403.81,109346.3,163653.4,134897.84,161644.25,109869.29
"239/328.321mz/5.8min",355286.815,492394.56,282155.47,379713.75,353214.66,357358.97,212505.06
"241/583.2912mz/5.86min",514708.55,523684.66,318543.2,505732.44,554616.4,536029.5,271708.56
"242/356.3522mz/5.95min",178513.865,199470.02,141983.44,185759.89,171267.84,197074.77,97677.55
"244/583.2912mz/6.05min",661244.27,745941.1,433896.22,607413.1,715075.44,775763.6,388324.03
"245/583.2912mz/6.12min",344274.21,350579.72,213064.66,337968.7,355330.28,384480.9,208471.84
"246/454.2926mz/6.13min",1056555.25,1216362.2,761669,1232021.5,949258.7,1163851.8,877525.9
"247/371.2741mz/6.17min",628035.975,712887.75,451548.53,715216.4,543184.2,802799.44,268655.4
"248/257.2111mz/6.19min",186079.265,195239.31,130354.08,193383.67,190222.22,181936.31,61720.68
"249/496.34mz/6.19min",309161.66,303381.7,246698.89,355581.16,314941.62,354516.75,292965.75
"250/476.2744mz/6.24min",306056.87,341804.62,274416.44,356181,293809.8,318303.94,271874.16
"251/454.2926mz/6.24min",6614555.75,7430002.5,4988814,7518108.5,6047413,7181698.5,5503248
"252/358.3678mz/6.24min",741199.8,661248.3,692833.2,1627111.8,800860.4,789566.4,403599.22
"253/257.2111mz/6.27min",286082.315,286505.03,182462.7,292970.16,285659.6,314602.88,183688.6
"254/297.2423mz/6.27min",152508.13,148655.23,147407.62,180093.1,152657.9,152358.36,162666.4
"255/579.4036mz/6.27min",223822.12,280391.56,184503.02,217586.44,230057.8,242821.45,176435.42
"256/374.3627mz/6.27min",91806.578,78463.32,276921.25,699012.5,105149.836,77638.45,73801.09
"257/395.2766mz/6.3min",341951.04,382773.7,230807.28,355762.3,337499.88,346402.2,256865.66
"258/339.289mz/6.3min",88106.947,103611.766,53475.543,86666.98,97641.81,89546.914,56448.086
"259/480.3082mz/6.3min",3713884.1,4242481.5,2196170,3904135,3523633.2,3993797.8,2302520.5
"260/496.3397mz/6.3min",2898370.75,2989532,2241376.5,3375466.5,2807209.5,3387827.5,2649127.2
"261/502.2901mz/6.3min",188949.35,226039.31,116272.42,207855.53,180358.06,197540.64,124328.61
"262/482.3135mz/6.3min",138777.91,165691.4,79410.38,146634.22,134359.05,143196.77,83596.16
"263/440.4096mz/6.3min",518393.655,574250.06,553853.75,567721.44,482933.56,383381.06,441488.62
"266/468.3083mz/6.33min",359443,406468.56,285673.25,418912.16,313220.9,405665.1,296957.28
"267/544.3366mz/6.37min",42359.4315,53293.746,12665.543,50233.926,37125.23,47593.633,33293.066
"268/522.3552mz/6.37min",1083771.05,1212222.2,653791.06,1193402.6,1010027,1157515.1,723883.7
"270/483.3267mz/6.4min",51747.5525,73095.47,31377.074,68762.375,34732.73,76372.414,32779.062
"271/502.2901mz/6.41min",572427.52,629994.4,402938.12,603201.3,564042.44,580812.6,424195.97
"273/480.3083mz/6.41min",15192911.5,16565334,8651221,15998008,14764397,15621426,9833650
"277/959.6089mz/6.41min",540638.225,611287.4,206118.98,610481.4,520102.25,561174.2,260066.34
"278/482.3139mz/6.41min",469749.905,522022.28,288372.75,480881.78,481355.62,458618.03,325783.66
"279/583.2912mz/6.46min",981621.08,1024963.5,657958.94,997620.56,965621.6,1133973.4,641249.7
"280/353.2685mz/6.46min",1461886.3,1521326.8,922546.44,1814663.9,1402445.8,1680041.6,1307933.6
"281/440.3578mz/6.46min",97607.295,99839.71,96390.3,85232.69,102606.35,98824.29,92093.17
"282/393.261mz/6.46min",1219624.5,1339754.4,866359.3,1495963.1,1191842.8,1247406.2,1150812.1
"283/544.337mz/6.47min",243114.76,255326.72,179877.73,294052.8,230902.8,300441.34,229486.62
"284/508.3396mz/6.48min",35422.6075,41868.297,12540.226,38907.137,31938.078,144424.1,25424.027
"285/371.279mz/6.47min",779982.075,807974.25,502538.06,946421.2,751989.9,914984.5,731258.5
"286/522.3552mz/6.47min",4668288.25,4799610.5,3364305.8,5548329,4536966,5879831,4066098.2
"288/365.1358mz/6.54min",354687.7,522036.38,296426.28,462507.6,378400.12,330975.28,283911.28
"289/508.3395mz/6.56min",129915.26,146893.14,75806.875,133505.17,126325.35,212197.48,93284.37
"290/400.3055mz/6.6min",390745.36,451328.5,251977,413622.84,367867.88,443927.88,264905.8
"292/444.3317mz/6.61min",553345.9,650396.7,361575.25,588816.3,517875.5,625369,358070.3
"293/488.358mz/6.62min",558160.4,653631,337993.88,588299.9,528020.9,637498.5,364010.75
"294/532.3841mz/6.62min",451808.795,516246.6,284254.53,479786.34,423831.25,504810.84,296021.22
"295/576.4103mz/6.63min",277478.695,321578.8,170860.98,299187.72,255769.67,316332.34,187085.73
"296/313.1434mz/6.63min",512117.9,667083.25,374542.4,574642.25,482464.7,541771.1,385213.25
"298/669.3282mz/6.63min",37477.083,57947.742,17006.424,96160.99,119352.71,6077.118,5738.5244
"299/700.4884mz/6.66min",119660.313,9658.5352,48292.676,9658.5352,241769.98,4051313.2,191027.95
"300/702.4956mz/6.65min",91798.85,91798.85,91798.85,91798.85,91798.85,458994.25,91798.85
"301/358.2739mz/6.65min",853301.2,1072762.2,877293.44,819912.5,833413.7,873188.7,470889.25
"302/714.5036mz/6.66min",60698.309,6152.8796,30764.398,6152.8796,147689.9,146494.11,90632.22
"303/716.462mz/6.66min",41616.232,41616.232,41616.232,41616.232,41616.232,208081.16,41616.232
"304/398.2663mz/6.66min",318944.95,465436.38,330661.7,344556.2,307228.2,169304.69,182893.42
"306/583.2912mz/6.67min",1688484.2,1980099.9,966186.25,1593927.2,1783041.2,1795759.5,860178
"307/283.2631mz/6.67min",1930106.3,2036659.6,1440401.5,2189052,1823553,2266287.5,1403586.2
"308/522.3188mz/6.68min",916799.095,1167741.6,231827.39,956361.94,1208341.8,877236.25,350262.8
"309/265.2525mz/6.68min",344939.96,360203.2,259705.45,393826.16,329676.72,405305,238654.08
"310/482.324mz/6.71min",326785.43,388187.78,231938.73,366019.97,310312.66,343258.2,260645.9
"311/581.2755mz/6.71min",161290.17,201791.72,132075.48,184306.94,220730.86,138273.4,131879.1
"312/228.2322mz/6.72min",54896.133,60039.434,50845.383,61009.395,54815.598,54976.668,49004.312
"314/289.2161mz/6.66min",239309.265,237977.33,228754.78,427216.56,218287.72,261824.56,240641.2
"315/395.2767mz/6.76min",38284.8165,41471.047,29983.357,41791.73,83343.17,4783.5986,35098.586
"316/297.2423mz/6.77min",1451679.95,1471426.9,1163659.1,1768609,1431933,1357913.2,1593260.1
"317/567.2599mz/6.77min",657689.155,701683.2,693035.56,518358.88,975454.44,556995.9,622342.75
"318/319.2244mz/6.77min",689768.93,886726,655611.8,1019114,689886.06,216139.56,689651.8
"319/284.1337mz/6.77min",59604.7225,73940.195,53117.48,60785.402,58424.043,78893.836,42051.65
"320/279.2318mz/6.78min",627547.78,629786.56,482344.56,802216.6,625309,551035.7,702540.2
"321/581.2755mz/6.82min",196074.84,230446.7,172228.12,219921.56,247235,137068.6,135820.08
"322/482.3239mz/6.82min",2036996.6,2644683.5,1575998.1,2488383.5,1992870.2,2081123,1751068.8
"324/508.3395mz/6.85min",80748.838,100566.945,48741.5,98018.15,84903.16,76594.516,55314.113
"326/567.2599mz/6.86min",481679.63,732913.8,564693.94,528920.2,434439.06,261734.52,215228.5
"327/669.3282mz/6.87min",525937.945,817989.7,141955.81,1355024.5,1885109.2,233886.19,165682.31
"328/283.144mz/6.87min",96889.6025,145386.92,10066.047,248361.39,390553.22,45916.727,48392.285
"329/283.2631mz/6.9min",397712.155,609630,341006.7,538834.44,367880.53,427543.78,342836.56
"330/344.3158mz/6.9min",168503.1,189733.34,112735.77,233324.95,228710.47,147272.86,94889.99
"331/366.2977mz/6.9min",13452.37965,48916.566,21781.145,54410.164,5123.6143,1024.72286,1024.72286
"332/265.2526mz/6.9min",59179.925,60746.46,24087.172,58773.48,59586.37,66699.07,50738.85
"334/524.3709mz/6.92min",368248.66,327195.62,233517.42,369745.88,401604,432240.34,366751.44
"336/496.3397mz/6.92min",37821.967,57260.695,31488.725,54691.766,38392.074,37251.86,27759.775
"337/716.4612mz/6.95min",269466.36,89822.12,89822.12,89822.12,449110.6,832334.1,470809.88
"338/714.5031mz/6.95min",56362.087,1880.8316,9404.158,1880.8316,381799.78,103320.016,267405.47
"339/508.3394mz/6.95min",399874.61,546050.9,249755.6,514311.72,394257.97,405491.25,266003.34
"340/702.4962mz/6.95min",159304.38,53101.46,53101.46,53101.46,605018.44,265507.3,635633.4
"341/630.5115mz/6.95min",41370.3955,111745.87,76093.125,94213.77,6647.666,1329.5332,1329.5332
"343/700.4883mz/6.95min",3591463.8,1197154.6,1197154.6,1197154.6,5985773,8807053,6434199
"346/692.5217mz/6.98min",1426177.4,2861.6036,394469.6,14308.018,2744736.8,2980690.2,2457885.2
"348/590.4257mz/6.98min",398178.905,435148.2,345716.16,377428.03,424815.2,411783.28,384574.53
"349/581.2754mz/6.99min",170141.03,254946.48,208188.81,333105.47,132093.25,110672.68,57578.883
"350/689.9991mz/7.01min",421884.24,140628.08,140628.08,140628.08,703140.4,712959.9,771178.3
"351/689.4973mz/7.01min",545289.54,181763.18,181763.18,181763.18,908815.9,1904899.2,1190303.6
"352/336.3259mz/7.01min",78256.91,70645.16,85868.66,104868.84,53259.523,102152.35,45627.414
"353/344.3158mz/7.02min",548421.61,710996.5,573794.6,693636.2,521446.16,523048.62,382774.38
"355/366.2977mz/7.03min",24248.94,48060.08,43550.01,40414.9,8082.98,8082.98,8082.98
"357/297.2421mz/7.05min",51195.5855,92143.54,46514.586,67951.92,51093.855,51297.316,17956.314
"360/569.3024mz/7.07min",6200842.5,7055741.5,5669133.5,6338970,6212156,6189529,4766859
"361/570.3055mz/7.07min",875374.8,1022029.9,825712.2,931881.5,852775.7,897973.9,661270.44
"367/567.2962mz/7.07min",80646412,97834300,78654590,91844910,79581520,81711304,61113604
"368/1133.5855mz/7.07min",2094421.7,2896115.2,1895881.4,2485677,2170560,2018283.4,1253152
"370/284.1519mz/7.07min",64111955,67823160,55977040,61203180,67020730,68454800,48737230
"371/589.2774mz/7.07min",423161.095,709933.9,567689.25,663690.44,278632.94,276914.5,143607.45
"374/566.2886mz/7.08min",913359.07,1073330.2,880849.7,1131377.8,802341.8,945868.44,694833.5
"376/336.3259mz/7.12min",579937.52,575735.6,651802.1,741881.56,444245.47,584139.44,411620.97
"377/583.291mz/7.13min",170851.167,239702.42,13339.254,344250.1,443113.56,101999.914,60733.387
"378/669.3281mz/7.14min",972209.85,1594994,296443.1,2356453.2,2135636,349425.7,302061.2
"382/403.2323mz/7.16min",237738.3,337880.7,219683.12,255793.48,169153.27,297415.66,151678.83
"384/275.258mz/7.16min",184459.76,275558.9,185503.77,183415.75,123712.75,108958.734,196684.73
"385/678.5066mz/7.23min",76985587,7907.6196,37147864,39538.098,120875576,475995840,116823310
"386/297.2402mz/7.16min",53422.128,156108.44,63711.74,94991.25,25755.05,19273.9,43132.516
"387/336.3108mz/7.18min",836585.48,1076857.8,746945.94,849423.06,823747.9,619678.2,886262.94
"388/319.2842mz/7.18min",559399.155,741985.6,523539,576642.25,542156.06,416559.6,613676
"390/406.3291mz/7.18min",19491.5094,85696.21,34921.625,71314.39,4061.3938,812.27876,812.27876
"391/556.4415mz/7.18min",192227.72,325206.25,165980.73,181141.84,369909.9,177146.78,203313.6
"392/384.347mz/7.18min",123499.105,156524.22,164877.11,148110.97,95040.58,98887.24,74243.945
"393/380.3369mz/7.19min",980400.5,1153680.1,837024.4,890971,1069830,697971.94,1087458.4
"394/512.4154mz/7.19min",325726.56,508764.25,268122.3,263585.8,523780.88,268585.84,382867.28
"395/363.3104mz/7.19min",319891.455,368717.9,262229.12,303541.25,351808.88,233359.61,336241.66
"396/424.3631mz/7.19min",804203.42,984443.8,639587.7,662524.44,945882.4,537163.5,981275.7
"397/468.3891mz/7.19min",525499.45,724471,405666.6,402769.6,708492.7,384889.97,645332.3
"398/689.9991mz/7.21min",253031.43,36399.304,324066.34,36399.304,1053313.9,181996.52,915019.56
"399/669.3283mz/7.2min",709157.05,1131626.2,265789.9,1850537.5,1564400.1,286687.9,159024.95
"401/583.2911mz/7.18min",71952.917,98345.984,13339.254,172478.7,208099.66,45559.85,19336.96
"403/689.4972mz/7.27min",693232.375,38857.55,194287.75,38857.55,1197186.4,1192177,1287910.4
"405/366.3mz/7.27min",192266.985,437725.12,178060.16,372269.3,172732.06,206473.81,93425.695
"406/406.2925mz/7.29min",59583.2405,430585.75,67993.055,323153.88,49780.316,51173.426,10025.428
"407/352.3209mz/7.28min",1229701.75,1369743.5,1089660,1998155.9,990475.9,1484584.4,571738
"408/353.3243mz/7.28min",274715.495,305652.6,243778.39,425478.6,225058.45,343305,124304.49
"409/374.3027mz/7.29min",239222.5,566049.75,212531.94,766498.25,172896.4,265913.06,66499.33
"411/702.4956mz/7.3min",1200547.9,239776.58,1198882.9,239776.58,1456097.9,1224013,1202212.9
"413/742.479mz/7.33min",6008.172,6008.172,6008.172,6008.172,30040.86,374401.44,6008.172
"415/714.5028mz/7.3min",179954.1,20951.028,175548.97,104755.14,507014.53,201893.3,184359.23
"416/283.144mz/7.29min",582666.475,645186.9,562244.25,536754,603088.7,752758.5,403586.94
"417/692.5219mz/7.31min",1382561.65,213580.88,1111673.9,1653449.4,6099699,1067904.4,4242939.5
"418/700.4883mz/7.3min",13862775.5,925.5848,14580317,4627.924,19509754,13145234,17149622
"419/716.4616mz/7.29min",791009.095,148475.888,742379.44,148475.888,1227402.2,839638.75,1236880.6
"423/565.2805mz/7.3min",2526378.4,4097843.5,2380069.5,2810121.5,2443316.8,2609440,1360727.1
"424/566.284mz/7.3min",933090.9,1599100.5,886228.6,1075027.4,903825.4,962356.4,527588.56
"425/808.5839mz/7.3min",38251.9872,12750.6624,344274.44,12750.6624,12750.6624,63753.312,137401.7
"428/782.5674mz/7.3min",28210.57175,767.5167,211740.27,3837.5835,767.5167,52583.56,106167.36
"429/341.2839mz/7.34min",120556.36,148989.78,72023.01,302947.22,91929.43,92122.94,167638.31
"432/726.5038mz/7.3min",207537.145,779.11104,188157.39,3895.5552,1068708.9,6529386.5,226916.9
"437/718.5371mz/7.31min",718572.13,75898.856,379494.28,659732.56,3622214,874579.75,777411.7
"439/513.3544mz/7.31min",4146.90438,48524.54,1382.30146,182287.64,1382.30146,1382.30146,6911.5073
"440/728.5196mz/7.3min",269530.1,269530.1,269530.1,1347650.5,269530.1,269530.1,269530.1
"441/754.535mz/7.3min",4669.5876,4669.5876,4669.5876,115683.95,4669.5876,23347.938,4669.5876
"442/678.5065mz/7.28min",90270995,32825.912,96165720,164129.56,406224000,84376270,434569340
"443/423.3618mz/7.31min",60061.5,115329.93,24425.902,263094.12,54886.035,65236.965,22052.348
"444/524.3944mz/7.31min",105887.915,132284.05,77275.1,360450,32770.688,79491.78,267949.7
"446/729.5177mz/7.31min",81693.09,92396.375,33237.89,602652.44,70989.805,163503.05,32115.121
"449/689.9992mz/7.34min",249733.7,8910.792,547304.2,8910.792,454913.44,44553.96,455891.75
"450/581.2753mz/7.35min",195485.195,435113.9,163950.86,427954.47,203878.5,187091.89,112318.11
"451/689.4975mz/7.35min",292633.555,26186.11,454336.56,26186.11,617966.2,130930.55,929404.06
"453/256.2635mz/7.36min",407533.47,430029.5,423257.06,447031.03,391809.88,390424.4,380713.53
"455/563.2648mz/7.39min",1526562.4,2799069.8,1802751.6,2237734,1250373.2,1097509.6,892516.3
"456/282.1362mz/7.39min",473327.325,535024.94,470439.75,387469.5,476214.9,606985.8,393182.22
