"","filter","2024_NEG_Anid-EV-gpdA_CTRL_1_Run189.mzML","2024_NEG_Anid-EV-gpdA_CTRL_2_Run209.mzML","2024_NEG_Anid-EV-gpdA_CTRL_3_Run239.mzML","2024_NEG_Anid-TJGIp11_1_Run168.mzML","2024_NEG_Anid-TJGIp11_2_Run206.mzML","2024_NEG_Anid-TJGIp11_3_Run253.mzML"
"263/159.0662mz/2.68min",242378.72,264597.5,209351.94,356539.88,263607.28,207558.6,221150.16
"264/155.0714mz/2.68min",196245.47,57887.203,485605.72,255011.83,137479.11,88927.734,801415.56
"265/178.051mz/2.68min",617815.325,594083.75,641546.9,737770.25,776214.1,544066.5,387690.34
"266/259.1299mz/2.72min",26395.252,2448.116,280722.22,12240.58,38685.895,14104.609,59147.066
"267/373.0055mz/2.7min",1221718.8,1275235.6,1327914.1,1153620.4,1086545.2,1168202,1397003.2
"268/247.0724mz/2.71min",309944.83,139205.27,343403.66,276486,365817.3,253259.73,529509.7
"269/182.0539mz/2.71min",65766.197,94118.164,7482.846,37414.23,124025.555,110628,7482.846
"270/211.1088mz/2.71min",178475.235,10524.2414,52621.207,130956.02,497161.97,225994.45,265041.7
"271/179.0713mz/2.71min",518148.27,463136.1,16146.376,579279.5,573160.44,577019.4,80731.88
"272/181.0507mz/2.71min",1063839.37,1233329.8,42875.78,894348.94,1648445.5,1399189.9,214378.9
"273/449.1088mz/2.71min",220033.325,608129,9880.186,1476706.6,49400.93,390665.72,9880.186
"274/241.0718mz/2.72min",180713.125,143718.89,1152208.8,172346.61,189079.64,93633.76,497001.6
"275/249.0404mz/2.72min",184426.47,198715.05,60281.65,170137.89,494481.4,283500.6,63170.688
"276/364.136mz/2.71min",85536.2,5526.4795,89388.59,84802.85,124401.52,86269.55,33317.65
"280/167.0349mz/2.74min",87576.985,99177.37,918.2871,75976.6,565080.4,331408.38,4591.4355
"283/188.0928mz/2.76min",336015.085,265541.03,330445.2,775412.7,483889.22,341584.97,63091.98
"285/214.1084mz/2.76min",114510.51,11619.476,142868.03,86152.99,270615.56,146189.3,51710.91
"286/155.0714mz/2.74min",39843.3985,27708.617,212342.19,4292.9683,858.59366,51978.18,75885.7
"287/420.1598mz/2.79min",1040861.57,1192066.2,101582.376,1518234.5,999820.94,1081902.2,507911.88
"288/239.056mz/2.78min",292588.16,207929.1,41585.82,377247.22,915814.56,558354.75,41585.82
"290/163.0434mz/2.79min",867607.03,803045,678918.8,1110927.6,1132828,932169.06,474399.84
"291/157.0506mz/2.79min",2348428.6,1410731.2,2898236.8,2286763,2547820,1774201.9,2410094.2
"293/315.1562mz/2.81min",409386.74,114958.516,738045.94,372044.7,511874.62,292908.9,446728.78
"294/158.0822mz/2.83min",118528.31,133355.75,3351.6652,134184.69,152987.45,103700.87,16758.326
"295/378.1516mz/2.79min",28322.6535,4673.5835,79783.27,40772.26,24316.68,19898.79,32328.627
"297/195.0662mz/2.82min",57601.545,51737.12,10347.424,63465.97,78741.05,74036.92,10347.424
"298/237.0767mz/2.83min",38575.1535,47768.75,5876.3114,29381.557,90670.91,51129.074,5876.3114
"299/265.0176mz/2.83min",1264043.95,1297543.8,1271592.9,1159811.5,1128521.8,1256495,1362544.6
"300/259.1299mz/2.83min",264676.95,182863.19,255545.84,321253.6,420928.8,273808.06,163178.78
"301/330.0985mz/2.84min",447725.1,1751348.6,888.44014,2132107.8,255633.64,639816.56,4442.2007
"303/224.0645mz/2.85min",754893.77,876119.44,4411.5438,633668.1,1681557.4,1192968.4,22057.719
"305/197.0455mz/2.85min",1549512.6,1053393.8,202292.94,1875262.2,3685088.2,2475989.2,1223763
"306/151.0401mz/2.85min",459254.8,789024.4,159009.2,653614.5,556740.5,361769.1,64636.293
"307/223.0612mz/2.85min",6943918,8036162,291747.84,5851674,15548523,10449492,406143.1
"308/209.0455mz/2.85min",291437.75,283324.4,1399.1084,365169.47,299551.1,426028.16,6995.542
"309/684.1951mz/2.85min",3529.152,5881.92,515681.53,1176.384,1176.384,1176.384,113589.58
"310/215.0117mz/2.86min",195100.67,197935.72,38453.124,348217.44,251266.12,192265.62,38453.124
"311/169.087mz/2.87min",164447.45,93407.06,898833.06,180395.23,148499.67,98731.36,265267.06
"314/380.1674mz/2.88min",296711.75,202805.19,481067.25,375613.94,217809.56,133261.36,475786.56
"316/277.083mz/2.88min",115684.54,181681.11,33376.812,270210.1,146331.06,85038.02,21437.398
"317/131.0714mz/2.89min",10088648.5,11523748,7022139.5,16440184,11252628,8924669,4725967
"318/335.1379mz/2.9min",42184.056,210124.39,16969.842,259882.97,45408.12,38959.992,20978.73
"319/362.156mz/2.9min",157092.52,674596.5,58643.32,563926.44,163754.52,150430.52,52283.977
"320/431.2397mz/2.9min",126530.635,484850.06,36609.516,500404.72,159081.42,93979.85,14617.02
"322/345.1664mz/2.9min",373856.09,1487200.1,250887.6,1330589.2,437775.34,309936.84,188160.95
"323/299.1612mz/2.91min",100691.418,379038.7,30771.39,346210.06,122744.32,78638.516,34312.18
"325/471.2097mz/2.91min",355393.73,114074.1,641654.56,413103.9,513299.12,250312.4,297683.56
"326/354.1331mz/2.92min",233702.48,157208.3,319557.06,361528.8,147696.9,114773.805,310196.66
"327/448.2381mz/2.92min",878310.82,858214.7,1251696.6,1555730,898406.94,529833.06,688483
"328/380.1563mz/2.92min",295083.795,207576,542165.2,359543.53,231213.39,79300.84,358954.2
"329/378.1516mz/2.92min",12361074.5,9296816,21584144,14744691,9977458,7414045,15559940
"331/447.2347mz/2.92min",3934226.75,3816688,5552064,7089942.5,4051765.5,2297352.8,3101976.8
"332/361.1614mz/2.92min",833131.42,633228.44,1597515.9,1052242.5,577218.2,489115.34,1033034.4
"333/283.13mz/2.92min",1112723.5,646563.5,1833177.1,1325988.8,960506.4,498789.03,1264940.6
"334/315.1563mz/2.92min",26980937,17911902,46995480,32990192,22160218,13863669,31801656
"335/351.1325mz/2.92min",5185261.4,3435833.8,7201405,8130380,3398259.2,2797651.2,6934689
"337/631.3198mz/2.92min",839700.84,390568.03,2373442,1272183.8,437619.88,266335.03,1241781.8
"339/316.1597mz/2.92min",4025461.75,2652295.5,6924414,4890698.5,3242760,2072052.5,4808163.5
"340/379.1551mz/2.92min",1862578.3,1386249.6,3157195.8,2243455.5,1481701.1,1099445.8,2318885.5
"341/171.0775mz/2.92min",287624.66,196382.4,490310.94,366733.66,265926.1,133219.12,309323.22
"342/413.123mz/2.92min",271987.83,211995.6,464630.88,331980.06,192492.83,178009.34,356397.47
"343/273.0074mz/2.93min",303632.34,191894.52,7943.3196,415370.16,529511,547556.75,39716.598
"344/405.151mz/2.92min",168131.125,147098.25,355170.5,251532.1,159597.05,52835.383,176665.2
"346/179.0713mz/2.94min",53152.9,50188.7,10037.74,56117.1,182305.06,136246.77,10037.74
"347/195.0299mz/2.94min",510677.69,1068970.8,30710.572,1752346.4,153552.86,819100.4,202254.98
"348/511.2298mz/2.95min",199319.07,203155.34,5675.4414,280040,327661.28,195482.8,1135.08828
"350/196.0696mz/2.96min",650895.375,760129.25,108332.3,541661.5,1123601.1,887068.56,108332.3
"351/183.0298mz/2.96min",502939.49,630078.7,16811.209,375800.28,1293864.4,896309.5,58217.934
"353/195.0662mz/2.96min",6123047.75,7118958.5,207979.67,5127137,10494514,8327757,153293.44
"355/391.1396mz/2.96min",394715.305,534152.8,51055.562,255277.81,859817,699909.44,51055.562
"356/159.0662mz/2.97min",386919.3,365760.7,332572.12,550244.1,568693.94,408077.9,340815.4
"357/258.0619mz/2.97min",445766.38,515044.7,75297.612,376488.06,659962.06,586158.6,75297.612
"358/456.1985mz/2.97min",424447.3,176905.9,560134.06,500652.38,651396.56,348242.22,333444.16
"359/431.0981mz/2.97min",18776.9448,116412.49,6258.9816,199247.53,6258.9816,31294.908,6258.9816
"361/139.0401mz/2.98min",203037.015,183994.02,183185.5,213151.19,392665.06,192922.84,236588.42
"362/169.087mz/2.98min",38194.105,23861.06,275030.22,52527.15,18573.172,6988.257,110415.4
"363/181.0508mz/2.98min",159355.94,153001.4,2955.8924,165710.48,354646.7,234669.62,14779.462
"364/190.0509mz/2.99min",125358.645,130406.35,42142.79,182407.84,196350.92,120310.94,68449.75
"366/167.035mz/2.99min",2232273.8,4117929,169184.39,2169346.8,3348054.5,2295200.8,307965.47
"367/249.0881mz/2.99min",843605.65,837052.1,399049.7,1245627.8,1180736.4,850159.2,480737.44
"368/209.0455mz/3.0min",231303.585,214508.44,96472.016,248098.73,464365.44,310487.25,209790.03
"369/370.0777mz/3.0min",164741.765,494554.28,28067.75,189144.78,140338.75,245403.88,28067.75
"370/241.0718mz/3.0min",36412.7715,42897.86,135985.08,37825.406,5695.1357,1139.02714,35000.137
"372/225.0768mz/3.01min",302807.89,294421.9,393881.03,476323.12,116177.77,93624.88,311193.88
"373/207.0662mz/3.02min",191377.5,197079.56,8475.172,279032.12,223039.9,185675.44,42375.86
"374/211.0612mz/3.01min",363367.87,262915.8,87697.58,463819.94,594754.4,679769.94,171857.88
"375/219.0299mz/3.04min",128112.7525,441061.16,15669.889,323528.66,78349.445,177876.06,15669.889
"376/247.0247mz/3.04min",79861.997,46256.3,4054.6396,111572.4,81836.914,77887.08,153647.34
"377/189.0768mz/3.06min",800745.075,571194.8,518080.06,1438202.8,1638209.1,1016149.9,585340.25
"378/153.0557mz/3.07min",1828002.8,1724993.6,6096800.5,1931012,1127695.2,708974.94,1941270.5
"379/170.9854mz/3.08min",309139.175,286141.75,50775.934,399185.78,517981.12,332136.6,175598.31
"380/109.0659mz/3.07min",139817.475,132073.42,462179.44,154617.9,85612.01,47537.215,147561.53
"381/172.0615mz/3.08min",371346.675,144620.34,881701.1,361931.25,380762.1,262178.72,658128.2
"385/301.1405mz/3.09min",544388.45,189633.78,835451.1,568069.9,520707,294720.1,600554.06
"388/429.0824mz/3.11min",56486.1955,102011.75,2192.1282,382794.25,10960.641,111966.56,2192.1282
"389/194.0459mz/3.11min",607215.065,391295.16,207164.86,877834.75,1076737.5,791341.75,423088.38
"390/167.0349mz/3.11min",248978.125,218024.3,122885.484,272868.12,317820.34,270790.06,227166.19
"392/195.0663mz/3.13min",2761004.5,3319153,177133.64,2842918.8,2884889.5,2679090.2,697963.8
"393/273.0405mz/3.12min",143196.58,130248.72,26049.744,156144.44,472230.2,325705.5,26049.744
"394/317.0667mz/3.12min",58594.467,60137.047,1819.118,73003.5,75551.58,57051.887,9095.59
"395/165.0557mz/3.13min",431409.485,816791,535853.25,326965.72,814090.94,307461.9,146322.38
"396/397.0055mz/3.13min",184797.335,186611.06,226902.8,170341.17,172244.44,182983.61,241886.03
"397/319.046mz/3.14min",208815.66,516155.2,1957.285,223628.75,208930.92,208700.4,9786.425
"398/164.0353mz/3.14min",331284.86,233966.5,274755.38,357135,485653.75,327275.72,335294
"399/188.0353mz/3.16min",134724.575,111011.04,161560.45,158438.11,169349.61,97590.81,107738.98
"400/449.109mz/3.15min",22788.816,90046.66,7596.272,234603.36,7596.272,37981.36,7596.272
"401/329.1719mz/3.1min",507286.95,212196.55,962732.5,915614.5,607415.1,378832.12,407158.8
"402/265.0176mz/3.17min",1406416.35,1517781.9,1540866.9,1059848.4,1153814,1295050.8,1628852.9
"405/301.1404mz/3.15min",211462.04,113451.914,291770.88,228517.02,340071.94,179629.17,194407.06
"407/542.2357mz/3.19min",384705.455,347944.44,49568.69,999074.25,565657.25,421466.47,259282.53
"409/225.0555mz/3.2min",81604.3575,180171.5,1080.977,320408.6,5404.885,157803.83,1080.977
