"","Filename","2024_NEG_Anid-EV-gpdA_CTRL_1_Run189.mzML","2024_NEG_Anid-EV-gpdA_CTRL_2_Run209.mzML","2024_NEG_Anid-EV-gpdA_CTRL_3_Run239.mzML","2024_NEG_Anid-TJGIp11_1_Run168.mzML","2024_NEG_Anid-TJGIp11_2_Run206.mzML","2024_NEG_Anid-TJGIp11_3_Run253.mzML"
"28","115/131.0714mz/2.3min","243691.52","3811891.5","447004.9","558623.2","407647.3","3118771.0"
"29","117/303.0511mz/2.31min","1717715.5","0.0","1969676.6","33778.566","274671.72","0.0"
"30","118/243.135mz/2.31min","6742.1807","710319.2","49356.42","86651.3","61686.055","205757.12"
"31","120/213.0404mz/2.33min","1545892.4","45980.176","2874532.0","2571116.8","2187959.0","53541.188"
"32","121/212.0645mz/2.34min","258832.39","2472436.8","733615.75","602386.94","339341.88","925412.25"
"33","122/193.0505mz/2.34min","34133.88","332527.44","160226.48","139665.81","48536.297","276830.25"
"34","123/274.0933mz/2.34min","17161.227","840302.0","235446.08","435190.6","319956.84","3489447.0"
"35","124/246.0983mz/2.34min","0.0","124249.445","0.0","0.0","0.0","0.0"
"36","125/211.0612mz/2.34min","3231309.0","22949340.0","6884830.5","5848349.5","3482940.5","12853345.0"
"37","126/167.0713mz/2.34min","0.0","251392.81","32085.162","18933.887","0.0","82137.27"
"38","129/260.1139mz/2.36min","154961.39","947608.1","496294.06","871925.4","643150.94","1732756.1"
"39","130/151.04mz/2.36min","178662.47","82293.96","179645.53","232290.16","49506.062","24022.07"
"40","131/153.0193mz/2.38min","281949.4","11751.6455","338011.66","1464041.8","384869.84","427965.97"
"41","132/497.1775mz/2.37min","107139.07","0.0","537579.6","746957.56","464005.5","20244.953"
"42","133/196.0979mz/2.38min","75038.305","239042.84","294022.0","621240.3","416223.72","397138.44"
"43","134/343.0756mz/2.38min","476613.34","1149525.6","920749.7","947460.25","978421.25","1146514.2"
"44","135/259.1017mz/2.38min","1215525.9","3704846.5","4624414.0","8026894.0","6563375.0","7222770.0"
"45","136/102.056mz/2.38min","126429.46","318910.78","458060.06","993786.94","662179.44","762479.44"
"46","137/326.0859mz/2.38min","260018.92","753785.56","621320.25","855747.94","779520.5","856772.8"
"47","138/517.2039mz/2.38min","215200.1","1942954.1","3347639.8","7191703.0","6117167.0","6924359.0"
"48","139/258.0983mz/2.39min","10445179.0","30243790.0","38100204.0","66441380.0","54056356.0","58883056.0"
"49","140/539.1859mz/2.39min","103796.11","822965.1","1150496.8","2335910.5","1778801.5","2129326.0"
"50","141/129.0557mz/2.39min","1629584.0","1129230.8","867372.56","1772528.9","847378.8","936366.5"
"51","142/535.2146mz/2.38min","0.0","111171.91","237906.3","514279.8","435465.25","489172.16"
"52","143/214.1085mz/2.39min","1160888.5","3325075.8","4225825.0","8298482.5","5896706.5","6536729.0"
"53","144/184.0979mz/2.39min","277532.47","772941.06","1028870.8","2096902.4","1498892.5","1643344.2"
"54","145/260.1033mz/2.39min","126731.164","402137.44","505332.12","935133.4","738433.7","786741.56"
"55","147/230.1034mz/2.43min","57396.426","349658.62","184354.75","288979.66","192542.11","490538.0"
"56","148/675.2884mz/2.42min","162901.23","0.0","493949.97","1562073.2","1092062.5","152728.5"
"57","149/175.0612mz/2.47min","117123.93","615107.75","339414.22","2389958.5","210174.17","1142591.6"
"58","150/224.0644mz/2.43min","281068.62","0.0","170864.31","479283.53","347477.44","42786.812"
"59","151/223.0612mz/2.43min","2570011.2","200216.19","1550239.0","4220615.5","3042772.0","529659.75"
"60","152/301.1406mz/2.43min","4040.9558","241721.33","91643.39","22203.475","5316.909","138734.77"
"61","153/607.2412mz/2.43min","715901.25","0.0","676877.75","388097.97","492107.2","0.0"
"62","154/416.1825mz/2.43min","7390385.5","0.0","5832753.0","6440430.0","6365875.5","838308.56"
"63","155/833.373mz/2.43min","262364.44","0.0","179228.3","234176.27","228848.34","0.0"
"64","156/479.1783mz/2.44min","1667347.6","0.0","1153499.8","1074759.9","1330789.5","189695.89"
"65","157/204.0302mz/2.45min","99421.125","207989.19","867152.2","1745204.2","964493.7","446630.53"
"66","158/188.0353mz/2.46min","109671.16","1694989.2","144998.45","299024.38","258545.14","1368027.5"
"67","159/213.0404mz/2.44min","201749.39","6389.836","160248.86","222566.28","353794.12","0.0"
"68","160/228.0877mz/2.45min","52272.883","4374.6562","235428.1","519609.28","561011.06","229912.34"
"69","162/158.0822mz/2.46min","180777.38","577348.4","319225.88","376643.66","221974.27","184765.8"
"70","165/194.0458mz/2.47min","2185787.0","2071742.8","2076176.5","2633379.2","2107712.8","1752913.8"
"71","166/259.1299mz/2.47min","852323.44","18700914.0","2267970.5","4712119.5","3051248.2","6160753.5"
"72","167/260.1331mz/2.47min","94205.65","2232311.0","260988.25","566862.2","355340.4","723954.44"
"73","168/322.1256mz/2.47min","25414.344","1136077.4","142249.03","245972.6","203917.48","439093.9"
"74","170/260.114mz/2.48min","657422.4","510016.7","2102860.5","1924018.9","1318453.8","591474.3"
"75","171/344.1072mz/2.47min","0.0","383895.97","11595.318","32367.113","23855.47","84706.24"
"76","172/144.0455mz/2.48min","437616.56","206200.88","507961.06","411038.34","339703.62","199054.38"
"77","173/230.1034mz/2.48min","116940.984","332115.88","272870.84","558570.94","362285.22","329374.44"
"78","174/779.318mz/2.49min","1800103.2","522346.03","2007916.6","2078723.6","1812875.2","1111586.8"
"79","175/752.299mz/2.49min","956915.75","267976.6","1458153.1","978068.44","1005670.25","709797.1"
"80","176/716.3225mz/2.49min","5178271.5","1430715.5","5872326.0","6217098.0","5037790.5","2886302.2"
"81","178/907.3803mz/2.49min","636569.25","0.0","940853.75","649127.3","530310.56","49176.21"
"82","179/167.0349mz/2.5min","461200.66","113377.56","772680.4","2134674.5","1468209.5","696014.25"
"83","180/190.0509mz/2.5min","504496.3","0.0","561037.9","251416.61","348673.3","26566.559"
"84","181/146.0611mz/2.5min","2389884.5","80791.28","2756698.8","1908432.5","1831363.1","236484.66"
"85","182/285.098mz/2.49min","60037.6","883797.56","66179.26","0.0","0.0","194998.92"
"86","183/181.0506mz/2.51min","6129953.5","234690.27","4289143.5","4530101.5","6027999.0","279635.7"
"87","184/182.0539mz/2.51min","600040.06","0.0","382625.06","406727.1","567034.2","8034.7915"
"88","186/786.2858mz/2.52min","675615.7","481800.66","598432.0","505860.34","446815.22","458808.97"
"89","187/175.0612mz/2.53min","1386378.8","2377844.8","3839409.2","4959144.5","2520565.2","3518468.0"
"90","188/139.0401mz/2.53min","4737985.5","8704073.0","5775304.5","5158903.0","4211257.0","5775885.5"
"91","190/95.0502mz/2.53min","389554.56","706776.06","421446.06","465807.16","358783.53","459115.94"
"92","191/303.1562mz/2.54min","248911.22","1112161.0","630091.5","559335.75","365944.25","1260367.0"
"93","192/153.0193mz/2.53min","1671697.9","168625.7","3228403.2","4398986.5","2899724.8","338493.28"
"94","193/492.1987mz/2.55min","273914.9","25761.154","404897.38","219575.02","83458.625","24069.113"
"95","194/286.1492mz/2.55min","617425.6","371526.94","728680.7","394109.2","311606.8","465020.62"
"96","195/348.1409mz/2.55min","381413.38","62093.863","332900.0","120884.62","70174.2","179931.47"
"97","197/285.1456mz/2.55min","4474851.5","2732630.2","5358087.5","3039320.8","2399790.8","3362208.2"
"98","201/587.2935mz/2.56min","1086634.4","1997885.0","2865989.5","1211782.8","771088.25","1835608.4"
"99","202/171.0775mz/2.57min","157486.55","433871.4","299151.2","307162.56","174366.38","300539.44"
"100","203/301.1406mz/2.57min","25216978.0","73522000.0","51642104.0","46775210.0","30681806.0","54371812.0"
