row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_TJGI15pt3_EV_alcA-Control_2_Run115.mzML Peak area,NEG_TJGIp3_1_Run41.mzML Peak area,NEG_TJGIp3_3_Run165.mzML Peak area,NEG_TJGIp3_2_Run127.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_3_Run204.mzML Peak area,NEG_TJGI15pt3_EV_alcA-Control_1_Run32.mzML Peak area,
1721,114.93407906368053,8.137284,,,,,,,,,,,2845032.8,2002806.2,708429.0,1042928.9,1058015.1,5101859.5,
46,115.00367239916716,0.44414842,,,,,,,,,,,1136219.5,1124842.5,1218950.4,927420.5,1590499.5,1034208.5,
55,115.00369089913812,0.5893443,,,,,,,,,,,992917.8,1014602.4,2562940.8,833086.5,1799291.5,966245.1,
1976,115.9206754516203,10.21145,,,,,,,,,,,9958759.0,6737242.5,7859809.5,1.0870534E7,9251488.0,1.0269099E7,
1832,115.92068596220047,8.456104,,,,,,,,,,,2.5804042E7,6.1205356E7,1.9427584E7,2.7729556E7,2.2406292E7,3.6341556E7,
1511,115.92069202148643,7.720469,,,,55,,,,,,,2.7283852E7,2.6846926E7,6.1301464E7,1.900904E7,2.7164256E7,3.285315E7,
1712,115.92070852443321,8.135707,,,,17,,,,,,,9.887254E7,3.8330924E7,1.7738344E7,1.5541782E8,1.2384254E8,6.1733464E7,
1688,116.92844051426334,8.133181,,,,17,7,[M-H+2Na]+,,2,1688;1732,71.95767,5.3779132E7,3.454287E7,1.3927458E7,1.983097E7,2.0450434E7,4.9057524E7,
1287,116.92845744502807,7.4453278,,,,5,5,[2M-2H2O+H]+,,2,1287;1284,75.97102,1.5069966E7,9256471.0,1.4434411E7,1.1453631E7,1.9421652E7,9747965.0,
1443,116.92846078635118,7.6821227,,,,115,6,[2M-2H2O+H]+,,2,1443;1441,75.97103,5.6168676E7,3.2559036E7,2.775615E7,2.890947E7,4.131808E7,3.63984E7,
307,117.01917544235873,4.6694784,,,,33,,,,,,,187922.3,166812.08,122055.91,107639.09,214891.25,169803.77,
68,117.0193332133838,0.7808488,,,,,,,,,,,126052.14,207386.1,55907.7,128114.17,190668.66,71057.95,
59,117.01933709813007,0.64114076,,,,144,,,,,,,6385702.5,6362035.5,1.1266526E7,5851156.0,1.2741838E7,6860707.5,
72,117.01936231102776,0.9780881,,,,,,,,,,,4234.626,54993.293,38984.31,3723.4438,64807.89,3801.5571,
1710,117.9190197012159,8.133989,,,,,,,,,,,2776061.8,683960.6,499999.66,656108.44,550085.9,1773235.6,
1689,117.92856810966305,8.133181,,,,17,,,,,,,5262752.0,3623506.8,1605650.5,2287704.2,2374752.2,5625166.0,
1420,117.92859074788976,7.680475,,,,115,,,,,,,4363894.5,3315917.2,2321901.8,3878676.2,5014686.5,4010835.8,
17,118.05095498047585,0.37205935,,,,12,,,,,,,2.7042488E7,1.4000915E7,7.206315E7,2.8462002E7,6.3234904E7,1.9902292E7,
559,118.05097631456412,5.539377,,,,,,,,,,,156559.83,102346.15,25160.947,54772.816,29724.205,273063.56,
80,118.05097832805252,2.2449684,,,,,,,,,,,390735.03,150910.52,122379.305,56413.656,151663.38,0,
92,118.0509801175943,2.497987,,,,,,,,,,,149009.9,183305.2,171894.78,590579.56,148308.2,0,
115,118.05098145551635,2.8986518,,,,,,,,,,,282126.3,70534.26,65723.8,70952.91,42014.984,117083.08,
129,118.05100637653926,3.0230153,,,,,,,,,,,20718.166,190176.53,214817.8,169946.19,155461.38,183894.88,
1953,118.89962627771952,10.155678,,,,,,,,,,,174476.28,2288543.2,183062.31,186884.34,120262.13,2878522.5,
1660,118.92677120947383,8.131556,,,,,,,,,,,1336505.1,271864.16,332612.6,552365.75,241592.83,1617408.1,
1421,118.9267798386284,7.682892,,,,115,,,,,,,1044094.7,565454.9,594141.4,1020770.75,1232821.8,704681.25,
8,119.94687120536628,0.35021678,,,,12,,,,,,,1439877.9,1862060.2,2185800.8,1746530.4,1809008.1,1617925.6,
2043,119.94695013717597,10.675495,,,,,,,,,,,0,155905.73,0,0,0,17828.812,
126,120.04548124986297,3.0500462,,,,140,,,,,,,548120.7,562690.5,480394.62,404057.25,624624.94,490706.8,
97,121.02949865358352,2.5731103,,,,,,,,,,,818958.6,843145.2,850663.06,654775.06,839435.0,638061.44,
147,121.02953965988658,3.3237014,,,,,,,,,,,155217.58,3409.79,32943.14,19030.754,54215.19,0,
9,121.94397242341417,0.35021678,,,,12,,,,,,,469841.75,617107.6,730520.9,574795.8,607113.2,532485.1,
157,125.09714981443985,3.449252,,,,11,,,,,,,917931.3,492631.44,450820.75,367678.75,1027148.06,1031570.2,
27,128.03526736964935,0.39047137,,,,51,,,,,,,1201806.6,636204.0,1796281.1,673384.8,2599376.5,779692.1,
56,128.0352873742045,0.6038726,,,,,,,,,,,1730863.5,1994233.9,2991754.2,2096407.8,3759399.8,2531466.5,
7,129.97571649512707,0.33875576,,,,,,,,,,,109368.69,215800.11,297949.78,266094.38,80432.22,132026.48,
63,130.08728885030052,0.73687315,,,,,,,,,,,788059.7,1234068.4,2902961.8,753094.8,2582480.5,672871.56,
95,130.0873191263744,2.5740945,,,,,,,,,,,150833.4,49667.176,59162.004,54117.68,172575.66,38307.04,
114,130.08734092069656,2.9054425,,,,,,,,,,,202936.02,99513.78,101225.74,151621.92,204167.9,166496.08,
104,131.07133407510605,2.779761,,,,120,,,,,,,3590300.8,6943414.5,5951127.5,4565399.5,4442848.0,4101108.8,
1317,132.9001420169242,7.482228,,,,,,,,,,,122553.39,639709.06,245950.25,287050.97,54177.332,300410.28,
1527,132.90015385201846,7.782582,,,,,,,,,,,148681.83,464535.75,93493.35,129182.9,43801.043,922147.1,
1350,132.90015543613532,7.595426,,,,,,,,,,,155480.11,211214.98,152616.98,37339.4,80660.95,709775.4,
1956,132.90016546018532,10.17624,,,,,,,,,,,193047.8,1119112.9,247762.75,238569.1,175478.53,1659142.5,
1831,132.92336082708928,8.452756,,,,,,,,,,,567642.1,2205607.0,706317.0,694092.7,466099.9,2931520.0,
1505,132.92339030510163,7.702102,,,,,,,,,,,1345983.0,1035611.94,613245.06,1379550.6,1098326.8,1296432.1,
1751,132.9234021036958,8.141448,,,,17,8,[2M-H2O+H]+,,2,1751;1733,74.96321,2367563.8,1383904.5,656024.5,2130757.2,4332090.5,2448937.5,
23,133.01418294627254,0.3791784,,,,12,,,,,,,6430014.5,5533678.5,4839449.0,4329682.5,7196151.0,6102830.0,
1181,134.89460115856818,7.3783817,,,,,,,,,,,3573168.0,4262785.5,2924371.5,2257218.5,3709093.0,5436108.5,
1539,134.894602249342,7.791473,,,,93,,,,,,,8836959.0,1.4070933E7,5862452.0,8500194.0,5744300.5,1.7753502E7,
1319,134.89460344282148,7.479053,,,,13,,,,,,,1.343517E7,1.3023813E7,1.1869596E7,1.2442838E7,5240063.5,8929876.0,
2010,134.8946100656127,10.228626,,,,,,,,,,,2074470.2,977720.06,2809707.0,2775366.2,1548702.1,1610122.9,
1961,134.8946285425369,10.177179,,,,96,,,,,,,3922315.0,2.0791584E7,4980490.5,5021667.0,3590294.2,3.0599218E7,
1958,135.97087030975555,10.163652,,,,,,,,,,,527465.44,400685.7,2887247.5,572927.75,2867328.8,377565.28,
101,136.0403525243349,2.7336357,,,,106,,,,,,,129846.07,140101.33,132594.19,67812.51,167205.69,66161.14,
88,136.04036407337318,2.4076614,,,,139,,,,,,,652536.8,898225.6,877796.56,734524.75,773130.7,818329.06,
127,136.04037151997468,3.0500462,,,,140,,,,,,,139687.1,143259.2,124129.86,95273.51,166903.9,126655.53,
1962,136.8916479381222,10.177179,,,,96,,,,,,,1299962.0,7317021.5,1669072.8,1661808.9,1178445.8,1.1358941E7,
1952,137.8916892175595,10.171056,,,,,,,,,,,123576.07,493883.28,171216.7,166769.75,114525.055,1165578.0,
54,138.0196081147906,0.5811965,,,,,,,,,,,48541.46,69796.695,97576.53,21200.105,138662.1,66009.945,
67,138.01962804942843,0.8158753,,,,,,,,,,,117538.37,84944.734,167790.36,51488.715,363340.7,90262.37,
146,138.01969648743372,3.323107,,,,,,,,,,,1728120.8,1396791.9,1318779.5,1180302.9,1958663.0,2092772.8,
90,139.0400634477197,2.4556248,,,,,,,,,,,642751.44,612227.6,681847.7,516565.78,742142.7,592632.4,
202,141.09216938336803,3.8368597,,,,,,,,,,,290028.8,221584.67,323304.4,235438.89,475304.78,427377.22,
210,141.09219795290346,3.9492931,,,,,,,,,,,378023.53,269866.4,354467.7,247191.78,581102.06,500321.72,
86,144.0454487388446,2.401176,,,,139,,,,,,,1319045.4,1327828.5,1160964.1,953533.1,1455662.1,1157537.1,
141,144.0455056899206,3.2735062,,,,149,,,,,,,573436.3,562514.3,420505.34,395939.56,606194.4,663514.8,
168,144.0455641001511,3.5667253,,,,,,,,,,,0,60743.637,232912.11,194667.16,0,28406.576,
1833,144.923332967435,8.459682,,,,,,,,,,,1420193.8,1.2725798E7,3445532.5,2775278.0,4729276.0,961424.0,
1966,144.9233415142928,10.201126,,,,,,,,,,,2100301.0,1304397.1,1551867.4,2272619.0,1907856.9,2091170.9,
1732,144.92337793407123,8.138148,,,,17,7,[2M+H]+,,2,1688;1732,71.95767,1.9766428E7,8283973.0,3463700.5,3.2115544E7,2.4652282E7,1.2681614E7,
1498,144.92338029419955,7.6996994,,,,55,,,,,,,1310009.6,4343907.0,1.2498876E7,503964.78,3016540.0,6425841.5,
79,145.05062539363612,2.139676,,,,,,,,,,,1026941.06,789837.0,982891.9,779420.4,1326368.9,1106338.2,
1965,145.05190363845864,10.180386,,,,,,,,,,,64719.688,0,12470.658,46052.613,14381.742,0,
160,145.08699318387676,3.4519165,,,,11,,,,,,,250044.22,497911.8,399101.0,320521.88,255005.42,278626.1,
167,145.08705456716402,3.5368688,,,,,,,,,,,414957.6,541525.25,513548.97,424932.34,438688.62,457289.84,
22,146.04583949838846,0.37840065,,,,51,,,,,,,2951502.8,2439695.5,1561941.9,2297636.0,2569992.0,2583432.5,
11,146.96589831127923,0.3580136,,,,12,,,,,,,9347528.0,1.3857566E7,1.8700222E7,1.4612555E7,1.1875348E7,1.0238333E7,
71,146.96591656324298,0.92610234,,,,,,,,,,,1170670.8,1278297.6,716315.4,1856228.2,396512.4,373173.94,
66,146.9659177776634,0.8122556,,,,,,,,,,,290262.47,426179.78,2182049.2,487398.7,933976.94,90561.984,
93,146.96593893097054,2.5440092,,,,,,,,,,,0,144367.25,58401.723,139352.72,0,176466.69,
1954,150.88945937659545,10.15116,,,,,,,,,,,267327.47,3293289.5,299287.0,313325.34,188263.12,4128639.5,
103,151.04002770890764,2.755163,,,,,,,,,,,478197.75,385272.7,372649.9,286460.8,596941.2,427729.84,
2015,153.8685287733446,10.32746,,,,,,,,,,,697353.9,29873.861,498273.75,589036.1,872960.7,72134.57,
10,154.92817282399383,0.35559177,,,,12,,,,,,,1182715.1,1017827.3,806396.56,800035.7,1002275.9,1078234.4,
181,155.10777577929787,3.6928575,,,,40,,,,,,,4346834.0,4555987.5,5186693.5,4397225.0,4934247.0,4763099.5,
108,158.08221598949007,2.810096,,,,,,,,,,,1078931.0,977795.56,970063.6,813722.1,1284084.1,827401.56,
84,158.08222156750958,2.3695953,,,,,,,,,,,274345.84,305821.7,342602.72,269430.84,332609.88,233479.2,
100,158.08223828012868,2.7251813,,,,106,,,,,,,1053163.0,913943.3,951847.1,763867.9,1315479.2,816245.3,
77,158.08225750948748,1.938562,,,,,,,,,,,1413868.4,1341296.9,1334575.8,1044622.94,1725117.1,1153797.2,
76,159.06625948127413,1.5821682,,,,,,,,,,,207988.22,101340.42,88579.98,85958.35,422931.22,124857.68,
98,159.066268186102,2.6058831,,,,,,,,,,,320898.0,299590.8,281602.75,245031.77,393009.72,332953.25,
110,159.0662734814326,2.8686094,,,,,,,,,,,531884.5,655586.2,613854.94,475454.94,655401.25,627582.8,
194,159.1026891125111,3.7896385,,,,,,,,,,,88367.805,99575.11,104817.71,84438.82,98328.49,102183.6,
223,159.10270741223357,4.0728784,,,,54,,,,,,,279341.88,489492.0,492997.6,413044.75,329583.47,608523.6,
132,159.10271904466344,3.153381,,,,,,,,,,,37734.777,16535.7,11605.101,4053.9124,48960.438,41772.6,
134,160.04045070785295,3.1984758,,,,102,,,,,,,704773.2,611011.94,520970.84,473748.72,724018.2,784631.44,
31,160.06144469894767,0.39287588,,,,51,,,,,,,604465.2,477335.44,999965.94,467751.28,1181506.0,424364.38,
58,160.06146497956414,0.6337953,,,,144,,,,,,,794131.44,1551047.4,1927010.6,1436789.6,1827518.1,1433234.0,
69,160.06153084587393,0.84576905,,,,,,,,,,,0,0,55429.887,0,35895.574,0,
2037,160.84200048170274,10.49884,,,,,,,,,,,271931.03,770450.56,277486.44,421740.88,265900.78,2499101.5,
2038,162.8390684838072,10.49884,,,,,,,,,,,306329.56,728378.44,256773.64,401348.4,259020.42,2233112.2,
125,164.03539412915472,3.0491211,,,,140,,,,,,,2455485.5,2458743.8,2142779.8,1812761.2,2840776.8,2157244.5,
144,164.03539659388818,3.289317,,,,,,,,,,,25461.379,36474.133,31524.041,30070.994,26209.516,43642.35,
121,165.05566349798576,3.0217886,,,,,,,,,,,1087369.9,1383000.0,1347865.2,1035403.9,1387514.0,1189414.2,
218,165.05575916852706,4.0458865,,,,,,,,,,,428277.0,1585277.2,1193007.6,1055645.0,477008.9,654029.56,
16,168.03351669240942,0.37127116,,,,12,,,,,,,1313230.8,977778.1,854175.2,992544.56,1330354.8,1412586.8,
28,168.06651325224917,0.38487944,,,,63,,,,,,,353061.94,301096.4,1421243.9,187898.02,1283638.8,367647.38,
57,168.06654194422057,0.6297617,,,,,,,,,,,516142.22,737192.4,2406048.8,523820.25,1873668.0,735273.7,
246,169.08704147705188,4.1760015,,,,,,,,,,,80147.15,122966.27,89699.305,86520.87,113005.31,64847.438,
265,169.0870735431008,4.4053273,,,,,,,,,,,344044.34,353797.72,292685.72,296214.28,381731.75,311056.72,
189,171.10272267725705,3.757354,,,,132,,,,,,,4289793.0,2612649.0,2272323.2,1946963.0,5039851.5,4903347.0,
117,171.1027307025964,2.9547741,,,,88,,,,,,,507766.84,417016.72,218560.31,198954.88,591816.1,687633.5,
215,171.10279578819714,4.0086403,,,,79,,,,,,,331850.25,349785.72,309920.97,293449.44,366447.03,310986.44,
113,172.09797749846953,2.9082692,,,,,,,,,,,1472463.9,1681184.2,917610.8,744552.94,1040718.06,1627517.1,
94,172.09798251150792,2.549154,,,,,,,,,,,38202.93,0,19215.674,3759.5403,54200.137,30476.516,
62,173.0818249672063,0.68371415,,,,,,,,,,,95755.75,75880.74,214238.1,44990.76,388901.66,69951.95,
124,173.08189300980052,3.0454683,,,,140,,,,,,,1581946.0,1090596.9,1140491.8,957221.3,1884898.4,1518530.5,
166,173.08196606649946,3.519204,,,,,,,,,,,27141.674,22746.09,17354.39,4321.274,30011.0,27701.596,
25,174.07707942338845,0.38172317,,,,63,,,,,,,834724.7,516440.03,3220650.8,867998.75,2794755.0,790744.44,
65,174.07711618346943,0.7567928,,,,,,,,,,,3675.0647,49392.074,31895.477,34697.418,157757.84,29686.9,
2040,174.9560390016388,10.583902,,,,0,,,,,,,1.6594408E7,1.309764E7,1.5819781E7,1.5406069E7,1.6681257E7,1.3491348E7,
89,175.0611579780733,2.4339368,,,,,,,,,,,1411843.0,1287085.5,1454827.1,938487.06,1914304.5,1486586.5,
99,178.0509610342436,2.623128,,,,,,,,,,,602802.94,559986.75,558486.94,450144.25,712450.5,622003.2,
139,178.05103901321013,3.2473762,,,,129,,,,,,,1932880.5,1695193.0,1460893.2,1205457.1,2263069.8,1665768.4,
1805,179.0382120454312,8.362374,,,,,,,,,,,158133.22,112272.73,995447.0,812357.3,1492969.9,667643.56,
1840,179.03823285860605,8.490436,,,,124,,,,,,,1693720.8,1430615.2,253646.67,965196.25,454195.7,2819944.0,
1857,179.03825916064898,8.636475,,,,130,,,,,,,486426.88,418238.3,104480.445,274969.5,219037.08,681481.4,
205,179.07147582249044,3.9196339,,,,97,,,,,,,429643.3,866848.56,873300.0,755423.3,466017.78,716074.1,
60,180.06659641417505,0.661882,,,,,,,,,,,90504.94,93926.48,47734.598,62768.47,45445.742,49107.69,
138,180.06663593407643,3.2455246,,,,129,,,,,,,889864.56,916167.1,922579.56,745795.3,1032301.56,1015917.44,
140,181.0705790260241,3.2464664,,,,,,,,,,,227067.86,77544.8,188399.75,67162.234,68778.31,81229.24,
47,181.07171638776367,0.4428151,,,,,,,,,,,1.3846682E7,8857316.0,3.9460744E7,1.060279E7,2.9329044E7,1.1533311E7,
19,181.94711575385278,0.3744118,,,,12,,,,,,,1243252.2,1509842.9,1495540.2,1302452.5,1136656.4,1191141.1,
460,183.13897383432695,5.1809716,,,,,,,,,,,182760.53,74370.19,124225.84,80175.12,207553.14,231955.34,
258,183.13903262117904,4.336902,,,,29,,,,,,,1162101.6,877821.8,768692.5,623121.5,1321953.6,1661678.4,
112,185.0818929315088,2.8903236,,,,,,,,,,,47552.36,7406.5254,19307.85,7133.0303,54623.066,56959.445,
200,185.08199104495375,3.8368597,,,,,,,,,,,1748301.2,1259132.8,1958923.9,1414973.2,2973421.8,2616839.0,
301,185.1182298380007,4.636328,,,,,,,,,,,198256.94,145454.81,147191.92,119651.24,189943.08,175696.12,
195,185.1182952187787,3.7869532,,,,,,,,,,,175207.3,169863.12,254344.58,224599.98,192640.81,494974.9,
245,185.11832004344214,4.170189,,,,,,,,,,,194370.27,198074.55,151062.9,139375.38,226046.14,209916.06,
221,185.11834062839296,4.118553,,,,,,,,,,,71465.45,62762.62,23190.357,52003.305,39041.465,32932.31,
116,186.11357056296416,2.951039,,,,88,,,,,,,924461.06,619072.9,609602.25,556669.2,1100495.5,1179859.0,
145,186.11358741353277,3.2949476,,,,,,,,,,,194343.66,130233.89,109520.48,92879.93,226866.48,197715.27,
158,187.09758619531058,3.449252,,,,11,1,[M+H]+,,2,158;159,186.09028,2.6374946E7,1.4543536E7,1.3439055E7,1.1606839E7,3.0158918E7,2.9062086E7,
148,187.09763916314705,3.350125,,,,108,,,,,,,79126.85,21023.11,54377.51,53043.47,85456.445,80586.68,
212,187.09767969193854,3.982907,,,,,,,,,,,296318.4,273454.34,235094.1,164733.75,414953.16,268294.97,
105,188.03526894765074,2.7834122,,,,120,,,,,,,74520.31,31940.744,43587.29,33636.44,97247.41,74767.61,
87,188.03531234362342,2.4030225,,,,139,,,,,,,2059580.0,1981499.6,1883684.1,1523954.5,2387149.5,1692900.9,
131,188.03540480016173,3.1456869,,,,,,,,,,,73895.51,80635.68,63909.75,50956.402,97018.5,87383.234,
38,188.05635964516011,0.39113557,,,,,,,,,,,275240.0,198176.42,94387.59,170172.84,318840.12,246827.45,
64,188.05636195370917,0.7518094,,,,,,,,,,,686833.5,625024.7,740499.06,568776.4,1344779.4,702378.2,
118,189.07685088486343,2.9621973,,,,,,,,,,,370401.44,412233.6,387932.4,263823.28,500234.94,438997.56,
154,189.11311036620395,3.425378,,,,,,,,,,,223227.1,239921.1,240065.56,204311.34,252516.97,239161.83,
190,189.1132552952755,3.7537072,,,,132,,,,,,,528798.7,301257.72,280041.7,240826.8,621423.2,575483.94,
61,190.07201450622327,0.68278915,,,,,,,,,,,602141.3,518331.53,657230.3,430165.4,927893.25,461234.1,
29,190.07202521515077,0.3847603,,,,,,,,,,,757867.25,546377.3,563686.8,489481.4,931795.8,522177.03,
1,190.92840268917132,0.032089528,,,,,,,,,,,571728.0,489155.4,1118903.1,548934.6,1159419.5,476988.97,
2031,190.92843373744765,10.437547,,,,,,,,,,,286205.84,94881.96,282988.3,377910.12,546657.9,158482.2,
165,191.07466654045405,3.4697227,,,,11,,,,,,,144099.77,186264.11,141848.7,115334.56,182464.17,166395.66,
173,191.07484008340955,3.6088657,,,,,,,,,,,542563.0,736692.25,555493.44,467775.44,645950.06,648927.94,
149,193.05064344924742,3.3511708,,,,,,,,,,,668515.8,881528.0,942850.25,856555.7,722216.25,782124.25,
85,194.04580408077368,2.3863442,,,,139,,,,,,,1813843.2,2011866.4,2265369.5,1803289.1,2139740.0,1609258.8,
122,194.04583781483447,3.0300734,,,,,,,,,,,107688.45,107823.95,129197.3,95488.89,142449.52,122264.27,
39,195.81080637151527,0.39998138,,,,90,,,,,,,436014.9,455396.25,424657.84,394575.84,462928.1,472550.28,
53,195.8108085803633,0.5380465,,,,,,,,,,,0,3333.2322,36052.58,3544.1917,135947.56,5190.6724,
2032,195.81088681578618,10.41911,,,,31,,,,,,,76336.4,50812.05,205525.38,171934.73,1053460.0,23355.469,
2024,195.8109154461115,10.348727,,,,50,,,,,,,1302808.0,46896.062,161847.53,1031098.6,1843254.8,23466.846,
40,197.80786043154538,0.39998865,,,,90,,,,,,,564730.8,589077.94,534232.6,495432.6,596292.44,611604.56,
52,197.80786989050767,0.5474835,,,,,,,,,,,0,15166.534,30920.371,4787.844,203477.6,10256.792,
720,197.8078723148822,5.954772,,,,,,,,,,,0,0,0,0,0,125463.97,
2029,197.80791546151136,10.419946,,,,31,,,,,,,106748.3,77325.29,270600.3,226347.81,2255229.0,72541.61,
2020,197.80792848634857,10.332373,,,,50,,,,,,,1616274.2,0,209777.31,1271673.5,1874636.2,33515.242,
182,199.0976079656739,3.692857,,,,40,2,[M+H]+,,2,182;183,198.0903,1.2379448E7,1.2550357E7,1.4653274E7,1.2395096E7,1.4004434E7,1.3125033E7,
252,199.09765017922314,4.2957506,,,,,,,,,,,126639.82,135526.89,141639.55,111770.87,272795.72,192618.22,
36,199.80491221892314,0.39834702,,,,90,,,,,,,255297.92,276630.56,251448.55,226640.3,280125.12,283432.84,
2021,199.80491807842628,10.346792,,,,50,,,,,,,745074.75,0,94024.65,602943.2,1057729.2,7779.502,
2033,199.80496714301628,10.414778,,,,,,,,,,,36685.805,11208.607,116920.68,99047.625,605493.8,0,
266,201.11331820671356,4.4016447,,,,,,,,,,,17169.71,21403.613,15121.722,3870.9355,23755.1,26279.498,
198,201.11333639358168,3.8268359,,,,119,,,,,,,679573.2,757271.6,638067.4,564101.56,793442.44,969485.75,
417,201.14958560229184,5.0418963,,,,32,,,,,,,843740.56,1170696.4,1695298.2,1516699.6,916677.25,1467877.1,
6,203.02852145985364,0.34536755,,,,4,,,,,,,438747.0,515470.88,861181.25,677481.5,649186.1,541969.4,
159,209.07946913328257,3.449252,,,,11,1,[M+Na]+,,2,158;159,186.09028,1565304.4,843142.9,936452.5,826579.94,1710789.1,1446741.8,
228,210.09243090891485,4.1226864,,,,105,,,,,,,682580.9,600416.75,552191.6,589617.94,710000.25,844520.7,
296,211.1339618854671,4.60659,,,,,,,,,,,867256.6,522314.72,369151.12,376602.16,754434.75,1010228.4,
172,211.13402556183627,3.6002345,,,,,,,,,,,35089.12,23207.316,15467.869,0,44577.61,41913.113,
206,213.01546148711859,3.9264145,,,,,,,,,,,508852.22,437125.62,511072.66,608050.06,497602.34,384557.88,
162,213.11318818824452,3.4485166,,,,,,,,,,,147835.2,41865.438,38988.25,20994.832,142121.6,170086.55,
236,213.11324649736653,4.13681,,,,,,,,,,,277356.2,329254.78,297980.78,261183.38,323274.84,381872.06,
