"","Filename","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-6MSAS_1_Run92.mzML","2024_NEG_Y-6MSAS_2_Run109.mzML","2024_NEG_Y-6MSAS_3_Run136.mzML"
"1","Class","CTRL","CTRL","CTRL","EXP","EXP","EXP"
"2","123/175.0611mz/2.04min","33782.637","47234.715","59266.492","35065.062","24922.709","0.0"
"3","125/156.0666mz/2.06min","1941036.9","2403060.0","2666349.5","1524809.4","1728253.4","664302.8"
"4","126/378.1338mz/2.1min","1795059.2","1754215.5","2076771.2","1357774.4","1092948.1","880817.7"
"5","127/328.9796mz/2.11min","1287814.6","1309428.2","1167734.8","1429602.0","1265890.0","999467.25"
"6","129/117.0558mz/2.12min","2737682.0","3140698.2","5628634.0","2393960.5","3407239.8","2283121.8"
"7","130/288.0725mz/2.17min","422992.06","359066.75","1185276.6","381449.22","498494.8","416215.3"
"8","131/322.0603mz/2.29min","700599.56","390128.78","1830993.4","303658.16","432378.16","363124.97"
"9","132/272.0776mz/2.33min","101462.875","107388.11","341064.5","81310.836","104648.63","90974.734"
"10","133/290.0882mz/2.33min","2449404.8","2665860.8","6628149.5","1449561.1","2831930.8","1612686.0"
"11","134/223.0724mz/2.37min","315993.7","362429.84","352128.34","277559.6","255402.22","236347.27"
"12","135/190.0548mz/2.41min","214606.98","147239.72","1032941.6","77957.94","134481.69","99592.36"
"13","136/175.0611mz/2.43min","150813.27","202875.27","370098.16","143417.98","253354.05","108825.93"
"14","137/129.0557mz/2.44min","821257.75","1109955.6","7938902.5","871958.3","2181105.8","1320216.5"
"15","139/237.0881mz/2.52min","961308.0","972926.0","1005261.06","962418.0","780488.06","834002.06"
"16","140/176.0645mz/2.52min","236457.88","277225.12","564928.94","245051.72","402543.06","178560.28"
"17","141/175.0612mz/2.52min","3410724.2","4025306.2","7878366.5","3543513.0","5581184.0","2650634.2"
"18","142/292.0463mz/2.54min","81182.52","86465.484","194920.5","58672.766","79419.01","70469.67"
"19","143/407.1206mz/2.6min","1015384.1","1109963.1","1189438.8","827430.3","817057.2","718002.44"
"20","144/373.0055mz/2.7min","1937484.5","1870944.9","1873511.6","1982973.2","2021066.6","1931023.6"
"21","145/298.0933mz/2.72min","2152100.8","2145004.0","2047585.8","1895167.9","1362944.8","1165269.2"
"22","146/178.0509mz/2.72min","1336737.8","1310032.2","1272146.6","1128685.1","825482.0","717270.25"
"23","147/272.0776mz/2.74min","135736.58","148433.56","356803.3","118966.53","156604.78","126845.59"
"24","148/370.9898mz/2.77min","663687.44","384175.6","343667.84","763494.0","351779.53","383803.34"
"25","149/304.1038mz/2.77min","4091128.2","4297834.0","10568270.0","3478854.0","4483350.0","3830666.8"
"26","150/286.0932mz/2.77min","244878.42","277315.25","710545.56","210270.53","287817.8","222891.14"
"27","151/224.0928mz/2.77min","126442.28","176541.03","496896.03","138346.34","181966.77","148476.48"
