"","filter","2024_NEG_Y-EV_1_CTRL_Run89.mzML","2024_NEG_Y-EV_2_CTRL_Run118.mzML","2024_NEG_Y-EV_3_CTRL_Run139.mzML","2024_NEG_Y-6MSAS_1_Run92.mzML","2024_NEG_Y-6MSAS_2_Run109.mzML","2024_NEG_Y-6MSAS_3_Run136.mzML"
"206/309.1014mz/4.0min",421878.53,401630.47,425955.4,425567.22,421078.5,416035.88,422678.56
"207/605.0258mz/4.05min",751627.5,620017.56,677980.8,664150.06,845908.1,825274.2,895459.6
"208/271.9983mz/4.12min",172184.97,165465.16,147111.36,158568.39,179800.67,178904.78,190264.17
"209/419.0263mz/4.15min",294212.05,300497.2,280903.5,293252.8,295171.3,316600,289163.12
"210/603.01mz/4.15min",327962.705,318339.25,303079.34,306254.62,344651.03,337586.16,371930.25
"212/263.0383mz/4.27min",337150.665,339095.3,335206.03,326174.94,317810.5,353157.5,344709.22
"213/497.0371mz/4.41min",883590.875,886725.5,852719.5,830051.6,927581.6,880456.25,1113333.4
"214/242.1762mz/4.43min",473643.72,483586.22,444830.47,497085.88,463701.22,449641.66,489133.62
"217/793.0186mz/4.43min",964445.225,865492.7,947821.25,1099741,926677.1,981069.2,1347167.2
"219/422.9768mz/4.52min",763737.405,769498.75,752181.2,732330.94,772085.2,757976.06,773761.94
"221/653.0255mz/4.54min",784998.43,738599.8,787854.06,881052.6,781652.94,782142.8,1090287.2
"222/341.0486mz/4.56min",730769.325,713415,724789.75,691402.25,772805.2,736748.9,773503.8
"223/404.0444mz/4.56min",447535.03,441468.97,450982.16,397570.47,463168.3,444087.9,488278.56
"224/497.0371mz/4.67min",1533312.7,1529486.2,1528771.4,1537139.2,1492656.4,1569454.4,1911434.5
"227/637.0305mz/4.74min",5662739.75,5148720,5728408.5,6099299,5595658,5597071,7260419.5
"229/227.9666mz/4.74min",6316426,6044906,6444993.5,6507448.5,6251115.5,6381736.5,6115800
"230/229.9645mz/4.74min",6180334,5962377.5,6257572,6281956,6118480.5,6242187.5,5932544
"231/228.9699mz/4.74min",503469.095,490618.6,506263.34,503694.16,509148.06,503244.03,490806.75
"232/230.9678mz/4.75min",483639.56,453998.22,476826.62,507543.5,490452.5,514317.16,458680.66
"233/266.9888mz/4.76min",1477177.7,1341550.4,1477297.2,1509454,1542034.8,1465502.4,1477058.2
"234/268.9857mz/4.76min",476711,410500.8,464914.88,482757.22,515233.22,473326.66,480095.34
"235/909.0177mz/4.92min",506984.85,177093.1,647804.7,295000,415086.2,631499,598883.5
"236/483.0381mz/4.92min",317440.685,299999.25,282577.3,344453.97,308611.75,326269.62,360227.1
"237/426.9678mz/4.92min",9653319,8612498,12882144,9713083,9593555,10365459,8841962
"239/481.0421mz/4.92min",5026516.75,4716066,4431022.5,5408636,4890699.5,5162334,6007762
"240/544.038mz/4.92min",1981451.55,1927776.9,1844131.1,2129204.2,1926983.1,2035126.2,2302882.2
"241/653.0254mz/4.99min",84907.552,71990.29,73287.63,87954.414,81860.69,93120.75,111556.88
"242/214.8799mz/5.12min",8247.11925,945.7331,945.7331,18032.37,11765.573,4728.6655,1107992.1
"243/241.8989mz/5.11min",168501.86,177054.44,56923.66,161998.3,175005.42,41376.023,1348637.8
"244/242.1761mz/5.13min",78955.92,72657.17,67048.016,180981.14,85254.67,70389.9,119762.45
"245/195.906mz/5.4min",31704.58,31704.58,158522.9,31704.58,202346.08,31704.58,31704.58
"246/214.88mz/5.37min",91486.205,111315.83,915971.7,5937.1133,1332038.5,29998.098,71656.58
"247/241.8989mz/5.4min",184218.85,212727,1288056.5,15654.265,1641922,155710.7,121681.54
"250/187.861mz/5.53min",7575.423,258517.75,12625.705,2525.141,38296.77,2525.141,2525.141
"251/214.8799mz/5.49min",94615.048,1034369.3,168545.92,1154.29492,418348,5771.4746,20684.176
"252/241.8989mz/5.5min",401467.46,1765625.1,764338.3,48057.2,613494.5,189440.42,111969.49
"253/569.2734mz/5.7min",466833.46,433287.34,599113.3,436429.12,576891.25,497237.8,392878.6
"254/450.2625mz/5.74min",1346889.8,1683228.9,1443856.4,1159980.8,1305376.5,1388403.1,1084056.4
"255/555.3053mz/5.79min",393439.385,548359.25,456981.25,299621.47,406495.8,380382.97,288521.2
"256/538.3152mz/5.79min",2146182.45,2747602.5,2403146.8,1591195.5,2258283,2034081.9,1491564.2
"257/569.2734mz/5.81min",366623.77,640074.7,423179.66,282660.5,393580.66,339666.88,272234.12
"258/562.0039mz/5.83min",59547.4925,68394.65,57438.547,51688.758,42272.613,61656.438,77602.95
"259/450.2625mz/5.85min",1409853.15,1762260.1,1478695,1120471.4,1443141.2,1376565.1,1302231.9
"261/214.8799mz/5.88min",3161.4522,12858.122,1053.8174,848842.7,1053.8174,5269.087,1053.8174
"262/241.8989mz/5.88min",133177.4875,207070.92,26724.01,991451.3,82063.375,184291.6,18755.24
"263/555.3053mz/5.88min",336348.295,429407.53,356028.28,177070.75,341321.97,331374.62,257628.73
"264/538.3152mz/5.9min",1787728.05,2262575.5,1940860,1254277.1,1807905.6,1767550.5,1381887.5
"265/569.2734mz/5.85min",288498.025,408909.06,390778.53,4567.683,213110.5,325512.1,251483.95
"266/656.1113mz/5.93min",163068.535,164415.3,173158.38,163666.12,162470.95,137221.47,120134.83
"267/265.1479mz/5.89min",332655.31,327532.84,198893.11,322987.28,337777.78,345637.12,371988.9
"268/132.8679mz/5.92min",177477.275,178595.38,105897.945,638650.56,176359.17,194229.02,170913.69
"270/720.1239mz/6.08min",143703.625,127696.22,159711.03,166335.4,204593.66,121800.83,121936.9
"271/452.2782mz/6.13min",64997.342,90030.08,73919.84,49219.535,64445.418,65549.266,60471.29
"272/571.2889mz/6.15min",87550.2925,12149.491,114593.5,78958.53,109745.08,96142.055,69008.96
"273/656.1114mz/6.14min",516603.69,537645.1,337164.56,606303.2,617126.94,495562.28,478772.12
"274/597.3047mz/6.17min",77043.915,5351.4516,79240.05,86754.71,216008.67,26757.258,74847.78
"276/540.3309mz/6.19min",179123.515,302719.3,239334.4,136489.69,177672.64,180574.39,133501.28
"277/557.321mz/6.19min",25956.624,43890.645,44186.14,11460.731,22897.018,29016.23,18075.248
"278/784.1362mz/6.22min",117964.71,130373.875,115571.49,131785.25,120357.93,96887.086,105837.21
"279/632.1301mz/6.24min",223393.775,212296.52,234491.03,236333.22,245229.14,180063.36,172234.6
"280/452.2782mz/6.24min",1283922.9,1604940.4,1446845.4,1132612.8,1338774.6,1229071.2,1057185
"282/496.2681mz/6.27min",954775.875,1316831.6,1195454.2,756255,1016880.75,892671,617332.4
"283/720.1238mz/6.29min",515319.08,572064,574251,566434.44,418750.38,464203.72,448197.28
"284/571.2891mz/6.29min",2673827.65,97504.51,3461764.5,2388800.5,3258750.2,2958854.8,2073409.1
"285/540.3309mz/6.3min",1700670.7,2327327.8,1925540.4,1438008.6,1723833.2,1677508.2,1229821
"286/265.1809mz/6.3min",745857.5,779828.25,804351.8,995149.8,711886.75,515428.3,548266.2
"287/557.321mz/6.3min",268645.48,399340.1,328969.88,245813.8,246922.58,290368.38,212981.4
"288/478.2939mz/6.31min",1854947.75,2730147,2066201.2,1756986.8,1789569,1920326.5,1458578.6
"290/522.2838mz/6.32min",641526,919418.4,763793.9,490750.5,644475.7,638576.3,397826.28
"291/311.1687mz/6.32min",1073717.3,175582.45,860628.3,1187996.6,1119619,1170371.9,1027815.6
"293/632.1301mz/6.39min",316135.935,357245.03,349346.4,273211.4,459034.1,232685.92,282925.47
"294/566.3466mz/6.37min",3375573.85,4988551,4053222,2509659,3347873.2,3403274.5,2383969.2
"295/583.3367mz/6.37min",554165.25,830090.44,659075.25,397502.34,546958.8,561371.7,395493.22
"296/696.1426mz/6.37min",184201.095,262528.25,177264.5,193064.08,191137.69,157261.12,157562.39
"297/597.3048mz/6.37min",986858.55,39150.008,1433355.4,880595.7,1297424.1,1093121.4,829995.8
"298/784.1362mz/6.41min",480669.79,518171.47,496557.3,464782.28,502099.2,408612.97,389727.06
"299/478.2939mz/6.41min",717561.6,1022420.94,850315.56,539887.3,700953.2,734170,659968.3
"301/311.1687mz/6.42min",883690.25,1013555.2,830203.5,668478.56,923784.06,982716.06,843596.44
"302/571.289mz/6.41min",32030.206,4426674.5,61535.348,27328.402,27063.701,5702.762,36732.01
"303/720.1238mz/6.46min",300598.7,324234.38,324907.66,291711.28,309486.12,257539.08,236174.06
"304/566.3465mz/6.47min",1101801.1,1657019.2,1425127.4,734856.4,1110988,1092614.2,841362.25
"305/583.3367mz/6.47min",175174.055,298116,241249.17,121198.9,172212.34,178135.77,126324.766
"306/522.2839mz/6.47min",65614,114812.22,90225.13,46831.914,66734.51,64493.49,48935.355
"307/573.1294mz/6.5min",442427.99,337159.75,442889.1,732384.9,659888.2,334491.97,441966.88
"308/590.1196mz/6.5min",720590.7,753082.44,762551.94,693075.3,748106.1,620388.56,602723.8
"311/696.1426mz/6.53min",747254.75,747734.6,818027.2,746774.9,795521.56,433830.94,435004.84
"312/597.3048mz/6.55min",289565.13,1637929.2,337744.28,198071.75,304941.56,274188.7,202384.28
"313/784.1362mz/6.57min",308777.8,352306.38,352835.53,283996.62,332541.94,285013.66,247963.64
"314/311.1687mz/6.53min",121335.925,1006255.06,41230.363,62962.875,82681.3,159990.55,167561.84
"315/654.1321mz/6.62min",700967.03,803863.5,856471.9,694922.5,707011.56,650243.7,560094
"316/637.1419mz/6.62min",521595.6,373913.62,515442.1,932459.44,777989.4,408447.1,527749.1
"317/548.0646mz/6.64min",93400.995,172924.17,536029.06,13504.206,99474.51,87327.48,67521.03
"318/485.0688mz/6.65min",246464.64,242018.06,1104102.2,65853,361845.75,196642.83,250911.22
"321/299.2592mz/6.68min",254490.86,217165.16,251367.44,298922.03,262229.4,257614.28,237275.33
"322/325.1844mz/6.72min",167722.465,68941.336,120502.33,905262.25,954774.3,214942.6,113985.3
"323/590.1196mz/6.68min",284330.65,331207.16,334874.88,255441.6,293499.3,275162,215156.4
"326/701.1544mz/6.72min",367106.53,220384.11,345496.44,730440.6,618616.25,263437.03,388716.62
"327/718.1445mz/6.72min",516517.34,680527.8,643900.6,452922.44,523845.62,509189.06,406411.62
"328/597.3048mz/6.68min",1441.1045,386943.9,1441.1045,1441.1045,1441.1045,7205.5225,1441.1045
"329/590.1196mz/6.73min",283078.5,383900.94,367029.03,281122.06,285034.94,269574.8,271045.03
"330/573.1294mz/6.67min",426307.27,463431.7,369878.94,580677.2,552767,301654.44,389182.84
"331/299.2592mz/6.81min",726088.9,863758.6,869422.56,748208,698250.2,703969.8,567070
"332/568.3622mz/6.8min",32509.552,74914.25,53738.906,23529.664,29287.338,35731.766,24422.375
"333/782.157mz/6.8min",370735.125,515145.4,448070.1,300458.72,356852.97,384617.28,295574.8
"334/654.1321mz/6.81min",1834756.8,2279394.8,2184351.2,1648955.5,1922352.2,1747161.4,1510414.4
"336/325.1844mz/6.81min",535700.69,160762.97,471848.3,557967.44,513433.94,971939.06,781837.44
"337/765.1669mz/6.81min",234619.99,125168.98,207725.62,429157.72,355152.47,157772.8,261514.36
"338/637.1419mz/6.84min",1410843.45,816552.75,1275770.4,2528052,2253847.2,980411.6,1545916.5
"341/846.1694mz/6.9min",228121.935,335415.7,279943.4,193672.34,209276.25,246967.62,165767.95
"342/829.1797mz/6.9min",161555.09,82584.17,135556.56,310842.78,261836.86,124352.445,187553.62
"343/299.2592mz/6.9min",471246.01,429637.3,421693.53,517147.3,493154.22,505279.25,449337.8
"344/568.3622mz/6.92min",668755.18,1035367.9,830028.5,576461.9,681144.8,656365.56,499858.34
"345/718.1446mz/6.92min",1908851.05,2563472.8,2403511.5,1640605.9,1865340.6,1952361.5,1458083.6
"346/293.2123mz/6.92min",688991.3,797518.7,900611.94,942030.5,575880.8,580463.9,506061.5
"347/701.1544mz/6.92min",1555519.6,736709.6,1380501.6,2782409.2,2446940.5,1079296.2,1730537.6
"350/325.1844mz/6.92min",493772.1,1086621.4,488986.3,27555.057,470061.25,655246.94,498557.9
"351/421.2264mz/6.89min",1358389.95,265842.1,1359082.9,1422667,1329210.5,1457664.8,1357697
"352/910.1821mz/6.97min",155413.915,210434.3,189128.56,148446.69,144197.38,162381.14,111208.164
"353/893.1924mz/6.97min",94643.09,12637.223,75728.35,160695.7,139964.98,38865.785,113557.83
"354/776.545mz/6.99min",439873.5085,8964.2914,8964.2914,834925.56,1795782.4,44821.457,16328400
"355/765.1668mz/6.99min",1197802.95,538004,1086831,2039658.6,1914497,780152.5,1308774.9
"356/782.157mz/6.99min",1591395,2064156.5,1913381.1,1305847.5,1552994,1629796,1112281.8
"357/654.1321mz/7.02min",478690.12,590259.25,587802.8,395267.7,478251.3,479128.94,359379.16
"358/299.2592mz/7.02min",54807.0115,54202.168,64904.77,61993.23,55411.855,36238.38,34307.85
"359/637.1419mz/7.03min",484970.595,220112.39,418421.94,837551.7,730065.06,300137.3,551519.25
"360/957.2049mz/7.03min",54274.705,3563.1586,36722.69,110703.086,90694.67,17815.793,71826.72
"361/974.1943mz/7.03min",109302.1075,125534.78,163389.36,48932.484,106552.805,112051.41,67833.55
"362/846.1693mz/7.05min",1156486.1,1460922.4,1458623.5,911850.56,1188158.1,1124814.1,762865.4
"363/829.1793mz/7.05min",818515.475,347284.75,715131.2,1638869.2,1359178.6,518186.8,921899.75
"365/701.1544mz/7.08min",1046986.82,443865.78,830867.44,1826127.5,1633799.6,596646.44,1263106.2
"366/718.1446mz/7.08min",1099571.9,1314355.8,1300669.9,837015.4,1072345.9,1126797.9,776523.3
"367/1038.2067mz/7.08min",58020.5185,62863.637,66401.875,53177.4,64556.3,43754.797,29963.582
"368/717.5273mz/7.11min",87104.52,29034.84,29034.84,6914794,9857599,29034.84,145174.2
"369/716.5238mz/7.11min",1063456.8975,15748.639,15748.639,15762962,4391441.5,78743.195,2048170.6
"370/802.5606mz/7.12min",282022.485,41901.944,41901.944,22262098,5224734.5,209509.72,354535.25
"371/807.5032mz/7.07min",213074.985,34029.65,170148.25,947171.1,34029.65,14663633,256001.72
"372/910.182mz/7.11min",810856.02,981420.25,982499.3,600235.9,757591.1,864120.94,554330.06
"373/893.1918mz/7.11min",563934.71,222991.58,471607.62,1146312,960350.44,322602.38,656261.8
"374/421.2264mz/7.14min",271893.04,1359465.2,271893.04,271893.04,271893.04,271893.04,271893.04
"375/782.157mz/7.14min",1272283.85,1620650.6,1682981,1013296.6,1170249.5,1374318.2,893015.06
"376/765.1668mz/7.14min",1175502.48,444783.8,883390.06,2202159,1881379.6,698937.2,1467614.9
"377/325.1844mz/7.1min",16631.449,668422.5,37521.62,1516.9088,20294.525,7584.544,12968.373
"378/974.1942mz/7.15min",566430.89,627665,812012.5,431277.22,505196.78,679656.5,316701.6
"379/957.2041mz/7.16min",380391.44,109972.35,293350.38,702193.1,651815.56,190547.81,467432.5
"380/599.3205mz/7.22min",226528.079,8711.318,1742.2636,1156092.4,1666675,1742.2636,444344.84
"381/829.1793mz/7.2min",1149003.325,406564.38,909618.75,1997162.9,1812280.6,629271.75,1388387.9
"382/846.1693mz/7.2min",1188764.15,1438480.9,1516737.6,895763.6,1041110.4,1336417.9,790442.8
"383/1038.2066mz/7.2min",337301,384533.6,463423.8,270557,290068.4,406982.88,234037.89
"384/1021.2167mz/7.2min",226133.04,48366.273,173014.38,526584.06,456192.2,108454.03,279251.7
"385/195.8109mz/7.24min",32047.538,32047.538,32047.538,32047.538,32047.538,160237.69,32047.538
"386/1085.2288mz/7.25min",117458.7975,14209.097,88616.125,345369.4,282724.4,59768.48,146301.47
"387/910.1819mz/7.25min",956858.47,1147151.9,1191039.4,774061.44,890418.5,1023298.44,608426.94
"388/187.8609mz/7.25min",24787.02,24787.02,24787.02,24787.02,24787.02,123935.1,24787.02
"389/197.8079mz/7.25min",40248.878,40248.878,40248.878,40248.878,40248.878,201244.39,40248.878
"390/214.88mz/7.25min",55830.376,55830.376,55830.376,55830.376,55830.376,279151.88,55830.376
"391/241.8989mz/7.25min",57005.624,57005.624,57005.624,57005.624,57005.624,285028.12,57005.624
"392/243.8996mz/7.26min",54956.778,350048.34,91594.63,18318.926,18318.926,478314.03,18318.926
"393/893.1917mz/7.27min",963925.625,354495.12,804185.25,1686354,1521163.5,566553.44,1123666
"395/974.1942mz/7.28min",714333.25,833985.3,868026.25,600593.2,678422.06,750244.44,454339.03
"396/599.3205mz/7.27min",1199034.75,19149.56,2077303.2,14425.379,1369459.8,1515947.1,1028609.7
"397/957.204mz/7.3min",759621.7,287269.44,691311.4,1328739.5,1101964.5,502816.44,827932
"398/802.5607mz/7.3min",1317894.58,23635.072,23635.072,2814582.2,28224408,118175.36,2517613.8
"400/701.1543mz/7.32min",143450.57,48831.75,118897.45,239925.19,223218.1,73192.99,168003.69
"401/718.1444mz/7.32min",88166.355,111886.53,98883.086,51014.39,78231.7,98101.01,47654.027
"402/716.5238mz/7.32min",733332.005,19899.842,19899.842,1367164.8,3172896.5,99499.21,10263591
"403/401.0862mz/7.33min",162329.077,104558.57,260244.34,15270.518,216265.86,113923.484,210734.67
"404/447.0918mz/7.33min",1196104.4,774130.8,1824385.2,166565.94,1637113.1,866190,1526018.8
"406/1021.2165mz/7.33min",548411.955,176408.14,442072.97,983171.94,869263.94,170050.81,654750.94
"407/1038.2066mz/7.34min",492228.27,543008.25,598302,237487.61,473925.88,510530.66,345131.6
"408/782.157mz/7.36min",190892.61,226794.06,239391.53,145436.16,175253.1,206532.12,118553.484
"409/765.1668mz/7.37min",331465.75,64474.285,307430.72,486144.97,405343.2,187027.38,355500.78
"411/846.1694mz/7.4min",250438.32,255463.03,271714.7,259695.1,229499,245413.61,161818.28
"412/829.1793mz/7.41min",422749.73,260535.6,404351.8,626604.94,595093.4,310120.4,441147.66
"413/910.182mz/7.43min",197674.065,224523.94,200629.47,261815.9,194718.66,153919.67,101840.16
"414/893.1917mz/7.43min",516663.44,432675.56,557522.1,662909.8,643759.44,409728.8,475804.78
"415/974.1941mz/7.44min",159547.26,179840.84,144822.64,222262.38,174271.88,102509.44,96090.28
"416/353.1423mz/7.44min",242058.325,576094.6,296982.38,187134.27,127874.734,318528.6,149827.53
"417/134.8947mz/7.44min",743775.3,902922.1,1122907,651587.7,553037,759994,727556.6
"418/957.204mz/7.47min",519775.565,445433.6,550130.6,680608.25,676221.4,429715.9,489420.53
"419/1021.2165mz/7.47min",436856.14,316624.38,478672.38,562603.7,505749.38,344920.62,395039.9
"420/1038.2065mz/7.49min",157707.815,162543.33,152872.3,174765,172839.66,130571.21,111188.53
"422/802.5606mz/7.51min",1819923.67,51972.868,51972.868,3379983,4676544,259864.34,11008918
"423/134.8947mz/7.54min",522327.545,233570,785435.4,428367.53,487457.03,1136533.4,557198.06
"424/599.3205mz/7.59min",466268.8,2331344,466268.8,466268.8,466268.8,466268.8,466268.8
"425/760.5135mz/7.53min",398625.265,71251.112,7524608.5,440994.97,71251.112,356255.56,808710.1
"426/893.1916mz/7.62min",33894.8035,4039.5402,20197.701,64738.305,50706.258,4039.5402,47591.906
"428/1021.2164mz/7.63min",61500.442,1488.06954,53874.664,92325.38,88384.664,7440.3477,69126.22
"429/833.5191mz/7.61min",38417.49,38417.49,192087.45,38417.49,38417.49,4974775.5,38417.49
"431/758.4979mz/7.66min",25438.44,25438.44,25438.44,3241736.2,25438.44,127192.2,25438.44
"432/720.4824mz/7.71min",561963.55,336423.97,809891.56,519452.16,360142.88,1440436.8,604474.94
"433/100.9337mz/7.84min",860058.88,1271478.2,1150849.9,453735.34,331393.66,1096808.2,623309.56
"435/161.9136mz/7.84min",301493.78,1657096.5,325903.66,226290.42,261876.5,557347.7,277083.9
"436/186.9706mz/7.84min",176262.295,158214.22,207601.62,173259.78,183152.02,91238.16,179264.81
"437/355.1579mz/7.84min",105624.82,579718.25,84741.88,105062.82,106186.82,275472.25,87393.64
"438/134.8947mz/7.84min",1358757.85,5039524.5,1353587.1,1363928.6,1283455,1934315.8,1190242.9
"439/116.9286mz/7.84min",6103934.25,10945287,6527461,5038330,5249412.5,7468764,5680407.5
