"MetaboAnalyst_ID","X2024_NEG_Y.EV_1_CTRL_Run89.mzML","X2024_NEG_Y.EV_2_CTRL_Run118.mzML","X2024_NEG_Y.EV_3_CTRL_Run139.mzML","X2024_NEG_Y.6MSAS_1_Run92.mzML","X2024_NEG_Y.6MSAS_2_Run109.mzML","X2024_NEG_Y.6MSAS_3_Run136.mzML","shared_name"
"146/178.0509mz/2.72min",2.34465669187096,2.30805950414258,2.2911264404488,2.25661529046834,2.11176878205597,2.06922959542325,"146"
"148/370.9898mz/2.77min",2.04057410626879,1.77530749548489,1.72272840953594,2.08684815301359,1.74133193097432,1.79765565651364,"148"
"149/304.1038mz/2.77min",2.83045353851839,2.82402715515996,3.21059316066505,2.74547868172588,2.84666377720228,2.796821104941,"149"
"153/113.0609mz/2.8min",1.71531300240526,1.73612990907438,2.04447910329165,1.72626812946935,1.92759498833618,1.61502345747027,"153"
"154/157.0506mz/2.8min",2.66204496317898,2.68685191368047,2.98706218614524,2.68273791715442,2.87446740514127,2.56246170908543,"154"
"155/265.0176mz/2.83min",2.43622561801605,2.42061250941743,2.39372012591673,2.4326888756355,2.42487629738827,2.44587595783811,"155"
"156/136.0404mz/2.83min",2.96324388724087,2.97547028770162,3.15788742663581,2.9423029186687,2.89093533567169,2.93967455408483,"156"
"161/131.0714mz/2.93min",2.90967672751717,2.9206517096775,3.13648465775136,2.84041110269969,2.92494147282094,2.8324830985748,"161"
"163/389.1564mz/2.95min",1.99049389911483,1.9948990905361,2.40887680119769,1.91338429851843,2.02775639873485,1.95953643775539,"163"
"166/338.0883mz/2.98min",2.32351579227869,2.32426090495686,2.72161211097797,2.24190920528029,2.3696167482001,2.29525926707329,"166"
"169/310.0569mz/3.0min",2.48275592402555,2.47097079994401,2.83920855855723,2.39364070253742,2.50555692417522,2.43331850717516,"169"
"172/189.0768mz/3.13min",1.9450079838896,1.94748657349986,2.22223583698084,1.9662383687035,2.08518714714272,1.68851129255682,"172"
"175/165.0557mz/3.13min",2.4345914617705,2.42932589029942,2.66241954304569,2.41462800407417,2.45697341830087,2.39264388968317,"175"
"178/164.0353mz/3.14min",2.40694426927701,2.43212252599083,2.72582204328266,2.35171878415794,2.39468699994866,2.33456204607134,"178"
"179/265.0176mz/3.17min",2.72655266015648,2.66769869220876,2.62356120348974,2.70471440301843,2.67782584543306,2.67452514128846,"179"
"180/224.0928mz/3.24min",1.86776975678151,1.80526944342768,2.25817708394114,1.81186157395572,1.88870324911138,1.76926066136926,"180"
"181/286.0933mz/3.25min",2.04883920821433,2.03562768810324,2.43131406485185,1.98821788037061,2.06677856864511,2.01658289506699,"181"
"182/403.172mz/3.28min",2.65189337901572,2.64032506144023,3.01559870753019,2.58700061634355,2.66915566291059,2.62093488030948,"182"
"188/421.0056mz/3.4min",2.70639038665206,2.64075718981988,2.63226405394626,2.68565179945336,2.67529764673053,2.6940142105813,"188"
"189/320.0777mz/3.4min",1.93345520024962,1.91099229838056,2.30771230977756,1.85303418918915,1.95050896320044,1.89218462266664,"189"
"191/249.0227mz/3.49min",3.02528676156667,3.01735309000573,3.00241131417133,3.05264477821728,2.96703052901225,3.00746727488829,"191"
"192/280.4973mz/3.52min",2.87426185575272,2.85263079228159,2.84768424820592,2.86963374000261,2.89937486562421,2.94089210004191,"192"
"194/279.9958mz/3.52min",3.50159149294298,3.45393713818089,3.44655048578639,3.50019169077501,3.53276197325117,3.50809614302548,"194"
"195/582.981mz/3.52min",2.0587597105954,2.0327627322389,1.992628682463,2.04527616663989,2.0448532734298,2.05561000114522,"195"
"196/560.9991mz/3.52min",2.77295629965206,2.75319408575788,2.72156469890469,2.773525615463,2.75880514883047,2.75786649050185,"196"
"198/417.1877mz/3.55min",2.03148682300157,1.97616167883329,2.40516578832921,1.94184422952709,2.06402112726293,2.01260461413312,"198"
"199/405.0107mz/3.6min",3.49719797979282,3.47146303593296,3.4039707516005,3.47274575823041,3.47152376314362,3.49875736066193,"199"
"200/407.0044mz/3.6min",2.32617501928255,2.30323848402924,2.25315815838019,2.30020982002206,2.29200298721205,2.31797891423162,"200"
"202/406.0138mz/3.6min",2.80395948933782,2.72913021637454,2.68735151444314,2.7268323804626,2.74179234152817,2.75646068436343,"202"
"204/151.0401mz/3.83min",1.61881890330578,1.59098602795896,1.58679778100827,2.59277419589371,2.29423919645181,2.34963851967599,"204"
"205/421.0056mz/3.84min",1.89085892265847,1.82723909114247,1.9079613976545,1.9568114655392,1.85290297454871,1.74587240662486,"205"
"206/309.1014mz/4.0min",1.82243726336667,1.82014180811025,1.8155575955125,1.82840570124172,1.81419208657933,1.83955709406917,"206"
"207/605.0258mz/4.05min",2.011014505688,2.02199497592346,2.00885554497985,2.13136569925551,2.11165944261981,2.16559275549207,"207"
"213/497.0371mz/4.41min",2.16639967919922,2.12158375164884,2.10569439514995,2.17139463427729,2.13976894985741,2.26017198504791,"213"
"214/242.1762mz/4.43min",1.90308447667598,1.83897219409793,1.88302080952215,1.87028084498367,1.84792781797921,1.9029743515757,"214"
"217/793.0186mz/4.43min",2.15587389215275,2.16750399061075,2.22787970172392,2.17097094007397,2.18676080342217,2.34296824046867,"217"
"219/422.9768mz/4.52min",2.10481841090115,2.06710004320858,2.05129669947797,2.09170775109876,2.07471667132048,2.10215413373393,"219"
"221/653.0255mz/4.54min",2.08701968169523,2.08722334147306,2.13159113630533,2.09705648807972,2.08834723096607,2.25108766135812,"221"
"222/341.0486mz/4.56min",2.07195273582952,2.05098961567582,2.02632011198075,2.09211255908031,2.06238068133637,2.10200922164461,"222"
"223/404.0444mz/4.56min",1.86351076529188,1.84493702448865,1.78600357071544,1.8697814346625,1.84253021928874,1.90221449252995,"223"
"224/497.0371mz/4.67min",2.40315602216261,2.37512007841602,2.37330247106129,2.37800233662113,2.39080984539873,2.49490615315647,"224"
"227/637.0305mz/4.74min",2.93030972360923,2.94881149770398,2.9718691849033,2.95189364065005,2.94302194864717,3.07450844045017,"227"
"230/229.9645mz/4.74min",2.99402991823131,2.98718337239633,2.98468415117436,2.99068605768842,2.99039794207459,2.98678769410376,"230"
"231/228.9699mz/4.74min",1.90935456540658,1.89515411202945,1.88875629492386,1.91088667764452,1.89683987802762,1.90445736316003,"231"
"232/230.9678mz/4.75min",1.87566472485083,1.86913813970795,1.89206264782406,1.89463954530565,1.9062922562307,1.8750572810905,"232"
"233/266.9888mz/4.76min",2.34621745574476,2.36024540458773,2.36540915609795,2.39213666322975,2.36104767920538,2.38294434564591,"233"
"234/268.9857mz/4.76min",1.83192461081144,1.85815109990198,1.8703181676583,1.91604643847308,1.87022222813932,1.89487433182325,"234"
"235/909.0177mz/4.92min",1.46681292037582,2.00222168159731,1.65641162363942,1.82218093364914,1.99543387175343,1.99088914775117,"235"
"237/426.9678mz/4.92min",3.15373958256816,3.30076566599534,3.17394636040992,3.18602204671031,3.21064967008036,3.16009536985734,"237"
"239/481.0421mz/4.92min",2.89219032361908,2.83728147313485,2.91967701575226,2.89341345707825,2.90790723246999,2.99225944572395,"239"
"240/544.038mz/4.92min",2.5036672271131,2.45656931701195,2.51480658106167,2.48892039003601,2.50365248406969,2.57581845338124,"240"
