row ID,row m/z,row retention time,row ion mobility,row ion mobility unit,row CCS,correlation group ID,annotation network number,best ion,auto MS2 verify,identified by n=,partners,neutral M mass,NEG_D5-211-C1-b_Run95.mzML Peak area,NEG_D5-211-C1-a_Run92.mzML Peak area,NEG_D5-Ctrl-c-P-EAMeOH_Run35.mzML Peak area,NEG_D5-Ctrl-a-P-EAMeOH_Run29.mzML Peak area,NEG_D5-211-C1-c_Run98.mzML Peak area,NEG_D5-Ctrl-b-P-EAMeOH_Run32.mzML Peak area,Unnamed: 19
59,174.0770671640841,0.39392886,,,,27.0,,,,,,,17915814.0,17649978.0,11602094.0,7777260.5,18144652.0,9062692.0,
544,174.9560415058961,10.538819,,,,17.0,,,,,,,15091752.0,14474519.0,14932236.0,14942844.0,14884494.0,15257343.0,
99,175.0611337928841,2.4349937,,,,,,,,,,,58738.617,35663.77,75118.86,401786.5,65078.36,37551.754,
100,175.06114328214713,2.5084991000000003,,,,,,,,,,,1250075.1,924635.1,1400721.2,962792.25,1337791.5,849976.5,
23,176.9358073458,0.3557906,,,,27.0,,,,,,,1071517.8,805057.9,737967.8,269050.4,1004545.44,461241.66,
37,179.05602851012836,0.38013956,,,,27.0,,,,,,,626871.6,128334.805,2252012.2,1716967.9,1057494.6,1939677.6,
445,180.97282549278813,8.968864,,,,,,,,,,,511138.4,294394.3,705431.3,350316.38,533464.56,710418.56,
506,180.97294202948297,10.184981,,,,0.0,,,,,,,727942.1,704839.06,1498833.6,1489377.1,745141.75,1406167.0,
48,181.0717101215676,0.38438424,,,,,,,,,,,781453.9,144346.05,209735.28,177961.02,174822.05,199515.78,
387,183.93419945059745,8.770225,,,,38.0,,,,,,,26009906.0,25131494.0,14791948.0,14033952.0,26165806.0,14902111.0,
457,183.9342365051477,9.040764,,,,9.0,,,,,,,14897945.0,14463100.0,10249911.0,12739519.0,15267402.0,15411479.0,
353,187.86086461033244,8.527316,,,,,,,,,,,258213.05,255963.12,398091.44,900024.4,287360.56,383416.7,
540,187.8609836936304,10.492585,,,,39.0,,,,,,,2151422.0,2336324.8,561674.94,880041.7,2017004.0,609457.7,
541,189.85797978968486,10.49438,,,,39.0,,,,,,,1254251.6,1390171.5,351987.7,415885.34,1190657.4,379005.9,
56,191.01968933608362,0.39302158,,,,27.0,,,,,,,48217412.0,47949132.0,49062250.0,49512490.0,52181150.0,54360090.0,
543,191.94626353397467,10.535205,,,,17.0,,,,,,,2710841.0,2968896.2,3063358.0,2680130.5,2964319.5,2979515.0,
522,192.928722041397,10.359639,,,,,,,,,,,559647.3,553688.06,665910.75,801989.94,580004.5,703814.7,
214,192.92878775268028,7.581889,,,,,,,,,,,4108.37,0.0,115869.95,212554.77,35487.805,131027.53,
267,194.9057117192216,7.873512,,,,2.0,,,,,,,32587.457000000002,12277.973999999998,1269888.1,1186140.2,106405.59,1329884.5,
222,194.90571623879464,7.7824089999999995,,,,24.0,,,,,,,34054.074,36205.402,518278.78,541459.8,71918.07,540921.4,
187,194.9057238878444,7.372580999999999,,,,19.0,,,,,,,75926.07,11009.238000000001,383743.3,306840.97,51557.36,342409.84,
15,194.927361787215,0.35073856,,,,27.0,0.0,[M+H]+,,2.0,15;9,193.92009,2010848.5,2078770.9,7685430.0,5184725.5,2396808.2,4368655.5,
20,194.93660380246826,0.3531736,,,,27.0,1.0,[M+H]+,,2.0,20;12,193.9293,1046362.5,986827.7,1302245.0,871146.2,1085546.5,829259.7,
25,194.94619601343155,0.35754475,,,,27.0,,,,,,,1298185.9,1057215.6,822486.8,528864.8,1266874.2,532747.25,
303,195.81072916728888,8.223877,,,,,,,,,,,260195.12,74936.59,27021.472999999998,31256.827999999998,97859.63,43955.13,
345,195.81080197177448,8.4682045,,,,30.0,,,,,,,6843963.5,6560470.5,1964532.9,2068569.9,7272195.5,1926392.6,
538,195.8108226848548,10.449836,,,,3.0,,,,,,,638085.8,633903.75,278063.44,292915.34,648927.4,297769.4,
344,197.8078588330744,8.464715,,,,30.0,,,,,,,8563357.0,8296379.0,2535487.2,2681708.8,9178715.0,2460178.2,
536,197.8078821096325,10.4489565,,,,3.0,,,,,,,824483.0,812848.44,348938.44,379951.72,835541.75,382679.12,
346,199.80491616549432,8.4673395,,,,30.0,,,,,,,4140875.0,3793690.2,344687.16,387903.03,4229776.5,1145446.2,
535,199.80492770301862,10.44984,,,,3.0,,,,,,,356107.44,371150.3,161810.27,171585.83,369697.0,168610.95,
400,199.92917133346972,8.802411,,,,,,,,,,,1796750.4,2081758.1,345690.3,714473.8,1792402.4,542283.2,
461,199.92922684857209,9.098048,,,,,,,,,,,1923457.6,1448390.8,216470.03,201257.28,1503553.1,327509.78,
97,203.0826633797441,2.2394462,,,,,,,,,,,123611.22,171680.4,1071897.4,467016.78,221742.2,534114.5,
98,204.0301661796036,2.3023162,,,,,,,,,,,386315.44,398141.88,458644.4,351917.34,501943.06,382279.3,
66,205.03521841041714,0.40784845,,,,,,,,,,,238230.61,412201.38,236799.19,320884.84,709123.7,339248.7,
82,205.03528425237224,0.68117076,,,,,,,,,,,438209.97,418445.4,561844.7,476593.84,849672.94,484448.62,
539,205.83964292292129,10.449843,,,,3.0,,,,,,,1517754.8,1510283.8,964289.9,1076954.5,1529375.0,1025870.0,
537,207.836670867538,10.448958,,,,3.0,,,,,,,1449596.1,1421180.1,909181.7,1018436.75,1430306.9,975646.94,
24,214.04854738936737,0.3548937,,,,27.0,,,,,,,221368.12,160981.0,2678125.5,2336182.5,252128.94,2672571.2,
27,215.03271149931305,0.35579887,,,,27.0,,,,,,,155619.55,215652.8,1061560.8,652213.06,458506.62,765380.0,
268,216.85380566317562,7.8750253,,,,2.0,,,,,,,0.0,0.0,862056.0,668489.7,0.0,973149.44,
9,216.90931423489016,0.34553206,,,,27.0,0.0,[M+Na]+,,2.0,15;9,193.92009,2643556.2,2631140.8,4587443.0,3695901.2,2586641.2,3180489.8,
12,216.91848909819427,0.34986290000000003,,,,27.0,1.0,[M+Na]+,,2.0,20;12,193.9293,1503632.5,1296742.9,1135043.4,929820.94,1357230.4,841178.44,
133,217.0423053858189,6.1039925,,,,,,,,,,,927051.9,629246.6,555241.9,481186.7,1829977.4,845823.0,
114,217.04232617154392,3.5185508999999997,,,,,,,,,,,2142962.0,2240172.0,2132795.0,1700377.5,2404549.0,1914248.5,
33,225.06148746235704,0.37665728,,,,27.0,,,,,,,1179131.1,908123.2,1759997.5,1216341.4,1367010.0,1213876.4,
120,227.96663743770185,4.686158,,,,23.0,,,,,,,2006223.2,1967331.0,1803878.8,1769908.8,2066591.1,1838150.9,
102,229.09820909019012,2.6082208,,,,16.0,,,,,,,4054873.2,2972378.5,5254959.0,4051459.2,3480117.2,3797914.2,
105,229.098214168123,2.7313134999999997,,,,15.0,,,,,,,1967734.5,1455051.0,2537166.5,1895743.1,1666984.5,1845616.4,
381,229.90083012842015,8.732738000000001,,,,12.0,,,,,,,5895565.5,5484151.5,5197470.0,4951586.5,5738777.0,5252055.0,
458,229.90085223232367,9.059085000000001,,,,9.0,,,,,,,1213165.6,1076947.5,342215.47,448090.6,1162258.8,533353.9,
118,229.9643994290947,4.6852384,,,,23.0,,,,,,,1949121.1,1906174.5,1754863.9,1723078.8,2012318.9,1784216.2,
104,230.101469909041,2.6983707000000003,,,,,,,,,,,286131.1,187122.86,378078.5,465087.56,227622.8,162285.1,
108,233.10303288129157,2.7979395,,,,,,,,,,,619133.3,520377.2,884046.94,497641.03,781849.06,417133.75,
31,242.07975863662728,0.36453876,,,,27.0,,,,,,,86751.15,112061.31,1067766.4,997828.7,210789.4,1113509.1,
356,243.89916853736398,8.542197999999999,,,,33.0,,,,,,,5463686.5,4220183.5,4889621.5,4405302.0,4796960.5,4806851.5,
355,245.89471408425376,8.540298,,,,33.0,,,,,,,2234600.2,1772938.4,2016705.6,1817124.2,1970232.6,1770158.9,
258,248.96029830342445,7.874395,,,,2.0,,,,,,,282153.34,69741.49,1010993.94,1037526.3,338763.8,1058218.6,
235,248.96030730909217,7.8206177,,,,24.0,,,,,,,168344.72,109831.93,906851.9,816504.9,141806.16,828754.56,
441,248.96032008421037,8.967998,,,,4.0,10.0,[2M-H+2Na]+,,2.0,441;443,101.9942,790934.6,780418.8,1321688.6,1288573.6,802171.2,1364341.0,
196,248.96032600782718,7.3716965,,,,19.0,,,,,,,583169.0,453311.5,1023884.3,957737.4,706937.6,953050.5,
499,248.96038773139026,10.147771,,,,,,,,,,,988041.94,1393650.0,1257384.6,1244097.5,937662.56,907595.2,
482,248.96038972388988,9.614587,,,,,,,,,,,882114.94,1023440.06,1178751.9,1060127.0,2927413.8,1176404.4,
511,248.96039220882923,10.215275,,,,0.0,,,,,,,1443672.0,807876.5,2278506.0,2323958.5,1351408.5,2291729.0,
489,248.9604120498028,9.931964,,,,,,,,,,,2803187.0,4489353.5,1118456.8,1082891.9,964220.5,1194062.5,
198,253.21718302027,7.373450999999999,,,,19.0,,,,,,,170231.05,300569.03,1498809.5,976446.44,378480.88,1171405.6,
227,255.2328198025924,7.7690225,,,,,,,,,,,153198.23,235784.98,442908.28,282712.72,254486.1,370546.75,
21,258.03817240845694,0.3592777,,,,27.0,,,,,,,10904.275,58166.75,1284059.1,1231079.8,50727.117,1386481.0,
17,259.0222138366356,0.35146844,,,,,,,,,,,314692.9,333217.75,522522.03,559851.44,521154.6,811028.56,
383,265.1477222751284,8.753651,,,,12.0,,,,,,,728480.75,678738.9,870252.25,852108.1,689079.56,839030.6,
132,265.14785019334215,6.0832024,,,,,,,,,,,1406889.5,1071204.6,1456497.9,1104937.0,839902.6,1241907.1,
131,271.22783398669446,6.00103,,,,,,,,,,,39633.43,39121.234,42365.805,28029.068,95500.016,30301.129,
173,271.2278339821416,7.152083,,,,,,,,,,,2244911.2,1880347.5,975112.25,1431407.9,2161689.8,1610510.8,
166,271.22783731975295,6.9430165,,,,,,,,,,,218268.78,186669.78,35324.2,89789.65,183046.05,89301.0,
147,271.22784431117265,6.5150375,,,,,,,,,,,12227.43,17551.77,66051.22,38811.418,48929.15,37512.03,
137,271.2278833979704,6.201668,,,,,,,,,,,155739.84,163704.05,189121.61,131797.38,283888.38,126720.76,
2,272.9589480167404,0.31460413,,,,1.0,,,,,,,251265.11,212392.27,483780.84,500711.22,231210.31,443744.25,
130,277.18416230269366,5.9244156,,,,,,,,,,,76955.79,345312.28,196851.0,145080.17,683355.6,1045204.75,
134,277.18418570056457,6.1273003,,,,,,,,,,,0.0,50634.155999999995,55775.875,46292.902,340976.25,513862.94,
140,277.1841865833016,6.273299,,,,,,,,,,,0.0,93701.45,86923.15,63073.477,306605.56,484446.06,
265,281.24845594977074,7.8743896,,,,2.0,,,,,,,2733296.5,3980981.8,8117734.5,6488629.0,4453913.0,8489138.0,
