"","FC","log2(FC)","raw.pval","-log10(p)"
"2462/871.4284mz/3.58min",0.38833,-1.3646,0.0093701,2.0283
"827/188.0376mz/2.06min",0.041541,-4.5893,0.0099055,2.0041
"2489/287.1422mz/3.62min",14.142,3.8219,0.0099697,2.0013
"3336/455.2287mz/4.85min",0.03413,-4.8728,0.010112,1.9952
"3240/271.0601mz/4.73min",0.036752,-4.766,0.010159,1.9932
"5595/864.551mz/6.96min",3.6594,1.8716,0.01019,1.9918
"1826/275.16mz/2.8min",0.38865,-1.3635,0.010241,1.9897
"1804/292.1179mz/2.79min",0.028581,-5.1288,0.010256,1.989
"4656/814.564mz/6.02min",2.2947,1.1983,0.010621,1.9738
"1056/241.1182mz/2.26min",0.49837,-1.0047,0.010672,1.9718
"1975/323.1964mz/2.93min",14.456,3.8536,0.010705,1.9704
"1672/361.1241mz/2.68min",4.8584,2.2805,0.010974,1.9596
"1363/266.0658mz/2.47min",0.3026,-1.7245,0.011362,1.9445
"3935/885.3713mz/5.41min",12.096,3.5964,0.011493,1.9396
"850/184.0604mz/2.09min",0.4543,-1.1383,0.011646,1.9338
"4311/476.277mz/5.76min",5.8082,2.5381,0.011693,1.9321
"1229/206.081mz/2.36min",0.071215,-3.8117,0.011839,1.9267
"1871/206.0811mz/2.83min",0.39566,-1.3377,0.011887,1.9249
"1549/231.1126mz/2.59min",0.4978,-1.0064,0.012167,1.9148
"5433/657.3751mz/6.76min",0.39739,-1.3314,0.012307,1.9099
"3117/243.1591mz/4.5min",10.584,3.4039,0.012351,1.9083
"3871/490.2487mz/5.37min",14.477,3.8557,0.012451,1.9048
"1614/177.0658mz/2.62min",10.397,3.3781,0.012532,1.902
"4940/812.5478mz/6.21min",0.32346,-1.6283,0.012641,1.8982
"1563/238.1054mz/2.6min",2.159,1.1104,0.012812,1.8924
"2109/277.1182mz/3.07min",0.43081,-1.2149,0.012968,1.8871
"2432/322.1284mz/3.51min",13.187,3.7211,0.013198,1.8795
"5048/314.2689mz/6.36min",0.082038,-3.6076,0.013397,1.873
"4455/757.5061mz/5.87min",0.46629,-1.1007,0.01347,1.8706
"3521/295.2267mz/5.04min",0.16825,-2.5713,0.013848,1.8586
"5488/279.2318mz/6.84min",0.28542,-1.8089,0.014291,1.8449
"4225/476.2772mz/5.68min",4.8815,2.2873,0.014318,1.8441
"3966/458.1809mz/5.46min",26.227,4.713,0.01444,1.8404
"2733/380.1914mz/4.03min",0.44206,-1.1777,0.014613,1.8353
"4109/301.1646mz/5.57min",3.5121,1.8123,0.014617,1.8351
"3877/1181.7423mz/5.38min",4.2808,2.0979,0.01468,1.8333
"2460/280.2383mz/3.58min",0.42726,-1.2268,0.014784,1.8302
"5270/529.1882mz/6.56min",9.6826,3.2754,0.015051,1.8224
"3971/526.2432mz/5.46min",21.4,4.4195,0.015129,1.8202
"2918/550.3021mz/4.29min",0.12069,-3.0506,0.015546,1.8084
"2051/236.0917mz/2.95min",0.46292,-1.1112,0.015666,1.805
"3954/318.3002mz/5.43min",3.3959,1.7638,0.015719,1.8036
"797/137.0458mz/2.03min",0.13833,-2.8538,0.015767,1.8023
"2688/965.304mz/3.96min",0.38066,-1.3934,0.0159,1.7986
"4784/607.3313mz/6.14min",0.18656,-2.4223,0.01592,1.7981
"2188/165.0909mz/3.17min",0.19149,-2.3847,0.016355,1.7863
"2772/245.0444mz/4.11min",8.7722,3.1329,0.016857,1.7732
"1594/254.1001mz/2.62min",0.44467,-1.1692,0.017264,1.7628
"2687/963.304mz/3.96min",0.37484,-1.4157,0.017422,1.7589
"6217/304.2635mz/7.61min",0.2122,-2.2365,0.017658,1.7531
"4276/549.3182mz/5.72min",0.47853,-1.0633,0.017745,1.7509
"3281/470.1806mz/4.78min",31.484,4.9765,0.018055,1.7434
"3700/920.5907mz/5.23min",10.136,3.3414,0.01819,1.7402
"1063/188.0705mz/2.26min",0.39422,-1.3429,0.018339,1.7366
"4596/626.4118mz/5.98min",0.068894,-3.8595,0.01923,1.716
"6654/770.5308mz/8.03min",21.968,4.4574,0.019277,1.715
"4941/934.5851mz/6.25min",9.9651,3.3169,0.019375,1.7128
"1195/254.1499mz/2.36min",0.47126,-1.0854,0.019675,1.7061
"801/227.1389mz/2.04min",0.1322,-2.9192,0.019738,1.7047
"2260/233.092mz/3.26min",3.5777,1.839,0.019871,1.7018
"2686/962.3042mz/3.96min",0.36611,-1.4497,0.019976,1.6995
"6438/690.5058mz/7.87min",5.2679,2.3972,0.020046,1.698
"1064/205.0971mz/2.26min",0.39337,-1.346,0.020095,1.6969
"3128/525.2591mz/4.54min",5.5195,2.4645,0.020394,1.6905
"5015/358.3314mz/6.32min",7.615,2.9288,0.020417,1.69
"1749/413.2279mz/2.7min",22.093,4.4655,0.020802,1.6819
"1730/265.1546mz/2.69min",2.3656,1.2422,0.020815,1.6816
"5106/506.2433mz/6.41min",24.176,4.5955,0.020833,1.6812
"4121/318.191mz/5.57min",3.0688,1.6177,0.020985,1.6781
"2740/302.0658mz/4.04min",0.017977,-5.7977,0.021267,1.6723
"6321/375.3044mz/7.76min",0.21105,-2.2443,0.021569,1.6662
"3192/260.1856mz/4.66min",0.053155,-4.2337,0.021894,1.6597
"2586/316.1156mz/3.78min",7.0935,2.8265,0.021973,1.6581
"5125/590.3332mz/6.44min",0.4335,-1.2059,0.022598,1.6459
"2118/380.1794mz/3.08min",2.3989,1.2624,0.022599,1.6459
"3766/458.1808mz/5.29min",15.334,3.9387,0.022685,1.6443
"4287/277.2162mz/5.73min",0.095484,-3.3886,0.022851,1.6411
"1028/179.0815mz/2.24min",3.0564,1.6118,0.023054,1.6373
"4788/606.3284mz/6.14min",0.2379,-2.0716,0.023473,1.6294
"4163/920.5905mz/5.6min",8.4286,3.0753,0.023547,1.6281
"1636/195.0652mz/2.63min",12.111,3.5982,0.023623,1.6267
"2707/207.0651mz/3.99min",0.13692,-2.8686,0.023729,1.6247
"5682/339.1226mz/7.08min",0.22119,-2.1766,0.025207,1.5985
"2033/279.1703mz/2.99min",2.8013,1.4861,0.025361,1.5958
"4103/312.2896mz/5.57min",3.5588,1.8314,0.025407,1.595
"1004/139.1229mz/2.22min",0.15528,-2.6871,0.025496,1.5935
"1218/330.2387mz/2.37min",0.20092,-2.3153,0.026273,1.5805
"1203/240.0864mz/2.36min",0.41953,-1.2532,0.026574,1.5755
"2771/263.0549mz/4.11min",10.347,3.3712,0.026643,1.5744
"1447/231.1703mz/2.53min",2.3176,1.2126,0.026792,1.572
"2655/456.257mz/3.9min",5.7824,2.5317,0.026822,1.5715
"1546/330.2387mz/2.59min",0.091525,-3.4497,0.027033,1.5681
"1171/241.1546mz/2.34min",0.3044,-1.7159,0.027158,1.5661
"1810/202.1072mz/2.81min",2.0205,1.0147,0.027892,1.5545
"4944/956.5675mz/6.25min",19.966,4.3194,0.027902,1.5544
"4577/347.3349mz/5.97min",4.3693,2.1274,0.028172,1.5502
"6672/714.506mz/8.02min",10.014,3.324,0.028203,1.5497
"4181/251.2005mz/5.61min",0.49071,-1.027,0.0283,1.5482
"4375/519.3273mz/5.8min",5.868,2.5529,0.028392,1.5468
"1162/308.1128mz/2.33min",0.22465,-2.1543,0.028712,1.5419
"4116/412.1752mz/5.57min",14.361,3.8441,0.028808,1.5405
"6288/399.3255mz/7.71min",0.28427,-1.8147,0.029009,1.5375
"2407/569.2813mz/3.48min",0.40974,-1.2872,0.029169,1.5351
"5353/522.2707mz/6.65min",0.44481,-1.1687,0.029358,1.5323
"2427/274.092mz/3.52min",0.22828,-2.1311,0.029523,1.5298
"4282/332.3159mz/5.72min",6.332,2.6627,0.029778,1.5261
"3666/526.2432mz/5.23min",5.4843,2.4553,0.029999,1.5229
"4110/319.1946mz/5.57min",3.8164,1.9322,0.030032,1.5224
"1950/245.1859mz/2.91min",4.3253,2.1128,0.030247,1.5193
"3426/571.2645mz/4.94min",6.0902,2.6065,0.030704,1.5128
"7234/592.5296mz/9.39min",3.9439,1.9796,0.030737,1.5123
"4975/478.2213mz/6.29min",5.2677,2.3972,0.030999,1.5087
"6312/393.3151mz/7.76min",0.15926,-2.6506,0.031451,1.5024
"912/158.0812mz/2.16min",0.31486,-1.6672,0.0316,1.5003
"2646/527.2865mz/3.88min",0.21869,-2.193,0.031688,1.4991
"1731/281.1495mz/2.73min",3.2292,1.6912,0.03176,1.4981
"3529/277.2161mz/5.05min",0.27557,-1.8595,0.032193,1.4922
"1068/409.187mz/2.26min",0.17838,-2.487,0.032248,1.4915
"1575/173.1073mz/2.6min",0.32322,-1.6294,0.032434,1.489
"4647/757.5064mz/6.02min",0.43091,-1.2145,0.033136,1.4797
"5243/1003.4399mz/6.55min",9.8711,3.3032,0.033482,1.4752
"1996/197.0808mz/2.95min",0.12881,-2.9566,0.033815,1.4709
"2657/455.2536mz/3.9min",5.2689,2.3975,0.033964,1.469
"3222/525.2591mz/4.72min",6.0556,2.5983,0.03461,1.4608
"3221/526.2624mz/4.72min",6.1048,2.61,0.034692,1.4598
"4480/636.3388mz/5.89min",0.26063,-1.9399,0.034792,1.4585
"5671/622.3355mz/7.07min",0.24091,-2.0535,0.035084,1.4549
"2130/279.1703mz/3.1min",3.4559,1.789,0.03528,1.4525
"4504/344.3158mz/5.91min",2.5975,1.3771,0.035466,1.4502
"5218/277.2161mz/6.52min",0.29689,-1.752,0.035605,1.4485
"1082/292.1655mz/2.28min",0.12393,-3.0124,0.035885,1.4451
"3597/571.2642mz/5.13min",9.8487,3.2999,0.036138,1.442
"6083/308.1432mz/7.57min",0.35975,-1.4749,0.0368,1.4342
"4376/518.3238mz/5.8min",5.1488,2.3642,0.036938,1.4325
"5348/592.3396mz/6.65min",0.41991,-1.2519,0.03779,1.4226
"1597/233.1213mz/2.62min",0.38505,-1.3769,0.038781,1.4114
"3672/756.5217mz/5.21min",3.6426,1.865,0.038805,1.4111
"4417/844.5364mz/5.84min",2.1059,1.0744,0.03892,1.4098
"5356/590.3335mz/6.65min",0.43106,-1.214,0.038971,1.4093
"5225/546.2748mz/6.53min",8.5995,3.1043,0.039221,1.4065
"916/324.1917mz/2.15min",0.21957,-2.1872,0.039359,1.405
"3767/526.2435mz/5.28min",12.589,3.6541,0.039568,1.4027
"2433/176.0706mz/3.53min",0.33331,-1.5851,0.039628,1.402
"4550/353.2685mz/5.94min",0.16971,-2.5589,0.039718,1.401
"1711/179.1179mz/2.71min",5.093,2.3485,0.040057,1.3973
"4263/518.3239mz/5.71min",4.9978,2.3213,0.040086,1.397
"4382/520.3295mz/5.8min",6.4615,2.6919,0.040415,1.3935
"2544/420.2228mz/3.71min",4.2606,2.091,0.040533,1.3922
"2585/294.1335mz/3.78min",6.6754,2.7389,0.04111,1.386
"4889/504.2279mz/6.22min",7.0045,2.8083,0.041224,1.3849
"3162/470.1806mz/4.59min",22.896,4.517,0.041821,1.3786
"4996/480.3083mz/6.31min",0.32474,-1.6226,0.04224,1.3743
"2117/358.1971mz/3.08min",2.556,1.3539,0.042384,1.3728
"859/152.0706mz/2.09min",0.10408,-3.2643,0.043437,1.3621
"2986/347.1633mz/4.38min",2.2006,1.1379,0.043476,1.3618
"1644/349.1392mz/2.66min",0.4823,-1.052,0.04366,1.3599
"5417/506.2434mz/6.73min",15.27,3.9326,0.044545,1.3512
"3882/1165.7484mz/5.39min",3.8799,1.956,0.044805,1.3487
"2537/921.3608mz/3.71min",0.30491,-1.7135,0.045099,1.3458
"2224/208.0968mz/3.2min",0.28262,-1.8231,0.045103,1.3458
"4578/346.3315mz/5.97min",3.6059,1.8504,0.046345,1.334
"3154/555.2697mz/4.59min",6.2573,2.6455,0.046752,1.3302
"3657/267.1016mz/5.19min",0.068742,-3.8627,0.046953,1.3283
"862/222.0798mz/2.1min",0.39681,-1.3335,0.047357,1.3246
"2534/923.3562mz/3.7min",0.31124,-1.6839,0.04743,1.324
"2548/481.2906mz/3.72min",7.8834,2.9788,0.047936,1.3193
"3938/741.5038mz/5.41min",12.853,3.684,0.048099,1.3179
"3089/526.2625mz/4.47min",10.788,3.4314,0.048451,1.3147
"2533/906.3292mz/3.7min",0.31241,-1.6785,0.048628,1.3131
"1762/333.1071mz/2.77min",2.2229,1.1524,0.048917,1.3105
"4854/439.3891mz/6.2min",9.811,3.2944,0.049552,1.3049
"3016/312.2532mz/4.38min",0.16209,-2.6251,0.049648,1.3041
